p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.33772405365301	0.897	0.012	0	B	MZB1
0	3.23834498263901	0.609	0.013	0	B	JCHAIN
0	2.28569846178047	0.46	0.004	0	B	IGHGP
0	2.20399765036789	0.517	0.005	0	B	DERL3
0	2.01333482860769	0.414	0.002	0	B	CD79A
1.16314996314908e-285	1.78182715229852	0.408	0.013	2.58413150146288e-282	B	FKBP11
4.0900341038239e-268	1.81705935926915	0.494	0.022	7.78859351485323e-265	B	ISG20
7.69331753579164e-229	2.02338827127632	0.54	0.034	1.28189903440128e-225	B	BIRC3
6.60948710180754e-192	1.20778324838294	0.178	0.002	9.78938478523272e-189	B	LY9
1.86342666273134e-175	2.42777637607334	0.833	0.127	2.48394774142087e-172	B	RGS1
1.05639581869608e-154	4.76219806639929	0.925	0.242	1.28015966029261e-151	B	IGHG1
1.74612681344106e-149	1.13923929913339	0.218	0.007	1.93965586859745e-146	B	SPAG4
1.22304296965903e-144	1.52161422789152	0.339	0.02	1.25408944504268e-141	B	ITM2C
2.36777286539803e-137	2.1025783572017	0.96	0.282	2.25445802112541e-134	B	SSR4
1.79989333665889e-124	1.12186481009463	0.19	0.006	1.5995052118442e-121	B	PIM2
8.16095013708785e-124	1.08997679303947	0.178	0.005	6.79909158296132e-121	B	FAM46C
3.2557169294886e-113	4.72157326687248	0.914	0.341	2.55286509824018e-110	B	IGHG4
1.94152363059028e-108	0.855392659454758	0.115	0.002	1.43780611087602e-105	B	CENPM
4.40965264627107e-99	0.733817375558596	0.126	0.003	2.93903348873967e-96	B	CD38
1.11306707075481e-98	0.930013122642051	0.155	0.005	7.06532573960075e-96	B	TPD52
2.84806724279111e-93	1.88916526603109	0.707	0.167	1.65064071071328e-90	B	HERPUD1
2.4614392970634e-92	1.47559944676879	0.161	0.007	1.3124394331942e-89	B	DNAAF1
5.9004691438023e-88	4.33126664225778	0.305	0.03	2.91308346988462e-85	B	IGLL5
8.07914677801077e-83	-1.03514904181597	1	0.999	3.71362160520288e-80	B	MT-ATP6
1.09739982519641e-79	-1.15698196045504	0.983	0.999	4.8761132232894e-77	B	MT-CO1
4.12006123589872e-79	-1.07932411700031	0.994	1	1.77162633143645e-76	B	MT-CO3
3.33166929801732e-77	4.59688151081831	0.856	0.355	1.3457924770476e-74	B	IGHG3
6.46139136827322e-74	-0.974320158652287	0.994	0.999	2.53324549820829e-71	B	MT-ND4
2.54155351010992e-72	1.03197072411082	0.207	0.015	9.67968808279005e-70	B	CYTIP
8.20826128118206e-70	-0.883555012853979	1	1	3.03933674661547e-67	B	MT-RNR2
2.20343619676024e-68	1.34882671520725	0.345	0.046	7.72942223758264e-66	B	XBP1
1.28887525460394e-67	-0.89454064701391	0.989	0.998	4.40530952406937e-65	B	MT-CYB
4.99152312632097e-66	0.647437134766991	0.115	0.005	1.66342508184646e-63	B	TP53INP1
1.09806699133435e-64	-0.916022673806376	0.943	0.993	3.57005682792362e-62	B	MT-CO2
9.3073159215978e-64	1.40022094272616	0.552	0.132	2.95396479130711e-61	B	PRDX4
2.67222341850303e-63	-0.973226720755474	0.977	0.997	8.09562231105577e-61	B	MT-RNR1
6.44394407793478e-59	1.16727407539505	0.299	0.04	1.90883943464157e-56	B	SPCS3
3.76461729978956e-57	-0.952965139121477	0.885	0.984	1.02412956339173e-54	B	MT-ND2
4.43439803126433e-57	-0.970858362088392	0.879	0.979	1.18221051513507e-54	B	MT-ND1
2.53272051545421e-55	1.21125045112657	0.431	0.086	6.49253162903935e-53	B	SEC11C
3.06938193649834e-53	4.31055575775734	0.914	0.642	7.57682615065237e-51	B	IGKC
1.73330109690002e-49	-0.909564635768264	0.874	0.964	4.20089156757769e-47	B	MT-ND3
2.7487641062956e-48	0.786228424887037	0.109	0.006	6.54304027445006e-46	B	HIST1H2BC
