p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.04932479937561	0.86	0.018	0	B	VPREB3
0	2.77855845471662	0.744	0.001	0	B	IGLL1
0	2.5156230158412	0.488	0.001	0	B	IGHM
0	2.18814983140997	0.535	0.001	0	B	VPREB1
0	1.87300934780585	0.419	0.001	0	B	CD79A
0	1.82742510849774	0.512	0.005	0	B	CD79B
1.87204514298485e-252	0.98861976276799	0.209	0.001	4.46589740610058e-249	B	MZB1
4.6291579778391e-249	1.42244054929844	0.233	0.001	9.66278863399189e-246	B	JCHAIN
6.94583934230163e-175	0.973276938343368	0.163	0.001	1.28876190196772e-171	B	POU2AF1
1.43739166729886e-169	1.95279400812921	0.395	0.007	2.40030034522237e-166	B	LTB
3.09566102314317e-99	1.00996080955039	0.186	0.002	4.6994948568607e-96	B	BANK1
1.51444533067966e-88	1.04420677459198	0.209	0.004	2.10747688141831e-85	B	IL7R
3.69471144893808e-78	0.747785414988937	0.14	0.002	4.74599896044746e-75	B	CD72
1.48811473893445e-75	1.06065216086247	0.256	0.007	1.77500200181903e-72	B	LAT2
5.41228750391467e-66	0.991853440439963	0.116	0.001	6.02531926852474e-63	B	TCL1A
7.0930609059565e-58	0.821163958604133	0.14	0.003	6.96747200403338e-55	B	RAG1
6.71459356048147e-42	1.54957065518554	0.302	0.018	5.60634989332401e-39	B	CD52
1.11204331908846e-41	0.697442329121008	0.116	0.003	8.84286256450394e-39	B	VAV1
5.07386094997718e-41	0.920663670589669	0.186	0.007	3.85129109107586e-38	B	PIK3AP1
1.39464677660774e-39	1.32043447683787	0.86	0.153	9.70383605107191e-37	B	CD74
5.90804962087695e-39	0.520416658667749	0.116	0.003	3.94634082476097e-36	B	GAPT
3.08326473491923e-37	0.98036800726473	0.186	0.008	1.98028606955447e-34	B	MYB
2.46579504843998e-33	0.877771470365544	0.581	0.076	1.52504857458886e-30	B	HLA-DRA
