p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.09284288529691e-219	2.61173659345843	0.93	0.256	2.77573751876929e-215	Basal	KRT6A
1.24969664400745e-201	2.45186113510626	0.989	0.515	8.2873632947354e-198	Basal	KRT5
5.17759133461418e-181	1.29420454881976	0.519	0.054	2.28901312903293e-177	Basal	LGALS7B
1.90213119455385e-174	1.16200419985928	0.903	0.25	6.30699150834194e-171	Basal	ANXA8
3.43441728888712e-171	1.1063911497571	0.801	0.19	9.11013530050196e-168	Basal	PKP1
1.58672049573673e-170	1.75480663257996	0.97	0.557	3.50744565582604e-167	Basal	S100A2
3.26424868192658e-157	1.93005540408878	0.61	0.106	6.18481860977032e-154	Basal	SPRR1B
5.89857993703083e-142	2.42490032044605	0.898	0.399	9.77910821310498e-139	Basal	KRT13
2.52587258527151e-140	0.844473226572228	0.645	0.13	3.72229423316178e-137	Basal	DSC3
4.68247186710052e-140	1.73726830842869	0.917	0.381	6.21036243733542e-137	Basal	KRT15
5.06568827044501e-134	0.984555414261773	0.532	0.088	6.10783850281019e-131	Basal	LYPD3
6.30920299017517e-130	0.991143942154409	0.556	0.099	6.97324660489111e-127	Basal	IL1RN
7.75153810360957e-122	1.18501502000746	0.935	0.501	7.90835768216721e-119	Basal	CSTA
9.30060989316179e-121	1.04490354760735	0.997	0.949	8.81099921521463e-118	Basal	HSPB1
2.7609732538717e-114	1.91274849185904	0.546	0.118	2.44125255107336e-111	Basal	KRT17
2.97544135203151e-113	0.522279210040882	0.403	0.052	2.46645491574962e-110	Basal	TIMP3
3.70983605486744e-113	1.19095078949781	0.831	0.329	2.89432679974746e-110	Basal	SFN
1.81236196520276e-112	-1.42541210325943	0.965	0.979	1.3354087080269e-109	Basal	WFDC2
2.29468279988016e-110	0.899683893746433	0.645	0.165	1.6018093670953e-107	Basal	ITGA6
1.02477274291672e-109	1.36268731068218	0.312	0.03	6.79578044465224e-107	Basal	KRT16
2.04952923766309e-107	0.758025367884183	0.556	0.12	1.29442410852979e-104	Basal	DSG3
8.29578285245034e-104	0.766861399298482	0.589	0.14	5.00122581691131e-101	Basal	SERPINB13
1.08599208681471e-101	0.782187009839295	0.675	0.203	6.26239697714067e-99	Basal	PLP2
3.3960348601773e-100	0.511502805888616	0.358	0.047	1.87673376460548e-97	Basal	TUBB6
6.50984630956171e-100	0.565955149818705	0.43	0.071	3.45360366414868e-97	Basal	TP63
5.50729139245433e-99	0.827537793422357	0.831	0.344	2.80935406685084e-96	Basal	NECTIN1
3.00946754401329e-97	0.397184371697873	0.21	0.011	1.47831733467586e-94	Basal	KRT6C
5.76035693107055e-97	0.761015857490294	0.669	0.199	2.72855764202817e-94	Basal	SERPINB5
5.10788811724983e-96	0.94545769310015	0.253	0.021	2.33606621031326e-93	Basal	IGFBP6
2.58874160951873e-95	0.489132998819664	0.194	0.009	1.14448266556823e-92	Basal	ECM1
1.32207203879297e-92	-1.36630217692726	0.987	0.977	5.6563359517778e-90	Basal	SLPI
3.40045453895382e-90	1.05684055839381	0.728	0.27	1.40938214219202e-87	Basal	POLR2J3
1.20543024139988e-89	-1.46381590569284	0.793	0.911	4.8447337247535e-87	Basal	CD74
2.19082573642243e-89	1.10941276465919	0.879	0.466	8.54615345357962e-87	Basal	S100A10
3.693502511165e-89	0.748780373230452	0.739	0.271	1.39962639444518e-86	Basal	LAD1
6.41492522065565e-89	0.62500223906007	0.487	0.106	2.36336536670989e-86	Basal	FSCN1
1.16983731302886e-88	0.664420391636627	0.454	0.092	4.19339250883831e-86	Basal	CLCA4
1.32118557727362e-88	0.929420647308216	0.933	0.574	4.61128534510002e-86	Basal	S100A16
2.67511640178688e-88	-2.66782335485515	0.879	0.953	9.09745354792291e-86	Basal	SCGB3A1
8.00016928051635e-88	-2.24668627775283	0.288	0.734	2.65265612918721e-85	Basal	PIGR
4.40408986694117e-87	0.599613289438336	0.992	0.939	1.42466936354246e-84	Basal	RPS18
6.96062272050728e-86	-2.43566705746382	0.616	0.841	2.19806521766876e-83	Basal	BPIFB1
8.89070926635944e-84	0.774944703875487	0.957	0.695	2.74226690697035e-81	Basal	DSP
4.38090201253907e-83	0.567370455926146	0.411	0.079	1.32054325891604e-80	Basal	DAPL1
1.21020609078586e-81	0.965340328999358	0.866	0.508	3.56688075157618e-79	Basal	SERPINB1
2.24224231994605e-81	0.53491474603154	0.481	0.109	6.46496954118357e-79	Basal	CLCA2
2.82376172846621e-81	0.549299204761295	0.995	0.94	7.96841527758453e-79	Basal	RPL37A
3.5210652551505e-80	0.678793730986588	0.702	0.256	9.72914343313772e-78	Basal	GPC1
1.16642400069263e-79	0.807446711116131	0.984	0.887	3.15720031044619e-77	Basal	AQP3
1.9881748295925e-79	0.739732623399412	0.968	0.67	5.27383255297708e-77	Basal	SDC1
3.01822124366669e-79	1.22902285733408	0.812	0.395	7.84915065779437e-77	Basal	FABP5
1.19967967410711e-78	0.516645468189695	0.987	0.911	3.05987529186203e-76	Basal	RPS28
1.35661813615302e-77	0.837386730501569	0.917	0.554	3.39487289430141e-75	Basal	S100A14
2.87944264703311e-76	0.655456483071174	0.497	0.128	7.07223107918522e-74	Basal	SPINK5
4.30350652410435e-76	0.547985944355967	0.441	0.1	1.03777103689447e-73	Basal	GPX2
6.48403285439773e-75	-1.41164768259793	0.562	0.822	1.53567370978352e-72	Basal	C3
3.47597334330089e-74	0.702075272610704	0.753	0.305	8.08804113196485e-72	Basal	ACKR3
3.62999749366688e-74	-0.759836254985244	0.949	0.948	8.30080288939722e-72	Basal	B2M
5.32012971805679e-73	0.574406035419385	0.984	0.888	1.19594712628114e-70	Basal	RPS18P9
8.72228253886329e-73	0.515623919007158	0.987	0.862	1.92806055521573e-70	Basal	RPL14
2.50924441105837e-72	-1.23902663368193	0.812	0.899	5.45575551210936e-70	Basal	LCN2
9.7826887922861e-72	-0.728079374082051	0.978	0.974	2.09270647503372e-69	Basal	S100A6
2.39107873168384e-70	0.493987751982618	0.978	0.903	5.03379003465441e-68	Basal	RPL27A
3.35902015560551e-70	0.552544139408879	0.984	0.851	6.9610444255931e-68	Basal	RPL12
1.45861387520531e-69	-0.916638258259569	0.909	0.944	2.9532006147482e-67	Basal	TSPAN1
1.46958637241485e-69	0.487671997677905	0.989	0.909	2.9532006147482e-67	Basal	RPL8
3.91027761533412e-69	0.488163874917285	0.992	0.953	7.74059880778753e-67	Basal	RPL7A
4.78378410970765e-69	0.529118089839646	0.981	0.882	9.3304895069195e-67	Basal	RPL28
1.43669449408601e-68	0.513306201238587	0.992	0.912	2.76157667754533e-66	Basal	RPLP1
7.01461963928482e-68	1.89514817676411	0.218	0.025	1.32907000394049e-65	Basal	KRT14
7.49077837698569e-68	0.541494163759081	0.597	0.194	1.39929850160509e-65	Basal	CD44
8.5215417631131e-68	0.485509311967625	0.987	0.919	1.56973900561346e-65	Basal	RPS8
9.92079648825741e-68	0.516683451329125	0.984	0.911	1.80245923046244e-65	Basal	RPS29
3.20467396950724e-67	0.529414040903675	0.989	0.86	5.74372849426683e-65	Basal	RPL32
3.69269558543534e-67	0.521748828509842	0.992	0.935	6.53016287328385e-65	Basal	RPS2
2.01760744016238e-65	0.591282182939649	0.954	0.756	3.52099045774654e-63	Basal	RPL35
3.30849610520418e-64	0.516059068320236	0.981	0.882	5.69877712250948e-62	Basal	RPL18A
4.07534638544849e-64	0.699998772960172	0.325	0.063	6.92965629617991e-62	Basal	FLNA
4.21981361004367e-64	0.54583999922122	0.968	0.826	7.08447948227965e-62	Basal	RPL29
1.65803500536749e-63	0.785007258044741	0.352	0.075	2.74881478452363e-61	Basal	SERPINB2
4.53269292681427e-63	0.535731973296399	0.984	0.895	7.42186497386885e-61	Basal	RPS5
5.39649471618915e-63	0.602948822937706	0.763	0.342	8.72850114888009e-61	Basal	CLDN1
6.7192149916823e-62	0.44584682212856	0.331	0.068	1.07369817391183e-59	Basal	CENPW
1.08435016412946e-61	0.643360115599888	0.352	0.078	1.71211145557727e-59	Basal	GPNMB
1.36912744610081e-61	0.406655995362767	0.28	0.048	2.13632203736883e-59	Basal	PTTG1
2.26547529819666e-61	0.510260687422676	0.997	0.946	3.49383707906771e-59	Basal	S100A11
7.96319508249209e-61	0.521414916460756	0.978	0.819	1.20332565060298e-58	Basal	RPL36A
7.98406523811072e-61	1.39118792888105	0.481	0.152	1.20332565060298e-58	Basal	S100A8
1.45752099518316e-60	0.475276147312396	0.989	0.915	2.17203381563082e-58	Basal	RPL10A
9.01574994159255e-60	0.475526768030864	0.992	0.919	1.32862101639269e-57	Basal	RPLP0
2.04346807872747e-59	0.695264063339902	0.882	0.529	2.97829858551236e-57	Basal	MIR205HG
3.33544130594927e-59	0.698301476676908	0.707	0.307	4.80847370008751e-57	Basal	FBLN1
6.48312955479399e-59	0.812969103103933	0.532	0.191	9.24577927798202e-57	Basal	FGFBP1
8.02945514112313e-59	0.531696115455429	0.976	0.842	1.13292195251826e-56	Basal	RPS3
1.01527968551599e-58	0.461197598000279	0.987	0.88	1.41743731252617e-56	Basal	RPS7
1.40844550485647e-58	0.526752056472553	0.976	0.823	1.94585549280327e-56	Basal	RPSA
1.94857495036958e-58	-0.807019905978589	0.739	0.856	2.66432469760328e-56	Basal	MUC1
2.09165977310025e-58	0.575029482990945	0.524	0.179	2.83078403781925e-56	Basal	CCND2
5.71819712646412e-58	0.461880594446867	0.987	0.86	7.6606513624539e-56	Basal	RPL4
8.53826643650593e-58	0.631228216063827	0.944	0.698	1.13243027747378e-55	Basal	JUP
1.64593774497645e-57	0.423101594082048	0.355	0.082	2.16139329818046e-55	Basal	TNS4
4.08564284270207e-57	0.434495276828324	0.255	0.043	5.31253735517231e-55	Basal	DSC2
4.58277082011857e-57	0.386369315032502	0.989	0.972	5.90109605701287e-55	Basal	RPL41
1.19408127131439e-56	0.447547855619737	0.997	0.946	1.52279806744642e-54	Basal	RPL13
3.22425037475968e-56	0.345858832098071	0.194	0.024	4.07268883051787e-54	Basal	WNT10A
4.49843256830984e-56	0.642977226067353	0.831	0.449	5.62855765598994e-54	Basal	ATP1B3
8.07307371193639e-56	-0.97862273390584	0.567	0.79	1.00068389384498e-53	Basal	ALDH1A1
1.00766372859975e-55	-1.26400756859575	0.46	0.713	1.23746704003875e-53	Basal	XBP1
1.38321085057795e-55	0.453167910867171	0.984	0.899	1.68307573497389e-53	Basal	RPL11
3.83807115022033e-55	0.433567526141552	0.987	0.929	4.62766706048838e-53	Basal	RPS12
8.52490749269156e-55	0.707203785276311	0.398	0.109	1.01861124392404e-52	Basal	PLAU
1.92867668826067e-54	0.53905246994284	0.989	0.874	2.28393204610726e-52	Basal	PERP
2.55252250879789e-54	0.5077805305204	0.968	0.835	2.99593858709614e-52	Basal	RPL39
3.72081527554003e-54	0.524330594885276	0.694	0.32	4.32887482451644e-52	Basal	PKP3
7.80109718993732e-54	0.430186364063436	0.987	0.918	8.99703930696858e-52	Basal	RPL7
1.18887914486727e-53	0.414339169359148	0.984	0.915	1.3593193188254e-51	Basal	RPLP2
2.84017484424811e-53	0.451178493042756	0.978	0.883	3.21959307344126e-51	Basal	RPL26
3.75284724228087e-53	0.266332281489887	0.145	0.012	4.21813669274332e-51	Basal	CCDC3
4.02466909398896e-53	0.903930802208208	0.739	0.396	4.4856458986198e-51	Basal	MT1X
4.43852567181938e-53	0.856470759878977	0.336	0.082	4.90568049877838e-51	Basal	COL17A1
4.64299934509389e-53	0.49178702201025	0.973	0.781	5.08926448875869e-51	Basal	RPL36
5.61578264087395e-53	-1.04116259843274	0.379	0.688	6.10509222671403e-51	Basal	SLC44A4
8.53712976741179e-53	-1.11064969835245	0.215	0.608	9.20552456139695e-51	Basal	CYP2B7P
9.2742194748372e-53	0.432858317178408	0.981	0.885	9.91967523344886e-51	Basal	RPL6
3.37489401827843e-52	0.477594034285957	0.97	0.837	3.58089754915415e-50	Basal	RPL17
8.83541744372611e-52	0.486208610389151	0.957	0.785	9.3003286949317e-50	Basal	RPS21
9.29661333188119e-52	0.504167775043859	0.954	0.753	9.70873878903466e-50	Basal	EEF1B2
2.08487292355694e-51	0.346093269707304	1	0.989	2.16028668633873e-49	Basal	EEF1A1
2.80018246508066e-51	-0.998729925476787	0.231	0.605	2.87897829723758e-49	Basal	MUC16
8.31229805897706e-51	0.331050426296707	0.288	0.06	8.4804622427856e-49	Basal	MMP28
1.05309082918114e-50	0.402979307450361	0.992	0.953	1.06619417308622e-48	Basal	TPT1
1.36707347029126e-50	0.479850889599046	0.68	0.308	1.37359813912674e-48	Basal	ZYX
2.04931358036864e-50	0.409688957672007	0.981	0.897	2.04361248243829e-48	Basal	RPS9
4.57140031864859e-50	0.407735145327614	0.989	0.941	4.52466286762957e-48	Basal	RPL3
5.10577723931661e-50	0.546407875727934	0.32	0.076	5.01614248333749e-48	Basal	PLAT
5.28941745440179e-50	0.456487762937452	0.978	0.863	5.15834880130374e-48	Basal	RPL13A
7.4298298028982e-50	0.419713234685217	1	0.891	7.19283450188604e-48	Basal	RPS16
7.88588462582296e-50	1.16842126866237	0.177	0.023	7.57902085451376e-48	Basal	SPRR2A
3.03628287163609e-49	0.414275747769914	0.363	0.096	2.89713810982082e-47	Basal	FAT2
7.15997671795847e-49	0.333626482703478	0.266	0.055	6.7830550864488e-47	Basal	DUSP7
1.1317421471678e-48	0.522526577265055	0.831	0.464	1.06456000694231e-46	Basal	LDHA
2.27813915420401e-48	0.42764140519318	0.962	0.858	2.12781405649351e-46	Basal	RPS11
3.84645776188782e-48	0.442694377765799	0.987	0.891	3.56752232838588e-46	Basal	RPS24
4.33253358639904e-48	0.490665051411277	0.446	0.143	3.99044395530628e-46	Basal	ARL4D
6.69161406419183e-48	0.654365117185816	0.938	0.705	6.1207501609225e-46	Basal	TXN
