p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.32992612773349	0.797	0.042	0	B	JCHAIN
0	3.19605938021004	0.93	0.009	0	B	MZB1
0	1.62427406140175	0.401	0.007	0	B	DERL3
0	1.51359069787803	0.384	0.003	0	B	CD38
0	1.49751208120434	0.326	0.005	0	B	CD79A
0	1.43756018419769	0.267	0.002	0	B	STAP1
0	1.13121898668396	0.256	0.003	0	B	POU2AF1
6.29987773108366e-298	1.01595120126794	0.169	0.001	1.04444097934203e-294	B	TNFRSF17
3.75214425449661e-287	0.858945628864953	0.186	0.001	5.5294099163765e-284	B	CD27
1.1069830679369e-262	1.52773365194627	0.395	0.015	1.46819164300471e-259	B	TP53INP1
1.97913111248805e-253	1.21813318116078	0.267	0.006	2.38629235862992e-250	B	SLAMF7
1.54211901424559e-237	0.69078298702953	0.116	0	1.70442704049494e-234	B	FCRL5
3.27224468764628e-226	0.699530574162875	0.134	0.001	3.33844471478866e-223	B	ZBP1
6.85670262422525e-225	1.48077475149783	0.366	0.015	6.49574620750711e-222	B	PIM2
7.95768437970286e-181	0.706690066577562	0.128	0.001	7.03618452853327e-178	B	MEI1
1.39976835695184e-175	1.40368088157712	0.192	0.004	1.16032048239077e-172	B	DNAAF1
2.48205260607294e-170	1.77682746371593	0.605	0.065	1.93643904202032e-167	B	FKBP11
2.58730159843112e-169	3.47188983507053	0.186	0.004	1.90641006111067e-166	B	IGLL5
6.98341759919646e-138	1.37183327332877	0.366	0.027	4.63105338090713e-135	B	CYTIP
6.07034363777293e-121	1.44385453605907	0.436	0.045	3.83385560322773e-118	B	ITM2C
1.00156375630315e-109	0.560512888151792	0.11	0.002	5.77553917384727e-107	B	SHCBP1
2.66191103122404e-103	1.57978489850447	0.599	0.105	1.47103858363019e-100	B	SEC11C
1.06584812938755e-100	1.88629928124323	0.674	0.146	5.65453749602683e-98	B	HERPUD1
6.69463140478799e-100	1.17010680043165	0.285	0.023	3.41503447391166e-97	B	RAB30
6.92548630546123e-95	0.73037677206509	0.14	0.005	3.1673353403218e-92	B	TMEM156
2.66909834367e-91	1.72103143180608	0.866	0.306	1.10625785412798e-88	B	SSR4
1.35361308489783e-88	1.52619540737152	0.616	0.126	5.44029404393937e-86	B	ISG20
8.96839631035518e-88	1.16157406271499	0.36	0.041	3.39850972183545e-85	B	CYBA
4.6726064614863e-82	0.915330328510098	0.244	0.02	1.58904562817161e-79	B	SDF2L1
2.99164916568647e-78	0.749076762508372	0.163	0.009	9.91956072112491e-76	B	RAC2
