p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.81467230120891	0.74	0.044	0	B	JCHAIN
0	2.89756791832394	0.539	0.007	0	B	DNAAF1
0	2.67612422474456	0.721	0.004	0	B	MZB1
0	2.3587117411525	0.357	0.002	0	B	IGHGP
0	1.74649078087324	0.357	0.002	0	B	DERL3
0	1.6498760393131	0.338	0.001	0	B	FCRL5
0	1.5772839414905	0.266	0.001	0	B	IGLV3-1
0	1.35692172076373	0.234	0.002	0	B	LY9
4.67360271074302e-273	1.25172505749737	0.201	0.002	7.80491652694085e-270	B	POU2AF1
4.04455507053552e-228	1.07589553833589	0.188	0.002	6.07896627101488e-225	B	CD79A
9.86502313820272e-221	1.27369969365517	0.221	0.004	1.34792088879261e-217	B	PIK3CG
1.93141410887903e-216	1.00993022324036	0.143	0.001	2.41909617137098e-213	B	RP11-290F5.1
1.04764870947946e-202	2.17879755025176	0.188	0.003	1.21124308488279e-199	B	IGKV4-1
1.77038566817983e-194	1.40245356328543	0.279	0.008	1.9006354709102e-191	B	TBCEL
4.01492361383916e-188	1.67866328017315	0.357	0.016	4.02295346106683e-185	B	FAM46C
1.71597593934737e-179	1.54974329952288	0.273	0.009	1.61194489802443e-176	B	HIST1H1C
9.03863138004072e-176	2.00843569176661	0.169	0.003	7.99121350835365e-173	B	IGLV6-57
3.09412791918107e-171	1.32044231070708	0.234	0.007	2.58359681251619e-168	B	PDK1
1.70625339870553e-169	1.45509801142505	0.286	0.011	1.34973624118653e-166	B	TP53INP1
1.38804033771375e-156	4.42049225840432	0.786	0.123	9.93440298849409e-154	B	IGHG4
3.56345192551598e-153	2.28906336655325	0.773	0.117	2.43448556547751e-150	B	PELI1
8.1951279726732e-153	2.36464173413009	0.857	0.151	5.35533797518601e-150	B	HERPUD1
7.82110369927755e-148	1.01271469912415	0.13	0.002	4.52119956154391e-145	B	HLA-DOB
6.03120023656556e-144	2.19189829966381	0.929	0.201	3.35736813168816e-141	B	SSR4
3.48702447219739e-140	1.76217248218943	0.474	0.041	1.74741738738986e-137	B	CYTIP
3.48785905666639e-140	1.32454759569292	0.253	0.01	1.74741738738986e-137	B	TPD52
6.92566995046378e-130	1.70538492857612	0.5	0.05	3.06155351045502e-127	B	EIF2AK3
4.51773549122236e-127	4.49094870564743	0.76	0.15	1.94004469808778e-124	B	IGHG1
1.09911533884484e-124	4.33704235462432	0.656	0.102	4.58880653967719e-122	B	IGHG3
4.09582901126051e-124	1.92655262610724	0.506	0.055	1.66379216322285e-121	B	FAM107B
6.2021003488128e-122	2.27946822272839	0.675	0.108	2.39019405750401e-119	B	LINC00152
7.35635795881729e-117	1.51887397497129	0.357	0.027	2.63252524097676e-114	B	ISG20
3.94636984997944e-114	1.48388909613234	0.208	0.009	1.37939392663235e-111	B	LINC01480
1.02225758122434e-111	1.46416292661328	0.403	0.036	3.49193896495495e-109	B	SEC11C
3.00505039071397e-106	0.849772507676038	0.104	0.002	1.00368683049847e-103	B	ZNF165
3.50929973938411e-103	0.704863375961425	0.11	0.002	1.14662554528137e-100	B	MEI1
3.70024849794167e-103	0.920702440721978	0.11	0.002	1.18329223242688e-100	B	TMEM156
3.06305585091134e-101	1.4471277622689	0.357	0.031	9.59119363316613e-99	B	FKBP11
1.28063431434316e-100	1.08548476576278	0.182	0.007	3.92814974379136e-98	B	CTH
1.39748755490019e-95	1.60646361117455	0.403	0.043	4.03927652887498e-93	B	SLAMF7
7.39637218936721e-87	1.51623645222693	0.357	0.038	2.09749950955074e-84	B	LGALSL
7.63242055016425e-82	0.701437383856027	0.104	0.003	2.08573237943579e-79	B	IFNLR1
9.75555834461315e-79	2.21775385941958	0.11	0.003	2.61832217713457e-76	B	IGKV3-20
1.53525116577354e-76	1.41736697617277	0.422	0.058	3.97841810716833e-74	B	ANKRD28
7.03416253273252e-76	1.19172291618061	0.253	0.021	1.79192309944017e-73	B	RHOH
7.08472814927418e-75	1.00440653340854	0.117	0.004	1.77472440139318e-72	B	GZMB
2.57066404665136e-74	1.78225502497506	0.883	0.354	6.23178719696288e-72	B	RGS1
8.41637426057318e-73	1.23192938916113	0.195	0.013	2.00790643073674e-70	B	CMB9-22P13.1
1.09107437674934e-71	1.3930620611229	0.175	0.011	2.52289967423731e-69	B	HMGB3
1.97081647263371e-70	2.06227088689862	0.364	0.049	4.48808660358859e-68	B	ZMYND11
5.41416904899519e-68	1.70105194341757	0.734	0.206	1.21455165382683e-65	B	GADD45A
8.43142308552832e-67	1.38317738818284	0.331	0.041	1.86359248493369e-64	B	ST6GAL1
9.87836488971328e-67	2.63037108163083	0.104	0.004	2.15176556945494e-64	B	IGKV3-15
6.76112686388931e-66	1.65523456237765	0.688	0.192	1.45171052520366e-63	B	XBP1
8.32938045741542e-62	3.57887956810687	0.266	0.029	1.66920784366605e-59	B	IGHG2
1.15432514369821e-59	1.20770537395854	0.948	0.445	2.28282985655054e-57	B	NEAT1
5.92386843514456e-58	3.9967105362601	0.331	0.049	1.12703471620535e-55	B	IGLC3
1.0935273289277e-57	0.893478968590722	0.11	0.005	2.05446446922291e-55	B	BLNK
1.78368012031857e-56	1.19203643447869	0.26	0.029	3.30971755659113e-54	B	AREG
2.07634071800524e-55	1.22969094178132	0.383	0.063	3.80578060873399e-53	B	SEC24A
2.5342142605082e-54	1.07339747107868	0.182	0.015	4.53443337326646e-52	B	TOR3A
9.83337352054916e-54	1.37098972887387	0.5	0.109	1.73877181192769e-51	B	PRDX4
1.97258587174508e-53	0.973463284545472	0.162	0.012	3.44743786654983e-51	B	AQP3
