p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.35230678525205e-215	2.62578048036796	0.581	0.003	4.49114537170159e-211	B	MZB1
3.02076066842269e-56	1.14021322934247	0.129	0	1.55856146687269e-52	B	IGLV3-1
1.19259651695789e-52	5.22482424358195	0.903	0.108	4.10213448616283e-49	B	JCHAIN
9.3633818792627e-46	4.20006841597257	0.548	0.038	2.41551844030279e-42	B	IGHA2
1.44637669887065e-45	1.40255527722393	0.258	0.007	2.98503223112924e-42	B	FKBP11
1.56355172576884e-44	1.30402981436256	0.194	0.003	2.68904837636811e-41	B	IL2RG
6.42167004608651e-38	2.31131977301757	0.871	0.139	9.46645902936668e-35	B	SSR4
1.16561321560813e-32	1.31670918942744	0.194	0.005	1.50349534648253e-29	B	ISG20
1.40171473341262e-29	4.88288604541539	0.355	0.024	1.60714381489831e-26	B	IGHG3
8.79717763654082e-28	5.08991070109881	0.71	0.123	9.07780760314648e-25	B	IGHA1
9.59101864369519e-27	4.62790895553824	0.387	0.032	8.99724739857188e-24	B	IGHG1
1.13981545878499e-26	1.93438264810269	0.613	0.081	9.80146309933529e-24	B	XBP1
6.2039090311907e-24	1.43608215106292	0.355	0.029	4.92447209945053e-21	B	CYBA
3.79225362391283e-21	4.76225460635845	0.323	0.028	2.7951617960826e-18	B	IGHG4
1.55010471534698e-20	1.57220325032167	0.323	0.029	1.06636870384437e-17	B	SEC11C
4.87605034204239e-19	1.32018941015092	0.226	0.015	3.14474771747097e-16	B	FAM46C
1.32098850023425e-16	0.89921322793998	0.129	0.005	8.01840019642189e-14	B	CYTIP
5.56078317488582e-15	1.85242158041972	0.677	0.174	3.1878734212026e-12	B	RGS1
1.04034905786824e-14	-0.849564006319447	1	0.999	4.87970996733746e-12	B	MT-CO3
3.51837683258699e-14	-0.837684725180711	1	1	1.57852741458544e-11	B	MT-ATP6
3.81979361030524e-14	-0.880998519004557	1	1	1.64235209436416e-11	B	MT-ND4
4.53603144706905e-14	-0.863251529660931	1	0.999	1.87229234009222e-11	B	MT-CO1
1.07626069855907e-13	5.1619246491929	0.806	0.405	4.27151313401193e-11	B	IGKC
1.49844318684361e-13	-0.844051889413517	1	1	5.72682786853303e-11	B	MT-CYB
8.73373919273614e-13	1.28880194913698	0.194	0.017	3.21869481178015e-10	B	EVI2B
9.3997530552988e-13	0.974958657395618	0.129	0.007	3.34469144060787e-10	B	PIM2
1.04038815744587e-12	1.57563930197835	0.613	0.17	3.54425779441311e-10	B	HSP90B1
1.06475425551707e-12	0.82106621277797	0.129	0.007	3.54425779441311e-10	B	TAGAP
2.02557033720208e-12	0.898112865619102	0.194	0.017	6.33389706351159e-10	B	ANKRD28
7.70655751830425e-12	0.942366950535043	0.161	0.013	2.33894020680534e-09	B	NGLY1
1.89649267282751e-11	-0.966480396524572	0.903	0.989	5.28916429483976e-09	B	MT-ND3
5.20095924202307e-11	-1.30617950864426	0.677	0.922	1.41233416890621e-08	B	S100A6
9.67557695049948e-11	1.43180196725928	0.419	0.09	2.56005842441549e-08	B	HERPUD1
1.0719863688709e-10	-0.794192327331839	1	0.998	2.76545683509471e-08	B	MT-ND2
1.35738711665915e-10	1.20657621440538	0.677	0.217	3.41631162361117e-08	B	SUB1
2.19304817326199e-10	2.77985732104365	0.129	0.009	5.38811049997392e-08	B	IGHG2
4.27681016073873e-10	-0.69805518644317	1	0.997	1.00300918292416e-07	B	MT-CO2
5.20205992492713e-10	-0.810956184722438	0.871	0.954	1.19289014145162e-07	B	TPT1
9.59020571301843e-10	-1.23622860360314	0.419	0.838	2.1513333207095e-07	B	RPS20
1.16409529229173e-09	-0.748644468824979	0.935	0.988	2.5558083662039e-07	B	MT-ND1
1.19142675255555e-09	1.105296519118	0.29	0.048	2.56131930408764e-07	B	OTUD1
4.92099532463884e-09	-0.722031692847191	0.903	0.972	9.95681387351925e-07	B	RPL31
5.56837445388963e-09	-0.827365173584482	0.774	0.944	1.10500107672475e-06	B	EEF1A1
7.0059751939952e-09	1.14892012946437	0.71	0.283	1.36405015144974e-06	B	TSC22D3
7.84775862831087e-09	1.02027411911417	0.161	0.018	1.49964854232481e-06	B	TMEM107
1.04233605373667e-08	-0.696792973205357	0.903	0.993	1.95561195245612e-06	B	RPS27
1.14527379032198e-08	1.05612693107291	0.194	0.025	2.1103714718451e-06	B	PRDM1
1.43041055464194e-08	-0.839806604044816	0.806	0.933	2.50176381582206e-06	B	RPS6
5.88637525338145e-08	1.13242128847751	0.452	0.131	1.01235843732739e-05	B	SEC61B
6.58499231598302e-08	1.03950631265583	0.226	0.037	1.11394320833818e-05	B	ERLEC1
1.23189236010832e-07	-0.871963462630119	0.645	0.856	1.95567650214734e-05	B	RPL37
1.4810232747499e-07	-0.57838800271083	0.968	0.984	2.31555745032488e-05	B	RPL34
1.93171308841302e-07	1.09236689889579	0.194	0.03	2.915209775881e-05	B	PRDX4
1.94931170206211e-07	-0.718555376678276	0.774	0.947	2.915209775881e-05	B	RPS27A
2.17010943122982e-07	1.07110496413019	0.194	0.03	3.19905131726578e-05	B	DNAJB9
2.76349993893757e-07	-1.15661014288478	0.484	0.778	4.01641631970377e-05	B	S100A11
3.21937129486865e-07	-1.08248677988331	0.548	0.807	4.61398505440966e-05	B	ACTG1
4.82610230781674e-07	1.2411243433023	0.258	0.053	6.3846858608155e-05	B	SPCS3
6.12705308348826e-07	-1.15134906361052	0.419	0.761	7.86402656660352e-05	B	FTH1
6.41869732321078e-07	-0.727207269717894	0.71	0.921	7.86402656660352e-05	B	RPS29
6.45490703282997e-07	0.871344438234749	0.161	0.023	7.86402656660352e-05	B	RRBP1
6.5051963191085e-07	1.27353262435149	0.355	0.098	7.86402656660352e-05	B	TRAM1
6.55399054877316e-07	-0.856940221273158	0.742	0.926	7.86402656660352e-05	B	MT-ND5
9.55885104600116e-07	-1.25928924192443	0.581	0.785	0.000113376763153662	B	S100P
9.75532850170888e-07	-0.765150080986623	0.71	0.873	0.000114392312283107	B	RPS24
1.01974424578809e-06	0.914914570958208	0.226	0.043	0.000118233043508846	B	TMED5
1.07460158006268e-06	-1.36072347001061	0.323	0.693	0.000123209041162965	B	ADIRF
1.24641091989494e-06	-0.716942011442369	0.806	0.893	0.000141337519586768	B	RPL32
1.27001944905453e-06	1.07332038149182	0.258	0.056	0.00014244924668254	B	FKBP2
1.2885140369396e-06	-0.654328074638691	0.839	0.941	0.000142969638141717	B	RPL30
1.83842170839449e-06	0.84619190273943	0.161	0.024	0.000197611183426278	B	DERL1
2.03749760499851e-06	0.819310755200391	0.161	0.024	0.000216751935937934	B	HSPA13
2.07545925961709e-06	4.93522354279963	0.387	0.127	0.000218537388775396	B	IGLC3
3.07773383166589e-06	-0.835268877136999	0.516	0.838	0.000317591354089603	B	RPS13
3.94074186139558e-06	0.956542702433609	0.129	0.017	0.000402618963046941	B	C12orf45
4.44324953631105e-06	-1.93926891961723	0.065	0.491	0.000445144582186346	B	CSTB
5.69840592284786e-06	1.19626932835762	0.194	0.038	0.000565402410748722	B	GLRX
6.7779211616973e-06	-0.566124077276229	0.806	0.903	0.000659824230825985	B	RPL7
1.18793670419609e-05	-0.893503012000443	0.613	0.822	0.00112860883107411	B	ZFP36
1.40657719785448e-05	-1.55845157786989	0.226	0.616	0.00131949728224186	B	HES1
1.51520471346752e-05	0.879431197435327	0.161	0.028	0.00140859436380823	B	CREB3L2
1.6581536491047e-05	-0.956332095945394	0.323	0.688	0.00152772209867066	B	ITM2B
1.7436358076298e-05	0.852161012385778	0.161	0.029	0.00159226353087893	B	SEL1L
1.99415706268407e-05	-0.699825728160364	0.645	0.855	0.00177087956128924	B	RPS25
2.00787778535557e-05	-0.974499562460076	0.452	0.676	0.00177087956128924	B	RPL12
2.2265829163893e-05	-1.38938536788341	0.355	0.634	0.0019133947021926	B	FABP4
2.25781016984225e-05	-0.756562470582459	0.581	0.807	0.0019133947021926	B	RPL23
2.26217805666728e-05	-0.756287668043707	0.484	0.754	0.0019133947021926	B	RPL27
2.29712398047776e-05	-0.638461049176109	0.742	0.867	0.0019271562889878	B	RPL11
2.52008752577428e-05	-1.10174962764168	0.323	0.642	0.00207673551302121	B	FOSB
2.66491915801721e-05	4.63122339876989	0.323	0.109	0.00213253448291146	B	IGLC2
2.98996789171375e-05	0.925004885197489	0.29	0.082	0.00235522737974001	B	ERGIC3
3.08688411540276e-05	-2.04879568476932	0	0.377	0.00239974025533132	B	TIPARP
3.0929882155157e-05	-1.72801144742797	0.129	0.486	0.00239974025533132	B	KRT17
3.11672502900578e-05	-0.758775833045817	0.484	0.816	0.00240011086375452	B	RPL41
3.20116197082913e-05	-1.35629823643272	0.129	0.516	0.00244687336125821	B	RPS2
4.15188294212535e-05	-1.15535203705433	0.226	0.618	0.00315024118233761	B	ACTB
4.69216670632814e-05	1.0105378818312	0.129	0.021	0.00353419476223358	B	STK4
5.06684402730895e-05	0.573407774525291	0.129	0.021	0.00376149377825907	B	SLC30A5
6.26617919477995e-05	-0.67715945854314	0.645	0.852	0.00452172749027513	B	RPL26
6.59327509901532e-05	-0.465088169166173	0.968	0.954	0.00472472262130133	B	RPL21
6.81547089071459e-05	0.743130339692226	0.161	0.032	0.00481704411789615	B	LY96
8.00610700390109e-05	-0.790558875126598	0.484	0.726	0.00562006926348676	B	RPL36
8.97777366774246e-05	0.803865605372577	0.194	0.044	0.00625957070793476	B	SDC2
9.34865774097733e-05	0.797345527090494	0.194	0.044	0.00647441605564732	B	SEC14L1
9.65091689148641e-05	-0.596934108777483	0.71	0.886	0.00663918742688322	B	RPL35A
9.8440584157088e-05	0.946197815028538	0.258	0.074	0.00669672391871506	B	OSTC
0.000112961556196982	-0.611845391687525	0.677	0.859	0.00755615692116668	B	RPS12
0.000113499789008706	-0.655996358313694	0.613	0.808	0.00755615692116668	B	RPL39
0.000120735709013955	-0.979790256780894	0.29	0.604	0.00798635757253204	B	BTF3
0.00013348288767855	0.470293696112416	1	0.946	0.00872637791167768	B	B2M
0.0001336144694297	-1.06405593008688	0.355	0.62	0.00872637791167768	B	MT-ND4L
0.000136050011436648	0.648909179290668	0.129	0.023	0.00882956017619351	B	PARM1
0.000141384151289833	0.727652902692568	0.419	0.16	0.00906175811900488	B	SPCS1
0.000162034641810104	0.738474141188733	0.581	0.3	0.0101626494614248	B	SEC62
0.000164469663732721	-0.648642437460996	0.613	0.783	0.0101626494614248	B	RPS17
0.00018712293659454	-0.566152334958048	0.677	0.829	0.0110338376155375	B	RPL23A
0.000194579021030541	-1.10479013408579	0.194	0.524	0.011408300670535	B	RPL18
0.000195948047290044	0.706144214801494	0.226	0.061	0.0114236604518981	B	BCAS2
0.000222345791521737	-0.598723069135041	0.677	0.852	0.0128898102399596	B	RPL37A
0.000231218006037315	-1.58576441894248	0.032	0.361	0.0133292659458048	B	ETS2
0.000251766897167635	-1.68676447906453	0.032	0.35	0.0144332367326268	B	TACSTD2
0.000255284940964429	-1.65090761343934	0.065	0.38	0.0145540624630494	B	KRT19
0.000260225347754661	-0.904251628849559	0.387	0.634	0.0147542052938481	B	RPS21
0.000265713182286206	-1.40328502898896	0.129	0.429	0.0149830291148161	B	ANXA2
0.000291407441975983	-0.582016274434745	0.677	0.851	0.0161738742801152	B	RPL9
0.000371022514340868	-1.05918727757511	0.226	0.537	0.0204736969277188	B	ANXA1
0.000384910236896785	-1.43598302668238	0.226	0.496	0.0211270677369038	B	A2M
0.000406746227653124	-1.55396209939383	0.065	0.371	0.0222074831912835	B	C8orf4
0.000418048301335661	0.839837635839847	0.226	0.067	0.0227044232709615	B	UFM1
0.000452121402210462	0.662306550828582	0.129	0.026	0.0242991705698425	B	MANF
0.000494617351935522	0.865255343506635	0.194	0.053	0.0264453702312055	B	TPD52
0.000535633330895964	0.600440741919796	0.161	0.038	0.0284907234098735	B	HAX1
0.000563858465972747	-1.26144474305531	0.194	0.47	0.0295550306501833	B	FABP5
0.000581150103825293	0.703231943786107	0.548	0.295	0.0302873127342081	B	SRGN
0.000595576886077411	-1.25151958805668	0.194	0.474	0.0308060996726298	B	CLDN4
0.000597075291648994	0.704154419786566	0.129	0.027	0.0308060996726298	B	SLC25A46
0.000691568476465746	-1.03468540391761	0.161	0.467	0.0335387183586832	B	EMP1
0.000698928323792076	-0.551809841782316	0.71	0.826	0.0335387183586832	B	RPS23
0.000706440845705652	-0.523211683783075	0.677	0.812	0.0335387183586832	B	RPLP2
0.000748717412377375	0.603046306400386	0.194	0.052	0.0344911382960809	B	FNDC3B
0.000764206515574046	-0.622360538739744	0.806	0.889	0.035048209040927	B	FOS
0.000786308149844582	0.662070289498692	0.129	0.028	0.0359022734435675	B	MIB1
0.000813262637271305	-1.1763044145951	0.129	0.435	0.0369694147753418	B	AGR2
0.000842512511557099	-0.77624338635237	0.29	0.603	0.037994338238084	B	RPL14
0.00103968865049251	-1.59916530183441	0	0.264	0.0462437378639321	B	SNRPE
0.00104620654934771	0.555398910910481	0.258	0.084	0.0463339286811975	B	KDELR2
0.00105961172419689	-1.20278345596455	0.129	0.406	0.0467270657349901	B	CDKN1A
0.00107851617888853	-0.929169840214278	0.194	0.485	0.0473583338295775	B	GAPDH
0.0011276223695953	-1.66914965639781	0.032	0.301	0.0493048103044655	B	GDF15
0.00113876800170846	-0.763694700308003	0.419	0.619	0.0495820548929518	B	RPS7
0.00128584517991184	-0.782487821234815	0.226	0.519	0.0555173071611309	B	ZFP36L1
0.00129840816303847	0.721315251255997	0.419	0.189	0.0558261409766414	B	SEC61G
0.00148541269044927	-1.3640583013411	0.065	0.336	0.0628195637407625	B	SOWAHC
0.00151316725695921	0.522912949306936	0.129	0.029	0.0637321343859679	B	UBE2J1
0.00157258191842522	0.687671450050698	0.29	0.109	0.0659653366513409	B	PPIB
0.0016052849420739	-1.51495857592478	0.097	0.352	0.0665767133104769	B	DHRS2
