p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.33260955746306	0.86	0.022	0	B	MZB1
0	2.47610628124127	0.64	0.025	0	B	DERL3
8.80407033757269e-211	1.93950659630025	0.493	0.025	2.15993192281783e-207	B	FKBP11
1.9642130989643e-193	1.77215812447689	0.527	0.032	3.61415210209432e-190	B	ISG20
2.55943494684783e-189	2.36842154372312	0.767	0.083	3.76748824176001e-186	B	HERPUD1
1.09606306838594e-185	2.08386417979758	0.387	0.016	1.34450403055342e-182	B	BIRC3
8.15209770342959e-152	2.16725018770068	0.693	0.085	8.57134844246311e-149	B	SEC11C
3.1342240397034e-138	1.12670905138149	0.22	0.006	2.88348611652713e-135	B	MEI1
2.88193964734465e-115	2.97200089908401	0.28	0.014	2.35678620049518e-112	B	JCHAIN
1.99537689460659e-107	2.17383040085227	0.947	0.315	1.46859739443045e-104	B	SSR4
8.66605179834012e-75	0.875659654009077	0.167	0.007	5.7983764759803e-72	B	CD79A
3.08330857869317e-73	1.59898082046383	0.633	0.144	1.89109592826515e-70	B	PRDX4
3.77978261397846e-67	1.64236815100545	0.607	0.138	2.13993846452934e-64	B	XBP1
2.69193314647085e-63	1.15807496573301	0.293	0.032	1.41518771128753e-60	B	PLPP5
1.95216528957801e-61	0.914847791820167	1	0.986	9.5786243541961e-59	B	B2M
1.00922275224532e-59	1.52706988157653	0.627	0.163	4.64242466032848e-57	B	FKBP2
3.81612528402101e-57	-0.669791090250871	1	0.999	1.65215777002321e-54	B	MT-CO1
4.10934093222697e-57	1.0205479714618	0.253	0.026	1.68026384784392e-54	B	DNAJB9
7.3944275124913e-56	0.892951397510642	0.147	0.008	2.86436771010189e-53	B	PDK1
3.77759656012612e-54	0.909501785247978	0.187	0.014	1.39015553412641e-51	B	LY96
6.30310432208053e-54	1.18011588162595	0.3	0.038	2.2090879909768e-51	B	ITM2C
8.90807474174346e-52	-0.783792964681078	0.993	0.997	2.98015591360145e-49	B	MT-CO3
5.35497768102888e-51	0.719412070162144	0.12	0.006	1.71359285792924e-48	B	SEL1L3
6.0978458041674e-49	1.54066943983906	0.733	0.289	1.87000604661134e-46	B	HSP90B1
1.2939410310976e-47	0.754055251530797	0.173	0.014	3.80936239555133e-45	B	TPD52
6.58490072186693e-45	1.22378663490492	0.6	0.184	1.8640334351131e-42	B	SPCS2
7.77373265709254e-45	0.863134262176286	0.227	0.026	2.11906193911856e-42	B	TXNDC15
8.92805048625316e-41	1.0091816955061	0.267	0.04	2.34680184210083e-38	B	CD38
3.65223021949691e-38	0.675430446772984	0.12	0.008	9.26910841913698e-36	B	CD9
1.70416397577156e-37	0.982087710315741	0.227	0.031	4.18088228722623e-35	B	SEL1L
2.82884064674081e-36	-1.13373282862473	0.467	0.84	6.71621521290721e-34	B	GAPDH
1.40816170914675e-35	-0.911589987201844	0.793	0.921	3.23877193103753e-33	B	RPL31
1.8802919906847e-35	1.06955127462536	0.467	0.125	4.1936209246786e-33	B	IL2RG
1.44513987793107e-32	-1.40944679432652	0.327	0.734	3.1283027945802e-30	B	TUBA1B
2.11983376814092e-30	-0.885608736998645	0.74	0.881	4.4577075810049e-28	B	RPS23
3.80793597766967e-29	-0.862369328884832	0.713	0.872	7.78511355434688e-27	B	RPL7
4.9242946303931e-29	-1.53160180361849	0.2	0.654	9.79535364316033e-27	B	STMN1
5.09572812201463e-29	-0.987840190652194	0.627	0.801	9.8696207836915e-27	B	RPS3A
2.66685716788114e-28	0.988850131104266	0.593	0.235	5.03283814246287e-26	B	NPC2
2.91221245657703e-28	0.624003456383706	0.133	0.014	5.35847092010173e-26	B	GNG7
5.70792426667038e-28	-0.89046826742128	0.72	0.841	1.02464201469985e-25	B	RPS3
8.63991821429988e-28	-0.745871658234282	0.827	0.903	1.51404281088684e-25	B	RPS27A
9.85136352661536e-28	-0.815487967389377	0.793	0.891	1.68618687339277e-25	B	RPS6
1.24677734890273e-27	-0.985336023326163	0.533	0.796	2.08551847452819e-25	B	RPS24
1.39161049663825e-27	-0.924602607372	0.567	0.833	2.27605627894612e-25	B	PTMA
2.03069070864023e-27	-1.01482498090667	0.513	0.788	3.24910513382437e-25	B	RPL5
9.91664060738302e-27	0.826160755283252	0.207	0.036	1.55290372064551e-24	B	ERLEC1
1.24634370803448e-26	-1.01144859591171	0.473	0.776	1.91106035231953e-24	B	H2AFZ
1.44475844553338e-26	-0.564054313865091	0.927	0.966	2.1700861549236e-24	B	MT-ND1
2.22727821618397e-26	-0.738529111162249	0.773	0.89	3.2785535342228e-24	B	RPL15
2.46396417974765e-26	-0.5684658128939	0.92	0.965	3.55583850253779e-24	B	RPL21
5.07209421695632e-25	-1.22620487840078	0.327	0.683	7.17896412246125e-23	B	HMGB1
8.61147123959746e-25	0.981625213093975	0.507	0.196	1.19585713817806e-22	B	SSR3
5.09816615552002e-24	-1.04134661918633	0.607	0.834	6.94861164900506e-22	B	ACTB
1.36343550551437e-23	-0.442658725771041	1	0.988	1.82452460374286e-21	B	MT-ATP6
2.1204033019487e-23	-1.47890683772522	0.147	0.555	2.78681576827544e-21	B	TUBB
1.01391689064534e-22	1.00714243800398	0.253	0.06	1.30619631885601e-20	B	MANF
1.02933949040283e-22	1.01031183414332	0.413	0.143	1.30619631885601e-20	B	MYDGF
2.12633326685911e-22	-0.420227356163028	1	0.994	2.6525106515395e-20	B	MT-CO2
3.04888426472654e-22	-0.819603594564648	0.593	0.793	3.73996469806456e-20	B	RPS13
3.31964451590037e-22	-1.474109711553	0.147	0.548	4.00534157984045e-20	B	HMGB2
4.99520875298546e-22	0.764004337966479	0.727	0.405	5.92979619709242e-20	B	SEC62
1.11666529310739e-21	-0.606117908754997	0.867	0.927	1.30454865988419e-19	B	RPL34
4.29423747931725e-21	0.600591376112861	0.12	0.016	4.93837310121484e-19	B	CRELD2
7.53781490130141e-21	0.760099228696963	0.767	0.491	8.53512579593514e-19	B	SUB1
1.61639602279794e-20	0.851073292701623	0.207	0.045	1.80252647390801e-18	B	LMAN1
1.75536727719712e-20	-0.701827506278268	0.707	0.848	1.92828405375684e-18	B	RPL32
2.19756609426162e-20	-0.889549572450292	0.48	0.738	2.37854212555376e-18	B	RPL26
5.43091110967301e-20	-0.729143928570217	0.653	0.808	5.79297185031788e-18	B	RPS17
6.07272366981206e-20	0.736847672018374	0.14	0.023	6.38503517283097e-18	B	ELL2
8.08112220499796e-20	0.823779904153241	0.26	0.068	8.37705062377253e-18	B	CFLAR
1.23677029297387e-19	-0.770471000430562	0.553	0.787	1.26425407726217e-17	B	RPL11
1.41732655194977e-19	0.488059679590611	0.107	0.014	1.42897581128086e-17	B	TXNDC11
2.09911465982487e-19	-0.703923274962244	0.62	0.802	2.08776809409608e-17	B	RPS20
2.25106556900226e-19	-0.906107878605929	0.467	0.704	2.20904567838088e-17	B	RPL27
2.97351417269065e-19	-0.68630874824675	0.687	0.829	2.87961372513199e-17	B	RPL19
3.18877159304966e-19	-1.02622177178812	0.32	0.64	3.04796869153837e-17	B	PPIA
4.90185883717228e-19	-0.792249654529916	0.567	0.766	4.62534372328051e-17	B	RPL37
5.87559152575425e-19	0.860279123254662	0.58	0.302	5.47396881386725e-17	B	SPCS1
7.39165807285745e-19	-0.74666709415936	0.633	0.788	6.80032542702886e-17	B	RPLP0
1.32438901237001e-18	-0.755129635922998	0.547	0.769	1.20339544827695e-16	B	RPS8
1.50299944722023e-18	-0.967815674252231	0.347	0.669	1.34903365018792e-16	B	CALM2
1.66754123822964e-18	-0.633671386543553	0.707	0.858	1.47868717028556e-16	B	RPL27A
2.43609422974955e-18	-0.507679534179732	0.92	0.954	2.13448256320913e-16	B	RPS14
2.67754963682096e-18	-0.680495675704337	0.707	0.83	2.31844297964733e-16	B	RPS26
2.81258835998912e-18	-0.747256712658995	0.527	0.775	2.40705236389767e-16	B	RPS12
6.20557914438004e-18	-1.51144279978641	0.973	0.983	5.24977729915369e-16	B	HBB
1.04734687191135e-17	-0.889819008063185	0.593	0.751	8.75962838325858e-16	B	S100A6
1.5331048668399e-17	0.702424625254332	0.653	0.328	1.26782604718445e-15	B	HLA-C
1.59505950989689e-17	-0.499440629466284	0.893	0.918	1.30440422142679e-15	B	RPLP1
2.63741896007068e-17	-0.54330146329044	0.873	0.903	2.13312126880442e-15	B	RPS19
3.14007151145196e-17	-0.749686815595258	0.467	0.716	2.51205720916157e-15	B	RPL9
3.95535557487217e-17	0.838041071472564	0.287	0.091	3.13025989581282e-15	B	SDF2L1
4.59245516171796e-17	-0.818300445043444	0.407	0.687	3.59579467981321e-15	B	RPS2
5.93939629711106e-17	-1.23877850286349	0.127	0.47	4.60146913123552e-15	B	HNRNPA1
7.37568051939723e-17	-0.885101765908723	0.32	0.631	5.65468839820455e-15	B	RPSA
1.05324722102188e-16	-0.87341634918416	0.38	0.658	7.99164901723818e-15	B	RPL12
