p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.16571874246523	0.9	0.03	0	Chondrocyte	LECT1
0	3.02382256839775	0.972	0.091	0	Chondrocyte	EPYC
0	2.88448661390853	0.924	0.071	0	Chondrocyte	HAPLN1
0	2.86753679868268	0.787	0.026	0	Chondrocyte	S100B
0	2.861274000449	0.725	0.014	0	Chondrocyte	MATN1
0	2.6447898755259	0.73	0.024	0	Chondrocyte	COL9A1
0	2.45288632327093	0.545	0.008	0	Chondrocyte	S100A1
1.06841680377545e-277	2.12854877256197	0.422	0.011	1.32817563919336e-274	Chondrocyte	UCMA
2.18708986272252e-263	2.4779347553058	0.924	0.118	2.41673429830839e-260	Chondrocyte	COL2A1
2.0418584265924e-247	1.68267951278124	0.284	0.003	2.03062820524615e-244	Chondrocyte	C2orf82
2.56123872146479e-146	1.50539588209056	0.218	0.005	2.31559264408794e-143	Chondrocyte	COL11A2
5.8745847022259e-144	1.70354899908594	0.417	0.033	4.86856207196972e-141	Chondrocyte	MIA
2.78918798074131e-109	1.20470021385465	0.152	0.003	2.1337288052671e-106	Chondrocyte	MATN3
2.44831412794325e-100	0.916956739226607	0.109	0.001	1.73917742874255e-97	Chondrocyte	TNFRSF11B
2.51111343231342e-95	1.53801445293872	0.242	0.016	1.6648682056238e-92	Chondrocyte	FABP7
1.81598982736528e-79	1.45386558049618	0.55	0.114	1.12875117707173e-76	Chondrocyte	C1QTNF3
1.85920465801823e-69	1.28357605934467	0.218	0.019	1.08763472494067e-66	Chondrocyte	COL9A2
1.32069587075736e-57	1.3156721850681	0.256	0.032	7.29684468593444e-55	Chondrocyte	COL9A3
3.8914896433332e-53	0.881842018829467	0.109	0.005	2.03688760541835e-50	Chondrocyte	SORBS2
1.80660359368097e-51	-0.607031743169095	0.976	1	8.98333636957862e-49	Chondrocyte	TMSB4X
1.38524386716106e-37	-0.580043796843031	0.981	0.998	5.74010427454865e-35	Chondrocyte	COL1A2
6.74832836490558e-35	-0.508282682859385	0.934	0.995	2.68448502355944e-32	Chondrocyte	TMSB10
5.37782480162138e-33	-0.616571184388628	0.777	0.946	2.05701798662018e-30	Chondrocyte	DCN
3.18372488002879e-32	-0.559565054623419	0.943	0.992	1.17267199747727e-29	Chondrocyte	COL1A1
1.45737352391259e-29	0.825221291016242	0.104	0.01	4.6753482888099e-27	Chondrocyte	APOD
3.25092031504461e-28	0.974670657928034	0.204	0.04	1.01032507915996e-25	Chondrocyte	ACAN
6.58408652542641e-27	0.702717747363685	0.796	0.534	1.98420425743532e-24	Chondrocyte	FOS
3.19692853002813e-26	1.00411991028041	0.284	0.078	9.35101595033229e-24	Chondrocyte	IDI1
3.47568765567188e-24	0.716590527400203	0.758	0.476	9.09624045675181e-22	Chondrocyte	COL11A1
1.05128547328246e-23	-0.455179694035568	0.948	0.981	2.68077795687027e-21	Chondrocyte	SPARC
3.36109658630014e-23	-0.515795030251488	0.891	0.97	8.35652638768871e-21	Chondrocyte	COL3A1
6.51406713142136e-23	0.529471351558134	0.943	0.705	1.58005847858501e-20	Chondrocyte	MGP
1.39664521158696e-22	-0.405276136302626	0.905	0.988	3.30705634029342e-20	Chondrocyte	LGALS1
5.14967448951082e-21	-0.436857795440121	0.938	0.979	1.13807806218189e-18	Chondrocyte	LUM
1.23774477447355e-20	0.874399228472064	0.227	0.063	2.67595038742163e-18	Chondrocyte	UGP2
1.37395276851717e-19	0.839086991682631	0.251	0.077	2.78856332304149e-17	Chondrocyte	C5orf15
4.60474078261562e-19	0.803632789709719	0.109	0.018	8.97924452610046e-17	Chondrocyte	PPP1R3B
2.01683205835223e-17	-0.663269201959183	0.493	0.719	3.85719131159863e-15	Chondrocyte	OGN
1.87472045705875e-16	-0.692654842490184	0.54	0.74	3.38983544462715e-14	Chondrocyte	SFRP2
