p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.70374793990974	0.83	0.109	0	Astrocyte	SLC1A3
0	2.27233221434108	0.866	0.158	0	Astrocyte	GLUL
0	1.64913404800206	0.646	0.084	0	Astrocyte	MT2A
0	1.49428767033866	0.646	0.045	0	Astrocyte	PON2
0	1.49214960268534	0.739	0.107	0	Astrocyte	NDRG2
0	1.19394454300392	0.554	0.044	0	Astrocyte	ACSS1
0	1.07896297715782	0.334	0.01	0	Astrocyte	VIM
2.18263194965861e-288	1.75056430754208	0.762	0.139	2.33732598909067e-285	Astrocyte	COL5A3
2.45198873217202e-279	1.35541778731768	0.686	0.107	2.3340208298353e-276	Astrocyte	TSC22D4
3.60048456586557e-278	1.63453564634236	0.896	0.217	3.08453512757703e-275	Astrocyte	PTGDS
1.07612031344831e-268	1.39159824704385	0.625	0.092	8.38102065937423e-266	Astrocyte	NHSL1
4.10151977709885e-264	0.664116671968539	0.304	0.016	2.92814332753382e-261	Astrocyte	PAPLN
1.12433060773072e-231	2.20636301863751	0.805	0.2	7.40933870494544e-229	Astrocyte	CST3
2.61477232667919e-223	0.956151425053532	0.4	0.04	1.60005389447576e-220	Astrocyte	SLC7A11
4.32618306896832e-212	0.68588157784204	0.258	0.015	2.4708273567901e-209	Astrocyte	MRVI1
5.35317310270289e-208	0.731998965498797	0.344	0.031	2.86628962317848e-205	Astrocyte	EZR
2.106169318722e-199	0.832868277774525	0.4	0.046	1.06138544432302e-196	Astrocyte	STON2
3.51880233957311e-195	0.593823034688749	0.241	0.014	1.67475442461794e-192	Astrocyte	RAB34
6.19267840078519e-195	1.41178510947393	0.663	0.146	2.79224609786983e-192	Astrocyte	ARHGAP24
3.24908037424123e-191	1.00955636272816	0.506	0.08	1.39174357830623e-188	Astrocyte	ACACB
1.23424083288729e-186	1.19145961116997	0.565	0.105	5.03511486445022e-184	Astrocyte	LRIG1
2.89735006332874e-180	0.79955065628036	0.435	0.06	1.12825445420624e-177	Astrocyte	CSRP1
2.53004009040439e-172	1.18504205145447	0.663	0.16	9.42384932804103e-170	Astrocyte	KANK1
1.02280439689476e-171	0.929866619471391	0.481	0.079	3.65098552841559e-169	Astrocyte	FOXO1
1.77297560919807e-171	1.61739513141229	0.927	0.407	6.07563281759994e-169	Astrocyte	ZBTB20
6.72661995602323e-171	0.960231306572646	0.58	0.118	2.21642127550965e-168	Astrocyte	DOCK1
9.85244827379505e-163	1.54932579450514	0.797	0.285	3.12614534672601e-160	Astrocyte	ZNRF3
1.199939669885e-162	0.755397429811225	0.311	0.033	3.67138683996599e-160	Astrocyte	CDC42EP4
3.27393032042361e-162	1.50783228148678	0.868	0.333	9.67164174312726e-160	Astrocyte	NEAT1
3.45106236880807e-158	1.448715648312	0.684	0.194	9.85508377119291e-156	Astrocyte	CABLES1
1.48288336814081e-156	0.779617935884238	0.456	0.076	4.09801994027818e-154	Astrocyte	PMP22
8.45688245096406e-154	0.762917384570825	0.405	0.061	2.26406599866903e-151	Astrocyte	ITPKB
3.2858122783702e-153	1.25837608348548	0.772	0.251	8.53016781478711e-151	Astrocyte	MAML2
9.46775877937678e-152	1.40803482334382	0.858	0.358	2.38559674890944e-149	Astrocyte	NFIA
7.97525878325269e-150	0.5622520930452	0.284	0.029	1.95211548560359e-147	Astrocyte	MLC1
3.48820172491792e-145	1.63014320826303	0.871	0.421	8.30095116038106e-143	Astrocyte	MSI2
1.20787165212825e-144	0.891276139593925	0.408	0.067	2.79671255237371e-142	Astrocyte	STK33
7.92733485410191e-143	0.911307525685243	0.433	0.077	1.78719678144977e-140	Astrocyte	EPHX1
