p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.45213082502523	0.98	0.293	0	Astrocyte	PITPNC1
0	2.19654842950673	0.986	0.338	0	Astrocyte	SORBS1
0	2.10756468170307	0.964	0.393	0	Astrocyte	AHCYL1
0	1.94267466239998	0.751	0.103	0	Astrocyte	CABLES1
0	1.91344158784229	0.995	0.712	0	Astrocyte	DTNA
0	1.87129569000532	0.948	0.492	0	Astrocyte	CLU
0	1.86956651991125	0.88	0.194	0	Astrocyte	APOE
0	1.80836634845661	0.657	0.075	0	Astrocyte	CD44
0	1.7174411973248	0.853	0.299	0	Astrocyte	LRIG1
0	1.69866302529597	0.77	0.04	0	Astrocyte	RGMA
0	1.68669043664291	0.777	0.086	0	Astrocyte	SPON1
0	1.68668959957057	0.76	0.042	0	Astrocyte	MGST1
0	1.59446976785995	0.822	0.228	0	Astrocyte	CAMK2G
0	1.57993170313761	0.897	0.243	0	Astrocyte	ABLIM1
0	1.57494835435056	0.835	0.267	0	Astrocyte	ACACB
0	1.55085662051413	0.789	0.11	0	Astrocyte	NHSL1
0	1.52852682650957	0.992	0.546	0	Astrocyte	RORA
0	1.51500523879175	0.543	0.02	0	Astrocyte	ALDH1A1
0	1.50804825834645	0.873	0.239	0	Astrocyte	MAP3K5
0	1.45402008060101	0.797	0.28	0	Astrocyte	SFXN5
0	1.44996906844917	0.972	0.672	0	Astrocyte	MSI2
0	1.44223180973384	0.906	0.285	0	Astrocyte	PLCB1
0	1.43696528106731	0.718	0.105	0	Astrocyte	ADGRA3
0	1.42240943140949	0.629	0.029	0	Astrocyte	MRVI1
0	1.42086091349303	0.941	0.465	0	Astrocyte	TNIK
0	1.40315952303911	0.796	0.232	0	Astrocyte	BCL6
0	1.387947053385	0.834	0.371	0	Astrocyte	PLEKHA5
0	1.37028171574031	0.901	0.445	0	Astrocyte	ITPKB
0	1.34963719660486	0.74	0.221	0	Astrocyte	ZNRF3
0	1.3436212650847	0.778	0.333	0	Astrocyte	LPIN1
0	1.33082888876559	0.783	0.323	0	Astrocyte	RNF19A
0	1.32057535151403	0.705	0.129	0	Astrocyte	SLC7A11
0	1.30650520655208	0.827	0.38	0	Astrocyte	ASPH
0	1.30255009272026	0.705	0.139	0	Astrocyte	SERPINE2
0	1.30057562520261	0.798	0.307	0	Astrocyte	DOCK7
0	1.28595594142493	0.734	0.141	0	Astrocyte	WLS
0	1.2685941226587	0.918	0.618	0	Astrocyte	TRPS1
0	1.25982874089522	0.772	0.217	0	Astrocyte	FARP1
0	1.25960387816278	0.653	0.148	0	Astrocyte	STON2
0	1.25246161686082	0.606	0.255	0	Astrocyte	EGLN3
0	1.24533297156166	0.945	0.646	0	Astrocyte	PDE4DIP
0	1.24092356232398	0.974	0.808	0	Astrocyte	MIR99AHG
0	1.24026307157609	0.649	0.162	0	Astrocyte	MARCH3
0	1.23567536199813	0.893	0.373	0	Astrocyte	KALRN
0	1.22326837938272	0.667	0.13	0	Astrocyte	PCSK5
0	1.22050429206737	0.73	0.267	0	Astrocyte	ABCA1
0	1.21612849270026	0.715	0.242	0	Astrocyte	CHPT1
0	1.20593346750668	0.961	0.664	0	Astrocyte	MAPK10
0	1.19683661511247	0.968	0.665	0	Astrocyte	NAV2
0	1.18206463993671	0.689	0.193	0	Astrocyte	OGFRL1
0	1.17820065123248	0.597	0.197	0	Astrocyte	MRAS
0	1.17017189256569	0.644	0.17	0	Astrocyte	OSBPL11
0	1.16637543905015	0.709	0.209	0	Astrocyte	ECHDC2
0	1.16299941159132	0.657	0.158	0	Astrocyte	BCAR3
0	1.14845233744201	0.762	0.2	0	Astrocyte	PDE7B
0	1.14200964699826	0.652	0.176	0	Astrocyte	ACSS1
0	1.11923268977165	0.709	0.169	0	Astrocyte	MCC
0	1.11375402719765	0.774	0.438	0	Astrocyte	SAMD4A
0	1.10957348829347	0.671	0.244	0	Astrocyte	GAN
0	1.10911783094791	0.987	0.907	0	Astrocyte	MACF1
0	1.10298738255063	0.752	0.285	0	Astrocyte	CST3
0	1.09768920917942	0.909	0.654	0	Astrocyte	FYN
0	1.07163095271716	0.798	0.33	0	Astrocyte	OPHN1
0	1.05900886931169	0.597	0.121	0	Astrocyte	RFX2
0	1.04758163529276	0.811	0.529	0	Astrocyte	CLEC16A
0	1.04473162371232	0.586	0.14	0	Astrocyte	DAPK1
0	1.03374797020863	0.861	0.505	0	Astrocyte	BCL2
0	1.03229746530094	0.77	0.196	0	Astrocyte	CSGALNACT1
0	1.03032750375414	0.561	0.102	0	Astrocyte	SNTA1
0	1.02753304667442	0.604	0.157	0	Astrocyte	KIAA1671
0	1.02426939170773	0.488	0.01	0	Astrocyte	PAPLN
0	1.02090611249603	0.572	0.134	0	Astrocyte	ANKDD1A
0	1.02061823543535	0.585	0.159	0	Astrocyte	ARHGEF10L
0	1.01681999216695	0.551	0.08	0	Astrocyte	COLEC12
0	1.00868699079562	0.528	0.113	0	Astrocyte	CDH23
0	1.00435958816348	0.798	0.379	0	Astrocyte	TCF7L2
0	0.996649593066376	0.501	0.049	0	Astrocyte	COL5A3
0	0.996569977481669	0.59	0.162	0	Astrocyte	PLEC
0	0.991404929868985	0.943	0.716	0	Astrocyte	PRKCA
0	0.99048898530292	0.626	0.186	0	Astrocyte	C1orf21
0	0.986719104345461	0.727	0.404	0	Astrocyte	GLUD1
0	0.985254987132089	0.539	0.078	0	Astrocyte	RBPMS
0	0.979017078802423	0.678	0.249	0	Astrocyte	STK33
0	0.975860793217655	0.782	0.508	0	Astrocyte	APC
0	0.972587830747229	0.494	0.151	0	Astrocyte	DDIT4
0	0.964030945046948	0.707	0.308	0	Astrocyte	PFKFB3
0	0.96048071156961	0.512	0.058	0	Astrocyte	PBXIP1
0	0.954436526067745	0.874	0.355	0	Astrocyte	ITPR2
0	0.953994904400083	0.567	0.171	0	Astrocyte	MFHAS1
0	0.953828899244707	0.655	0.214	0	Astrocyte	LINC00511
0	0.947763965557187	0.615	0.206	0	Astrocyte	MTSS1L
0	0.947631128713291	0.914	0.571	0	Astrocyte	SLC1A3
0	0.927360156651964	0.958	0.856	0	Astrocyte	MKLN1
0	0.924254982819022	0.725	0.413	0	Astrocyte	RHOBTB3
0	0.914052925392784	0.964	0.804	0	Astrocyte	NFIA
0	0.913834080638433	0.42	0.017	0	Astrocyte	PHYHD1
0	0.905780020173537	0.839	0.584	0	Astrocyte	ZHX3
0	0.903261779285847	0.685	0.338	0	Astrocyte	ABI1
0	0.90109843487761	0.336	0.021	0	Astrocyte	AEBP1
0	0.900034324192132	0.854	0.624	0	Astrocyte	REV3L
0	0.883627158169584	0.749	0.267	0	Astrocyte	ABR
0	0.881577124463937	0.666	0.302	0	Astrocyte	HIF1A
0	0.871464884593901	0.483	0.088	0	Astrocyte	SLC18B1
0	0.868736718241401	0.545	0.191	0	Astrocyte	CNN3
0	0.865943672076877	0.8	0.216	0	Astrocyte	UTRN
0	0.863879228087059	0.561	0.242	0	Astrocyte	ACADVL
0	0.862230199604454	0.489	0.139	0	Astrocyte	ITM2C
0	0.859496831490537	0.88	0.39	0	Astrocyte	ARHGAP26
0	0.857985453658107	0.496	0.143	0	Astrocyte	FADS2
0	0.856278007531066	0.534	0.176	0	Astrocyte	PALLD
0	0.855303473441701	0.704	0.432	0	Astrocyte	TPCN1
0	0.854087391534511	0.768	0.507	0	Astrocyte	BCKDHB
0	0.85371722792661	0.571	0.207	0	Astrocyte	GABBR1
0	0.844527822660514	0.372	0.077	0	Astrocyte	VEGFA
0	0.843702465296178	0.679	0.321	0	Astrocyte	MT2A
0	0.838489428418537	0.338	0.041	0	Astrocyte	ID2
0	0.83651962664966	0.672	0.367	0	Astrocyte	ST7
0	0.835187002671033	0.508	0.137	0	Astrocyte	ZNF516
0	0.824389463866879	0.612	0.141	0	Astrocyte	ZFP36L1
0	0.820993387826107	0.722	0.382	0	Astrocyte	MAST4
0	0.816781936771766	0.489	0.108	0	Astrocyte	CDC14A
0	0.81419861013243	0.435	0.064	0	Astrocyte	WFS1
0	0.802432613119395	0.371	0.042	0	Astrocyte	BAG3
0	0.801858299279173	0.614	0.211	0	Astrocyte	LRP1
0	0.799630975922686	0.765	0.426	0	Astrocyte	NDRG2
0	0.794043394572211	0.706	0.434	0	Astrocyte	REPS1
0	0.789329375689685	0.396	0.095	0	Astrocyte	PFKP
0	0.785342287436878	0.342	0.041	0	Astrocyte	GINS3
0	0.777463878820489	0.961	0.822	0	Astrocyte	TNRC6A
0	0.761555778712182	0.445	0.128	0	Astrocyte	NSMF
0	0.759067095485762	0.993	0.853	0	Astrocyte	NEAT1
0	0.758022547266602	0.374	0.037	0	Astrocyte	DHRS3
0	0.75285087312081	0.642	0.288	0	Astrocyte	PDLIM5
0	0.752702000126683	0.531	0.217	0	Astrocyte	DKK3
0	0.745341004252282	0.774	0.47	0	Astrocyte	SRGAP1
0	0.744865089752938	0.456	0.087	0	Astrocyte	NOTCH2
0	0.733026270379118	0.336	0.01	0	Astrocyte	LFNG
0	0.728137515057955	0.88	0.591	0	Astrocyte	MAML2
0	0.723676390801945	0.39	0.108	0	Astrocyte	SLC1A4
0	0.719274281320317	0.433	0.123	0	Astrocyte	PITPNM2
0	0.715540865658539	0.389	0.077	0	Astrocyte	SLC15A2
0	0.704868592654252	0.482	0.142	0	Astrocyte	RAMP1
0	0.691160441493687	0.334	0.014	0	Astrocyte	MLC1
0	0.673332649827022	0.476	0.165	0	Astrocyte	SLC3A2
0	0.662358333234143	0.31	0.074	0	Astrocyte	RHPN1
0	0.653560786965983	0.347	0.05	0	Astrocyte	EZR
0	0.645948307538268	0.384	0.095	0	Astrocyte	TGFBR3
0	0.640432364216697	0.547	0.16	0	Astrocyte	ARHGAP31
0	0.639703611719067	0.415	0.089	0	Astrocyte	AHNAK
0	0.628637001545871	0.347	0.074	0	Astrocyte	SDC2
0	0.626365098005358	0.336	0.043	0	Astrocyte	SH3BP2
0	0.622657639930484	0.443	0.14	0	Astrocyte	ARHGEF6
0	0.620001961004921	0.421	0.087	0	Astrocyte	MERTK
0	0.615968132893527	0.494	0.162	0	Astrocyte	PLXNA2
0	0.610294031834805	0.449	0.138	0	Astrocyte	ADGRG1
0	0.596818522603367	0.332	0.078	0	Astrocyte	CDC42EP4
0	0.552510358263165	0.481	0.103	0	Astrocyte	IGFBP7
0	0.550814414968047	0.857	0.348	0	Astrocyte	CELF2
0	0.537067901008247	0.392	0.087	0	Astrocyte	BNC2
0	0.499716403533489	0.814	0.364	0	Astrocyte	KCNMA1
0	0.491515526674166	0.268	0.052	0	Astrocyte	AMOT
0	0.476108370041259	0.367	0.089	0	Astrocyte	RREB1
0	0.461894639727855	0.255	0.042	0	Astrocyte	FAM198B
0	0.446247240050725	0.223	0.031	0	Astrocyte	PLCD1
0	0.427581465577577	0.224	0.028	0	Astrocyte	PLTP
0	0.332406291290018	0.17	0.017	0	Astrocyte	RAB34
0	-0.758853087610368	0.488	0.844	0	Astrocyte	RNF130
0	-0.822397037682567	0.081	0.533	0	Astrocyte	EPB41L3
0	-0.82472796791273	0.541	0.875	0	Astrocyte	APP
0	-0.854393211371201	0.766	0.939	0	Astrocyte	TCF12
0	-0.873048945478244	0.579	0.885	0	Astrocyte	PICALM
0	-0.878833048131972	0.247	0.714	0	Astrocyte	STK39
0	-0.90252866440713	0.319	0.731	0	Astrocyte	SH3D19
0	-0.913401525157409	0.275	0.731	0	Astrocyte	PTMA
0	-0.914948122177565	0.753	0.926	0	Astrocyte	CLASP2
0	-0.922202908544953	0.277	0.748	0	Astrocyte	MYO5A
0	-0.922929960992176	0.377	0.746	0	Astrocyte	TANC2
0	-0.928567676284867	0.353	0.798	0	Astrocyte	TULP4
0	-0.934136614737983	0.471	0.847	0	Astrocyte	SSH2
0	-0.936674583326667	0.161	0.6	0	Astrocyte	TBC1D12
0	-0.960293596298674	0.138	0.604	0	Astrocyte	RCAN2
0	-0.971931281573344	0.332	0.726	0	Astrocyte	ADIPOR2
0	-0.973399193023271	0.119	0.602	0	Astrocyte	GAS7
0	-0.974399476219305	0.188	0.665	0	Astrocyte	LIPA
0	-0.992051322544432	0.042	0.531	0	Astrocyte	CDK6
0	-0.996218642051029	0.26	0.723	0	Astrocyte	SLC22A23
0	-1.00584230068121	0.186	0.712	0	Astrocyte	CTTNBP2
0	-1.02281779721997	0.291	0.728	0	Astrocyte	HIP1
0	-1.03282165959288	0.04	0.574	0	Astrocyte	GRB10
0	-1.03827327138433	0.034	0.486	0	Astrocyte	PPFIBP1
0	-1.03873210214269	0.054	0.549	0	Astrocyte	PLLP
0	-1.04891487471823	0.072	0.521	0	Astrocyte	PPP1R14A
0	-1.05506375905298	0.036	0.565	0	Astrocyte	REPS2
0	-1.05821926851628	0.116	0.677	0	Astrocyte	BIN1
0	-1.06086728404734	0.198	0.717	0	Astrocyte	NCOA7
0	-1.06118135409734	0.126	0.665	0	Astrocyte	KIF5C
0	-1.07096350767745	0.183	0.692	0	Astrocyte	RYBP
0	-1.07428647600942	0.592	0.909	0	Astrocyte	RTN4
0	-1.0814266659724	0.508	0.779	0	Astrocyte	GAB1
0	-1.08828516959178	0.343	0.749	0	Astrocyte	CDK19
0	-1.08843339802226	0.049	0.602	0	Astrocyte	SH3KBP1
