p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.24566161133548e-80	3.09503967982287	0.833	0.01	1.1588389970254e-76	Endothelial	SLC7A1
7.06101623657729e-71	1.77008956073255	0.5	0.004	3.28443170244393e-67	Endothelial	SLC7A5
1.48552593946073e-68	2.85380744416811	0.5	0.004	4.60661593826773e-65	Endothelial	SLC38A5
2.17898275714362e-62	1.77433346050151	0.5	0.005	5.06776914742678e-59	Endothelial	SLC30A1
9.11711232707063e-56	2.25082075994713	0.5	0.005	1.69632991957476e-52	Endothelial	S1PR1
4.90083482753212e-48	1.67708875203437	0.333	0.003	7.59874440008855e-45	Endothelial	SLC2A6
4.84075533286315e-46	2.23617540353348	0.667	0.012	6.43336383737512e-43	Endothelial	MYO1B
7.27397800344701e-45	1.56147247062347	0.333	0.003	8.45872717075844e-42	Endothelial	DGAT1
1.93868643937919e-35	2.73504809930487	0.667	0.016	1.82321566207932e-32	Endothelial	APCDD1
1.95981475016588e-35	1.4150435764266	0.333	0.004	1.82321566207932e-32	Endothelial	LINC00963
2.23755166063703e-33	3.8191422770951	0.833	0.028	1.89235846353693e-30	Endothelial	ITM2A
2.1216004444069e-32	1.64741996557846	0.333	0.004	1.64477074452645e-29	Endothelial	PFAS
3.00650140590202e-32	1.42367876011653	0.333	0.004	2.15149865993127e-29	Endothelial	SPOCK2
3.41211528334833e-32	1.37256919068504	0.333	0.004	2.18417990464384e-29	Endothelial	CAV1
3.52173477046734e-32	1.42057695540113	0.333	0.004	2.18417990464384e-29	Endothelial	PLXND1
5.82053614140457e-31	2.01922713168207	0.5	0.01	3.38427798271792e-28	Endothelial	PODXL
3.9751596484874e-30	1.77923776216388	0.5	0.01	2.1753476594046e-27	Endothelial	DUSP6
6.27918885562178e-29	1.78000130885441	0.5	0.011	3.24529410688052e-26	Endothelial	RPS6KA2
2.32201028880286e-26	1.76921687586475	0.333	0.005	1.13692956403858e-23	Endothelial	TFPI
4.96973422839186e-26	2.73653742411959	0.667	0.023	2.31167187633648e-23	Endothelial	SLC2A1
2.27372204565789e-22	2.25059087316017	0.5	0.015	1.00725886622644e-19	Endothelial	CD320
3.52825127592687e-22	1.51268760872469	0.333	0.006	1.49196916454308e-19	Endothelial	CD82
9.71152870285236e-21	1.34033855223939	0.333	0.007	3.92810224011459e-18	Endothelial	NMNAT1
1.29070530270537e-20	2.58180954141295	0.667	0.029	5.00309642961168e-18	Endothelial	PON2
1.83093823469873e-20	1.9123129143105	0.5	0.016	6.81328735896093e-18	Endothelial	SGPL1
2.02065542923777e-19	1.70060035267975	0.5	0.017	7.23006056084574e-17	Endothelial	SEMA6A
2.58245689125184e-19	1.60956478259786	0.333	0.008	8.89799868863551e-17	Endothelial	F11R
3.28332576515006e-19	1.63318466961058	0.333	0.008	1.09088498547111e-16	Endothelial	JUP
7.47024234137291e-19	2.63125972677505	0.667	0.032	2.39640222419973e-16	Endothelial	RAMP2
9.23598480320615e-19	1.82352748487913	0.667	0.03	2.86407888747423e-16	Endothelial	SERINC3
3.43740667115097e-18	1.4792268307761	0.333	0.008	1.03155465360379e-15	Endothelial	PHF2
4.4326149967983e-18	1.86620905976188	0.5	0.018	1.28864429110046e-15	Endothelial	TFRC
5.79233556203124e-18	2.33701060537577	0.5	0.019	1.63291205253263e-15	Endothelial	PLK2
1.09725916053751e-17	1.32912710888469	0.333	0.008	3.00229469720013e-15	Endothelial	MED15
1.26217119263092e-17	2.09123196154462	0.5	0.019	3.35485103001298e-15	Endothelial	JAG1
3.08525434432148e-17	1.73348593511551	0.5	0.019	7.97281143478409e-15	Endothelial	LAMC1
1.81386860995245e-16	2.69162995762083	0.5	0.021	4.56065396713179e-14	Endothelial	A2M
1.95122504240784e-16	1.94926664446161	0.5	0.02	4.77690699197898e-14	Endothelial	C1orf54
2.89815311497854e-16	1.68383112665594	0.333	0.009	6.84896041690762e-14	Endothelial	SLC2A3
2.94483947840809e-16	1.25356913053166	0.167	0.002	6.84896041690762e-14	Endothelial	EHD4
3.42831723732486e-16	1.01584673723279	0.167	0.002	7.77893542898371e-14	Endothelial	PLEKHO2
4.67136923253926e-16	1.31196648826097	0.333	0.009	1.03470828500744e-13	Endothelial	TNRC18
1.00343759863809e-15	1.91183342087862	0.333	0.01	2.17092557677445e-13	Endothelial	LEF1
1.5757973137605e-15	1.85085790990047	0.5	0.022	3.33173691134408e-13	Endothelial	F2R
1.89346411052546e-15	1.45069045043468	0.333	0.01	3.91442147115962e-13	Endothelial	GMFG
2.04935291218493e-15	2.83536111243021	0.833	0.065	4.14459350914269e-13	Endothelial	IGFBP7
2.34506868216569e-15	1.98941836134101	0.333	0.01	4.64173913833775e-13	Endothelial	SMG9
2.5396816143649e-15	2.18446617830138	0.667	0.039	4.92222042884098e-13	Endothelial	COL4A1
3.41434754727056e-15	1.47494241151246	0.333	0.01	6.48238270046082e-13	Endothelial	NEK4
5.92493507028048e-15	1.08324180964638	0.167	0.002	1.10239341917639e-12	Endothelial	ENOX2
1.25172193920736e-14	1.49780959792094	0.333	0.01	2.28328807851884e-12	Endothelial	CD2AP
3.74477905255569e-14	1.29317856920074	0.333	0.01	6.69955375498569e-12	Endothelial	GPSM1
5.24406196901294e-14	1.63850054884416	0.5	0.023	9.2048129240995e-12	Endothelial	CXCR4
7.3435367267616e-14	1.00753733259865	0.167	0.003	1.26512818831598e-11	Endothelial	BRPF1
8.17182417271062e-14	1.56220958561605	0.333	0.011	1.38222691415867e-11	Endothelial	TGIF1
1.3487835605485e-13	1.57608365313133	0.333	0.011	2.24066668996119e-11	Endothelial	EDEM3
2.02664327209238e-13	1.28884048705828	0.333	0.011	3.3076951509255e-11	Endothelial	ABHD17C
4.89713807174234e-13	1.24862299523715	0.167	0.003	7.85484060024465e-11	Endothelial	ENTPD1
5.26174100079479e-13	1.26361926974356	0.167	0.003	8.21881722183577e-11	Endothelial	FMNL3
5.38909868356425e-13	1.08088121883222	0.167	0.003	8.21881722183577e-11	Endothelial	P2RX4
5.38909868356425e-13	1.08050431272821	0.167	0.003	8.21881722183577e-11	Endothelial	HMGN3-AS1
5.65296010534164e-13	1.01228647852921	0.167	0.003	8.48217546128924e-11	Endothelial	B3GNTL1
5.78960634335497e-13	1.2382729212478	0.167	0.003	8.54931870035417e-11	Endothelial	PVR
6.07269838381546e-13	0.81745775362809	0.167	0.003	8.82723641634926e-11	Endothelial	CTNS
1.34638386408838e-12	1.43834652788562	0.333	0.012	1.9269860134791e-10	Endothelial	TMEM246
1.62586487946649e-12	1.28667904291271	0.333	0.012	2.29173045055708e-10	Endothelial	KLHL5
2.05034890016141e-12	1.49510629952269	0.333	0.012	2.84692474898531e-10	Endothelial	WDFY1
2.4117467782661e-12	1.42847891614072	0.333	0.012	3.29948239385435e-10	Endothelial	ITGAV
3.17713224813339e-12	1.26168760427957	0.167	0.003	4.28360308759201e-10	Endothelial	DEPDC5
3.27721315477237e-12	1.53872563889736	0.333	0.012	4.35311434395139e-10	Endothelial	VASH1
3.32227365818068e-12	1.29791265347989	0.167	0.003	4.35311434395139e-10	Endothelial	MAPK4
3.47391078265061e-12	1.25927486005375	0.167	0.003	4.48858222374981e-10	Endothelial	PPTC7
3.55225308420139e-12	1.07130272716512	0.167	0.003	4.52693293730487e-10	Endothelial	ICA1
3.71417148022891e-12	1.00656135858505	0.167	0.003	4.66931584872561e-10	Endothelial	PARVB
1.56782122504903e-11	1.26707716304879	0.167	0.003	1.94472544755081e-09	Endothelial	CCDC57
1.95617616151656e-11	1.60111228757983	0.333	0.014	2.38398411039798e-09	Endothelial	JAK1
1.97319979039712e-11	0.80239820170854	0.167	0.003	2.38398411039798e-09	Endothelial	QPCT
2.66351181755778e-11	1.56985405103288	0.5	0.029	3.17675005624873e-09	Endothelial	SPCS3
5.44956981912322e-11	1.55188272508336	0.333	0.014	6.41738582624093e-09	Endothelial	NGRN
6.55143697557642e-11	1.25885978350763	0.167	0.004	7.52444668935647e-09	Endothelial	DNAJC14
6.55143697557642e-11	1.25609446244799	0.167	0.004	7.52444668935647e-09	Endothelial	RABL6
6.95049791926194e-11	1.2534016410658	0.167	0.004	7.88542465157242e-09	Endothelial	TNK2
7.22964433400326e-11	1.00313062519856	0.167	0.004	8.10329894448582e-09	Endothelial	ABCG1
7.51974487411163e-11	0.998373746065617	0.167	0.004	8.32811744807863e-09	Endothelial	SUMF1
8.29571101885812e-11	0.798797084927721	0.167	0.004	9.07941171863966e-09	Endothelial	C9orf40
9.29530924884866e-11	1.5878635385023	0.5	0.031	1.00551467374464e-08	Endothelial	SPTBN1
2.29598242414565e-10	1.25445522902376	0.167	0.004	2.45511775768126e-08	Endothelial	KITLG
2.33915672938695e-10	1.29147872018925	0.167	0.004	2.47286080153259e-08	Endothelial	IQGAP2
2.76514963944938e-10	0.99644272952125	0.167	0.004	2.89035810065141e-08	Endothelial	TSPAN12
2.84572107568331e-10	1.53838037129291	0.333	0.015	2.94152701856465e-08	Endothelial	SDC3
4.14299989901043e-10	1.45165448596447	0.333	0.015	4.23542066598835e-08	Endothelial	GABPA
6.66920267342986e-10	1.70025586054432	0.5	0.035	6.74386874683891e-08	Endothelial	ARHGEF2
7.31500166936162e-10	1.2507417265186	0.167	0.004	7.31736134731948e-08	Endothelial	ZNF282
7.71237083523656e-10	1.06462052217415	0.167	0.004	7.63278573193678e-08	Endothelial	NPC1
7.80915851010086e-10	1.55078230675823	0.5	0.034	7.64722122310192e-08	Endothelial	GNG11
8.27509246411792e-10	0.804595478082919	0.167	0.004	8.01908179100927e-08	Endothelial	TTYH2
9.97597424911304e-10	1.40540174571965	0.333	0.016	9.56767922056687e-08	Endothelial	STK24
1.41193770787009e-09	1.64639518855564	0.333	0.016	1.3403322955424e-07	Endothelial	TSR1
1.79095885256582e-09	1.91513635551158	0.667	0.065	1.68295860660806e-07	Endothelial	HES1
2.00966999844912e-09	1.28218557452133	0.167	0.004	1.86959599955722e-07	Endothelial	NKAIN2
2.0436452186148e-09	1.24829217417722	0.167	0.004	1.88237935334391e-07	Endothelial	PLEKHM2
2.25956053805943e-09	0.995357847754123	0.167	0.004	2.06085212603597e-07	Endothelial	IMPDH1
2.41755650056808e-09	1.26308414517567	0.333	0.016	2.18354641988202e-07	Endothelial	CASD1
3.34265175860544e-09	1.55206524868831	0.333	0.017	2.99006627983715e-07	Endothelial	STK16
3.83616616709756e-09	1.97774428375519	0.333	0.017	3.39884322404843e-07	Endothelial	SGK1
3.95972391727501e-09	1.51832332851763	0.5	0.037	3.475218075699e-07	Endothelial	SLC39A10
4.01760334339098e-09	1.40557978252737	0.333	0.017	3.49306204706227e-07	Endothelial	PIK3C2A
4.86236862856222e-09	1.25000560042619	0.167	0.004	4.1883903103254e-07	Endothelial	ANKRD40
5.15079802575827e-09	1.53179704928837	0.5	0.038	4.39613523244305e-07	Endothelial	CYB5R3
5.2666050714305e-09	1.23953232345428	0.167	0.004	4.45411154359254e-07	Endothelial	ZNF69
5.48080134241926e-09	1.04461083938854	0.167	0.004	4.58891022787029e-07	Endothelial	GPR155
5.52464737742096e-09	1.0549309525247	0.167	0.004	4.58891022787029e-07	Endothelial	RHOBTB2
5.60870739463088e-09	1.63945327866936	0.333	0.018	4.61750485772134e-07	Endothelial	APOLD1
7.13932633236512e-09	1.53091731726202	0.333	0.018	5.82606604122743e-07	Endothelial	RHOC
8.89362838631135e-09	1.52856560874695	0.333	0.018	7.19455868503083e-07	Endothelial	BAIAP2
9.56279190230052e-09	1.55790530186031	0.333	0.018	7.66919422992257e-07	Endothelial	NFE2L2
1.05399241065515e-08	1.79248169526837	0.167	0.005	8.38059093702983e-07	Endothelial	SMTN
1.1034465121137e-08	1.28923802730224	0.167	0.005	8.62635537999472e-07	Endothelial	CDH6
1.1034465121137e-08	1.25096857353596	0.167	0.005	8.62635537999472e-07	Endothelial	DZANK1
1.13766103031709e-08	1.24690891463323	0.167	0.005	8.81971713753326e-07	Endothelial	SLC39A13
1.15515252828531e-08	1.22158927954407	0.167	0.005	8.88130906664319e-07	Endothelial	TRIM4
1.28512417593954e-08	0.99448050497763	0.167	0.005	9.71992699899639e-07	Endothelial	MCOLN1
1.28512417593954e-08	0.987632091020394	0.167	0.005	9.71992699899639e-07	Endothelial	IRAK4
1.30089808137464e-08	1.24843250701863	0.333	0.018	9.75988294437761e-07	Endothelial	HSD17B11
1.39653501961764e-08	2.17518945745034	0.667	0.077	1.03935722300023e-06	Endothelial	FN1
1.42925903899623e-08	0.786434996089561	0.167	0.005	1.05526959045888e-06	Endothelial	PLPP6
1.75998897073752e-08	1.51148236044825	0.333	0.019	1.28922656651741e-06	Endothelial	SLC16A1
1.80244903584441e-08	1.75360603473603	0.5	0.041	1.31001432659848e-06	Endothelial	CD81
1.83128232038126e-08	1.88044381524306	0.333	0.019	1.32065266872146e-06	Endothelial	DLL1
2.15946892116921e-08	1.80393124381102	0.333	0.019	1.54534918258748e-06	Endothelial	PBX3
2.24877483296395e-08	2.2377934852276	0.5	0.045	1.59697345580638e-06	Endothelial	SLC3A2
2.28290611713748e-08	1.47653380807758	0.333	0.019	1.60892997028258e-06	Endothelial	CERS5
2.38578754247333e-08	1.27696427603659	0.167	0.005	1.6687956020774e-06	Endothelial	WWC2
2.52926575000698e-08	1.239992695619	0.167	0.005	1.75570283248578e-06	Endothelial	FZR1
2.54777902166591e-08	1.24122633771768	0.167	0.005	1.75570283248578e-06	Endothelial	ELMSAN1
2.70069365632069e-08	1.23162087600603	0.167	0.005	1.84739360917289e-06	Endothelial	ZNF440
2.74029234282252e-08	1.21007520531859	0.167	0.005	1.86079851571372e-06	Endothelial	TIAM1
2.82118691327411e-08	0.98725898076389	0.167	0.005	1.90184796044848e-06	Endothelial	HDAC4
