p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.71344722887871	0.964	0.328	0	Basal	KRT14
0	2.61484299193159	0.902	0.535	0	Basal	S100A2
0	2.24977386106786	0.992	0.834	0	Basal	MT2A
0	2.01326208970448	0.924	0.869	0	Basal	TIMP1
0	1.9107523612768	0.973	0.687	0	Basal	KRT17
0	1.84159852290834	0.679	0.104	0	Basal	TAGLN
0	1.73418994558666	0.635	0.11	0	Basal	APOD
0	1.70670607068234	0.906	0.164	0	Basal	TPM2
0	1.65030355458181	0.81	0.413	0	Basal	CTSC
0	1.63868795787019	0.792	0.077	0	Basal	MYLK
0	1.59008140358463	0.966	0.811	0	Basal	LGALS1
0	1.51770024696684	0.923	0.716	0	Basal	NPC2
0	1.49742016534081	0.852	0.26	0	Basal	KRT5
0	1.396584053976	0.785	0.449	0	Basal	MT1E
0	1.38827674188994	0.891	0.493	0	Basal	MT1X
0	1.38267834644461	0.934	0.379	0	Basal	CALD1
0	1.28755146508699	0.545	0.048	0	Basal	ACTG2
0	1.27821814076716	0.809	0.218	0	Basal	MYL9
0	1.21907108583019	0.76	0.311	0	Basal	RBP1
0	1.19563484527562	0.546	0.149	0	Basal	ID1
0	1.18405629754191	0.911	0.527	0	Basal	KRT6B
0	1.09103131057583	0.613	0.096	0	Basal	APOE
0	1.05342866047106	0.738	0.467	0	Basal	TINAGL1
0	1.03957007973139	0.365	0.019	0	Basal	LGALS7B
0	1.0203280091216	0.413	0.153	0	Basal	G0S2
0	0.97108383654436	0.362	0.063	0	Basal	ACTA2
0	0.94234934906066	0.924	0.556	0	Basal	PDLIM4
0	0.931097967938602	0.927	0.648	0	Basal	VIM
0	0.926481576625321	0.411	0.055	0	Basal	CALML3
0	0.913865122618442	0.986	0.841	0	Basal	SFN
0	0.911796028802214	0.955	0.789	0	Basal	NUPR1
0	0.904672535118929	0.845	0.692	0	Basal	FXYD3
0	0.895528663400577	0.852	0.362	0	Basal	NNMT
0	0.893285355333024	0.886	0.645	0	Basal	LY6E
0	0.886031728977887	0.549	0.039	0	Basal	SPARCL1
0	0.843189722565998	0.579	0.111	0	Basal	PTN
0	0.84013170424456	0.362	0.119	0	Basal	KRT6A
0	0.827659265548355	0.635	0.216	0	Basal	MIA
0	0.818606593594272	0.742	0.264	0	Basal	CAV1
0	0.810534068155717	0.725	0.487	0	Basal	DST
0	0.796344168953776	0.85	0.408	0	Basal	FBXO2
0	0.778501772692792	0.953	0.831	0	Basal	IFITM3
0	0.778110594826311	0.689	0.317	0	Basal	PRKCDBP
0	0.766760668437476	0.466	0.043	0	Basal	IGFBP6
0	0.766284808051344	0.682	0.453	0	Basal	KRT15
0	0.756765814192827	0.59	0.18	0	Basal	IGFBP4
0	0.753056531387845	0.588	0.048	0	Basal	SPARC
0	0.745828624389812	0.677	0.087	0	Basal	GYPC
0	0.745466731271198	0.95	0.669	0	Basal	SAA1
0	0.731614390642886	0.557	0.032	0	Basal	C2orf40
0	0.727021041118756	0.325	0.012	0	Basal	LGALS7
0	0.726087955933444	0.999	0.994	0	Basal	GAPDH
0	0.713630831609532	0.925	0.784	0	Basal	PLP2
0	0.700751565398272	0.577	0.204	0	Basal	FABP5
0	0.69649906840223	0.991	0.936	0	Basal	GSTP1
0	0.692737169883364	0.622	0.118	0	Basal	BHLHE41
