p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.70236467389807	0.922	0.051	0	Artery	CLDN5
0	2.46076232307889	0.947	0.176	0	Artery	LMO2
0	2.33146803345844	0.972	0.132	0	Artery	IFI27
0	2.28094265715497	0.573	0.028	0	Artery	STC1
0	2.25427767274937	0.67	0.077	0	Artery	IGFBP3
0	2.18854578791658	0.385	0.012	0	Artery	FCN3
0	2.06223375974944	0.909	0.059	0	Artery	CLEC14A
0	2.03054516617604	0.898	0.065	0	Artery	FLT1
0	2.02917665963551	0.875	0.048	0	Artery	SOX18
0	1.84817270445214	0.842	0.023	0	Artery	SEMA3G
0	1.81823952082507	0.875	0.163	0	Artery	PIK3R3
0	1.81137360802569	0.917	0.056	0	Artery	PODXL
0	1.79097834191791	0.806	0.063	0	Artery	PALMD
0	1.78798576933276	0.706	0.097	0	Artery	HEY1
0	1.75763316202908	0.831	0.073	0	Artery	ALPL
0	1.75152068942636	0.895	0.061	0	Artery	PTPRB
0	1.74436499172247	0.72	0.092	0	Artery	GJA4
0	1.7027683485228	0.909	0.068	0	Artery	MMRN2
0	1.67293189073547	0.9	0.049	0	Artery	ADGRL4
0	1.55426794217941	0.87	0.067	0	Artery	MPZL2
0	1.53283822665806	0.831	0.084	0	Artery	S1PR1
0	1.52279513820875	0.861	0.125	0	Artery	EGFL7
0	1.4792960221425	0.734	0.045	0	Artery	ADGRF5
0	1.45638372161179	0.92	0.15	0	Artery	RNASE1
0	1.45634360866958	0.726	0.032	0	Artery	ABCG2
0	1.42122638033493	0.623	0.071	0	Artery	FBLN2
0	1.4151195298997	0.798	0.049	0	Artery	CYYR1
0	1.41508084256866	0.745	0.062	0	Artery	SIX3
0	1.36088520115513	0.85	0.136	0	Artery	ESAM
0	1.35058631621449	0.59	0.037	0	Artery	F8
0	1.33795147016437	0.756	0.081	0	Artery	CD93
0	1.32296404664155	0.731	0.04	0	Artery	ARL15
0	1.31871005643808	0.762	0.043	0	Artery	NOTCH4
0	1.31303531856317	0.831	0.101	0	Artery	RAMP3
0	1.30318577977586	0.604	0.007	0	Artery	SOX17
0	1.25981356853908	0.634	0.007	0	Artery	GJA5
0	1.25883640165129	0.512	0.021	0	Artery	BTNL9
0	1.24916755011066	0.659	0.027	0	Artery	CD34
0	1.24615345921847	0.654	0.014	0	Artery	VEGFC
0	1.24096895480729	0.654	0.013	0	Artery	DLL4
0	1.22533165232915	0.767	0.047	0	Artery	ECSCR
0	1.2008965141029	0.742	0.05	0	Artery	PCAT19
0	1.19847897196817	0.64	0.011	0	Artery	MECOM
0	1.19352988980181	0.706	0.038	0	Artery	CDH5
0	1.17913709838342	0.662	0.076	0	Artery	GRB10
0	1.17490928886953	0.651	0.065	0	Artery	SLCO2A1
0	1.15478321412681	0.684	0.076	0	Artery	RAPGEF5
0	1.14498307591166	0.742	0.048	0	Artery	TEK
0	1.14162516560115	0.698	0.067	0	Artery	CALCRL
0	1.11395141126723	0.64	0.015	0	Artery	JAG2
0	1.083590884878	0.598	0.025	0	Artery	NOS3
0	1.07880007207217	0.593	0.054	0	Artery	SHROOM4
0	1.07497257189792	0.546	0.007	0	Artery	ELOVL7
0	1.05444747489203	0.695	0.041	0	Artery	MYCT1
0	1.03937020477929	0.906	0.08	0	Artery	VWF
0	1.03506617867288	0.648	0.057	0	Artery	GIMAP8
0	0.8939291708359	0.521	0.034	0	Artery	SEMA3F
0	0.892885280551041	0.596	0.047	0	Artery	PLLP
0	0.889084962969581	0.598	0.037	0	Artery	TIE1
0	0.837103919724146	0.557	0.04	0	Artery	PIK3C2B
0	0.746932001219941	0.518	0.026	0	Artery	NOVA2
0	0.700227694525128	0.46	0.026	0	Artery	NPR1
0	0.643212491642824	0.471	0.026	0	Artery	CDA
0	0.631584594199074	0.438	0.028	0	Artery	ANXA3
0	0.61445891184209	0.457	0.026	0	Artery	HSPA12B
0	0.602927769780979	0.346	0.002	0	Artery	BMX
0	0.571093977823913	0.407	0.022	0	Artery	EPHA4
0	0.552356528475795	0.424	0.022	0	Artery	CCM2L
0	0.516106205187068	0.332	0.006	0	Artery	CLDN10
0	0.509545331207821	0.316	0.01	0	Artery	FLT4
0	0.356235926186112	0.283	0.005	0	Artery	IRF6
4.37546623760492e-304	1.03268348721469	0.59	0.062	1.14613240267783e-301	Artery	MALL
5.03791881212921e-299	0.716689692045681	0.499	0.041	1.30182545304777e-296	Artery	ST6GALNAC3
4.61282478526394e-298	0.954854844714873	0.571	0.056	1.1760858072509e-295	Artery	PREX2
1.76557098877581e-297	1.39990367082644	0.593	0.061	4.44226953254882e-295	Artery	KDR
9.11127250818168e-297	0.417738503262771	0.288	0.01	2.26267211560325e-294	Artery	SSTR1
8.6453639319145e-296	1.14415071617682	0.701	0.096	2.11944421930858e-293	Artery	ACVRL1
5.83282752838815e-295	1.59748782088537	0.884	0.19	1.41183959490934e-292	Artery	HEG1
1.59217261397922e-293	0.351886054421857	0.238	0.005	3.80569059056384e-291	Artery	TMC7
2.03661647132258e-290	1.29767559142857	0.809	0.144	4.80792347711486e-288	Artery	LDB2
1.15530626588761e-284	1.28910015011837	0.734	0.116	2.66165860437383e-282	Artery	CTTNBP2NL
2.47070616244638e-282	0.764987822345345	0.54	0.051	5.62438609979759e-280	Artery	ADCY4
1.33944643546543e-281	1.50410966145882	0.837	0.167	3.01328173399646e-279	Artery	ICAM2
1.056907161492e-280	0.783067632435504	0.607	0.07	2.3500207839593e-278	Artery	RASIP1
3.88208242067315e-277	1.3162361530377	0.737	0.112	8.43558864183091e-275	Artery	CAVIN2
2.91831612005591e-273	1.01956593187833	0.615	0.078	6.2701169491808e-271	Artery	CCDC3
3.07771555529722e-273	0.831795123537194	0.579	0.063	6.53911964982149e-271	Artery	ERG
5.11454476964667e-273	1.26861335567771	0.393	0.026	1.07472884708993e-270	Artery	EDN1
5.04650042222164e-272	1.61494597003871	0.809	0.154	1.04890414210568e-269	Artery	HYAL2
1.67887989116001e-266	0.653160994575046	0.476	0.041	3.45199368588836e-264	Artery	SHANK3
5.94836938059199e-266	0.703719825534072	0.512	0.05	1.21005020527319e-263	Artery	SHE
4.82326666929603e-262	0.402223474449374	0.324	0.017	9.70847423687144e-260	Artery	PKN3
6.3688431353579e-261	0.814968986052232	0.368	0.023	1.2685939420241e-258	Artery	CYP26B1
2.434161655298e-258	1.14061394449338	0.687	0.104	4.79856073944417e-256	Artery	TMEM88
2.01494798292416e-256	1.64042731721544	0.942	0.236	3.93161584994651e-254	Artery	PRSS23
4.73860956518006e-256	0.603520278485809	0.521	0.052	9.15269617225991e-254	Artery	GIMAP6
2.52399819309548e-255	2.24791625537313	0.909	0.278	4.82638934483717e-253	Artery	SLC9A3R2
1.98884788999377e-254	1.35058014856133	0.781	0.156	3.76542072796641e-252	Artery	MAST4
7.93656709354374e-254	1.1032573485319	0.596	0.078	1.48787290159552e-251	Artery	SMAD6
3.5421958695828e-251	1.26742180203018	0.781	0.153	6.57610382700604e-249	Artery	ADAM15
1.04790292555854e-250	1.21067088820882	0.787	0.151	1.92673074447408e-248	Artery	ITGA5
1.09874908816025e-248	0.873728355554307	0.659	0.091	2.00097905369527e-246	Artery	ADGRG1
1.51924848131067e-245	0.672089341912125	0.427	0.035	2.74066693015307e-243	Artery	LINC01833
1.0852267387035e-244	1.54344735100106	0.443	0.039	1.93941174742881e-242	Artery	PLVAP
2.67561499574584e-244	1.72067149976836	0.889	0.267	4.73732499524555e-242	Artery	EFNB2
3.8372550874884e-244	1.48051746959353	0.925	0.28	6.73174236540854e-242	Artery	NPDC1
1.17322433840804e-243	0.927707393245405	0.573	0.071	2.03949052718532e-241	Artery	RNF144B
5.34811243828505e-241	2.15585180928412	0.909	0.254	9.21320775179159e-239	Artery	TM4SF1
5.17938266380077e-239	0.521342016972854	0.438	0.039	8.84287100867843e-237	Artery	SH2D3C
2.04420257178518e-237	0.462870601994724	0.266	0.012	3.45922491837843e-235	Artery	NEBL
3.36704849344216e-232	1.51886483093383	0.911	0.277	5.64778081505272e-230	Artery	CRIP2
3.19215462758812e-224	0.765339014321652	0.504	0.059	5.30785919902087e-222	Artery	PCDH1
4.4507013446643e-224	2.10588172219657	0.875	0.283	7.33675095798886e-222	Artery	PLPP1
1.1144267615446e-222	1.05416319092502	0.704	0.128	1.82137337899623e-220	Artery	GIMAP1
9.71951420271168e-222	1.97851670081471	0.994	0.466	1.57505551342587e-219	Artery	EPAS1
3.15749198829422e-221	1.01081347005909	0.698	0.125	5.07374468908925e-219	Artery	ENTPD1
1.63320114926307e-219	1.23599577612493	0.873	0.215	2.60250603135071e-217	Artery	GIMAP7
1.70522350501301e-219	0.642166886860134	0.529	0.065	2.69481684817015e-217	Artery	KANK3
1.21107271663978e-218	0.49891987176018	0.366	0.028	1.89820758094966e-216	Artery	SULT1B1
2.07122323344425e-218	0.461664840003993	0.313	0.02	3.21999436340821e-216	Artery	HSPC324
8.07646922140048e-218	1.26618762987228	0.629	0.101	1.24546971331952e-215	Artery	THBD
1.97303695609227e-217	1.67592124776592	0.92	0.326	3.01827301395171e-215	Artery	SEC14L1
3.45376458721154e-216	1.07351787644983	0.762	0.161	5.24149892354436e-214	Artery	LIMS2
1.45565998087297e-215	1.49388847947377	0.825	0.219	2.19174253183095e-213	Artery	LRRC32
2.00745861827659e-215	0.342024421508181	0.28	0.015	2.99895497645976e-213	Artery	USHBP1
1.58488979962015e-211	1.00816361562537	0.637	0.11	2.3493226936695e-209	Artery	GFOD1
6.42793698788855e-211	0.40400003262599	0.288	0.017	9.45500085249269e-209	Artery	HYAL1
1.86663438442265e-209	1.68069839776651	0.939	0.328	2.72471623655954e-207	Artery	ENG
3.33283449157225e-209	1.19985202135753	0.789	0.191	4.82806523847307e-207	Artery	LIMCH1
1.00115867121506e-208	0.321169408681106	0.241	0.011	1.43941023390785e-206	Artery	NKAIN2
3.56883048321547e-206	1.64120722223324	0.992	0.412	5.09277436567509e-204	Artery	SPARCL1
1.23760573984781e-205	0.741232033289768	0.571	0.083	1.75299977461999e-203	Artery	SEMA6B
1.69151115798696e-205	0.441693259793172	0.335	0.025	2.37831443845784e-203	Artery	AL109741.1
7.93757887737402e-203	0.68123325995402	0.501	0.065	1.10790060797917e-200	Artery	TSPAN7
6.0229372112757e-201	0.760433756750761	0.396	0.04	8.34569604014594e-199	Artery	KCNJ2
9.9853309035079e-201	0.475053004689238	0.305	0.021	1.3736654499056e-198	Artery	TSPAN13
1.09710998427218e-199	1.04916415485649	0.756	0.163	1.49849550851804e-197	Artery	GIMAP4
2.15560505152619e-198	0.407890667228761	0.321	0.024	2.92336736136765e-196	Artery	TM6SF1
4.15640568187752e-195	1.35399098498242	0.74	0.17	5.5970978485114e-193	Artery	DOCK9
9.69172559566623e-195	0.729697525649882	0.211	0.009	1.29598025762468e-192	Artery	HES5
6.35804757871093e-194	1.34183259613386	1	0.96	8.44295734722989e-192	Artery	HLA-E
1.84927035020758e-191	1.49467960525476	0.795	0.218	2.42203750936091e-189	Artery	FAM107A
5.69065967400381e-189	0.360349145563467	0.305	0.022	7.40250301267353e-187	Artery	SIX3-AS1
9.58891773243015e-189	1.14058475749616	0.748	0.19	1.23891408702385e-186	Artery	MTUS1
2.58271440304966e-187	1.8825170263068	0.889	0.317	3.31454126275944e-185	Artery	KCTD12
6.61108147472761e-187	0.661675309146582	0.313	0.025	8.42780666398276e-185	Artery	FAM84A
3.70456017161636e-186	1.43535682526329	0.637	0.129	4.6912979868641e-184	Artery	SLC2A1
1.78684004193977e-185	0.277087515618342	0.183	0.006	2.23319969163217e-183	Artery	C2CD4C
4.75262029997405e-185	0.992648315480622	0.715	0.149	5.90127307637038e-183	Artery	GIMAP5
2.15246067220227e-184	1.5067597466206	0.978	0.449	2.65544212734528e-182	Artery	TCF4
8.08566780829843e-184	1.0201120551258	0.56	0.094	9.9111628096335e-182	Artery	BEX5
1.71545871228047e-182	0.931999842665823	0.798	0.175	2.08936315262594e-180	Artery	TINAGL1
1.06070334614109e-181	0.535216398256266	0.399	0.044	1.28371958132341e-179	Artery	IL3RA
2.08674603500901e-180	1.5338099715831	0.958	0.362	2.50960740134857e-178	Artery	A2M
3.1348954863993e-180	0.634838045699484	0.46	0.059	3.74659196818297e-178	Artery	SH3BGRL2
5.9319480019325e-180	1.25023734769885	0.637	0.128	7.04538569521448e-178	Artery	APOLD1
1.44595751861571e-178	1.3827196147973	0.895	0.31	1.70676541178824e-176	Artery	RAMP2
1.07889270425275e-177	1.16596671885597	0.85	0.277	1.26568014053504e-175	Artery	MEF2C
4.31640754708422e-177	0.853929557708581	0.695	0.147	5.03282592166735e-175	Artery	MRTFB
1.14769949812129e-176	1.41103532789317	0.85	0.3	1.33007938200456e-174	Artery	BMPR2
1.39941145334926e-176	0.723530833370475	0.41	0.047	1.61202083198461e-174	Artery	ROBO4
1.59520683470579e-174	0.332532573397295	0.263	0.018	1.8265595864218e-172	Artery	C19orf33
3.73297750913059e-174	0.580585152046593	0.399	0.047	4.24892832914256e-172	Artery	ITGA9
4.68028625163612e-173	1.1931836916695	0.972	0.34	5.29564696472106e-171	Artery	TGM2
7.2241307032822e-173	0.596148116657792	0.432	0.055	8.12587219459778e-171	Artery	GPR4
2.17883327004234e-172	0.678928202666966	0.515	0.08	2.43647074793857e-170	Artery	CASKIN2
3.27283589826495e-171	0.736627678472657	0.51	0.081	3.63855628178037e-169	Artery	TMCC3
1.18519135228434e-170	1.12180091811082	0.97	0.372	1.31001323921278e-168	Artery	HLA-DRB1
3.03452797085114e-170	0.376706837556793	0.296	0.024	3.33484160106985e-168	Artery	HRH1
9.41882772135587e-169	1.20397954574077	0.82	0.207	1.02918184964438e-166	Artery	CP
1.41213016992824e-168	0.780567975443177	0.535	0.092	1.53424733575953e-166	Artery	PLXNA2
3.65204046547524e-168	0.428168735059124	0.36	0.038	3.94544168253206e-166	Artery	ICA1
6.6540798235602e-168	0.487383330384867	0.402	0.047	7.14827608910776e-166	Artery	PLCG2
2.87936958996755e-166	0.365289091570119	0.28	0.022	3.07593884353964e-164	Artery	CLEC1A
2.14882651465994e-164	0.609932355045186	0.443	0.061	2.27015804493521e-162	Artery	USP54
2.39791248707743e-164	1.96698982561994	0.981	0.526	2.51938915263157e-162	Artery	TIMP3
2.3953852656975e-162	0.250053110074304	0.26	0.019	2.50298125959932e-160	Artery	GIPC2
2.42500592719839e-162	0.466524562217222	0.374	0.043	2.52016105108085e-160	Artery	PLEKHG1
2.75628948407924e-161	1.19714945435896	0.842	0.284	2.84896040619261e-159	Artery	ARHGAP29
4.17912700442748e-161	0.635509551810012	0.482	0.078	4.29641218164851e-159	Artery	ASS1
5.06309729544726e-159	0.564163814119152	0.471	0.073	5.17735542692741e-157	Artery	MANSC1
1.95865369893037e-158	0.396479649387955	0.18	0.008	1.99220085270992e-156	Artery	SLC14A1
2.25070694450581e-158	0.715978930984134	0.427	0.06	2.27714381972699e-156	Artery	CD200
1.05914865541206e-156	0.843584989951186	0.524	0.094	1.06036861721411e-154	Artery	THSD7A
1.62747758225591e-155	0.864956408099768	0.668	0.162	1.620865954578e-153	Artery	JAM2
1.80311439697191e-155	0.749745257031795	0.488	0.081	1.78648463724855e-153	Artery	DOCK6
2.72892673066526e-155	0.293708709600384	0.202	0.011	2.68982149194748e-153	Artery	PCDH11X
9.54198393344858e-155	0.341115962224523	0.255	0.019	9.3570162448925e-153	Artery	ARHGEF15
7.84940564470724e-152	0.337033920243764	0.188	0.01	7.61910328619755e-150	Artery	BMP6
1.6251396340894e-151	0.869261898799413	0.512	0.097	1.56949091328574e-149	Artery	MSX1
2.53745518908992e-151	0.520157063811786	0.404	0.054	2.43825216712449e-149	Artery	ARAP3
8.7227621076726e-151	-1.2564612422166	0.983	0.996	8.33983285114577e-149	Artery	MT-CO1
2.52717120603118e-150	0.930400489093446	0.62	0.126	2.40420735331981e-148	Artery	TCIM
3.1637351297346e-150	0.947733104605015	0.532	0.095	2.99489817578144e-148	Artery	ITGA6
1.03550965469896e-149	0.816840911439896	0.452	0.073	9.75419488529728e-148	Artery	PDZD2
1.87709750266732e-148	0.628940168873263	0.499	0.085	1.75091992419534e-146	Artery	F11R
2.11930291695508e-147	0.438147171848202	0.349	0.041	1.96724807660267e-145	Artery	SCARF1
2.13361362700319e-147	0.975838610792906	0.762	0.257	1.97096424036497e-145	Artery	KIAA0355
4.80620832946607e-147	0.647666805671527	0.526	0.1	4.41847671519472e-145	Artery	RASGRF2
2.20506291208564e-145	1.68376283147154	0.529	0.107	2.01747430645462e-143	Artery	ADAMTS9
3.06252488912684e-145	0.429720933868716	0.332	0.037	2.78864766332778e-143	Artery	TNFRSF10A
5.6689755944704e-145	1.21677605891226	0.452	0.078	5.13754271646744e-143	Artery	DKK2
1.53339540948092e-144	0.704239618682079	0.543	0.111	1.38309372736293e-142	Artery	EVA1C
1.17116339780944e-143	1.75197610731805	0.748	0.262	1.04649469593048e-141	Artery	INSR
5.62174719248122e-143	0.341736954510898	0.172	0.008	4.99995580533144e-141	Artery	PCDH12
8.82558576257358e-143	0.964923291398483	0.748	0.232	7.81309495147833e-141	Artery	PTPRG
1.15369267593223e-142	0.964672830096496	0.781	0.221	1.01663185940904e-140	Artery	HLA-DRB5
2.87988775423118e-142	0.916345048272925	0.626	0.153	2.52611071726645e-140	Artery	NES
8.28270351111127e-142	0.985197464163771	0.776	0.281	7.19917529724863e-140	Artery	SWAP70
1.86644216280525e-141	0.852873900756053	0.789	0.232	1.61493697000733e-139	Artery	BCAM
9.87898616847326e-141	1.04663373384448	0.427	0.07	8.50927808619575e-139	Artery	TMEM100
5.54042946304714e-140	1.30390698288287	0.864	0.415	4.75085615212499e-138	Artery	CD46
6.12329265325274e-139	1.09410039300994	0.74	0.231	5.2272143801562e-137	Artery	HSPG2
6.41271595309978e-139	1.13325034523315	0.778	0.263	5.44995353134106e-137	Artery	NFIB
3.44626532459232e-138	1.06656520968308	0.742	0.219	2.91590643968382e-136	Artery	LIFR
4.07356529452847e-137	0.616125813882134	0.529	0.102	3.43148526704729e-135	Artery	AIF1L
4.77128057712013e-137	0.473232591229501	0.418	0.065	4.00159768402154e-135	Artery	FGD5
6.34043794306163e-136	1.35037708371845	0.659	0.181	5.29440411996613e-134	Artery	GJA1
5.37189446190677e-135	0.251371772176592	0.244	0.02	4.44681237664854e-133	Artery	MYRIP
5.51657156716709e-135	0.805191144157329	0.651	0.183	4.54689144428315e-133	Artery	S100A16
6.91967152096258e-135	0.408688933623339	0.263	0.024	5.67888235295479e-133	Artery	CXorf36
3.53124204151445e-134	1.12451862676526	0.895	0.487	2.87337916246125e-132	Artery	RDX
5.50383539842076e-134	0.952934297869358	0.709	0.214	4.45950595290685e-132	Artery	SULF2
7.12496732769851e-134	0.926559987934976	0.554	0.12	5.74867617047472e-132	Artery	CX3CL1
1.53075673032788e-133	0.942400667029766	0.665	0.179	1.22987942005587e-131	Artery	PREX1
2.45562982167715e-133	-1.0835871575193	0.989	0.998	1.96470934937701e-131	Artery	MT-CO3
9.34062398612222e-133	1.10656593390305	0.814	0.289	7.44214216094288e-131	Artery	EMCN
2.56470314396477e-132	1.06370280618485	0.958	0.645	2.0349482787923e-130	Artery	STOM
5.78602002099892e-132	1.35370167157952	0.909	0.445	4.57191218353477e-130	Artery	SYNE2
1.10565907245927e-131	0.938238912480612	0.474	0.093	8.70058139241402e-130	Artery	PCSK5
2.13803942183478e-131	0.570885261709161	0.382	0.056	1.67555696001331e-129	Artery	RAPGEF3
1.09151451443947e-129	0.697459884019754	0.485	0.093	8.48452867687459e-128	Artery	NUAK1
1.15867259578585e-129	0.945870570384626	0.512	0.105	8.97009610389353e-128	Artery	GALNT15
1.38094016401097e-129	0.516191073767667	0.388	0.059	1.06477168613782e-127	Artery	GALNT18
6.19514291892629e-129	0.913479219341173	0.601	0.15	4.75757120063086e-127	Artery	XAF1
2.7568193738799e-128	1.05958858118935	1	0.974	2.10863600269326e-126	Artery	TMSB10
1.04676164449892e-127	1.47340843070057	0.906	0.455	7.94431132404634e-126	Artery	ID1
1.14686347160813e-127	0.459050021431022	0.402	0.063	8.66811197790146e-126	Artery	CLIC2
3.5466059437838e-127	1.13069251832644	0.778	0.307	2.67000782901708e-125	Artery	ADIPOR2
5.20092574917762e-126	0.407438813518929	0.388	0.055	3.90008243826566e-124	Artery	SELP
1.36481611840996e-125	0.753080014755531	0.645	0.17	1.01945366469669e-123	Artery	CDK17
1.45316435560966e-125	1.00951693996138	0.95	0.605	1.08122213260575e-123	Artery	TACC1
5.91768729619974e-125	0.898911471647519	0.825	0.311	4.38596963092758e-123	Artery	GRASP
8.91863826373342e-125	1.02584960528974	0.593	0.149	6.58464096058341e-123	Artery	FGL2
2.19236073606085e-124	0.97708032792789	0.972	0.485	1.61239699980599e-122	Artery	CD74
