p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.47606096939271	0.567	0.086	0	Artery	CA4
0	2.39497574802257	0.84	0.133	0	Artery	CLDN5
0	2.30041403396028	0.987	0.541	0	Artery	SLC9A3R2
0	2.27639167441644	0.714	0.056	0	Artery	STC1
0	2.15237280302234	0.954	0.153	0	Artery	FLT1
0	2.09327109522627	0.847	0.19	0	Artery	IFI27
0	1.93816563430627	0.966	0.186	0	Artery	SOX18
0	1.85292896885773	0.726	0.146	0	Artery	PLVAP
0	1.7986368570832	0.271	0.007	0	Artery	SOST
0	1.7974167009959	0.967	0.295	0	Artery	A2M
0	1.76042840066909	0.819	0.131	0	Artery	ALPL
0	1.74954315136068	0.985	0.248	0	Artery	EGFL7
0	1.69119310179874	0.724	0.217	0	Artery	HEY1
0	1.6828969595513	0.92	0.159	0	Artery	SIX3
0	1.67650583924294	0.805	0.15	0	Artery	KDR
0	1.66390223821993	0.767	0.096	0	Artery	BTNL9
0	1.51291779757516	0.924	0.304	0	Artery	LMO2
0	1.5039459137516	0.895	0.117	0	Artery	PODXL
0	1.45312089795684	0.895	0.216	0	Artery	CAVIN2
0	1.44705208082166	0.572	0.027	0	Artery	FCN3
0	1.44296766960644	0.868	0.16	0	Artery	ICAM2
0	1.44088087592662	0.839	0.077	0	Artery	CD34
0	1.42118859866744	0.697	0.159	0	Artery	THBD
0	1.41025869896022	0.867	0.211	0	Artery	GAS6
0	1.4045251692887	0.849	0.152	0	Artery	RAMP3
0	1.39513324075188	0.856	0.138	0	Artery	MMRN2
0	1.380751213816	0.771	0.068	0	Artery	DLL4
0	1.37788974906381	1	0.77	0	Artery	HLA-B
0	1.37688155783123	0.681	0.057	0	Artery	SOX17
0	1.37639440980359	0.882	0.225	0	Artery	TMEM88
0	1.376126759295	0.892	0.389	0	Artery	PON2
0	1.37397914866546	0.987	0.45	0	Artery	SRGN
0	1.369801477904	0.995	0.793	0	Artery	HLA-C
0	1.36935421708795	0.951	0.35	0	Artery	CRIP2
0	1.36402694166045	0.678	0.028	0	Artery	SEMA3G
0	1.35836426175493	0.954	0.358	0	Artery	CLEC14A
0	1.34819491796403	0.442	0.047	0	Artery	HES5
0	1.32976863091657	0.982	0.576	0	Artery	EPAS1
0	1.29327082199283	0.906	0.406	0	Artery	EMCN
0	1.2891809098834	0.925	0.366	0	Artery	ITM2A
0	1.28088503171077	0.844	0.141	0	Artery	PTPRB
0	1.26870202737818	0.894	0.366	0	Artery	SEC14L1
0	1.25380817571003	0.872	0.275	0	Artery	HYAL2
0	1.24945405030547	0.954	0.223	0	Artery	RNASE1
0	1.23831758807459	0.701	0.121	0	Artery	APOLD1
0	1.23349612668878	0.71	0.192	0	Artery	SLC2A1
0	1.21880654181322	0.906	0.215	0	Artery	TNFSF10
0	1.19895454944513	0.91	0.243	0	Artery	ESAM
0	1.15982155863855	0.835	0.139	0	Artery	CYYR1
0	1.15972911113939	0.755	0.12	0	Artery	ADGRF5
0	1.15651021773447	0.92	0.514	0	Artery	GNG11
0	1.13550116137987	0.837	0.261	0	Artery	EFNA1
0	1.12810201432319	0.763	0.084	0	Artery	NOTCH4
0	1.12251289737073	0.772	0.107	0	Artery	ADGRL4
0	1.12225680089975	0.777	0.24	0	Artery	PIK3R3
0	1.11589165066873	0.877	0.359	0	Artery	NPDC1
0	1.11483893787801	0.81	0.178	0	Artery	GIMAP4
0	1.11082065500441	0.772	0.133	0	Artery	PREX1
0	1.10779308056657	0.849	0.208	0	Artery	ACVRL1
0	1.09741292568192	0.772	0.218	0	Artery	HPCAL1
0	1.07947374158479	0.817	0.137	0	Artery	CDH5
0	1.07439967245433	0.564	0.043	0	Artery	JAG2
0	1.06019083169821	0.857	0.191	0	Artery	GIMAP7
0	1.05694438295714	0.848	0.31	0	Artery	SMAD7
0	1.03840236638479	0.809	0.128	0	Artery	MYCT1
0	1.0366031636678	0.999	0.993	0	Artery	B2M
0	1.02426034521985	0.555	0.056	0	Artery	VEGFC
0	1.00756982113984	0.572	0.075	0	Artery	F8
0	0.996503815491135	1	0.945	0	Artery	HLA-E
0	0.97904384068659	0.769	0.14	0	Artery	GIMAP1
0	0.97105732717627	0.777	0.249	0	Artery	SMAD6
0	0.970142556644037	0.778	0.153	0	Artery	CALCRL
0	0.963793047826049	0.763	0.138	0	Artery	ECSCR
0	0.957806657654274	0.397	0.008	0	Artery	GJA5
0	0.954839195989377	0.733	0.119	0	Artery	PCAT19
0	0.949931673949533	0.826	0.269	0	Artery	JAM2
0	0.94437182283938	0.484	0.006	0	Artery	SLC14A1
0	0.944126775058529	0.681	0.14	0	Artery	TM4SF18
0	0.939549801013944	0.915	0.243	0	Artery	HLA-DRB1
0	0.938442998522968	0.62	0.055	0	Artery	ARL15
0	0.938065094722568	0.683	0.108	0	Artery	KANK3
0	0.882066627672267	0.545	0.036	0	Artery	SPOCK2
0	0.870849565445667	0.676	0.088	0	Artery	GALNT18
0	0.846181612374991	0.696	0.138	0	Artery	GIMAP5
0	0.845288893585071	0.644	0.143	0	Artery	ITGA6
0	0.829312872930918	0.616	0.12	0	Artery	GRB10
0	0.819902185475877	0.496	0.056	0	Artery	PLLP
0	0.816014797326482	0.902	0.3	0	Artery	CD74
0	0.790386310604524	0.672	0.109	0	Artery	TIE1
0	0.775285397674358	0.653	0.12	0	Artery	RASIP1
0	0.758456234760145	0.403	0.018	0	Artery	MECOM
0	0.732954641800601	0.625	0.114	0	Artery	S1PR1
0	0.731963170643759	0.458	0.056	0	Artery	CD300LG
0	0.730866417614335	0.617	0.094	0	Artery	TEK
0	0.729860032964718	0.568	0.116	0	Artery	IL32
0	0.700688544139527	0.587	0.107	0	Artery	CMTM8
0	0.695036747162432	0.466	0.072	0	Artery	CLIC3
0	0.688030592747261	0.597	0.124	0	Artery	CASKIN2
0	0.672966473781025	0.563	0.099	0	Artery	PDGFB
0	0.662958524448559	0.333	0.032	0	Artery	CETP
0	0.657893437624397	0.508	0.067	0	Artery	IL3RA
0	0.631919930642036	0.492	0.081	0	Artery	SHANK3
0	0.624970407963603	0.541	0.062	0	Artery	CCM2L
0	0.614867757916317	0.518	0.053	0	Artery	HSPA12B
0	0.610193066025085	0.563	0.104	0	Artery	SHE
0	0.603303717549681	0.55	0.106	0	Artery	MTSS1
0	0.595099957799538	0.54	0.098	0	Artery	C1orf115
0	0.579967705208661	0.537	0.089	0	Artery	LINC01833
0	0.562182519046448	0.447	0.047	0	Artery	ARHGEF15
0	0.556908910162286	0.316	0.033	0	Artery	ANXA3
0	0.550179373261477	0.422	0.031	0	Artery	NOS3
0	0.549308197610181	0.416	0.049	0	Artery	TCF15
0	0.539555216434857	0.347	0.036	0	Artery	NRN1
0	0.533526435663762	0.452	0.049	0	Artery	NOVA2
0	0.531453437800868	0.332	0.02	0	Artery	PCDH12
0	0.523505733860233	0.402	0.048	0	Artery	HLX
0	0.517438333782091	0.427	0.048	0	Artery	SIX3-AS1
0	0.512241679017663	0.489	0.083	0	Artery	THSD1
0	0.507437159708266	0.474	0.077	0	Artery	GIMAP6
0	0.497309897177263	0.44	0.057	0	Artery	TSPAN13
0	0.479917177576902	0.403	0.052	0	Artery	ADGRG1
0	0.468418482173838	0.436	0.04	0	Artery	USHBP1
0	0.45223946365135	0.326	0.025	0	Artery	ATP2A3
0	0.437825653374486	0.332	0.026	0	Artery	FLT4
0	0.428059180010103	0.374	0.044	0	Artery	GPR4
0	0.416880347369386	0.333	0.024	0	Artery	CYP26B1
0	0.405978101052179	0.262	0.012	0	Artery	ADAMTSL2
0	0.40379866367781	0.359	0.039	0	Artery	HSPC324
0	0.35561059438256	0.352	0.04	0	Artery	EXOC3L1
0	0.310136000168975	0.303	0.026	0	Artery	SPAAR
0	0.308791415611442	0.226	0.011	0	Artery	HAPLN1
0	0.299841202459974	0.256	0.015	0	Artery	TMC7
0	0.280017681432014	0.252	0.016	0	Artery	C2CD4C
3.44159571577231e-307	0.798679294053711	0.641	0.16	5.01941551634881e-305	Artery	ADAM15
1.10028891813026e-300	0.979227592448111	0.653	0.162	1.59300953949735e-298	Artery	ITIH5
1.782764279538e-300	1.1435644853081	0.968	0.478	2.56240068729248e-298	Artery	ENG
2.19516605134986e-300	0.935151984632688	0.868	0.327	3.1324545775917e-298	Artery	BCAM
3.21055051765442e-300	0.967551293534862	0.748	0.232	4.54866210840538e-298	Artery	GBP4
8.03670765690129e-298	1.71115044463117	0.862	0.348	1.13055387499743e-295	Artery	TCIM
1.7397808736984e-297	0.903392094096601	1	0.985	2.43017983308505e-295	Artery	TMSB10
2.30621678335262e-297	1.25570103613491	0.944	0.552	3.19886782502092e-295	Artery	BHLHE40
4.48688563333244e-293	0.968534177915833	0.693	0.204	6.18037337063535e-291	Artery	PPFIBP1
1.38871573241718e-291	0.785233314579323	0.587	0.127	1.89966734844791e-289	Artery	CD93
4.88801327943893e-289	0.837007062076141	0.717	0.21	6.64066735600487e-287	Artery	CTSH
1.18982104693411e-285	0.905468817294777	0.57	0.127	1.59460138283366e-283	Artery	PALMD
1.59499565649436e-283	0.961582275747543	0.645	0.151	2.1232710635279e-281	Artery	GJA4
9.51293130274809e-282	0.598646674441259	0.39	0.058	1.25792661593339e-279	Artery	FAM84A
1.36406500705769e-281	0.635821005350581	0.531	0.109	1.79180327251584e-279	Artery	RNF144B
7.5546314392692e-281	0.966523697898532	0.73	0.242	9.85829701302005e-279	Artery	HEG1
6.22083367481872e-279	1.72468307341421	0.853	0.381	8.06472130326989e-277	Artery	DEPP1
4.46719502871295e-278	1.05982035880909	0.779	0.256	5.75368918146243e-276	Artery	DUSP6
2.70849226579902e-277	0.87634108935455	0.546	0.12	3.46599639304022e-275	Artery	NES
8.09845852926035e-277	0.553048432495565	0.437	0.074	1.02969823671717e-274	Artery	GFOD1
1.52345352104245e-276	0.70769505055505	0.496	0.095	1.92469430508771e-274	Artery	BEX5
1.62607807639636e-272	0.704336471292912	0.565	0.124	2.04134548388112e-270	Artery	CX3CL1
2.79534128086261e-271	0.786353463269384	0.755	0.244	3.48714429596917e-269	Artery	LIMS2
3.09058090038293e-268	0.259583250565116	0.212	0.015	3.83135450994347e-266	Artery	TBXA2R
3.76492921479204e-268	0.89498939945198	0.759	0.278	4.63834602331678e-266	Artery	SOS1
6.64293145161875e-265	0.694450185437251	0.608	0.159	8.13349045326283e-263	Artery	CD58
4.6582295895405e-263	0.451005753363912	0.483	0.091	5.66846527046233e-261	Artery	ST8SIA6
1.86710907468851e-260	0.632163976462251	0.544	0.117	2.2581773473443e-258	Artery	RAPGEF5
9.0317527085694e-260	0.404778843964584	0.317	0.04	1.08572615136045e-257	Artery	DYSF
9.94322547560314e-256	0.519562500629359	0.523	0.11	1.18809564643728e-253	Artery	ERG
1.20183200368487e-255	0.94229131377738	0.807	0.314	1.4274453768317e-253	Artery	MEF2C
2.12126557560995e-255	0.313040665178703	0.283	0.032	2.50448230310853e-253	Artery	HYAL1
1.44832235400987e-254	1.03319655191498	0.94	0.637	1.69985052614117e-252	Artery	RDX
8.42195158728097e-254	0.628166481857299	0.553	0.127	9.8264358666893e-252	Artery	ARHGAP18
2.34379294474642e-250	0.891544815382461	0.696	0.224	2.6872331248003e-248	Artery	HLA-F
2.65476897954678e-250	0.450721690123044	0.48	0.093	3.02628406375347e-248	Artery	FAM198B
8.85978242064186e-250	0.476873155531339	0.522	0.109	1.00419305321961e-247	Artery	GIMAP8
1.2410329973657e-249	0.537608815052698	0.545	0.126	1.39863008538344e-247	Artery	LYL1
3.56884550286835e-248	0.453405006313198	0.427	0.077	3.99932488979626e-246	Artery	ARAP3
8.52721070854847e-245	-1.52925821502822	0.269	0.823	9.44900694994743e-243	Artery	TIMP1
2.20061003809649e-243	0.596473842715953	0.611	0.166	2.42495000586911e-241	Artery	APOL3
2.59801253455893e-243	0.582451539250865	0.487	0.104	2.84704854270587e-241	Artery	CD200
3.51775895967085e-243	0.960191644218964	0.994	0.925	3.83377741566326e-241	Artery	HLA-A
