p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	-0.260961408872365	0.284	0.948	0	 	RPS25
0	-0.284292318205892	0.412	0.973	0	 	RPL6
0	-0.299912101498832	0.226	0.886	0	 	PSME1
0	-0.30098811171046	0.387	0.934	0	 	OAZ1
0	-0.312855187173918	0.457	0.974	0	 	RPS3A
0	-0.322089963611624	0.339	0.961	0	 	PFN1
0	-0.323463306700537	0.403	0.968	0	 	RPL26
0	-0.329797997285156	0.298	0.983	0	 	HNRNPH1
0	-0.331735306147553	0.368	0.938	0	 	SON
0	-0.335159904242764	0.638	0.982	0	 	NACA
0	-0.344321145120355	0.332	0.907	0	 	HMGB1
0	-0.34463322449333	0.266	0.911	0	 	RPL29
0	-0.348980958620401	0.242	0.891	0	 	RPL27
0	-0.36101240345235	0.427	0.974	0	 	RPS6
0	-0.370757310010346	0.427	0.981	0	 	PTMA
0	-0.381595290634186	0.356	0.951	0	 	RPL7
0	-0.388818257931219	0.342	0.954	0	 	RPS16
0	-0.392786428533875	0.348	0.967	0	 	CFL1
0	-0.395387936946315	0.394	0.954	0	 	PPIA
0	-0.403595814391345	0.33	0.916	0	 	EEF2
0	-0.407674303599183	0.384	0.964	0	 	RPL17
0	-0.42614801241646	0.262	0.936	0	 	FAU
0	-0.428916044105606	0.41	0.94	0	 	NPIPB4
0	-0.432041382163429	0.264	0.879	0	 	DDX17
0	-0.446338616049905	0.345	0.96	0	 	RPL11
0	-0.446466709953083	0.319	0.877	0	 	RHOA
0	-0.451401756163255	0.213	0.823	0	 	EEF1B2
0	-0.466953454084723	0.363	0.925	0	 	HSPA8
0	-0.46758211097145	0.327	0.952	0	 	RPS27A
0	-0.468783918952218	0.508	0.974	0	 	ARPC2
0	-0.47472747740205	0.246	0.869	0	 	HNRNPA2B1
0	-0.485394134121358	0.51	0.955	0	 	UBC
0	-0.49299188968669	0.215	0.843	0	 	BTF3
0	-0.499040688242778	0.379	0.972	0	 	RPL23A
0	-0.502673877356526	0.293	0.932	0	 	CDC42
0	-0.506238225908655	0.2	0.802	0	 	THRAP3
0	-0.508278540077461	0.35	0.936	0	 	HNRNPC
0	-0.510290402568888	0.4	0.97	0	 	RPL19
0	-0.511053831993123	0.47	0.982	0	 	RPS3
0	-0.519401562758079	0.207	0.813	0	 	CAPZB
0	-0.522087437137136	0.279	0.884	0	 	RPS5
0	-0.527781855320539	0.321	0.899	0	 	FUS
0	-0.531197270965147	0.469	0.953	0	 	SMG1
0	-0.53296672722986	0.292	0.928	0	 	RPS23
0	-0.536971744625085	0.276	0.844	0	 	MSN
0	-0.549151712573983	0.365	0.893	0	 	TPM3
0	-0.552476695825898	0.205	0.82	0	 	EIF4G2
0	-0.577869040723191	0.416	0.956	0	 	H3F3B
0	-0.58959530785727	0.571	0.979	0	 	RPS4X
0	-0.592138993453195	0.439	0.985	0	 	EIF1
0	-0.60096275355386	0.259	0.855	0	 	NPM1
0	-0.604455384703724	0.236	0.834	0	 	SLC25A6
0	-0.610469439066006	0.437	0.946	0	 	NPIPB5
0	-0.620688072772734	0.416	0.974	0	 	RPL5
0	-0.632327812664508	0.261	0.86	0	 	PPP1CB
0	-0.634178583854601	0.45	0.978	0	 	RPL4
0	-0.646724507364061	0.403	0.968	0	 	RBM39
0	-0.65817804243756	0.533	0.988	0	 	RPL15
0	-0.66642131877617	0.388	0.96	0	 	RPL30
0	-0.668860940037205	0.51	0.977	0	 	RPL3
0	-0.670263541150509	0.294	0.849	0	 	DAZAP2
0	-0.673628091122375	0.291	0.876	0	 	IQGAP1
0	-0.690302048842327	0.276	0.904	0	 	MBNL1
0	-0.695706837802298	0.208	0.799	0	 	SRSF6
0	-0.701172115644249	0.393	0.919	0	 	MATR3
0	-0.71500674688034	0.452	0.987	0	 	PABPC1
0	-0.720672593464295	0.255	0.899	0	 	CAPZA1
0	-0.721241781383789	0.201	0.794	0	 	PIP4K2A
0	-0.735602649267308	0.374	0.889	0	 	ENO1
0	-0.751906438334179	0.427	0.973	0	 	YWHAZ
0	-0.752663146904234	0.337	0.924	0	 	RPSA
0	-0.755329952526104	0.488	0.956	0	 	LRRFIP1
0	-0.758600142972341	0.313	0.914	0	 	PRRC2C
0	-0.758847113553073	0.547	0.955	0	 	MYL12A
0	-0.761768144371969	0.343	0.945	0	 	HNRNPA1
0	-0.768052188961297	0.296	0.948	0	 	CALM1
0	-0.786225991823986	0.326	0.877	0	 	UBE2D3
0	-0.801748775281108	0.412	0.966	0	 	RPL9
0	-0.817976842964748	0.688	0.997	0	 	EEF1A1
0	-0.824795974551735	0.3	0.896	0	 	KMT2E
0	-0.854665181614903	0.274	0.926	0	 	C6orf62
0	-0.86237628198367	0.217	0.82	0	 	CNBP
0	-0.868541556074251	0.202	0.806	0	 	ARPC3
0	-0.902552138538978	0.204	0.812	0	 	HNRNPDL
0	-0.905348012787201	0.269	0.882	0	 	ARHGDIB
0	-0.92007989678726	0.345	0.916	0	 	SRSF3
0	-0.934106824785565	0.27	0.833	0	 	LCP1
0	-0.951340572759109	0.259	0.894	0	 	HNRNPK
0	-0.998349161324928	0.397	0.915	0	 	SRSF5
0	-1.01218793593578	0.303	0.913	0	 	SARAF
0	-1.08784508409909	0.205	0.837	0	 	ZFP36L2
0	-1.18970211688189	0.266	0.805	0	 	LAPTM5
0	-1.21290106060249	0.281	0.862	0	 	STK17B
0	-1.22902771551213	0.318	0.877	0	 	PTPRC
0	-1.32802806355713	0.325	0.972	0	 	DDX5
5.17186734935659e-308	-0.912261504077556	0.339	0.854	7.16466704784291e-306	 	PGK1
6.44490402431387e-308	0.8626684592911	0.762	0.406	8.84850796266736e-306	 	GPM6A
5.42056443937643e-307	-0.479732030631533	0.376	0.911	7.31158064774485e-305	 	IFITM2
9.87347425668999e-307	-0.367972177867335	0.663	0.966	1.32021229256628e-304	 	ITM2B
1.69460183037164e-306	-0.406974116769242	0.227	0.832	2.24637002979524e-304	 	HMGN2
1.13571904056564e-305	-0.591538873633461	0.274	0.844	1.49264544331435e-303	 	RNF149
1.82408752252048e-304	-0.577615904098669	0.305	0.861	2.35705830536113e-302	 	EIF2S3
2.16872877334587e-304	-0.397496850080902	0.232	0.827	2.77904519564495e-302	 	YWHAB
5.04211598609417e-304	-0.418747231558157	0.231	0.838	6.40765434034463e-302	 	PCBP2
1.04328121857016e-303	-0.351846261466563	0.315	0.893	1.31496190966831e-301	 	PFDN5
1.61467723928032e-303	-1.42758610290466	0.274	0.799	2.018609098245e-301	 	TSC22D3
2.88489889515063e-303	-0.434419507273966	0.302	0.889	3.57750728312349e-301	 	TRA2A
7.27671157461012e-303	-0.498190131288414	0.283	0.84	8.95151951062238e-301	 	EIF4A1
7.59604292829107e-303	-0.689859000413239	0.366	0.899	9.27018667526443e-301	 	PPP2R5C
3.47307105539796e-302	-0.700866432885255	0.221	0.784	4.172297938973e-300	 	SF3B1
6.89643394193659e-302	-1.24855341936665	0.196	0.748	8.15742036347377e-300	 	CORO1A
1.02211760002152e-301	-1.06967604787729	0.291	0.812	1.199778804239e-299	 	SRGN
1.31251280428808e-301	-0.982267603955293	0.238	0.786	1.52897798420741e-299	 	ANKRD44
1.59672328631849e-301	-0.734322919789274	0.28	0.829	1.84607623862553e-299	 	CD44
2.52878211640493e-301	-0.79056875929184	0.834	0.999	2.90187183611631e-299	 	B2M
3.24271682399318e-301	-0.410518902032222	0.491	0.989	3.69357456315134e-299	 	RPL10
8.73041410340132e-301	-0.450705415317229	0.202	0.818	9.87114541676486e-299	 	ARGLU1
1.38999314666961e-300	-0.500132740621433	0.293	0.853	1.54883511712599e-298	 	MYH9
7.1792079993555e-300	-0.61773621261455	0.19	0.782	7.82941002880067e-298	 	CAP1
4.49409927247516e-298	-0.360319235986038	0.183	0.799	4.76591479398969e-296	 	RPL22
1.8476678257488e-297	-0.687078134448726	0.364	0.874	1.94599918880406e-295	 	SUMO2
3.84889031624864e-297	-0.474889563076609	0.36	0.889	4.02614873421465e-295	 	CALR
4.04254286549268e-296	-0.810305582636076	0.269	0.81	4.17195849950879e-294	 	CDC42SE2
1.19755107516556e-295	-0.716804349679942	0.199	0.758	1.22764952552138e-293	 	ANKRD10
1.39779780634975e-295	-0.343917802017353	0.372	0.889	1.42343952769802e-293	 	CALM2
