p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.15928749762476	0.474	0.018	0	B	CD79A
3.94801235687989e-242	2.09918071871316	0.551	0.092	2.11988523502666e-238	B	CXCR4
1.63438082070714e-229	1.66517172402878	0.208	0.007	5.85053854452465e-226	B	DERL3
2.47022987205119e-226	1.66787863177822	0.207	0.007	6.63194964898942e-223	B	MZB1
2.32146420864709e-223	1.57369943221476	0.224	0.01	4.98604082733222e-220	B	LY9
4.29044514828565e-222	1.47327674033615	0.203	0.007	7.67918174123993e-219	B	MS4A1
6.29076344207147e-157	1.4819485171971	0.241	0.022	9.65092980062936e-154	B	CD69
8.2682320143582e-157	2.80089723942069	0.321	0.043	1.10990679502741e-153	B	IGHM
7.88788660679622e-153	1.47145043476203	0.277	0.031	9.41200158559829e-150	B	CYTIP
1.27592388820256e-149	1.16975123134408	0.887	0.437	1.37021466354073e-146	B	CD74
4.74037299037406e-140	1.56398663705736	0.27	0.033	4.62789686760246e-137	B	CD52
1.25863252838424e-138	3.45249607271761	0.845	0.539	1.12637122685986e-135	B	IGKC
4.77701756865835e-134	0.966222022327382	0.103	0.002	3.9461839746017e-131	B	AL928768.3
1.19922443340001e-115	0.819917509296011	0.994	0.975	9.19890799305909e-113	B	RPS27
1.13508760552717e-108	-1.0794410044702	0.526	0.872	8.12647053050416e-106	B	S100A6
5.08296969770951e-108	0.820387854720364	0.985	0.926	3.4116257239814e-105	B	RPS29
5.91643400301918e-101	-0.723813201617448	0.95	0.995	3.73744616226018e-98	B	MT-RNR1
1.46383332913089e-94	3.73338118205861	0.451	0.153	8.73339228974259e-92	B	JCHAIN
2.4269558875946e-91	0.961060483587993	0.7	0.336	1.37174101457255e-88	B	HLA-DRA
3.69460416837634e-85	1.19104020596205	0.442	0.138	1.88935019829493e-82	B	LAPTM5
5.80785976137677e-84	1.31261998708206	0.589	0.28	2.83502754442842e-81	B	EZR
6.24292100786416e-81	3.5908458363931	0.662	0.402	2.91490124797623e-78	B	IGHA1
4.91378884353737e-79	0.757494760520194	0.943	0.863	2.19871576628116e-76	B	RPLP2
2.98497652854163e-76	0.817237256627506	0.105	0.008	1.28222651760034e-73	B	SLAMF7
3.79928363566639e-75	-0.64190123793687	0.799	0.976	1.5692502678239e-72	B	HSPA1A
4.95266328112953e-74	1.11340680015642	0.172	0.025	1.96987596207593e-71	B	CD48
1.14027532561488e-73	-1.0580968963944	0.277	0.708	4.37336311492078e-71	B	ITM2B
1.51991548120904e-73	-1.11435740631753	0.428	0.771	5.62840425955305e-71	B	CST3
1.07716081925032e-72	0.689841181305779	0.962	0.896	3.85587667930974e-70	B	RPL21
4.17351580674e-69	-1.32608365933172	0.199	0.612	1.44578665318003e-66	B	ATF3
2.08358377777141e-68	-0.913733587821933	0.507	0.832	6.99237693421475e-66	B	JUNB
2.57067094619032e-68	-1.13268817676458	0.205	0.633	8.36558645185995e-66	B	IFITM3
6.61443933389839e-67	0.792823316230416	0.109	0.01	2.08919011784514e-64	B	RHOH
1.38526105475509e-65	-0.53672279793856	1	1	4.2503767048614e-63	B	MT-RNR2
2.3229877727321e-62	0.522270732297276	0.969	0.938	6.92960158093611e-60	B	RPLP1
3.93257319642059e-62	-1.02756996887245	0.298	0.698	1.14140279882056e-59	B	ANXA1
2.79306225013271e-61	0.617687085575844	0.956	0.885	7.89334092215135e-59	B	RPS27A
6.14312505040954e-61	1.07283833197963	0.229	0.053	1.69156461323969e-58	B	ISG20
2.21617566456278e-58	-1.27260017207747	0.231	0.594	5.94987761543494e-56	B	CLU
1.2603476589192e-55	-0.932218300721742	0.545	0.801	3.30118866076422e-53	B	FOSB
2.05821595797613e-55	-1.32250400520491	0.44	0.704	5.26266218397754e-53	B	MGP
2.29577531337181e-55	-1.22610034308506	0.243	0.591	5.73356536983717e-53	B	EGR1
7.98523825584499e-55	0.625441902634781	0.931	0.825	1.94894258248908e-52	B	RPS19
2.29347768117657e-54	0.569225317902974	0.948	0.877	5.47325707070116e-52	B	RPL27A
3.87568895905409e-54	-0.939409182467638	0.27	0.643	9.02141781046149e-52	B	S100A10
3.94828789544362e-54	-1.346230578679	0.168	0.53	9.02141781046149e-52	B	EMP1
4.64962157333807e-54	-0.891033015722124	0.243	0.624	1.04025595991828e-51	B	ANXA2
2.23803965004897e-53	0.552960162956035	0.958	0.897	4.80686156037518e-51	B	RPS14
7.28231370437579e-53	-1.35094840651894	0.21	0.555	1.53342680139788e-50	B	GSN
2.7062237928855e-52	-1.32093091795523	0.12	0.471	5.48342213430139e-50	B	SOCS3
1.08950680232336e-50	-1.25662677064925	0.132	0.477	2.12731155457283e-48	B	SERPING1
