p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.47561486164156e-43	0.478806459403804	0.538	0.02	9.22586348037987e-39	Ciliated	FRMPD2
2.65207015202978e-42	0.857938885903242	0.731	0.048	2.23423649957749e-38	Ciliated	C4orf47
4.11250331694379e-37	0.431778771955882	0.5	0.021	2.30971894623953e-33	Ciliated	C2orf70
5.55813371617464e-37	1.29378920217805	0.808	0.078	2.34122487459566e-33	Ciliated	STOML3
8.60609724659671e-36	0.387030829269782	0.538	0.028	2.90008265015816e-32	Ciliated	ATP6V1C2
9.67950978026997e-35	0.328103708142838	0.346	0.008	2.71816767146281e-31	Ciliated	TTLL6
2.89055244755027e-34	0.634059739670565	0.538	0.031	6.9575597412535e-31	Ciliated	KCNE1
3.35473690353934e-34	1.1301449512879	0.577	0.037	7.06549526096678e-31	Ciliated	DTHD1
9.02788269453954e-33	0.489570857199305	0.5	0.027	1.69011995022552e-29	Ciliated	GAS2L2
1.98589635337926e-32	1.15681982298871	0.654	0.055	3.34603676580871e-29	Ciliated	FABP6
1.1924103375406e-31	1.21108700099293	0.654	0.058	1.82644743429286e-28	Ciliated	DNAI1
1.60346164124334e-31	1.24682889708711	0.731	0.075	2.25139376610908e-28	Ciliated	CCDC78
3.47516839350886e-31	1.01797860237104	0.615	0.051	4.50408555863314e-28	Ciliated	TCTEX1D1
6.40140442114781e-30	0.609213781729948	0.5	0.031	6.74107894324497e-27	Ciliated	SPATA4
3.10616261213967e-29	0.584305689994414	0.5	0.032	3.07857257952595e-26	Ciliated	PPP1R42
3.61897362046595e-29	1.42832240608969	0.577	0.047	3.38756036284616e-26	Ciliated	DLEC1
2.33382995128485e-28	0.786381586368768	0.538	0.04	2.06961583416834e-25	Ciliated	HRASLS2
5.55289916810804e-28	1.02801987503625	0.577	0.05	4.67803990417262e-25	Ciliated	ANKRD66
8.92662891750729e-28	1.47042332228797	0.654	0.068	7.16213193481335e-25	Ciliated	DNAAF1
1.24351374306912e-27	0.423723876686667	0.5	0.033	9.5236195713507e-25	Ciliated	MARCH10
1.54740157536368e-27	0.460637895022337	0.577	0.047	1.13357257144794e-24	Ciliated	CCDC60
5.14525240339611e-27	0.9695907471292	0.769	0.102	3.61218157270088e-24	Ciliated	CCDC81
6.89930892668243e-27	0.534901264358623	0.615	0.06	4.64985824422689e-24	Ciliated	EFCAB10
1.24707492054912e-26	0.861092431642504	0.577	0.054	8.0815251293585e-24	Ciliated	ENPP5
1.58949594840892e-26	1.32302608343609	0.769	0.106	9.91904342027477e-24	Ciliated	ARMC3
3.8303734409337e-26	1.0016631638713	0.538	0.046	2.30492721808185e-23	Ciliated	WDR38
1.07107074292959e-25	0.781766292215968	0.5	0.039	6.22292101642092e-23	Ciliated	KIF19
1.38990339507624e-25	0.95727502489524	0.462	0.032	7.80616076787985e-23	Ciliated	RP1
5.38567857020831e-25	1.25577351698735	0.692	0.09	2.83572806967e-22	Ciliated	C6orf118
