p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.32427538639519	0.802	0.031	0	Amacrine	GAD1
0	2.10134462121757	0.809	0.121	0	Amacrine	SYNPR
0	1.87207024802954	0.703	0.038	0	Amacrine	TFAP2B
0	1.7082624887135	0.752	0.022	0	Amacrine	TFAP2A
0	1.49549035560262	0.925	0.416	0	Amacrine	PAX6
0	1.47892077109384	0.584	0.12	0	Amacrine	MEIS2
0	1.36273007463206	0.892	0.307	0	Amacrine	CELF4
0	1.29439269778702	0.742	0.281	0	Amacrine	DTNBP1
0	1.16724425864282	0.593	0.17	0	Amacrine	RALYL
0	1.1639294989922	0.599	0.166	0	Amacrine	SCG2
0	1.15769322817698	0.931	0.494	0	Amacrine	MEG3
0	1.13824916556149	0.221	0.007	0	Amacrine	NRGN
0	1.10840841866931	0.74	0.191	0	Amacrine	ELAVL3
0	1.04009190993685	0.825	0.314	0	Amacrine	C16orf45
0	1.02490652103658	0.762	0.235	0	Amacrine	JPH4
0	0.995843095179013	0.512	0.026	0	Amacrine	GABRA2
0	0.976079678996684	0.992	0.814	0	Amacrine	SYT1
0	0.972195754380941	0.471	0.093	0	Amacrine	ANKS1B
0	0.969044892410137	0.7	0.242	0	Amacrine	SNCA
0	0.968276691748327	0.378	0.025	0	Amacrine	FILIP1L
0	0.967926766466976	0.486	0.164	0	Amacrine	LRRC4C
0	0.957103674572929	0.822	0.383	0	Amacrine	MARCKSL1
0	0.952938045278787	0.657	0.325	0	Amacrine	LMO4
0	0.948513568364695	0.696	0.216	0	Amacrine	GRIA4
0	0.947826301336175	0.84	0.444	0	Amacrine	BASP1
0	0.933493283512023	0.361	0.08	0	Amacrine	FXYD6
0	0.913610734318747	0.644	0.204	0	Amacrine	NRXN2
0	0.910019015983526	0.679	0.202	0	Amacrine	RBFOX2
0	0.888524489350712	0.755	0.332	0	Amacrine	NREP
0	0.872548050906383	0.919	0.561	0	Amacrine	RAB3A
0	0.870269108174367	0.89	0.664	0	Amacrine	BNIP3
0	0.862719722484765	0.715	0.32	0	Amacrine	FEZ1
0	0.85971883885363	0.521	0.174	0	Amacrine	PGM2L1
0	0.853046256968657	0.43	0.092	0	Amacrine	LRRN3
0	0.850835652836504	0.546	0.216	0	Amacrine	PBX1
0	0.845255783092323	0.773	0.313	0	Amacrine	CHN1
0	0.834380723699203	0.445	0.074	0	Amacrine	RASGRF1
0	0.832948401321752	0.732	0.272	0	Amacrine	SV2A
0	0.824118703643902	0.722	0.297	0	Amacrine	PCLO
0	0.82218383477031	0.561	0.137	0	Amacrine	SH3BP5
0	0.821764656114407	0.721	0.333	0	Amacrine	DNER
0	0.81580378633565	0.419	0.071	0	Amacrine	C1QL1
0	0.810143643185436	0.718	0.351	0	Amacrine	TKT
0	0.799243012079006	0.211	0.014	0	Amacrine	EGR4
0	0.798524843087294	0.397	0.047	0	Amacrine	RGS4
0	0.793685930702868	0.664	0.312	0	Amacrine	PTN
0	0.787693948211179	0.682	0.278	0	Amacrine	NAP1L3
0	0.78520229843226	0.945	0.411	0	Amacrine	ATP1B1
0	0.78440493981495	0.382	0.047	0	Amacrine	NPTX2
0	0.778975493012161	0.457	0.1	0	Amacrine	TMEM178A
0	0.776431249316543	0.755	0.363	0	Amacrine	SRPK2
0	0.776046322377424	0.163	0.004	0	Amacrine	DIRAS3
0	0.774646718980662	0.677	0.26	0	Amacrine	SRGAP3
0	0.756525733651245	0.821	0.495	0	Amacrine	MTCH1
0	0.752659627118969	0.226	0.036	0	Amacrine	SSTR2
0	0.747463338988225	0.901	0.583	0	Amacrine	CALM3
0	0.742479239882086	0.75	0.364	0	Amacrine	TMEM59L
0	0.741941805436472	0.537	0.129	0	Amacrine	NLRP1
0	0.741376788223704	0.245	0.02	0	Amacrine	RPRM
0	0.735178324281664	0.327	0.032	0	Amacrine	TBX3
0	0.727770229365563	0.94	0.78	0	Amacrine	CCNI
0	0.720694834677951	0.625	0.262	0	Amacrine	CALY
0	0.718367789851036	0.658	0.279	0	Amacrine	CABP1
0	0.718273707664195	0.46	0.179	0	Amacrine	PTPRS
0	0.713214472606317	0.665	0.309	0	Amacrine	FDFT1
0	0.70684224870047	0.549	0.189	0	Amacrine	MAPK10
0	0.701342230911968	0.388	0.039	0	Amacrine	FGF13
0	0.697281085678748	0.417	0.101	0	Amacrine	PEG3
0	0.696597899503707	0.925	0.651	0	Amacrine	BEX1
0	0.682819496638783	0.361	0.044	0	Amacrine	DUSP4
0	0.680976544735865	0.578	0.214	0	Amacrine	RD3L
0	0.680925616180805	0.539	0.189	0	Amacrine	FBXW7
0	0.679955343163985	0.258	0.036	0	Amacrine	VGF
0	0.678183213140382	0.362	0.053	0	Amacrine	SCN3B
0	0.677405045403918	0.593	0.218	0	Amacrine	SYN1
0	0.677239657729197	0.634	0.238	0	Amacrine	PRKAR1B
0	0.671366866143818	0.54	0.191	0	Amacrine	DNM3
0	0.669534852319411	0.582	0.203	0	Amacrine	LNP1
0	0.669231453778282	0.795	0.335	0	Amacrine	SCG5
0	0.666384148011103	0.667	0.303	0	Amacrine	LINC00632
0	0.665136688042574	0.577	0.252	0	Amacrine	HMGCS1
0	0.664481170132795	0.363	0.104	0	Amacrine	CCDC85A
0	0.662913409453528	0.982	0.929	0	Amacrine	VAMP2
0	0.662574490081702	0.339	0.062	0	Amacrine	RASGEF1B
0	0.661783358662541	0.409	0.088	0	Amacrine	MIR181A1HG
0	0.654443433031377	0.814	0.441	0	Amacrine	RTN1
0	0.644523945781926	0.65	0.302	0	Amacrine	THRA
0	0.641123504213891	0.43	0.099	0	Amacrine	RNF165
0	0.638716522584629	0.467	0.113	0	Amacrine	KCNAB3
0	0.636076707265648	0.543	0.242	0	Amacrine	CALB2
0	0.635431015391533	0.593	0.287	0	Amacrine	H1F0
0	0.632308642486915	0.698	0.495	0	Amacrine	HIST1H4C
0	0.628392487059063	0.669	0.304	0	Amacrine	DNM1
0	0.627535658984604	0.432	0.13	0	Amacrine	GNG2
0	0.627452547108652	0.863	0.562	0	Amacrine	BEX4
0	0.626306469079394	0.683	0.335	0	Amacrine	SNHG7
0	0.624803603233108	0.789	0.476	0	Amacrine	CTSF
0	0.623441480439529	0.556	0.23	0	Amacrine	RAP1GAP
0	0.622811650843395	0.89	0.601	0	Amacrine	YWHAB
0	0.622562865776163	0.858	0.566	0	Amacrine	BEX2
0	0.619108901139482	0.603	0.24	0	Amacrine	TCEAL6
0	0.618257331089812	0.374	0.077	0	Amacrine	SEMA6A
0	0.617758659911885	0.715	0.348	0	Amacrine	CNRIP1
0	0.608478063455643	0.446	0.155	0	Amacrine	CHD5
0	0.607044694332258	0.704	0.319	0	Amacrine	NPDC1
0	0.606259689119278	0.806	0.463	0	Amacrine	MORF4L2
0	0.606076065098652	0.643	0.239	0	Amacrine	CTBP2
0	0.605267751557318	0.869	0.573	0	Amacrine	TSC22D1
0	0.604462455505434	0.606	0.249	0	Amacrine	KIF5C
0	0.602648060793628	0.639	0.264	0	Amacrine	GPR162
0	0.602035306200908	0.426	0.182	0	Amacrine	PAM
0	0.596320010265916	0.528	0.197	0	Amacrine	PKIA
0	0.590838007033243	0.271	0.079	0	Amacrine	IFI27
0	0.586918833351364	0.744	0.413	0	Amacrine	PCBP3
0	0.58655419118409	0.298	0.057	0	Amacrine	WIPF3
0	0.58384489025717	0.305	0.049	0	Amacrine	KLHL5
0	0.579077205452448	0.876	0.487	0	Amacrine	TAGLN3
0	0.575827560441066	0.618	0.219	0	Amacrine	SULT4A1
0	0.57566041697756	0.699	0.322	0	Amacrine	PODXL2
0	0.573211426914669	0.46	0.19	0	Amacrine	GAP43
0	0.572099952499421	0.593	0.311	0	Amacrine	LSAMP
0	0.570721702100562	0.67	0.338	0	Amacrine	YPEL3
0	0.565694000255076	0.412	0.116	0	Amacrine	YPEL4
0	0.565450253477332	0.607	0.284	0	Amacrine	BLCAP
0	0.565256141531372	0.673	0.382	0	Amacrine	CRMP1
0	0.564083185227031	0.553	0.239	0	Amacrine	STX7
0	0.563472759438172	0.948	0.783	0	Amacrine	STMN1
0	0.56005458974996	0.64	0.323	0	Amacrine	AP1S2
0	0.558642799448217	0.417	0.185	0	Amacrine	CRTAC1
0	0.558200287205066	0.598	0.261	0	Amacrine	CLIP3
0	0.557590029842956	0.844	0.629	0	Amacrine	CLTB
0	0.557274198136927	0.379	0.059	0	Amacrine	CELF5
0	0.557033445620558	0.56	0.248	0	Amacrine	FBXO44
0	0.552913445826747	0.498	0.269	0	Amacrine	TSPAN5
0	0.549512779168021	0.359	0.046	0	Amacrine	AMIGO2
0	0.549507624882089	0.566	0.206	0	Amacrine	PPFIA2
0	0.549098027413136	0.442	0.142	0	Amacrine	CD200
0	0.544931180518936	0.729	0.405	0	Amacrine	OXR1
0	0.544890670054112	0.472	0.15	0	Amacrine	FSCN1
0	0.542630511260588	0.708	0.365	0	Amacrine	TCEAL7
0	0.53604517204604	0.77	0.466	0	Amacrine	SERINC1
0	0.535679710120823	0.588	0.279	0	Amacrine	TCEAL5
0	0.5353722120805	0.529	0.239	0	Amacrine	ULK3
0	0.53110403572007	0.852	0.533	0	Amacrine	TSPAN7
0	0.530739721449779	0.364	0.07	0	Amacrine	FRMD5
0	0.529710406319729	0.694	0.358	0	Amacrine	IDS
0	0.528398452034518	0.468	0.187	0	Amacrine	GABBR1
0	0.527431799061281	0.359	0.12	0	Amacrine	MAB21L2
0	0.52721995263477	0.944	0.841	0	Amacrine	PGAM1
0	0.5271646385166	0.748	0.443	0	Amacrine	RCN2
0	0.526560548519951	0.935	0.765	0	Amacrine	SARAF
0	0.525617694472173	0.53	0.291	0	Amacrine	DOK5
0	0.523048204419231	0.606	0.325	0	Amacrine	RHBDD2
0	0.522480340361462	0.454	0.201	0	Amacrine	C1orf21
0	0.520105112698165	0.84	0.472	0	Amacrine	KLC1
0	0.519569809924591	0.423	0.168	0	Amacrine	MYT1L
0	0.518167566271662	0.307	0.038	0	Amacrine	IGFBP4
0	0.517717083493258	0.44	0.137	0	Amacrine	PLCB4
0	0.515952755730637	0.983	0.943	0	Amacrine	ALDOA
0	0.515124958329381	0.789	0.428	0	Amacrine	ATP6V1G2
0	0.51268532188306	0.472	0.178	0	Amacrine	NAT14
0	0.51199848364023	0.672	0.335	0	Amacrine	KIF3A
0	0.511538779083179	0.374	0.065	0	Amacrine	SYCE1L
0	0.508675317168108	0.52	0.227	0	Amacrine	TSPYL2
0	0.507855503814232	0.532	0.249	0	Amacrine	SQLE
0	0.507814430645719	0.317	0.118	0	Amacrine	ARHGEF4
0	0.506965164473659	0.793	0.449	0	Amacrine	NAPB
0	0.505721717899963	0.792	0.476	0	Amacrine	PGRMC1
0	0.502089808276694	0.919	0.759	0	Amacrine	CFL1
0	0.500999672433567	0.522	0.218	0	Amacrine	DNAJC12
0	0.500817010546541	0.808	0.517	0	Amacrine	ANKRD12
0	0.498245062397825	0.782	0.459	0	Amacrine	ATP6V1B2
0	0.4946099640726	0.449	0.233	0	Amacrine	NEDD4L
0	0.494596704670033	0.526	0.238	0	Amacrine	DPYSL4
0	0.494150921016712	0.491	0.208	0	Amacrine	ATCAY
0	0.493903898528216	0.4	0.156	0	Amacrine	MAPK8IP1
0	0.49178183561326	0.463	0.087	0	Amacrine	KCNA5
0	0.491527574842318	0.425	0.14	0	Amacrine	MTSS1
0	0.491511004764827	0.806	0.452	0	Amacrine	DPYSL2
0	0.489968131248668	0.927	0.626	0	Amacrine	PCSK1N
0	0.48825476712361	0.356	0.058	0	Amacrine	FGF14
0	0.486904387715127	0.412	0.133	0	Amacrine	B3GAT2
0	0.48571230410965	0.382	0.159	0	Amacrine	NTRK3
0	0.485533037679455	0.418	0.174	0	Amacrine	FRRS1L
0	0.484176353280241	0.282	0.079	0	Amacrine	SYT5
0	0.483922534085446	0.387	0.141	0	Amacrine	FAM216A
0	0.483427207141379	0.316	0.128	0	Amacrine	PHACTR3
0	0.483173401384306	0.28	0.046	0	Amacrine	CACNA2D2
0	0.482952874984287	0.366	0.138	0	Amacrine	RHBDL1
0	0.479087041318198	0.155	0.024	0	Amacrine	TPD52L1
0	0.477291670102908	0.773	0.458	0	Amacrine	IDI1
0	0.476410941906544	0.568	0.293	0	Amacrine	MSMO1
0	0.475639162834678	0.678	0.367	0	Amacrine	UGP2
0	0.471747250849752	0.579	0.299	0	Amacrine	KLHDC3
0	0.471164924528977	0.45	0.139	0	Amacrine	CNTFR
0	0.470398305369324	0.722	0.442	0	Amacrine	SCD5
0	0.469928007283284	0.561	0.269	0	Amacrine	SPINT2
0	0.469925367198863	0.471	0.215	0	Amacrine	CEP126
0	0.468673567869486	0.74	0.433	0	Amacrine	USP11
0	0.46800609725648	0.444	0.188	0	Amacrine	PRRT2
0	0.467629572611935	0.385	0.159	0	Amacrine	FGF11
0	0.466879034372474	0.214	0.018	0	Amacrine	NRP1
0	0.464976782171811	0.48	0.255	0	Amacrine	EEF1E1
0	0.46448307752439	0.77	0.46	0	Amacrine	PLD3
0	0.464018299460973	0.277	0.057	0	Amacrine	ATG9B
0	0.463983459815074	0.668	0.383	0	Amacrine	MTUS1
0	0.462756125363098	0.812	0.425	0	Amacrine	STMN3
0	0.461334281472719	0.35	0.118	0	Amacrine	ELMO1
0	0.461038423769758	0.222	0.006	0	Amacrine	ZCCHC12
0	0.458989621904141	0.446	0.197	0	Amacrine	CTNNA1
0	0.458935250959748	0.35	0.129	0	Amacrine	TLN2
0	0.457733195407737	0.316	0.104	0	Amacrine	CACNB3
0	0.457507290123584	0.788	0.492	0	Amacrine	DDX24
0	0.456154034333953	0.506	0.27	0	Amacrine	CBX6
0	0.455065669452224	0.219	0.045	0	Amacrine	BHLHE22
0	0.453644639689881	0.597	0.349	0	Amacrine	B4GAT1
0	0.453598289708728	0.491	0.222	0	Amacrine	ACHE
0	0.452096222403799	0.804	0.432	0	Amacrine	MLLT11
0	0.451992850699998	0.402	0.159	0	Amacrine	PLEKHA1
0	0.45178917308464	0.405	0.087	0	Amacrine	MMD
0	0.451480261163447	0.763	0.431	0	Amacrine	GDI1
0	0.449602237626161	0.959	0.865	0	Amacrine	CIRBP
0	0.447427628745655	0.507	0.234	0	Amacrine	PACSIN1
0	0.446760471934065	0.681	0.403	0	Amacrine	TCEAL3
0	0.446307386682304	0.513	0.239	0	Amacrine	GSK3B
0	0.445784875893618	0.353	0.121	0	Amacrine	MRAS
0	0.44531218239951	0.379	0.135	0	Amacrine	PDLIM7
0	0.444109972139954	0.453	0.205	0	Amacrine	NBL1
0	0.442783620263389	0.283	0.086	0	Amacrine	CACNB4
0	0.441308472709649	0.41	0.104	0	Amacrine	PAK3
0	0.438886085793439	0.512	0.236	0	Amacrine	PRKCZ
0	0.437269302820181	0.633	0.337	0	Amacrine	PLEKHB2
0	0.436373124147782	0.748	0.466	0	Amacrine	TCEAL2
0	0.436120993040262	0.188	0.03	0	Amacrine	PPFIBP1
0	0.435283470493129	0.36	0.109	0	Amacrine	HIST1H2AC
0	0.435236773233117	0.262	0.021	0	Amacrine	ZNF385C
0	0.43247747386957	0.72	0.382	0	Amacrine	SEZ6L2
0	0.432176925482119	0.284	0.091	0	Amacrine	HIP1R
0	0.430057808665601	0.543	0.285	0	Amacrine	IGSF8
0	0.426365115808201	0.336	0.111	0	Amacrine	ZNF503
0	0.424822237111862	0.308	0.1	0	Amacrine	DLGAP1
0	0.422947262549599	0.575	0.321	0	Amacrine	H1FX
0	0.422471297060891	0.625	0.344	0	Amacrine	PURA
0	0.42222801334776	0.439	0.208	0	Amacrine	C1orf216
