p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.43238360801459e-65	1.82035683869084	0.463	0.053	1.62475272657095e-61	Epithelial	GNG11
3.80322208136252e-59	1.71971111120827	0.213	0.004	2.15699740344475e-55	Epithelial	ESAM
5.2361922784957e-52	1.8047817833789	0.256	0.014	1.97980430049922e-48	Epithelial	WNT2B
6.83559651459381e-50	1.79757194857747	0.256	0.016	1.93840428162594e-46	Epithelial	TFPI2
9.74434954004782e-50	1.64025607196223	0.226	0.01	2.21060313665525e-46	Epithelial	CAV1
6.91059072361674e-47	1.61891120093734	0.287	0.025	1.30644717629975e-43	Epithelial	IGFBP7
1.07279418081679e-44	1.68003325190145	0.317	0.035	1.73838634185784e-41	Epithelial	TYRP1
2.9885615509382e-43	1.44766096980443	0.195	0.008	4.2374067090365e-40	Epithelial	RAB38
3.75169397774183e-42	1.54716796985565	0.677	0.248	4.72838497661395e-39	Epithelial	VIM
2.27605199257963e-40	1.57315656254128	0.445	0.093	2.58172577518307e-37	Epithelial	ASAH1
9.3031856811782e-40	1.2309934750368	0.146	0.003	9.5932759256004e-37	Epithelial	PECAM1
9.34005910428464e-38	1.31501829144577	0.305	0.04	8.82869086832506e-35	Epithelial	TRPM3
2.28240350391726e-37	1.90306878724941	0.183	0.01	1.99148484191796e-34	Epithelial	COL4A1
4.10795384324827e-36	1.40349039636151	0.494	0.127	3.32832288885465e-33	Epithelial	ITM2B
1.11782279766572e-35	1.47119610783138	0.61	0.205	8.45297599594815e-33	Epithelial	B2M
1.45126735183189e-35	1.24038015348387	0.177	0.01	1.02885784823932e-32	Epithelial	MITF
8.50133446045828e-34	0.824526035822144	0.11	0.001	5.67239039911637e-31	Epithelial	ADGRF5
1.21864014077666e-33	-2.05619757246093	0.268	0.702	7.67946395379428e-31	Epithelial	CRABP1
7.59543816682662e-32	1.18171947307062	0.14	0.006	4.5344765855955e-29	Epithelial	EMCN
7.85580034204045e-31	1.32915962423816	0.183	0.015	4.45541716398824e-28	Epithelial	COL4A2
5.90409567666846e-30	1.0335104842933	0.104	0.001	3.18755944529759e-27	Epithelial	VWF
6.18234221956687e-30	1.56095854549636	0.152	0.009	3.18755944529759e-27	Epithelial	A2M
4.03422245882762e-29	-1.73196665774862	0.457	0.754	1.9895732761079e-26	Epithelial	TUBA1A
