p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.58552942998338	0.628	0.006	0	B	MZB1
3.56417430213559e-304	1.7809931665091	0.363	0.002	2.57511593329296e-300	B	CD79A
1.2531605642211e-242	2.00024063595108	0.619	0.023	6.03605671766495e-239	B	FKBP11
1.39074037894528e-220	1.85751506081513	0.46	0.012	5.02404961893981e-217	B	DERL3
3.61914507891503e-203	4.99717792210058	0.965	0.103	1.04593292780644e-199	B	JCHAIN
5.72188940517056e-193	1.07431752281122	0.212	0	1.37802169841191e-189	B	CD27
5.94980721210551e-149	0.867931824873267	0.159	0	1.22821020307035e-145	B	TNFRSF17
3.99209735463072e-124	0.942527692548511	0.142	0	7.21072584680174e-121	B	AL928768.3
1.18393908037062e-119	0.856831494617634	0.15	0.001	1.90087996792838e-116	B	RP11-492E3.2
1.15165105140642e-107	3.88216541396018	0.159	0.002	1.66413576928228e-104	B	IGLL5
3.89474671637947e-106	3.280099976081	0.195	0.004	5.1162809137894e-103	B	IGLV6-57
2.37746173039305e-94	1.0974627735123	0.239	0.008	2.45388014315568e-91	B	SLAMF7
1.77047818454531e-78	5.12475292079402	0.416	0.04	1.50490645686351e-75	B	IGLC3
2.54787867912663e-78	2.20411237147735	0.894	0.293	2.04538038407665e-75	B	SSR4
2.74519122346909e-70	3.21409481379807	0.124	0.002	1.98340065895642e-67	B	IGLV1-47
4.53095608552126e-70	0.647665321756173	0.124	0.002	3.11772930646582e-67	B	MEI1
5.46527455797992e-70	1.51845294439457	0.549	0.079	3.58969169830954e-67	B	SEC11C
8.48589744624568e-70	5.06727075671421	0.584	0.101	5.33135730861957e-67	B	IGHA1
8.9262656665738e-63	1.1497518425791	0.221	0.012	5.15938155527965e-60	B	RHOH
1.79556137192323e-60	5.14648087959135	0.478	0.074	9.60957845344099e-58	B	IGHG1
8.25006323322553e-57	4.96352151554881	0.398	0.053	4.25762191857532e-54	B	IGHG4
3.32448207367795e-49	3.50337186655991	0.221	0.017	1.60129219882155e-46	B	IGHG3
1.67964497541611e-45	5.37268459231692	0.575	0.148	6.9345342556465e-43	B	IGLC2
1.31578462847505e-42	-1.00496707976369	0.982	0.993	5.13867240039581e-40	B	MT-ND4
1.80716897919429e-42	1.46507576249885	0.558	0.129	6.8719978287783e-40	B	HERPUD1
8.95024190015887e-41	4.84649357828803	0.823	0.435	3.31617937069989e-38	B	IGKC
1.55827484522806e-38	-1.00813539507002	0.991	0.999	5.36120750322511e-36	B	MT-RNR1
3.49012249502264e-36	-0.862471159238323	0.956	0.987	1.17284348960645e-33	B	MT-ATP6
2.867809513358e-34	4.74917395407126	0.336	0.059	9.41814715182343e-32	B	IGHA2
5.81640532768587e-32	-0.884746982509113	0.982	0.982	1.82710993445784e-29	B	MT-CO1
7.26357678167053e-32	0.942758346263189	0.372	0.07	2.1866392603154e-29	B	VIMP
1.34722739234308e-31	0.64286705788161	0.124	0.008	3.89348716387151e-29	B	GNG7
2.7011068120662e-31	-0.790125984514904	1	1	7.65313596752089e-29	B	MT-RNR2
4.42305505559253e-30	-0.795702421964743	0.956	0.982	1.22909895294831e-27	B	MT-CO3
5.43558232429807e-30	1.13972396069628	0.416	0.097	1.48196536954919e-27	B	PRDX4
5.84260618898043e-30	0.556874350635576	0.15	0.013	1.5634381376068e-27	B	RAB30
4.19352497731339e-26	0.910610542526003	0.257	0.041	1.08207921289605e-23	B	CD48
3.60369639883484e-25	0.998139619676743	0.46	0.132	9.13568648476552e-23	B	FKBP2
7.73811676052789e-25	0.647811082040409	0.204	0.028	1.92785839982117e-22	B	CYTIP
1.04511531003572e-23	4.08646473688182	0.142	0.015	2.4757239721338e-21	B	IGHG2
4.10484408206333e-23	-1.18345377787717	0.451	0.757	9.56693499771212e-21	B	IFITM3
2.66506121506362e-22	-1.04494918521959	0.673	0.882	6.01790912430034e-20	B	FTH1
1.22255090552295e-21	-0.639860190471304	0.929	0.969	2.63669560967264e-19	B	MT-CYB
2.46286990149186e-21	0.956802285982237	0.372	0.096	5.23359854067021e-19	B	CFLAR
3.14042557879346e-21	-0.71353714985634	0.867	0.94	6.5766883497921e-19	B	MT-ND1
5.00290970740928e-21	0.69827940518513	0.204	0.033	1.03274350388663e-18	B	FAM46C
6.43607716409822e-21	-1.76510454366879	0.177	0.591	1.29168493085027e-18	B	ANXA1
7.97405383010075e-21	-0.956262113662213	0.611	0.849	1.5784257239035e-18	B	MT-ND5
2.01237829217478e-20	0.975452963024219	0.611	0.247	3.92957652998995e-18	B	HSP90B1
4.04833255509644e-20	-0.709188140058841	0.85	0.928	7.7997873894858e-18	B	MT-CO2
2.01449988282837e-19	0.924897391559395	0.354	0.097	3.78045757232076e-17	B	SPCS2
5.03017163186797e-19	-0.601828707855736	0.903	0.966	9.3187153949349e-17	B	MT-ND2
2.86837505013365e-18	0.817390999804255	0.575	0.234	5.2465847435989e-16	B	SEC61B
4.05896285592731e-18	-0.907311698167227	0.575	0.809	7.24098929236414e-16	B	S100A6
8.75493454238249e-18	0.793844423952817	0.195	0.036	1.54279029435887e-15	B	PLPP5
2.73470495020116e-17	0.630145568985246	0.168	0.028	4.70434363457223e-15	B	SPCS3
8.81935524678353e-17	0.558155434142901	0.204	0.039	1.46482394616117e-14	B	PDE4B
9.22379425585973e-17	0.957683272897526	0.531	0.216	1.51458894314969e-14	B	BIRC3
1.04531867447271e-15	-0.653004799047645	0.743	0.883	1.64183204849246e-13	B	RPS24
1.16715420153821e-15	-2.21536336187802	0.23	0.565	1.81348152819646e-13	B	HLA-DRA
3.49190368300821e-15	-1.75064637848367	0.177	0.521	5.36787321483708e-13	B	CLU
4.22062855790931e-15	-1.24496252888115	0.265	0.577	6.41979817492522e-13	B	ITM2B
9.30534103563622e-15	-0.746278433699713	0.628	0.798	1.40064768713483e-12	B	MTATP6P1
