p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.13144552705636e-47	0.351523790848566	0.512	0.282	3.20613286609777e-43	Cholangiocyte	S100A8
1.46975381733604e-39	0.391423284513405	0.506	0.293	5.12356180723342e-36	Cholangiocyte	S100A9
4.46069525982372e-39	0.290074172832863	0.566	0.331	1.16624877568091e-35	Cholangiocyte	SERPINA1
2.3604510976082e-30	0.370856480326545	0.431	0.247	4.1142662631311e-27	Cholangiocyte	REG1A
5.77933482172498e-27	0.267174242141826	0.931	0.856	6.71558706284443e-24	Cholangiocyte	MT-RNR1
9.56272585533057e-20	0.327285011318708	0.369	0.23	8.66266362057313e-17	Cholangiocyte	SERPINA3
9.939946782069e-20	0.299933105221013	0.349	0.207	8.66266362057313e-17	Cholangiocyte	SPINK1
6.9536105486617e-17	0.283774431921347	0.305	0.178	4.27769759517082e-14	Cholangiocyte	TM4SF4
1.6205592290584e-11	0.359613724844473	0.202	0.119	7.06158684062198e-09	Cholangiocyte	ALOX5AP
1.67213979821391e-09	-0.292254176011566	0.323	0.218	6.24544214632897e-07	Cholangiocyte	IL1B
1.62841090951895e-08	-0.317260888103473	0.258	0.365	5.16058220962096e-06	Cholangiocyte	HSPD1
4.85045791814372e-08	-0.274142442229082	0.126	0.213	1.40905802522075e-05	Cholangiocyte	ARF1
2.33707443734809e-07	0.324267722592958	0.168	0.108	5.81931534899674e-05	Cholangiocyte	FXYD3
6.83165180193524e-07	-0.25825062330463	0.258	0.353	0.000155316118575302	Cholangiocyte	SERPINH1
1.2055758162629e-06	-0.372835097748906	0.349	0.261	0.000247213958558381	Cholangiocyte	SERPINB2
2.8132177559516e-06	-0.311321410224134	0.394	0.49	0.000525368415923962	Cholangiocyte	CTSL
6.16191764630978e-06	-0.350307815039362	0.242	0.323	0.00102287832928742	Cholangiocyte	IGFBP7
9.33871020375178e-06	-0.39320465533768	0.36	0.429	0.00143623869574759	Cholangiocyte	CXCL2
1.09861163862875e-05	-0.279663249118098	0.066	0.119	0.00164132578811135	Cholangiocyte	CCT2
1.15549891074555e-05	0.262367546437715	0.446	0.408	0.00170200107163056	Cholangiocyte	MT-ND3
1.94746481381543e-05	-0.253859411783925	0.141	0.208	0.00261110090036946	Cholangiocyte	MFAP4
4.62840441722361e-05	-0.259147485458432	0.061	0.108	0.00517427786837638	Cholangiocyte	EID1
8.52510836140436e-05	-0.263203159901012	0.08	0.129	0.00831916157825878	Cholangiocyte	IGFBP6
