p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.9148261826018e-243	3.28403275705293	0.899	0.037	5.77492076455712e-239	Dendritic	HLA-DPB1
3.58921887716841e-226	3.3730924723315	0.944	0.049	2.10866609033644e-222	Dendritic	HLA-DPA1
6.85145125171731e-205	2.075858039431	0.674	0.019	2.68348507358928e-201	Dendritic	LSP1
1.72044177806924e-195	2.63693031508937	0.809	0.037	5.0537977230784e-192	Dendritic	RGS1
1.3346932601723e-194	2.56024880261502	0.888	0.049	3.13652916140492e-191	Dendritic	AIF1
1.33643921500206e-189	3.39809224190992	0.989	0.076	2.61719346271236e-186	Dendritic	HLA-DRB1
3.81013791536485e-168	2.23839818312204	0.551	0.016	6.39558864364813e-165	Dendritic	PLAUR
8.35128687325014e-151	1.99753692122942	0.551	0.019	1.22659525950861e-147	Dendritic	LST1
9.54705378861786e-149	1.90684160261991	0.742	0.042	1.24642091129178e-145	Dendritic	FCER1G
1.01986912953661e-142	2.66985672781114	0.966	0.1	1.19834622720552e-139	Dendritic	SRGN
1.71309328205011e-136	3.5155376506634	0.989	0.128	1.82989509673534e-133	Dendritic	HLA-DRA
7.54208978463439e-127	2.15568536616645	0.753	0.057	7.38496291412117e-124	Dendritic	TYROBP
4.402584057186e-106	2.26875670992568	0.539	0.033	3.97925866707196e-103	Dendritic	CXCL8
3.80616298915763e-103	3.12751469006813	0.989	0.193	3.19445822304301e-100	Dendritic	CD74
2.34778381236431e-102	1.66088532631745	0.472	0.024	1.83909731968538e-99	Dendritic	C1orf162
7.29148887410422e-102	3.13469590513857	0.966	0.179	5.35468714192028e-99	Dendritic	CST3
1.43736921250297e-99	1.5238427332849	0.416	0.018	9.93475779229993e-97	Dendritic	CD53
3.48738003224893e-95	1.82629733422905	0.393	0.017	2.27648418771805e-92	Dendritic	PLAC8
2.62432292075567e-89	1.42506395791268	0.303	0.009	1.6229365430989e-86	Dendritic	FGL2
1.80871394885014e-87	1.57726093098458	0.663	0.064	1.06261944494946e-84	Dendritic	ARHGDIB
1.53043230908067e-83	1.9605465422287	0.404	0.022	8.56313315795137e-81	Dendritic	CCL3
1.03413206114998e-82	1.37895692664698	0.36	0.016	5.52320532659651e-80	Dendritic	CTSS
2.11449025775614e-80	1.69579894649145	0.382	0.02	1.08022871863629e-77	Dendritic	BCL2A1
2.37912460515123e-80	1.76257041231772	0.562	0.051	1.16477975460529e-77	Dendritic	CD83
4.17763956142839e-80	1.67341691436392	0.416	0.025	1.96349059387134e-77	Dendritic	S100A4
7.85726279047353e-80	1.66660842268391	0.472	0.034	3.550878376464e-77	Dendritic	HCST
3.40987375616687e-79	1.62873481172623	0.517	0.042	1.48392654203558e-76	Dendritic	VAMP8
5.9420572606764e-78	1.51599976873814	0.416	0.026	2.4935418861767e-75	Dendritic	RILPL2
8.96917107984502e-70	1.90303677624716	0.36	0.022	3.6340606961441e-67	Dendritic	CPVL
3.58486238465044e-69	1.93920641779544	0.427	0.033	1.40407110065476e-66	Dendritic	CCL3L3
2.90001273243618e-57	1.47177767982223	0.348	0.026	1.09919837439113e-54	Dendritic	COTL1
4.48697844950168e-54	1.24057108898673	0.326	0.024	1.6475623994264e-51	Dendritic	BID
3.89384391576668e-52	1.06741036633619	0.225	0.01	1.38644442455329e-49	Dendritic	GPSM3
7.42976873451669e-52	1.22766562964351	0.348	0.029	2.56764066560503e-49	Dendritic	SAMHD1
7.1617292651747e-51	1.23692020127692	0.371	0.033	2.40429482473722e-48	Dendritic	CYBA
2.08006817182631e-50	1.37401510709068	0.371	0.034	6.78911139415533e-48	Dendritic	CXCR4
8.48695830586877e-50	1.02724669095252	0.225	0.011	2.69518270524211e-47	Dendritic	FAM26F
8.98378473877795e-50	1.51948621413675	0.719	0.142	2.77788080738529e-47	Dendritic	GPX1
1.39736561797756e-48	0.741687299136796	0.101	0.001	4.21001179775289e-46	Dendritic	P2RY14
2.54397620245057e-48	1.12433007235494	0.236	0.013	7.47293009469855e-46	Dendritic	CXCL16
2.92226382105828e-46	1.41434871700337	0.989	0.77	8.37478046278896e-44	Dendritic	B2M
1.24725363822301e-45	1.55611849852281	0.292	0.023	3.48934053550484e-43	Dendritic	CCL4
1.53362542026705e-44	1.13428391106586	0.281	0.022	4.19072062514834e-42	Dendritic	ATF5
2.53375826168636e-44	0.740723154089603	0.101	0.001	6.76628626700335e-42	Dendritic	PKIB
4.77192093821298e-44	1.62921143747239	0.337	0.033	1.24600157831117e-41	Dendritic	CCL4L2
4.32270622142861e-43	1.346714619971	0.719	0.159	1.10416952395187e-40	Dendritic	S100A11
2.265695351531e-41	1.60833499812136	0.865	0.327	5.66423837882751e-39	Dendritic	SAT1
1.22137792645322e-39	1.19619051895561	1	0.83	2.98983138246361e-37	Dendritic	TMSB4X
2.30661428617773e-39	1.04933438868074	0.146	0.005	5.53116691073231e-37	Dendritic	LGALS2
2.56374393771783e-39	0.816785667508069	0.146	0.005	6.02479825363689e-37	Dendritic	PILRA
4.23452417374985e-39	1.201526181676	0.416	0.056	9.75601157677662e-37	Dendritic	GMFG
6.31714974589206e-38	0.96685226647027	0.225	0.016	1.42743287527369e-35	Dendritic	LCP1
1.48362548830884e-37	1.23343145953782	0.382	0.05	3.28916971464696e-35	Dendritic	RNASET2
2.45020191599605e-37	1.07307487534042	0.292	0.029	5.33145787276919e-35	Dendritic	PYCARD
1.00407668693572e-36	1.27559277890079	1	0.904	2.14507292208994e-34	Dendritic	FTL
2.83463050921674e-36	0.889376981072193	0.202	0.013	5.94766222916013e-34	Dendritic	MAP3K8
3.24000749298697e-36	1.44104802720733	0.596	0.131	6.67896281449067e-34	Dendritic	CTSB
3.38084791035882e-36	0.847356860343613	0.169	0.009	6.84913154253725e-34	Dendritic	CORO1A
3.75809221237963e-36	1.21610004580554	0.438	0.068	7.48433618567129e-34	Dendritic	ARPC1B
8.70445719080003e-36	1.03243211924353	0.191	0.012	1.70462286653167e-33	Dendritic	GLIPR1
1.02985319234876e-35	1.06956744927832	0.416	0.06	1.98373360821278e-33	Dendritic	CMTM6
3.86235332817614e-34	1.42282865222604	0.798	0.251	7.31978251710801e-32	Dendritic	RGS2
1.15118323824609e-32	1.06838655347559	0.225	0.019	2.14704810307803e-30	Dendritic	LIMD2
1.75318206068218e-32	1.18134532014727	0.258	0.026	3.21873268953369e-30	Dendritic	ARL4C
2.25238095360862e-32	1.14577787542645	0.955	0.491	4.07161172383098e-30	Dendritic	ACTB
4.83779875619944e-32	0.740508027189474	0.135	0.006	8.61274778565809e-30	Dendritic	RASSF4
7.90722960822407e-32	1.28820435791981	0.551	0.12	1.38671564024825e-29	Dendritic	DBI
1.05149312422619e-31	1.19706067714669	0.528	0.109	1.81691826612614e-29	Dendritic	PSME2
1.72064922552831e-31	1.10907629847622	0.989	0.786	2.93009107245763e-29	Dendritic	FTH1
8.58479710728671e-31	0.733779945112176	0.135	0.006	1.44101951443741e-28	Dendritic	TNFSF13B
2.56615470929969e-30	1.11075211819587	0.315	0.042	4.24680532877061e-28	Dendritic	TPM3
3.1762837151789e-29	1.11910922678542	0.73	0.206	5.18351856296557e-27	Dendritic	HLA-B
5.36461833162735e-29	1.32039436819104	0.517	0.117	8.6348308762495e-27	Dendritic	CREM
3.57205748329579e-28	0.789855780807835	1	0.864	5.67184803090886e-26	Dendritic	TMSB10
6.92693142234398e-28	1.19555820284797	0.348	0.056	1.08521925616722e-25	Dendritic	CKLF
2.63866311625889e-27	0.885982086520105	0.169	0.013	4.07951205474236e-25	Dendritic	PTPRE
2.74288982575087e-27	1.36908489313177	0.584	0.168	4.18557863020426e-25	Dendritic	SH3BGRL3
4.33015669442143e-27	0.938631268833256	0.247	0.029	6.52299245633997e-25	Dendritic	UCP2
7.10298088120686e-25	0.6403319125295	0.135	0.009	1.04325031692726e-22	Dendritic	THEMIS2
7.75991383106542e-25	1.04207049783756	0.416	0.085	1.1256665125311e-22	Dendritic	SOD2
8.53137295056568e-25	1.05770090786404	0.258	0.035	1.22248331913594e-22	Dendritic	RGS10
9.27633264775933e-25	1.10600988467594	0.18	0.017	1.31321576639966e-22	Dendritic	RP11-386I14.4
9.77116157729073e-25	0.866989207138188	0.213	0.024	1.3667993872996e-22	Dendritic	EPSTI1
1.17570006499652e-24	0.925047935223632	0.236	0.029	1.62523244278931e-22	Dendritic	MFSD1
1.32704587368641e-24	0.918306493467585	0.18	0.017	1.81311500183899e-22	Dendritic	DUSP2
1.47624886666327e-24	1.07305342623854	0.303	0.048	1.9937843888843e-22	Dendritic	FXYD5
5.47916453788179e-24	1.06019784515239	0.438	0.095	7.31592992273989e-22	Dendritic	CLIC1
4.68347370708929e-23	0.768355224678464	0.213	0.025	6.18323775935945e-21	Dendritic	ARRB2
1.62235671578695e-22	0.872000986930235	0.202	0.024	2.11807682338851e-20	Dendritic	FAM49B
2.19502882018045e-22	1.19409913265573	0.247	0.035	2.83424050957366e-20	Dendritic	CD14
7.68229580939817e-22	0.84872489405057	0.169	0.017	9.81162780004657e-20	Dendritic	IRF7
1.16288555105943e-21	1.08779430683397	0.674	0.246	1.46923712096219e-19	Dendritic	ARPC2
9.56349888081443e-21	0.992971947535741	0.73	0.298	1.18285380894284e-18	Dendritic	OAZ1
1.37744010210575e-20	0.949613258666943	0.618	0.196	1.68592929163985e-18	Dendritic	PFN1
5.98327596403818e-20	0.865024606395446	0.213	0.029	7.24778273994316e-18	Dendritic	RHOG
9.41001871700658e-20	0.964381174631742	0.685	0.269	1.12824204004926e-17	Dendritic	NPC2
1.34364506111414e-19	0.786134158658451	0.213	0.03	1.59473024930213e-17	Dendritic	WARS
1.46434155267591e-19	0.953903900313667	0.258	0.043	1.7206013243942e-17	Dendritic	LAP3
2.77761054501846e-19	0.966676790902883	0.247	0.04	3.23137860435316e-17	Dendritic	PSMB9
2.97370389069382e-19	0.511975172923423	0.101	0.006	3.42559026624043e-17	Dendritic	CD4
4.16984494860642e-19	0.994898669335097	0.596	0.197	4.7568619559345e-17	Dendritic	HERPUD1
5.30183284005231e-19	0.913575779980256	0.225	0.034	5.99005152602064e-17	Dendritic	SYNGR2
5.54602547305698e-19	0.855254762219733	0.135	0.013	6.20626660080185e-17	Dendritic	TNFRSF1B
6.10264836848727e-19	0.5852517753066	0.124	0.01	6.76472814431372e-17	Dendritic	STK17B
7.58214911293886e-19	0.991959793613929	0.202	0.029	8.32619178290015e-17	Dendritic	TMSB4XP4
7.73732594378136e-19	0.758132380467887	0.135	0.013	8.41792405920657e-17	Dendritic	SCO2
9.33745420525392e-19	0.975796846843848	0.438	0.115	1.00656043038288e-16	Dendritic	ANXA1
1.13511725427549e-18	0.749027634633424	0.146	0.015	1.21251161252155e-16	Dendritic	RAB20
3.61470497384112e-18	0.948382962576609	0.236	0.04	3.79221280737796e-16	Dendritic	CTSH
4.28837492507099e-18	0.907057795603521	0.348	0.08	4.45915091766232e-16	Dendritic	ATP1B3
1.50148230630874e-17	0.670006370704217	0.18	0.024	1.5475804472919e-15	Dendritic	RAB31
1.88198364918363e-17	0.803436671870285	0.337	0.077	1.90631964464721e-15	Dendritic	DNAJC15
2.39232679906642e-17	0.980592794759379	0.607	0.219	2.40255041786584e-15	Dendritic	ARPC3
3.24822671018434e-17	0.859269036606014	0.191	0.028	3.23446303768356e-15	Dendritic	RIPK2
5.40141003697173e-17	0.800344260644419	0.865	0.496	5.3333250365057e-15	Dendritic	CFL1
6.37274441571965e-17	0.718086063648689	0.281	0.056	6.23997890705882e-15	Dendritic	CNPY3
1.30983974281469e-16	0.767497612960974	0.247	0.046	1.27195181636964e-14	Dendritic	PSMC4
1.70811463512386e-16	0.816271278710526	0.213	0.035	1.64511040677913e-14	Dendritic	SERPINB1
1.91644584881932e-16	0.785597624666117	0.157	0.02	1.83075111574203e-14	Dendritic	RAC2
2.40677089646915e-16	0.692539445945463	0.157	0.02	2.262364642681e-14	Dendritic	HACD4
3.75319359096544e-16	0.82848780468461	0.326	0.076	3.50000195982889e-14	Dendritic	CHMP1B
7.27366877279347e-16	0.599358021463341	0.101	0.008	6.72957543939553e-14	Dendritic	TMSB4XP8
8.50433766056653e-16	0.869084231823084	0.371	0.096	7.80671621184818e-14	Dendritic	NR4A2
9.06222840983705e-16	1.22223412334247	0.247	0.05	8.2543553345415e-14	Dendritic	G0S2
9.61497966344373e-16	0.487018465805612	0.135	0.015	8.6904623881126e-14	Dendritic	SKAP2
1.04324891275831e-15	0.918609979190564	0.337	0.084	9.35738528619095e-14	Dendritic	MT-TW
1.18985663860857e-15	0.907050759360109	0.393	0.108	1.05915268967051e-13	Dendritic	ISG15
1.55811443251462e-15	0.758489337063791	0.236	0.044	1.37652966782307e-13	Dendritic	ARL6IP5
4.4874738211712e-15	0.808967962446284	0.596	0.223	3.87704539696777e-13	Dendritic	PSAP
7.24243755359325e-15	0.737729219068969	0.539	0.183	6.21157965362925e-13	Dendritic	MCL1
9.55219428776974e-15	0.5214752190934	0.101	0.009	8.13320890444163e-13	Dendritic	MYD88
9.63425838824936e-15	0.629453229304088	0.112	0.011	8.14406734258489e-13	Dendritic	GIMAP4
9.94319682892566e-15	-1.52549499818496	0.18	0.575	8.34518305284833e-13	Dendritic	BEX3
1.12689708967782e-14	0.441885098591336	0.101	0.009	9.39080908064852e-13	Dendritic	TRIM22
2.1748684378411e-14	0.751640056028427	0.337	0.087	1.77463223226617e-12	Dendritic	GSTO1
4.20144746429995e-14	-1.83493383624412	0.124	0.517	3.40462122107065e-12	Dendritic	SPARC
5.11009122044255e-14	0.861322415039469	0.202	0.037	4.11257341371233e-12	Dendritic	NAGK
8.24262054569501e-14	0.797435716015696	0.483	0.165	6.58848921169499e-12	Dendritic	PKM
1.23444874047953e-13	0.703576313166422	0.281	0.066	9.80052209502328e-12	Dendritic	SGK1
1.55149826124111e-13	0.692942772845271	0.202	0.038	1.22349695097873e-11	Dendritic	GCA
1.75579886130068e-13	0.713037763483674	0.831	0.465	1.37537577468553e-11	Dendritic	ATP5E
3.46369108686937e-13	0.649299917758184	0.18	0.031	2.69525630931888e-11	Dendritic	IFNGR1
4.30040891660945e-13	0.674457988626687	0.202	0.039	3.3243292611948e-11	Dendritic	RGCC
4.6783705256672e-13	0.721671207398849	0.258	0.06	3.59286625337187e-11	Dendritic	PRR13
4.82246514345847e-13	1.06310354019432	0.36	0.113	3.67947827504136e-11	Dendritic	IER3
5.42299071934933e-13	0.800004637562226	0.573	0.232	4.11097683563578e-11	Dendritic	SELK
6.41053949232908e-13	0.836746871818784	0.427	0.142	4.79769675381316e-11	Dendritic	HLA-C
7.99602763794651e-13	0.589141976586926	0.955	0.694	5.94641295859947e-11	Dendritic	H3F3B
8.45296915183299e-13	0.782042010631794	0.213	0.043	6.24669103987658e-11	Dendritic	LGMN
1.09648397518206e-12	0.712324301752191	0.663	0.296	8.05230419274326e-11	Dendritic	PGK1
1.12861282821196e-12	0.666480099836634	0.169	0.029	8.1859263774633e-11	Dendritic	LRRFIP1
1.94553080434116e-12	0.745678623630245	0.36	0.107	1.39390164335419e-10	Dendritic	KLF6
3.2896512978714e-12	0.636413137609389	0.191	0.037	2.3426304696963e-10	Dendritic	MGAT1
3.83666978075139e-12	0.617572720296303	0.146	0.023	2.71571505565234e-10	Dendritic	CAPG
4.71594447382165e-12	0.778185655785771	0.64	0.295	3.31810464475475e-10	Dendritic	SUB1
6.05575154384468e-12	0.469080957665819	0.18	0.034	4.23542146667708e-10	Dendritic	GLA
9.51688340345017e-12	0.714269703889311	0.146	0.024	6.57784588179644e-10	Dendritic	PDCL3
1.11395758435243e-11	0.463193312027344	0.135	0.021	7.60988466054713e-10	Dendritic	LIMS1
1.31240880179405e-11	0.64502908096234	0.101	0.012	8.91375920293644e-10	Dendritic	RAB4B
2.54636055300357e-11	0.666484613549824	0.27	0.071	1.70969922844525e-09	Dendritic	ARPC5
2.82992400065772e-11	-1.59816970644766	0.079	0.432	1.88929585271183e-09	Dendritic	RBP1
3.05281106514235e-11	0.318662468743733	1	0.95	2.01826864719044e-09	Dendritic	MT-CO1
3.05746229106296e-11	0.595141727961231	0.124	0.018	2.01826864719044e-09	Dendritic	ARID5A
3.19632161585768e-11	0.769119775737321	0.472	0.187	2.09814407744848e-09	Dendritic	SLC25A5
4.18384243793861e-11	0.652336214029191	0.236	0.058	2.73111936920993e-09	Dendritic	HMGA1
4.58875333907591e-11	0.726380424537309	0.607	0.264	2.97888683614044e-09	Dendritic	NFKBIA
6.02254231918964e-11	-1.87272694232917	0.124	0.456	3.88116801018574e-09	Dendritic	COL1A2
6.04471273075737e-11	0.551808830209784	0.18	0.037	3.88116801018574e-09	Dendritic	ATP6V0D1
6.11845922168706e-11	-1.38232700688737	0.258	0.579	3.90716825297951e-09	Dendritic	HES1
7.43664082326384e-11	0.476970895557345	0.124	0.019	4.69787793942743e-09	Dendritic	GALM
7.53252983012244e-11	0.629918453113603	0.607	0.267	4.73300671144057e-09	Dendritic	POMP
8.39352284880384e-11	0.671390202310624	0.506	0.208	5.2181954218754e-09	Dendritic	ALDOA
