p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.15311068674388e-248	2.76037834579698	0.768	0.016	7.22990505692405e-244	Endothelial	ESAM
2.39875551760311e-211	2.01214872352688	0.375	0.002	1.40926886659183e-207	Endothelial	PECAM1
4.55678303033928e-211	2.0430915377073	0.375	0.002	1.78474002021622e-207	Endothelial	CD34
4.36627081586814e-208	1.53757440797647	0.286	0	1.28259205216127e-204	Endothelial	ADGRL4
6.08521450986005e-168	2.654914569633	0.607	0.016	1.43002540981711e-164	Endothelial	A2M
6.54690572441491e-167	1.92028471848594	0.375	0.004	1.28210237103125e-163	Endothelial	SDPR
1.53861338750142e-155	1.74487181013999	0.304	0.002	2.58267247187739e-152	Endothelial	ECSCR
1.92125926769063e-143	2.76859116789539	0.732	0.034	2.82184954942061e-140	Endothelial	EGFL7
2.37294650549636e-132	2.30857400803453	0.411	0.008	3.09801349328691e-129	Endothelial	EMCN
2.94741503640849e-128	1.85200955269268	0.304	0.004	3.46321266777998e-125	Endothelial	FLT1
6.73379973653178e-128	1.58769620380065	0.304	0.004	7.19292244584077e-125	Endothelial	CDH5
1.76294025149886e-127	2.15677598769046	0.411	0.009	1.72621232959264e-124	Endothelial	APLNR
4.64333132399919e-122	2.1099412945147	0.339	0.006	4.19685715823004e-119	Endothelial	PLVAP
6.13212653660975e-98	1.11618021699426	0.196	0.002	5.1466062003689e-95	Endothelial	PCAT19
5.13583646021884e-96	1.3137183153429	0.161	0.001	4.02307189383809e-93	Endothelial	GJA4
2.38845760764651e-95	2.44854153434592	0.732	0.057	1.7540235556154e-92	Endothelial	GNG11
1.6766583845943e-83	0.931114474101718	0.143	0.001	1.15886682464606e-80	Endothelial	MYCT1
4.9505448648799e-80	1.53672805924793	0.232	0.004	3.23160567568549e-77	Endothelial	CD93
5.29575911483941e-79	1.5232288416898	0.286	0.008	3.27500892628227e-76	Endothelial	EMP1
8.01693780007201e-76	0.847543493803255	0.143	0.001	4.7099509575423e-73	Endothelial	GIMAP4
1.59150864009947e-74	2.23972123359918	0.75	0.078	8.90486977198513e-72	Endothelial	RAMP2
3.88267625854475e-72	1.83953715894188	0.375	0.017	2.07370209263186e-69	Endothelial	C8orf4
7.23620290002514e-68	1.34733671763553	0.179	0.003	3.69675582936067e-65	Endothelial	VWF
2.10309431644739e-61	1.94202127802386	0.411	0.025	1.0296399257607e-58	Endothelial	TMEM88
2.28972843194723e-61	2.24386569189474	0.661	0.071	1.0761723630152e-58	Endothelial	TM4SF1
9.19148236106776e-61	1.74827816069471	0.482	0.036	4.15384299009793e-58	Endothelial	HLA-E
4.14276138401318e-49	0.988673332820265	0.125	0.002	1.80286838007981e-46	Endothelial	BCL6B
1.8052494112691e-48	1.85450135671226	0.321	0.019	7.57560020800424e-46	Endothelial	KDR
4.3729812447125e-47	1.01806164692238	0.179	0.005	1.77181136639213e-44	Endothelial	NOTCH4
9.86569112590595e-46	1.18612162303017	0.232	0.01	3.8640623576465e-43	Endothelial	PLXND1
1.85386069929633e-45	1.22021476476672	0.179	0.005	7.0267300699135e-43	Endothelial	S1PR1
1.95423343600142e-43	0.930765166550002	0.143	0.003	7.17570089781771e-41	Endothelial	HHEX
3.10641762355407e-43	1.23712701021675	0.161	0.005	1.10607294172001e-40	Endothelial	RGCC
3.54865776574576e-43	1.85644850236436	0.571	0.077	1.22637437492684e-40	Endothelial	PRCP
1.84976224477447e-42	1.29712381637303	0.304	0.02	6.20991610745714e-40	Endothelial	VAMP5
2.91449657153005e-42	1.39204261319675	0.196	0.008	9.51259297652168e-40	Endothelial	EHD3
1.85695533943046e-38	1.40198985251831	0.268	0.017	5.74190137850207e-36	Endothelial	CALCRL
