p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.59054592461648e-104	2.79158686401188	0.5	0.006	3.04000564253744e-100	DC	FCER1A
4.51047026039495e-62	1.81408900039821	0.412	0.01	2.64651842528673e-58	DC	CLEC10A
3.58778972688387e-40	1.87233971107735	0.471	0.028	1.40342374816607e-36	DC	FCGR2B
3.78256618205978e-36	1.9411817465155	0.618	0.06	1.10971035366179e-32	DC	VSIG4
6.58261465022928e-35	2.02133013619172	0.794	0.106	1.54493965840881e-31	DC	HLA-DQB1
2.31850290370069e-34	1.48066165139621	0.176	0.003	4.53460526248794e-31	DC	CD1C
1.50455514663446e-31	2.25327480093884	0.912	0.192	2.52227923510791e-28	DC	HLA-DPB1
2.25946594578559e-30	1.83402787838431	0.882	0.163	3.31435410922424e-27	DC	HLA-DPA1
4.38058456714722e-28	1.81825184363916	0.912	0.206	5.71179554394141e-25	DC	HLA-DRB5
1.61412915924193e-27	2.32442551146759	0.971	0.303	1.8941805683704e-24	DC	HLA-DRA
1.93088543338735e-26	2.00493625013318	0.971	0.298	2.05990368734551e-23	DC	HLA-DRB1
6.85954200494524e-26	0.977059107860692	0.118	0.001	6.70806045233603e-23	DC	HLA-DQB2
8.97028042494332e-23	1.63549644242175	0.647	0.107	8.09740313743922e-20	DC	HLA-DMA
5.77254323035223e-22	1.46765592646729	0.441	0.048	4.83862820058453e-19	DC	HLA-DMB
8.47035366102929e-22	1.83124409882725	0.382	0.038	6.62664001414524e-19	DC	HLA-DQA1
2.46636897894599e-21	1.62794826205286	0.559	0.083	1.8089274979957e-18	DC	CD83
1.42341049517875e-20	1.93075268755634	0.971	0.531	9.82571891818981e-18	DC	CD74
2.74186586578317e-19	1.21976551793301	0.824	0.184	1.7875442186092e-16	DC	AIF1
3.97477510463466e-19	2.34655231393461	0.441	0.06	2.45494662383619e-16	DC	RGS1
5.80629534863837e-17	0.844968352707424	0.147	0.006	3.40684379581356e-14	DC	SPINT2
2.08028125670067e-16	1.37943648176065	0.559	0.104	1.16248097844678e-13	DC	C1QB
5.12223716752338e-16	1.80284864686601	0.824	0.244	2.7322478709494e-13	DC	RGS2
6.49669280802655e-16	1.31736607644593	0.5	0.087	3.31472565661703e-13	DC	CPVL
2.4462663084253e-15	1.16892267847824	0.265	0.026	1.19612229705712e-12	DC	OAS1
3.67003445352338e-15	1.20615046423005	0.618	0.134	1.72271417248387e-12	DC	C1QA
9.52225265033164e-15	1.0332310138463	0.206	0.016	4.29783210967853e-12	DC	FAM26F
2.2150387822479e-14	1.04565323927962	0.324	0.04	9.62721485543672e-12	DC	CXCL16
5.63730153788228e-14	1.17147223573641	0.794	0.24	2.36263334096602e-11	DC	TYROBP
7.60659673544857e-14	1.20623095091514	0.412	0.066	3.07804871346514e-11	DC	CXCR4
2.35403325821956e-13	1.11951766356123	0.794	0.229	9.20819342840217e-11	DC	FCER1G
3.23317682579382e-13	1.63293434122406	0.471	0.096	1.22391387260292e-10	DC	HLA-DRB6
