p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
3.14883777175952e-172	1.86354102746709	0.526	0.058	3.93226860937328e-168	Endocardial	CDH11
1.89585950735174e-160	1.67874276678177	0.344	0.022	1.18377467639043e-156	Endocardial	LEPR
8.95226266642964e-149	2.08793664305776	0.904	0.342	3.72652853927911e-145	Endocardial	POSTN
4.97289686817973e-140	1.51765333074613	0.282	0.016	1.55253840224571e-136	Endocardial	PROCR
3.0631917550413e-130	1.42407890350138	0.227	0.009	7.65062772739115e-127	Endocardial	NPR3
5.71440130473912e-116	1.2541310178975	0.186	0.006	1.1893573915597e-112	Endocardial	SMOC1
5.91696811172504e-110	1.45560908320328	0.265	0.02	1.05558711113175e-106	Endocardial	TMEM100
8.46620562934428e-106	1.63303296038127	0.464	0.076	1.32157469874064e-102	Endocardial	SAT1
2.39561149003923e-90	1.13581423442245	0.141	0.004	3.32404403195666e-87	Endocardial	SLC6A4
4.81198976258945e-90	1.47053731010687	0.512	0.11	6.0092128155217e-87	Endocardial	CTHRC1
5.15054425706447e-87	1.4154094043414	0.797	0.347	5.84727242565647e-84	Endocardial	FN1
4.23719950743386e-86	1.07657893442831	0.952	0.569	4.40951228740284e-83	Endocardial	COL3A1
1.42943565861973e-75	1.33643074452753	0.392	0.073	1.37313788498794e-72	Endocardial	EMCN
3.03600521190593e-64	1.23459681832176	0.179	0.016	2.70811664902009e-61	Endocardial	ITPR1
7.35628691860757e-64	0.980689887533414	0.113	0.005	6.12435406930475e-61	Endocardial	MMRN1
8.45329343744155e-64	0.866870874961586	0.107	0.004	6.59779552792313e-61	Endocardial	CPXM2
3.0049246114991e-62	1.0207243617645	0.148	0.011	2.20738226755298e-59	Endocardial	COLEC12
6.35255460962681e-61	1.02317638664471	0.131	0.008	4.40726122027887e-58	Endocardial	HMCN1
1.31508063081131e-60	1.23656826888377	0.378	0.082	8.64354048293242e-58	Endocardial	COLEC11
7.62942858706906e-60	0.967816813221743	0.113	0.006	4.76381520976592e-57	Endocardial	APCDD1L
9.95850208716772e-60	1.15339952358415	0.254	0.037	5.92198924116907e-57	Endocardial	CGNL1
7.53426405859649e-59	1.28308892015837	0.316	0.061	4.27672225289786e-56	Endocardial	CD9
6.01717396103417e-55	0.921030517478283	0.134	0.01	3.13093618439145e-52	Endocardial	FOXC1
1.18836221199433e-54	1.05125894905853	0.151	0.014	5.93610692135408e-52	Endocardial	NSG1
1.37603558003632e-52	1.05711693568114	0.148	0.014	6.60920473980524e-50	Endocardial	ITGA8
1.38421720912277e-50	0.95999092579626	0.131	0.011	6.402260928713e-48	Endocardial	HS3ST1
1.87757615014979e-46	0.978089243987408	0.512	0.175	8.08523136657607e-44	Endocardial	RAMP2
2.60755922064956e-46	0.809733581500343	0.107	0.007	1.08543998491572e-43	Endocardial	ADGRG6
3.45723659090188e-46	0.658120001946203	0.948	0.753	1.39270872732847e-43	Endocardial	EEF1A1
1.3697146965556e-40	1.06041897052998	0.296	0.072	5.18333246381406e-38	Endocardial	PLVAP
1.61686633855064e-40	1.00242876328515	0.405	0.128	5.93865495171188e-38	Endocardial	PRCP
1.21442994429087e-39	0.917119366908614	0.172	0.026	4.33308604122984e-37	Endocardial	QSOX1
1.498898871143e-39	0.934359683079269	0.151	0.02	5.05898624400913e-37	Endocardial	SRGN
1.61537710630179e-39	0.813359327087165	0.12	0.012	5.30863929039388e-37	Endocardial	GMDS
2.20004297145052e-38	-0.468684062125964	0.997	0.997	7.04465041730104e-36	Endocardial	MT-ND4
2.36265489437217e-38	1.01753459399019	0.302	0.078	7.37620858022991e-36	Endocardial	HLA-E
6.15657890226068e-38	-0.911606587481729	0.79	0.894	1.87520383735199e-35	Endocardial	MYL7
6.83823393158763e-38	1.09282201216097	0.223	0.045	2.03323488899206e-35	Endocardial	CCDC80
8.92770231322728e-38	0.899996289967868	0.137	0.017	2.59277084854843e-35	Endocardial	IFI27
1.221464490959e-37	1.02943921722564	0.481	0.186	3.46673830979454e-35	Endocardial	HSPG2
1.54107462087963e-37	0.919226992872564	0.137	0.018	4.2766533034544e-35	Endocardial	FZD6
5.73377665741466e-37	0.994601738448833	0.141	0.019	1.52347665739988e-34	Endocardial	APCDD1
2.39078657653952e-36	1.10389487061052	0.289	0.076	6.22002974329698e-34	Endocardial	HAPLN1
1.19107047670208e-34	-0.509350582987031	0.993	0.994	2.97481762261111e-32	Endocardial	MT-CO1
3.82974213359293e-34	0.675420723811369	0.838	0.596	9.37761171849187e-32	Endocardial	VIM
