p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.324424127429153	0.19	0.006	0	B	MAP3K7CL
2.57105451737539e-256	0.837348054539421	0.46	0.048	1.11943713686525e-252	B	BCAS4
3.15985339438476e-251	0.831903836514181	0.438	0.044	9.17200111943417e-248	B	AURKB
3.24444640016063e-240	1.0531034910113	0.432	0.045	7.06315981314969e-237	B	RRM2
2.44550824701908e-236	1.21289799957496	0.54	0.07	4.25909716300843e-233	B	VPREB3
1.17965946423878e-212	0.776428204221472	0.435	0.051	1.71207910243188e-209	B	MKI67
4.395272953369e-205	0.520855633985902	0.324	0.029	5.46771955399103e-202	B	CCNA2
2.23884887924905e-201	0.963281804385931	0.492	0.069	2.43698700506259e-198	B	CDKN3
4.6203393267389e-192	0.879852896549551	0.429	0.054	4.47043498413804e-189	B	CDK1
1.27997918215024e-189	0.966372838904534	0.508	0.078	1.11460587181643e-186	B	TYMS
1.90833584101426e-188	1.30607765866594	0.673	0.136	1.51070804577747e-185	B	LIMD2
7.41313354076214e-187	0.502162791161737	0.365	0.039	5.37946390607973e-184	B	SWAP70
3.43343870149144e-180	0.810973543660907	0.483	0.071	2.29987570866057e-177	B	DCK
8.14260782587046e-173	0.498022769394572	0.33	0.035	5.06470206769143e-170	B	CDCA4
4.84959059269552e-172	0.363330008073815	0.248	0.02	2.81534899207951e-169	B	FBXO5
2.01043218681235e-165	1.06834605020753	0.552	0.105	1.09417771767262e-162	B	SMC4
2.10160803617238e-161	0.64336276476546	0.413	0.057	1.07651781052877e-158	B	POU2F2
1.04459605897524e-159	0.792984496467541	0.359	0.045	5.05352360086468e-157	B	TOP2A
1.85531853623081e-156	0.296872506565828	0.21	0.016	8.50321779657785e-154	B	CCDC28B
6.88641930618281e-154	1.59255739758565	0.771	0.223	2.998346965912e-151	B	CORO1A
7.3259342114666e-146	0.465207222790419	0.321	0.038	3.03782071968815e-143	B	TACC3
4.01343551967002e-145	0.758565372026472	0.441	0.071	1.5885907502403e-142	B	IRF8
