p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.23554590175757e-86	1.53142078117113	0.969	0.884	3.68831337125049e-82	Enterocyte	SELENBP1
5.88004920141274e-83	-2.10908751165857	0.801	0.963	2.56017342229511e-79	Enterocyte	ITLN1
9.74899542255725e-74	0.959080250508523	0.996	0.999	2.82980840465429e-70	Enterocyte	FXYD3
1.43952372033744e-73	-1.74256548494097	0.996	0.999	3.1338431391746e-70	Enterocyte	TFF3
3.16526011186684e-70	0.830100365262371	0.994	0.997	5.51261701082729e-67	Enterocyte	LGALS3
2.22081662314358e-68	-1.49489390003302	0.732	0.913	3.22314519238905e-65	Enterocyte	KLK1
9.54041564665662e-68	0.781868306038913	0.998	0.997	1.18682770644408e-64	Enterocyte	S100A10
5.25984889735518e-64	1.2482939785642	0.927	0.793	5.72534552477111e-61	Enterocyte	MUC12
4.51282395966562e-62	1.05158697037214	0.961	0.957	4.36640789341869e-59	Enterocyte	CA2
1.42927725704504e-60	-2.35713994463197	0.757	0.899	1.24461463543482e-57	Enterocyte	CLCA1
1.33651321337349e-59	0.778364815548734	0.985	0.976	1.05803246018694e-56	Enterocyte	TXN
7.6186539560114e-57	0.789735096769741	0.998	0.997	5.52860322074561e-54	Enterocyte	PIGR
1.77364613023236e-54	-1.4843416613474	0.529	0.783	1.18807003862026e-51	Enterocyte	SERPINA1
5.56882644967029e-53	1.02070297157916	0.983	0.983	3.46381005169492e-50	Enterocyte	KRT19
2.48924694757652e-52	0.854700462518231	0.973	0.963	1.44509082796643e-49	Enterocyte	UQCRQ
7.6513255554633e-52	0.915370974746146	0.996	0.991	4.1642339335609e-49	Enterocyte	MT2A
1.65616392819467e-51	1.05750239233319	0.921	0.825	8.48345616865832e-49	Enterocyte	CYSTM1
1.6177514699084e-49	1.76986177615727	0.977	0.963	7.82632211109019e-47	Enterocyte	FABP1
1.09351215357045e-47	0.698925963866131	0.975	0.974	5.01173885962709e-45	Enterocyte	MT1E
9.99349342059727e-47	1.07539405234444	0.811	0.643	4.35116703532805e-44	Enterocyte	CES2
