p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.90794837629997e-58	1.36454833385046	0.786	0.029	5.14464144608202e-54	Enteriendocrine	PAM
2.75150048468239e-42	1.68342335515439	0.786	0.042	1.19800331103071e-38	Enteriendocrine	TUBA1A
7.84002544951131e-32	0.689237921151754	0.429	0.016	1.36541883228689e-28	Enteriendocrine	GNG2
5.51334307166982e-27	0.293918562118182	0.214	0.004	8.0016985780168e-24	Enteriendocrine	BCAS4
2.44890536029528e-24	0.971836626686386	0.571	0.038	3.04643826820733e-21	Enteriendocrine	KCTD12
1.48215116790141e-23	0.347913623472086	0.357	0.015	1.61332154626068e-20	Enteriendocrine	DUSP4
3.06734288178646e-19	0.344504671865996	0.143	0.003	2.96782464606628e-16	Enteriendocrine	IGFBP3
3.36023285752979e-18	0.435633238191468	0.286	0.013	2.92609077233694e-15	Enteriendocrine	VIM
4.33657300107651e-18	0.562268165083826	0.214	0.007	3.43298888121584e-15	Enteriendocrine	CBX6
4.18824123273758e-16	0.718816594507659	0.429	0.033	2.80547728112914e-13	Enteriendocrine	RGS16
4.88013125562173e-13	0.334054863230758	0.357	0.029	2.65601143587212e-10	Enteriendocrine	CCDC28B
6.9286252934682e-13	0.366787195126545	0.5	0.056	3.54908641503065e-10	Enteriendocrine	BNIP3
3.81225693908455e-12	0.315571315802451	0.357	0.031	1.84428519030824e-09	Enteriendocrine	PRAF2
2.42782089606366e-10	1.18472142474241	0.786	0.216	1.02373482020808e-07	Enteriendocrine	MS4A8
2.46881387509987e-10	0.821084914447665	0.429	0.054	1.02373482020808e-07	Enteriendocrine	QPCT
6.61833378743117e-10	0.850213541313242	0.429	0.056	2.50575872265003e-07	Enteriendocrine	CDKN1C
4.97777618144263e-09	0.388217287686631	0.357	0.042	1.7338589995201e-06	Enteriendocrine	RFX3
9.40489660753769e-09	0.336018823346228	0.286	0.028	3.0332533206829e-06	Enteriendocrine	RAMP1
2.88649220643311e-08	0.410459115912432	0.429	0.067	8.23363217665093e-06	Enteriendocrine	PCBP4
2.9311276696851e-08	0.612033411439661	0.571	0.117	8.23363217665093e-06	Enteriendocrine	GCLC
4.01367029410639e-08	0.78129567143126	0.571	0.12	1.05912245215389e-05	Enteriendocrine	GCH1
1.084440553462e-07	0.887775809058471	0.714	0.215	2.62314120542974e-05	Enteriendocrine	UCP2
1.83004255320709e-07	0.520262769836818	0.786	0.244	4.30702987927766e-05	Enteriendocrine	OAZ2
2.36472096899252e-07	0.321356886868491	0.214	0.02	5.41894478894391e-05	Enteriendocrine	CEP170
6.92850725112673e-07	1.70369714403028	0.929	0.531	0.000150833602857029	Enteriendocrine	MDK
7.41899191841214e-07	0.447927602370233	0.571	0.139	0.000157572150306178	Enteriendocrine	GSTA4
9.95672442259785e-07	1.5909578000024	1	0.637	0.000206436086361862	Enteriendocrine	BTG2
1.52728184431932e-06	0.569388917976258	0.714	0.24	0.000293185387523991	Enteriendocrine	PFN2
1.68560293263337e-06	0.578294789748271	0.571	0.153	0.000312302773135561	Enteriendocrine	BEX2
2.32950939214204e-06	0.332474121634907	0.286	0.039	0.000413987097689242	Enteriendocrine	ISYNA1
2.39532408272288e-06	0.392034013585193	0.5	0.117	0.000417169642247017	Enteriendocrine	MOAP1
4.02241164157063e-06	0.395077203054968	0.429	0.092	0.00068680707009406	Enteriendocrine	EFHC1
4.16833336456896e-06	0.67464560091802	0.643	0.207	0.000698035518051278	Enteriendocrine	MYL6B
7.11776108467135e-06	0.980855531589893	1	0.817	0.00111274285082533	Enteriendocrine	MARCKSL1
7.15590257765486e-06	0.450102557458369	0.714	0.253	0.00111274285082533	Enteriendocrine	TERF2IP
8.288296769198e-06	0.32502168892692	0.643	0.186	0.00126621909238906	Enteriendocrine	TBC1D7
9.41124193134025e-06	0.432190173870761	0.929	0.445	0.00138903550403578	Enteriendocrine	SAT2
1.02681652577523e-05	0.372061773093964	0.786	0.281	0.00149025305107511	Enteriendocrine	KIF9
1.06150554914131e-05	1.12883888670694	0.857	0.527	0.001515342675725	Enteriendocrine	SEC11C
1.38812278898769e-05	0.80627257951814	0.929	0.519	0.00194964084621046	Enteriendocrine	PTMS
1.79672781986494e-05	0.52521695739087	0.857	0.41	0.00248347711990221	Enteriendocrine	RNASEH2C
2.16447523954551e-05	0.491174655256212	0.714	0.256	0.00289973082860959	Enteriendocrine	BNIP3L
2.25393594826942e-05	-0.827815571158596	1	1	0.00297382942992881	Enteriendocrine	LGALS4
2.44929472654139e-05	0.255297964643489	0.429	0.095	0.00318335201174962	Enteriendocrine	RAB3D
2.66574367594628e-05	0.509178090935328	0.5	0.13	0.0034137199897265	Enteriendocrine	KLC1
2.7549093580142e-05	0.434846998904566	1	0.999	0.00347677546225908	Enteriendocrine	RPS9
3.06788057271738e-05	0.896303383313368	0.857	0.351	0.00376269070805957	Enteriendocrine	SNHG9
3.2754161363565e-05	0.636210945628739	0.929	0.54	0.00396143384936006	Enteriendocrine	ODC1
3.46420658658249e-05	0.406906195592447	0.643	0.212	0.00405486620749112	Enteriendocrine	ELF2
3.49236294857411e-05	0.286450431733619	0.5	0.132	0.00405486620749112	Enteriendocrine	KIF12
3.7173867267692e-05	0.295770037040225	0.286	0.049	0.00423513866961117	Enteriendocrine	PPM1L
3.74489753743753e-05	-0.745257680093256	0.643	0.967	0.00423513866961117	Enteriendocrine	FAM3D
3.86055018241214e-05	0.817323203533445	0.786	0.371	0.00430995781903139	Enteriendocrine	ERI3
3.97456776347003e-05	0.333272739131616	0.714	0.248	0.00432811105602603	Enteriendocrine	PROM1
