p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.34881156361311e-223	0.957181764123377	0.528	0.004	1.1745451095943e-219	Enteriendocrine	GNG2
9.19614437281257e-113	1.64541812558788	0.306	0.004	4.00400125992259e-109	Enteriendocrine	IGFBP3
1.35081222084913e-101	0.719009915580266	0.486	0.021	3.92095760638475e-98	Enteriendocrine	CBX6
8.4532358376409e-97	2.15575783932778	0.833	0.094	1.84026944185442e-93	Enteriendocrine	TUBA1A
6.04056448933134e-90	1.69426558352345	0.875	0.118	1.05202471146195e-86	Enteriendocrine	MS4A8
7.99515552696931e-70	1.03006560472678	0.708	0.092	1.16036357214748e-66	Enteriendocrine	QPCT
2.01059177591069e-58	0.291872340802298	0.222	0.006	2.5011761692329e-55	Enteriendocrine	RGS9
1.97278960620884e-51	1.29515476678375	0.778	0.163	2.14738148635832e-48	Enteriendocrine	PAM
5.68319903099236e-47	0.60954504523161	0.403	0.039	5.49881079576461e-44	Enteriendocrine	BNIP3
1.89976821855084e-45	0.657963457752821	0.444	0.051	1.65431816471407e-42	Enteriendocrine	CCDC28B
5.60877807840524e-44	1.52389436497824	0.389	0.039	4.44011268243207e-41	Enteriendocrine	VIM
7.48960185087348e-44	0.966802011776141	0.514	0.075	5.43495440978385e-41	Enteriendocrine	EGR3
6.64781024270392e-39	0.456606370368903	0.292	0.023	4.45301012257429e-36	Enteriendocrine	DUSP4
2.17875110945093e-37	0.78914564811319	0.5	0.082	1.35518319007848e-34	Enteriendocrine	RFX3
7.01771565183326e-35	1.09234109241887	0.778	0.258	4.07401785974427e-32	Enteriendocrine	UCP2
4.7667092810491e-34	1.16216470687855	0.583	0.126	2.59428152621097e-31	Enteriendocrine	GCLC
3.79079718131901e-33	1.5990971827472	0.389	0.054	1.94178010911329e-30	Enteriendocrine	RGS2
1.18469496562077e-32	0.935786251776537	0.681	0.185	5.73129097812538e-30	Enteriendocrine	NISCH
