p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.1419473194193e-169	-1.56010548950826	0.868	0.99	1.86520772575032e-165	B	TMSB4X
8.70325913079532e-128	1.12738017930833	0.928	0.515	3.78939902554828e-124	B	SSR4
6.91736007561818e-86	-1.362596960095	0.53	0.795	2.00787905128277e-82	B	FTH1
2.90796264662778e-85	-0.757300022666322	0.954	0.985	6.33063468170867e-82	B	RPS27
2.30450613748062e-84	1.2353794803038	0.742	0.267	4.01352788903625e-81	B	MZB1
1.01474724128511e-79	-0.809009671361963	0.798	0.937	1.47273649618512e-76	B	RPS29
1.35248192531692e-78	-0.983573242971297	0.674	0.866	1.68248751509424e-75	B	TMSB10
1.47191136120076e-74	-1.50854400094794	0.254	0.603	1.60217551666703e-71	B	ACTB
1.41541602550176e-66	-1.90384624748025	0.219	0.543	1.36949363889659e-63	B	HLA-DRA
2.1309904368704e-66	-1.3834989238677	0.143	0.474	1.85566647242674e-63	B	CD52
2.25879166163486e-61	-1.03871741811646	0.461	0.714	1.78814161722876e-58	B	PTMA
1.56439227221378e-60	-0.773688570776293	0.7	0.849	1.13522732553646e-57	B	RPL31
5.55425334507642e-56	-0.581388369743244	0.892	0.944	3.72049524068657e-53	B	RPL34
5.44907266823045e-55	-0.698726399532598	0.781	0.882	3.38932319963934e-52	B	RPS6
1.61769006862092e-53	-0.666434595972877	0.733	0.874	9.39123007836732e-51	B	RPS27A
3.47681150267418e-52	-1.64185938365552	0.102	0.364	1.89225466033042e-49	B	HLA-DRB1
9.78169082714299e-51	-1.18309955300417	0.31	0.581	5.01052727780948e-48	B	S100A6
8.33988541080391e-49	-0.701161792842551	0.69	0.826	4.03465123096003e-46	B	RPL7
1.23395205465598e-48	-0.755098336470688	0.584	0.78	5.6553971010233e-46	B	RPL30
3.13567563816459e-48	-0.759211074977031	0.615	0.79	1.36527317285686e-45	B	RPS3
7.97370720596387e-48	-0.688063777832417	0.675	0.826	3.30643058807302e-45	B	RPL13A
3.93279471737671e-47	-1.61724976659076	0.051	0.267	1.5566716544962e-44	B	HLA-DPB1
4.72457981233432e-47	-0.703813585250809	0.617	0.801	1.78876700025249e-44	B	RPS3A
6.8038513528153e-47	-0.396597247560099	0.997	0.995	2.46866406584648e-44	B	B2M
5.26607974609058e-46	-1.45089336341036	0.075	0.31	1.83428089715827e-43	B	ID2
1.91482452496543e-44	-1.13314529024998	0.192	0.459	6.41318921669192e-42	B	SH3BGRL3
2.9112015034161e-44	-0.55492481127981	0.876	0.944	9.38916395990644e-42	B	RPL21
3.39949733311379e-44	-0.724037859679169	0.635	0.796	1.05724367059839e-41	B	RPL32
