p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.20073829107065e-295	1.18691500139767	0.846	0.428	1.04560290386432e-291	B	SSR4
1.4582857518622e-278	1.53277496289399	0.717	0.238	6.349376163608e-275	B	RGS1
8.18783749780699e-265	-1.20954499418218	0.469	0.869	2.37665629769677e-261	B	PIGR
5.40897240016475e-238	1.66442032638058	0.479	0.07	1.17753329151587e-234	B	MZB1
1.43881261526753e-224	-1.49455980412737	0.313	0.728	2.50583605074993e-221	B	SPINK1
4.57830441860125e-175	-1.12285751210872	0.446	0.766	6.64464581286328e-172	B	FTH1
3.6122549695989e-174	-1.82708677016531	0.848	0.933	4.49364518218103e-171	B	LYZ
8.1612876357335e-172	-1.83908895886531	0.405	0.714	8.88356159149592e-169	B	AGR2
4.41155334407331e-161	-0.90391877919758	0.509	0.803	4.26842294668782e-158	B	TPT1
2.03300513321671e-160	1.43064516877304	0.359	0.056	1.77034087000511e-157	B	DERL3
3.7463814832119e-156	-1.36436419228049	0.132	0.515	2.96577181416448e-153	B	TSPAN8
1.08274826558397e-153	-1.23984583557865	0.167	0.554	7.85714324725431e-151	B	CYSTM1
1.04388854335083e-143	-1.63114184930276	0.147	0.51	6.99244725807615e-141	B	HLA-DRA
2.86499183661198e-142	-1.64907505629111	0.145	0.488	1.78202492237265e-139	B	GOLM1
1.35577054297986e-141	-1.35140586869199	0.67	0.85	7.8706999255124e-139	B	MT1G
4.33453796360915e-131	-1.2296419990827	0.123	0.472	2.35907228669428e-128	B	EPCAM
3.97747032891676e-128	-1.30749393129155	0.365	0.654	2.03740068377689e-125	B	MT2A
1.74329614334655e-124	-1.31999794799852	0.249	0.566	8.43367934236764e-122	B	MT1E
9.79041695403068e-120	-1.3463272981473	0.392	0.652	4.48710267556311e-117	B	MT1H
3.82527430177639e-113	0.878852232636232	0.764	0.578	1.66552443099344e-110	B	H3F3B
3.03187316989261e-112	-1.31553980915219	0.108	0.416	1.25721674111547e-109	B	CST3
1.53767861480596e-110	-1.59283287752182	0.086	0.375	6.08641153533194e-108	B	SERPINA1
2.12694463669175e-108	-0.918069270477471	0.327	0.624	8.05279734622252e-106	B	S100A6
1.83364777653585e-107	1.22249462626377	0.248	0.037	6.65308534919759e-105	B	EAF2
1.7909059180905e-102	-1.39144768579481	0.096	0.385	6.23808349389284e-100	B	HLA-DRB1
1.26387728174301e-100	0.984928919341988	0.481	0.204	4.23301668054545e-98	B	HERPUD1
2.39692553210268e-99	-1.05086675903846	0.166	0.459	7.73052871612969e-97	B	ACTG1
4.3334420422989e-99	-1.146564372307	0.091	0.377	1.34770047515496e-96	B	ALDH1A1
1.52350930571781e-95	-1.27454581507306	0.197	0.472	4.57473070144507e-93	B	MT1M
1.38054272115991e-91	-1.20265535244311	0.268	0.527	4.00725533862016e-89	B	MT1X
9.09481878158444e-90	-0.920474082791348	0.231	0.516	2.55476393387217e-87	B	ACTB
2.30370546573941e-89	-1.16175174286223	0.069	0.324	6.26895849864337e-87	B	ATP1A1
2.27424131674184e-88	-1.403930270692	0.393	0.623	6.00124042005694e-86	B	FABP1
