p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.4777737037576e-155	-1.02395074562038	0.951	0.997	4.77004534123212e-151	B	TMSB4X
2.05980987963707e-97	1.22302692412951	0.764	0.428	8.96841221593981e-94	B	SSR4
1.04463934017831e-85	-0.653295472629865	0.855	0.956	3.03223979142424e-82	B	RPS29
1.35532012807341e-82	-1.8913377336579	0.127	0.433	2.95053191881582e-79	B	CCL5
6.276431315917e-78	-0.532292345074857	0.975	0.997	1.0931032779801e-74	B	RPS27
1.26166997079529e-74	-1.32355191618037	0.032	0.246	1.8311036842809e-71	B	IL32
5.20414819968519e-68	-0.949402465313333	0.69	0.859	6.47396036040838e-65	B	FTH1
3.14701507244949e-67	-0.462061478169697	0.998	0.997	3.42552590636127e-64	B	B2M
3.26965053854681e-63	1.25127882542988	0.547	0.175	3.16356854329618e-60	B	MZB1
3.89010253826373e-58	1.03056151548044	0.659	0.336	3.38750129032006e-55	B	HERPUD1
1.34637483733426e-57	-1.20771462118025	0.025	0.191	1.0658392803188e-54	B	CD7
1.92837071484916e-56	-0.5765767624166	0.805	0.919	1.39935434874221e-53	B	TMSB10
2.19278093987182e-55	-0.455784043353785	0.915	0.976	1.46882587880029e-52	B	RPS19
2.710906495295e-54	-0.527517569680086	0.782	0.93	1.68618384007349e-51	B	RPL31
5.25849079627724e-53	-1.0606272464548	0.286	0.562	3.05272919026548e-50	B	BTG1
9.30242232130386e-52	-0.539531541158868	0.757	0.899	5.06284334836963e-49	B	RPS27A
8.86587677527049e-49	-0.798082724491584	0.296	0.575	4.5414149975915e-46	B	CALM1
2.49364981770458e-48	-0.480037832698808	0.851	0.932	1.20637236736508e-45	B	RPS18
8.7859604938385e-48	-0.43572074102618	0.916	0.962	4.02674442001819e-45	B	RPS14
4.07828583312771e-47	-0.431526245120588	0.902	0.959	1.77568565174381e-44	B	RPL34
2.21849800267523e-45	-0.544607019566484	0.729	0.864	9.19937171775994e-43	B	RPL7
3.35147525043174e-45	-1.09438340884052	0.226	0.469	1.32657484003453e-42	B	S100A6
