p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.01883146208206	0.843	0.012	0	B	MZB1
0	2.12701099700257	0.521	0.005	0	B	DERL3
3.02660561865832e-233	2.03504636812744	0.637	0.045	8.78522724242556e-230	B	FKBP11
1.09886555823957e-218	1.98736344977172	0.715	0.073	2.39223032028753e-215	B	SEC11C
2.30797495739958e-216	2.43382775697844	0.978	0.247	4.01956918580711e-213	B	SSR4
7.37770875329079e-127	1.39628851207194	0.326	0.018	1.0707514637276e-123	B	EAF2
2.96193048831948e-115	1.62412158579466	0.554	0.087	3.68464152746943e-112	B	HERPUD1
3.24022952919281e-105	1.53460719791459	0.633	0.132	3.52698984252637e-102	B	FKBP2
3.04124732681303e-98	1.36064839257839	0.375	0.041	2.94257574687643e-95	B	SPCS3
6.6359808207418e-90	1.53093450816854	0.734	0.214	5.77861209870196e-87	B	RGS1
1.23455348177869e-87	-1.25680741404843	0.787	0.951	9.77317429029891e-85	B	TMSB10
5.24029651471256e-79	1.28485456426438	0.554	0.127	3.80270850417641e-76	B	SPCS2
1.08035862055828e-77	1.31367848958752	0.228	0.016	7.23674066755502e-75	B	RAB30
2.58634116863796e-75	-2.09979115270349	0.27	0.784	1.60870420689281e-72	B	S100A6
3.34601513460164e-72	0.922100574711609	0.157	0.006	1.94247331947407e-69	B	CD38
7.358893521337e-64	0.836504473337652	0.157	0.008	4.00507779898766e-61	B	GNG7
8.15837846203511e-62	-0.986723027396363	0.79	0.914	4.17900939102363e-59	B	RPL31
3.07723545840641e-61	-1.59002531004452	0.423	0.803	1.48869813176683e-58	B	FTH1
6.09169223916336e-58	0.780387029083159	0.139	0.006	2.79191873782287e-55	B	PIM2
5.89980502263882e-53	-1.15753223396534	0.929	0.98	2.56877510685694e-50	B	TMSB4X
1.34620345886622e-50	1.01049072256932	0.558	0.18	5.58225700943194e-48	B	SPCS1
2.26272533849143e-50	0.90270850351228	0.15	0.011	8.95627829435607e-48	B	VPREB3
3.45069429474359e-49	-0.931748782690786	0.667	0.856	1.30646286602727e-46	B	EEF1A1
3.85523829895138e-48	-1.92794730717752	0.18	0.616	1.39880896280286e-45	B	S100A10
4.56029501156362e-48	1.06222930458801	0.416	0.106	1.58844195842784e-45	B	SSR3
1.32114286102028e-47	1.44581969941752	0.288	0.054	4.4248123206787e-45	B	GLA
4.34030515751424e-46	-0.710598160585978	0.914	0.961	1.39982878931978e-43	B	RPL34
1.66128807793021e-45	-2.29033094307715	0.09	0.546	5.16660592236297e-43	B	IFITM3
1.18554396812508e-43	-1.62477005882764	0.157	0.584	3.4412389581444e-41	B	ACTB
1.73204095057445e-43	0.954470878012451	0.322	0.07	4.86535890245235e-41	B	PRDX4
2.27846138950612e-43	1.24323933904171	0.363	0.092	6.20026305619353e-41	B	BCAS2
1.45455292809292e-41	0.840257291744174	0.255	0.045	3.83825663570701e-39	B	CYTIP
5.5230780075747e-41	1.1690869179851	0.539	0.204	1.41455774382237e-38	B	RGS2
1.07368494043583e-40	0.875682050064109	0.228	0.037	2.67132813180434e-38	B	ISG20
1.09528253364702e-39	0.997813363883693	0.596	0.24	2.64936675083285e-37	B	HSP90B1
1.92695562818003e-39	0.969977131541972	0.285	0.059	4.53511611086261e-37	B	TSC22D3
6.70492998887294e-39	-0.846472185807934	0.607	0.821	1.53648764060804e-36	B	RPS23
1.70456570083754e-38	-0.765125894723675	0.738	0.854	3.80598926228033e-36	B	RPL11
4.92268928479731e-36	0.668563948250017	0.109	0.008	1.07166945730037e-33	B	EHMT1
1.79889772694039e-34	-0.718504205606633	0.854	0.878	3.72971462052308e-32	B	RPL7
2.22968933571931e-34	-0.734861945244133	0.783	0.857	4.51538017103343e-32	B	RPL32
3.20933389142108e-34	-2.27710888612469	0.146	0.519	6.35156352874881e-32	B	HLA-DRA
4.66748674393265e-34	-1.80957047334105	0.131	0.509	9.0321054591479e-32	B	ADIRF
5.60336011874297e-34	-0.82244589837926	0.663	0.824	1.06074043291334e-31	B	RPS12
6.42560398624217e-34	0.748609205530172	0.199	0.034	1.1905140321744e-31	B	DNAJB9
7.43253253164168e-34	-0.864103205619733	0.528	0.761	1.34838527678199e-31	B	RPS24
7.69486320532651e-34	-1.62434436318534	0.09	0.471	1.36748711820374e-31	B	LGALS3
1.73338006817649e-32	-0.662521510257085	0.764	0.867	3.01885472673617e-30	B	RPS26
5.22240093300267e-32	-0.691884332308223	0.831	0.867	8.91699359305633e-30	B	RPS3A
1.36482055567713e-31	-0.80538260101323	0.596	0.779	2.28554949977624e-29	B	RPL26
2.07590415477859e-31	-0.697711953812544	0.764	0.853	3.41074969430414e-29	B	RPL30
2.56392474198524e-31	-1.53159043582303	0.176	0.508	4.13456604689028e-29	B	ACTG1
1.81090235130622e-30	0.661572953638433	0.217	0.044	2.86715230457719e-28	B	CYBA
6.01362015503784e-30	0.776402277498074	0.685	0.359	9.18712356317009e-28	B	SUB1
8.76383409552854e-30	0.835951512399115	0.292	0.079	1.31578391903211e-27	B	ITM2C
9.97089534645861e-30	-0.626588739069307	0.929	0.955	1.47163655384681e-27	B	RPS27
5.42000016324653e-29	-0.656621258941353	0.742	0.845	7.86622690359179e-27	B	TPT1
8.07952822997207e-29	0.609311671765267	0.116	0.013	1.13478277139672e-26	B	MANEA
1.35278823479533e-28	-0.668408684537489	0.861	0.875	1.86985396009488e-26	B	RPS6
1.56553613330595e-28	-0.728280908272143	0.618	0.767	2.13010760137941e-26	B	RPL9
1.60088982102983e-28	0.752254386173666	0.187	0.036	2.14469977869658e-26	B	UBE2J1
6.91138750953747e-28	-0.581501202991335	0.869	0.903	9.11884279288671e-26	B	RPS27A
1.08798291307006e-27	-1.71433187304001	0.052	0.385	1.41405301597225e-25	B	CST3
1.80969817910376e-27	-0.718728969538482	0.655	0.8	2.31747819759346e-25	B	RPL37
2.14083076831095e-27	-0.958253650643499	0.378	0.645	2.70179048267417e-25	B	CALM2
3.16955691012999e-27	0.650344024605749	0.109	0.012	3.94292879620171e-25	B	ANKRD28
3.88956311972897e-27	-1.51507385822644	0.139	0.462	4.77046699247885e-25	B	ANXA2
5.21243667578436e-27	-2.01761297583626	0.045	0.375	6.30415257954586e-25	B	PHGR1
9.0990667921151e-27	0.573173298031162	0.101	0.011	1.08540648802381e-24	B	OSBPL3
1.11917766022919e-26	0.974247687040067	0.303	0.096	1.31699987368592e-24	B	XBP1
6.19192687068863e-26	-0.710368277559198	0.637	0.783	7.09464463025745e-24	B	RPL13A
1.55208875762927e-24	-0.681969739114251	0.64	0.768	1.75527128590074e-22	B	RPL36
2.40012468921899e-24	-1.95767882037026	0.056	0.357	2.67952381970756e-22	B	HLA-DRB1
3.37750699278539e-24	-1.15765190162194	0.225	0.502	3.72295327761711e-22	B	MYL12B
4.01088584329773e-24	-1.65237676078711	0.075	0.373	4.36584924042958e-22	B	IFITM2
5.2067154971027e-24	0.685976049517291	0.532	0.245	5.52927787180126e-22	B	SEC61B
5.78026871424577e-24	-1.07082325875694	0.236	0.519	6.06440722453641e-22	B	CFL1
8.99554356764569e-24	-0.728980568713986	0.663	0.759	9.32538016512603e-22	B	RPS3
1.38198798336944e-23	-1.82168250469767	0.037	0.332	1.4158060422566e-21	B	IFI27
1.8631187898103e-23	-1.74704137594024	0.09	0.385	1.88651609554281e-21	B	PIGR
1.91369218146187e-23	0.747088110740695	0.18	0.04	1.91545189841034e-21	B	MANF
3.27079812057979e-23	-0.708096766033862	0.637	0.756	3.23660341295554e-21	B	MYL6
5.29082972995135e-23	-1.7032972844557	0.06	0.35	5.17669048184454e-21	B	SPINK1
1.19466748686158e-22	-0.852206594470126	0.412	0.632	1.15590716395452e-20	B	COX7C
2.03274530684042e-22	-0.80002723201009	0.487	0.656	1.94518089362268e-20	B	RPL12
3.53079383341634e-22	-1.398400245598	0.094	0.381	3.34197311971625e-20	B	ITM2B
4.81210118579313e-22	0.696320707217778	0.596	0.312	4.50578248665447e-20	B	PPIB
7.59262103882119e-22	-0.481289301673142	0.903	0.915	7.03367489426116e-20	B	RPS14
8.29204904863941e-22	-1.69631978231275	0.049	0.328	7.60075401216336e-20	B	TSPAN8
9.4054823325038e-22	-0.795832733577587	0.412	0.641	8.53155626577533e-20	B	COX6C
3.57072678793339e-21	-1.21530354172078	0.213	0.475	3.20555555353855e-19	B	S100A11
