p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.24788509713734	0.633	0.034	0	B	MZB1
0	2.22425382270198	0.595	0.031	0	B	DERL3
0	2.22147018289822	0.928	0.229	0	B	SSR4
3.38577505463258e-305	1.69578800956669	0.432	0.029	7.37083229393513e-302	B	FKBP11
1.48618383704885e-251	1.67249416867852	0.601	0.113	2.58833777060428e-248	B	HERPUD1
6.5418437500271e-201	-1.81367917176329	0.576	0.885	9.49439589587267e-198	B	FABP1
4.90891996331503e-182	1.42510898617669	0.454	0.082	6.1066964343639e-179	B	SEC11C
2.71392618783512e-168	-1.71765744245247	0.336	0.775	2.95410865545852e-165	B	PIGR
1.43298748066475e-161	1.25952962299719	0.666	0.23	1.38649499795874e-158	B	HSP90B1
4.66477392694062e-142	-1.76288389862358	0.201	0.673	4.06208513557989e-139	B	ANPEP
4.68086063543273e-140	-1.64805910516925	0.213	0.682	3.70553949212257e-137	B	PHGR1
1.89403761506737e-138	1.2064990621561	0.346	0.059	1.37443996266722e-135	B	PRDX4
6.07000891226729e-134	1.21130795171776	0.363	0.068	4.06597212369412e-131	B	SSR3
2.06414891336993e-128	1.22461305812583	0.355	0.068	1.28390062411609e-125	B	SPCS2
4.87233902297656e-123	0.884976361444579	0.144	0.004	2.82855521413866e-120	B	GNG7
1.59018351220873e-112	-1.12933534976806	0.515	0.774	8.65457376519604e-110	B	FTH1
1.74278914609775e-106	-1.62934029148372	0.192	0.595	8.92718110836425e-104	B	ADIRF
5.54707497549659e-106	1.07853846696436	0.528	0.188	2.68355160481246e-103	B	FKBP2
1.5838383922129e-103	0.967553077842706	0.16	0.011	7.25898143125785e-101	B	PIM2
1.08438137434714e-102	-1.63273491066219	0.177	0.58	4.72139650390746e-100	B	SI
2.2254174981832e-102	0.939298273266799	0.199	0.022	9.22806455913299e-100	B	DNAJB9
2.38690975388756e-95	-1.51753031675669	0.166	0.56	9.44782278947856e-93	B	FABP2
7.22964470030052e-93	-1.48923950073651	0.146	0.533	2.73720635000943e-90	B	KRT8
1.86535132249104e-91	-1.46788450026667	0.128	0.523	6.76811638177167e-89	B	CES2
4.75258520467895e-91	0.72904557866159	0.109	0.004	1.65542047849377e-88	B	SPAG4
1.454016191792e-90	-1.15712205680967	0.302	0.636	4.8698357685095e-88	B	CFL1
1.3059485441622e-88	0.936798354383516	0.232	0.038	4.21192589724608e-86	B	ITM2C
1.93964001579618e-87	-1.58110508320457	0.151	0.521	6.03228044912611e-85	B	PCK1
6.37099484527557e-86	-1.4112882088722	0.142	0.514	1.91305596940206e-83	B	EPCAM
8.90191434385971e-86	0.928214764118281	0.332	0.082	2.58392900354434e-83	B	ISG20
3.05930699617559e-83	0.926237018784035	0.228	0.04	8.5936920395797e-81	B	UBE2J1
6.57256168828925e-83	-0.999179210214316	0.421	0.709	1.78855834942571e-80	B	HLA-A
1.43719856582307e-82	0.869603332851117	0.148	0.014	3.79246215490524e-80	B	EAF2
1.87652757617998e-76	-1.4249483093758	0.123	0.474	4.80611827452215e-74	B	OAT
1.25250146078507e-75	-1.18328419578313	0.225	0.554	3.11622363443325e-73	B	PEBP1
1.81646162639155e-75	-1.56950867295976	0.081	0.428	4.39381884517157e-73	B	CYP3A5
2.04473097077862e-75	-1.388759268537	0.117	0.465	4.8123019712271e-73	B	LGALS4
8.97103374538914e-73	-1.82258178172894	0.139	0.481	2.05578320670654e-70	B	HLA-DRB1
2.5401008737407e-69	-0.967422238889466	0.33	0.607	5.67158933552153e-67	B	GAPDH
4.58637382190942e-68	-1.05546081772573	0.323	0.613	9.9845358102968e-66	B	ACTB
2.7533755556129e-66	0.739241744068855	0.102	0.007	5.84790105811637e-64	B	MANEA
3.16682354163294e-65	-0.697076225971895	0.73	0.838	6.5658808096523e-63	B	TMSB10
1.20644334041335e-64	0.814920089244657	0.204	0.042	2.44318804844638e-62	B	NUCB2
1.31504392063269e-64	-1.75685384721855	0.175	0.491	2.60259146837942e-62	B	HLA-DRA
1.46380668440723e-64	0.836015463933808	0.204	0.042	2.83262857951515e-62	B	SPCS3
2.00518187766125e-63	0.812667102094183	0.468	0.201	3.79589647623352e-61	B	PPIB
3.81925349775624e-63	0.870422260712875	0.203	0.043	7.07618286350241e-61	B	MANF
4.75677148590785e-63	0.835998543998533	0.193	0.039	8.62957627068449e-61	B	SDF2L1
2.95118061464377e-62	-1.45500108635395	0.085	0.391	5.24466954945265e-60	B	CDHR5
7.782108246574e-61	0.87036103497917	0.264	0.073	1.35533197222333e-58	B	TMED9
1.65136576109215e-60	-1.19112896013938	0.168	0.468	2.81962608776283e-58	B	LGALS3
2.13958469462087e-59	-1.36463385425829	0.155	0.449	3.58298144629972e-57	B	MT1G
2.53591872628385e-59	0.898093238828418	0.24	0.063	4.16656231480749e-57	B	XBP1
3.49524640827579e-59	-1.44964114655987	0.073	0.367	5.63640846727141e-57	B	KRT20
4.94881210613545e-59	-1.18739696567472	0.18	0.465	7.83531924004137e-57	B	SLC25A5
5.76938380503883e-59	-0.937700569799661	0.336	0.596	8.97139181683538e-57	B	S100A6
8.91880395738263e-58	-1.24998781559887	0.107	0.405	1.36254289229628e-55	B	CBR1
4.84042670166923e-55	0.870283333569091	0.309	0.107	7.14414164714163e-53	B	PDIA6
1.05443630017289e-54	0.622549269948308	0.114	0.014	1.51982890640651e-52	B	CRELD2
1.06464817743221e-54	-0.968122992463165	0.244	0.522	1.51982890640651e-52	B	ACTG1
3.49336969443427e-54	0.804471605751154	0.372	0.149	4.90649408050543e-52	B	SEC61B
3.56429506125019e-54	-1.17887000527435	0.111	0.396	4.92664784021693e-52	B	ATP1A1
3.96679230903226e-54	-1.3468651741025	0.086	0.365	5.39731678547703e-52	B	SLC5A1
6.88501857603249e-53	-1.194833357435	0.103	0.378	9.22380642462937e-51	B	MYL12B
7.74446341863458e-53	-1.31280112151451	0.064	0.337	1.02179980984045e-50	B	ACSL5
1.33772613869687e-51	-1.21386693660584	0.09	0.364	1.73864465907049e-49	B	TSPAN8
1.42224323499021e-50	-1.22886710257888	0.075	0.342	1.82130795445511e-48	B	KRT19
9.20292971560156e-50	0.760923597717024	0.241	0.072	1.16143640526751e-47	B	TRAM1
3.06882508946838e-49	-0.955059798150711	0.212	0.472	3.81761841129866e-47	B	COX5B
2.35171836690698e-48	-1.15734738730759	0.134	0.397	2.88433289282056e-46	B	MT2A
3.73527846902087e-48	0.744610700780721	0.404	0.176	4.51761179281024e-46	B	SEC62
5.28949264807454e-48	0.555691121020276	0.236	0.066	6.30971259992235e-46	B	LGALS1
1.35033894788925e-47	-1.21174536407178	0.075	0.334	1.58902048084048e-45	B	IFI27
6.18104255837292e-47	-0.937045438943155	0.224	0.479	7.17660247977486e-45	B	CALM1
8.0421798058842e-46	-1.26386136495374	0.057	0.302	9.09497425319995e-44	B	PCK2
1.23045053496411e-45	-1.23200616538075	0.06	0.306	1.37368759723941e-43	B	AKR1B10
1.83293478613929e-45	0.585467277391844	0.143	0.028	2.02040457186088e-43	B	TIMP1
3.88948927849103e-45	-1.25482304211697	0.05	0.289	4.18144106630863e-43	B	AKR7A3
4.72451676875049e-44	-1.21449682731768	0.038	0.273	5.0172063441804e-42	B	UGT2A3
6.1541782892945e-44	-1.34494194504836	0.069	0.307	6.45669693291283e-42	B	SERPINA1
1.04286418238161e-43	-1.19474545000195	0.07	0.312	1.0811025357356e-41	B	DGAT1
2.2716648784606e-43	-0.815537247828119	0.295	0.521	2.32725385430999e-41	B	COX4I1
1.19931813298137e-42	-1.04734136345255	0.303	0.518	1.21437933744207e-40	B	NEAT1
1.72865142971865e-41	0.694083796166875	0.195	0.056	1.73024099425172e-39	B	HM13
1.92686914426018e-41	-0.970001221791881	0.147	0.393	1.90672460320655e-39	B	S100A10
3.28275187411003e-41	0.686685423712336	0.399	0.189	3.21193295727529e-39	B	TMEM258
5.09763820788907e-41	-1.10604212623527	0.09	0.324	4.93224816825534e-39	B	KRT18
5.84794488392367e-41	-1.03945176187547	0.185	0.421	5.5960334120008e-39	B	SAT1
1.03448761891092e-40	-1.38051124082268	0.144	0.381	9.79165020160466e-39	B	CST3
3.23137467421297e-40	0.607617964924816	0.106	0.018	3.02567856591898e-38	B	TXNDC15
5.88155997232927e-40	-1.13574480079325	0.091	0.321	5.44857704670674e-38	B	MT1E
7.4939898815883e-40	0.572973538809021	0.226	0.072	6.86922777777588e-38	B	VIM
1.67143652985256e-39	-1.14820568948744	0.04	0.255	1.51613221895376e-37	B	S100A14
1.87053277266288e-39	-1.10588232557743	0.053	0.277	1.67923704993282e-37	B	PTGR1
1.93411439587649e-39	-1.23868179180649	0.064	0.281	1.71859879176453e-37	B	ACE
4.04407313219065e-39	-0.696594261013025	0.744	0.84	3.55715038738547e-37	B	MALAT1
4.11136579251037e-39	0.693401246905067	0.338	0.148	3.58017733211803e-37	B	SPCS1
6.5329841954612e-38	-1.1508100168473	0.046	0.257	5.57737513471335e-36	B	PDK4
7.19915039480582e-38	-1.02475174077078	0.07	0.291	6.08642734349215e-36	B	CYB5A
1.00569273058833e-37	-0.716284024927692	0.372	0.559	8.42074259419538e-36	B	COX7C
1.53239949826388e-37	-1.13834965694014	0.056	0.268	1.27086998389351e-35	B	CLDN4
1.67061345676107e-37	-1.14928964360563	0.028	0.23	1.37242471523353e-35	B	CMBL
3.64355598754559e-37	-0.687607231087196	0.377	0.579	2.96524163921e-35	B	MYL6
7.44091489277046e-37	0.653151964768784	0.242	0.088	5.99958211909677e-35	B	RPN2
3.11645014095449e-36	0.681212938689445	0.311	0.137	2.48972915847997e-34	B	SERP1
8.57088772810508e-36	-1.04012844990713	0.045	0.248	6.78502639421264e-34	B	VIL1
1.2876519135435e-35	-1.09535744440766	0.062	0.269	1.01016872640872e-33	B	SPINK1
1.55172571105326e-35	-1.00462806618904	0.046	0.251	1.20646674034391e-33	B	CLDN7
2.55262384786758e-35	-1.06257777209709	0.048	0.249	1.96710163426822e-33	B	ALDH1A1
5.45826285152655e-35	0.587086927292904	0.323	0.14	4.16934674658712e-33	B	TSC22D3
7.44037147335831e-35	-1.00833377412189	0.046	0.249	5.63397867739167e-33	B	ELF3
1.06503054619029e-34	-0.876793461738559	0.183	0.394	7.99507413467676e-33	B	COX7B
1.67385517504737e-34	-1.0413480876976	0.032	0.223	1.23524837833157e-32	B	CLDN15
2.62172448722561e-34	-0.78101075294682	0.217	0.433	1.90249806956339e-32	B	COX6B1
1.09041108674993e-33	-0.847622978457824	0.152	0.368	7.71975588895803e-32	B	TPI1
2.11890102167454e-33	-0.938332448354236	0.064	0.265	1.48801533038241e-31	B	SUCLG1
2.95588244043542e-33	0.588787214082247	0.245	0.094	2.05918594330493e-31	B	RABAC1
3.09853046642914e-33	-0.847211445630268	0.262	0.458	2.14142883346547e-31	B	TXN
8.02396229672139e-33	-1.09319922493763	0.032	0.214	5.45880184998827e-31	B	MYO1A
8.08831076795902e-33	0.283979425215787	0.917	0.744	5.4599232687897e-31	B	RPLP1
5.05484902817066e-32	0.940297480111874	0.33	0.16	3.38597117979309e-30	B	HSPB1
5.50485791465768e-32	-0.936873796027174	0.053	0.245	3.65925974968237e-30	B	ACTN4
1.42784851466491e-31	0.671718981214641	0.238	0.096	9.34865027496391e-30	B	LMAN2
1.49019416329589e-31	-0.88391827415447	0.101	0.304	9.68403789103029e-30	B	FCGRT
1.81838857616974e-31	-0.948856724616156	0.04	0.222	1.17292797935453e-29	B	LGALS3BP
1.83733332037795e-31	0.667161953646792	0.266	0.114	1.17643371719494e-29	B	SEC61G
2.06499639524985e-31	-1.06898975833824	0.033	0.21	1.31255391312669e-29	B	TM4SF5
2.21087702542091e-31	-0.978530808207924	0.056	0.242	1.39509544473661e-29	B	HADHB
2.99144395084912e-31	-0.974500841559216	0.046	0.232	1.87406431107871e-29	B	ANXA13
4.25053100419885e-31	0.562887346959676	0.175	0.057	2.64383028461168e-29	B	CYBA
9.69064703102979e-31	0.637579509421995	0.189	0.066	5.984833641575e-29	B	PDIA4
3.18514404126487e-30	0.516951926642088	0.111	0.026	1.93959680498842e-28	B	ERLEC1
3.49262530215803e-30	-0.878276714293886	0.082	0.274	2.11206813411057e-28	B	HSD17B11
1.40319473375104e-29	-0.887773851767467	0.06	0.243	8.36919160376988e-28	B	CLDN3
1.50296380741518e-29	0.684778044825904	0.16	0.051	8.90327131630709e-28	B	PABPC4
1.55083987934388e-29	0.351218241395656	0.821	0.65	9.12480653332874e-28	B	RPL10
3.93312563947437e-29	-0.980738391338434	0.033	0.202	2.26818927606244e-27	B	AKR1C3
5.61212197349952e-29	0.593161326861508	0.264	0.116	3.2151551411338e-27	B	SSR2
7.53102572186606e-29	0.618243999245361	0.315	0.154	4.28628575071958e-27	B	SUB1
2.63703364701701e-28	-0.676739461570905	0.321	0.496	1.48150251601446e-26	B	RPS24
2.7822465353918e-28	0.544631591318928	0.131	0.037	1.55306428398665e-26	B	COMMD3
3.94956437733067e-28	-0.418215049826639	0.517	0.67	2.19062462406341e-26	B	UBB
4.11142403957152e-28	-1.0062092974741	0.036	0.199	2.26596712256891e-26	B	PLS1
8.34619591426129e-28	-0.864057121195326	0.091	0.273	4.57098578750864e-26	B	LDHA
9.88103737476783e-28	-0.751064322189383	0.244	0.419	5.37775459121739e-26	B	COX6C
2.52446690053996e-27	-0.947248638958945	0.03	0.188	1.36540731490074e-25	B	SLC39A5
3.4479406892554e-27	-0.933061573690619	0.072	0.244	1.85337453839729e-25	B	PLIN2
4.68348723770068e-27	0.444937095663411	0.114	0.029	2.50207404085261e-25	B	EMP3
5.17193429168258e-27	-1.02676890471849	0.042	0.203	2.74617096414463e-25	B	SGK1
6.24541976547436e-27	-1.05410791251353	0.036	0.193	3.2960675950152e-25	B	CDHR2
1.00654608719888e-26	-0.764546249452059	0.237	0.418	5.28012248634208e-25	B	ITM2B
1.21957626904228e-26	-0.901838961211122	0.033	0.19	6.35932344360488e-25	B	AGR3
1.98187025593268e-26	0.590676480234889	0.309	0.154	1.02726941599177e-24	B	HSPA5
2.5696662386811e-26	-0.886076533021601	0.06	0.225	1.32406234357604e-24	B	PARP4
4.84646525077341e-26	-0.870185244377839	0.046	0.207	2.48253055316088e-24	B	MAOA
5.39845599284572e-26	-0.891669093517283	0.045	0.204	2.74910846700003e-24	B	CDH17
7.85611727000817e-26	-0.975913684748887	0.032	0.183	3.97738774344367e-24	B	AOC1
8.60770058815444e-26	-0.907446026705726	0.057	0.218	4.33270848102017e-24	B	RTN4
1.10354196447442e-25	-0.937852726386648	0.09	0.258	5.52278357853059e-24	B	CTSD
1.26665047841468e-25	-0.811330310517353	0.079	0.249	6.30285278059144e-24	B	SCP2
1.67934925039147e-25	-0.750114316082611	0.195	0.372	8.30896208659597e-24	B	PFN1
1.71373933634947e-25	0.490910798571554	0.469	0.286	8.43121024911364e-24	B	OST4
2.20795113361004e-25	-0.953309329878479	0.032	0.181	1.08015946468967e-23	B	EPS8L3
4.95548964809777e-25	-0.830779456183517	0.05	0.208	2.41074881875058e-23	B	ANXA4
5.39182491363091e-25	-0.790510250362327	0.086	0.258	2.60844507488322e-23	B	CYSTM1
5.71727166713879e-24	-0.895608930289616	0.061	0.217	2.72054653975107e-22	B	AGR2
7.73416600366051e-24	0.482562150642131	0.195	0.079	3.60155708876341e-22	B	REEP5
8.90793389945733e-24	-0.864141347195952	0.032	0.174	4.12607917002524e-22	B	HEBP1
1.11171262111473e-23	-0.805234555775466	0.038	0.184	5.12211296543233e-22	B	SMIM22
1.31223088987471e-23	-0.731761749149492	0.176	0.344	6.01416136264684e-22	B	PSME2
1.6040322255184e-23	-0.877994587652149	0.026	0.164	7.31304325644725e-22	B	APLP2
