p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
3.07877412645381e-243	2.26950818965906	0.711	0.04	2.68099650931598e-239	B	MZB1
1.90947863421757e-184	1.91445757212557	0.558	0.032	8.31386997338328e-181	B	DERL3
5.67747853155916e-161	1.71833334336585	0.437	0.02	1.64798276842724e-157	B	FKBP11
2.27215860632288e-121	1.87957373720584	0.911	0.26	4.94648928596492e-118	B	SSR4
5.64690380918417e-112	1.55684486185726	0.516	0.054	9.83464767407514e-109	B	SEC11C
1.735763483967e-98	1.34440658923598	0.295	0.016	2.51917140306411e-95	B	PIM2
1.93048049009341e-76	1.31443671083609	0.389	0.045	2.40151772967621e-73	B	PRDX4
3.87445323333269e-75	1.65085576193647	0.668	0.163	4.21734234448263e-72	B	HERPUD1
6.41184128319303e-71	1.07376636440275	0.2	0.01	6.20381265489388e-68	B	EAF2
7.92195494626925e-64	1.17545005365724	0.195	0.011	6.89843836721126e-61	B	SPINK2
1.37475771975996e-62	1.18465235973711	0.463	0.078	1.08830820215179e-59	B	SPCS2
1.1716214090228e-58	1.10989558363966	0.284	0.03	8.50206602480879e-56	B	SPCS3
5.76440237367036e-52	-1.30595950383215	0.726	0.92	3.86126275922473e-49	B	FTH1
7.45134714849127e-45	1.03398615783411	0.7	0.226	4.63473792636157e-42	B	FKBP2
7.47783888260908e-43	-1.44336430624267	0.411	0.752	4.34113473265066e-40	B	S100A6
3.99661290109623e-42	1.26698351336111	0.884	0.77	2.17515657142162e-39	B	DNAJB1
2.29367402005486e-37	0.702949318634283	0.116	0.007	1.17490078627281e-34	B	SPAG4
1.83568485223989e-36	-0.845385196171197	0.721	0.899	8.88063538516943e-34	B	TMSB10
2.24252201550723e-35	1.30417799993972	0.668	0.283	1.02778324794931e-32	B	PPP1R15A
5.78884016921174e-35	0.706960875207363	0.132	0.01	2.52046100967479e-32	B	RAB30
1.82421409287192e-34	1.36587940842873	0.858	0.62	7.56440777177556e-32	B	HSPB1
7.60946356089329e-33	1.02679236935045	0.505	0.155	3.01196403128449e-30	B	HSP90B1
1.35393256818844e-32	0.953514606798538	0.405	0.106	5.12610643642822e-30	B	PDIA6
1.82662628976108e-31	0.879883425553987	0.384	0.096	6.62760905468312e-29	B	SPCS1
5.08151487923903e-31	0.921536477046328	0.353	0.086	1.76999326273654e-28	B	LMAN2
6.4120350311488e-30	0.792721558162647	0.258	0.049	2.14753850197091e-27	B	NUCB2
1.32130738309151e-29	-0.909574174690329	0.889	0.959	4.26146099702256e-27	B	TMSB4X
4.91218736823602e-29	0.607409753406875	0.121	0.011	1.5276902715214e-26	B	GNG7
1.12874621397408e-28	0.735259560438714	0.168	0.023	3.38935242458147e-26	B	CRELD2
3.64956687824056e-28	-1.255994727968	0.384	0.666	1.05934761252396e-25	B	PIGR
1.92880801963979e-27	0.872624524762773	0.268	0.058	5.41808394678171e-25	B	SDF2L1
1.87095751129003e-26	0.740224289311001	0.421	0.125	4.93706000251926e-24	B	SEC61B
2.78050886908668e-26	1.03073447018508	0.621	0.312	7.12137389176671e-24	B	HSPA1B
