p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.04324705626697	0.549	0.023	0	B	MZB1
0	1.99092157347738	0.489	0.028	0	B	DERL3
5.92668508431817e-304	1.60664037955556	0.429	0.034	1.72031912380809e-300	B	FKBP11
8.38854658415849e-233	1.64048321487041	0.726	0.282	1.8261865913713e-229	B	SSR4
4.86840571540441e-201	1.43936863595473	0.505	0.106	8.47881539394831e-198	B	SEC11C
8.5592713170722e-167	1.26659072749004	0.342	0.046	1.24223557715108e-163	B	RGS1
2.05289268943225e-163	1.08056984179956	0.206	0.01	2.55379850565371e-160	B	PIM2
5.95908365118226e-133	-0.866198314651654	0.757	0.883	6.48646255431189e-130	B	TMSB10
2.85703099474201e-132	0.765521883259718	0.632	0.254	2.76433621135705e-129	B	CD74
2.36593727999491e-120	0.714840803388414	0.137	0.004	2.06025818341957e-117	B	SPAG4
6.73231148110883e-114	-0.932319219615288	0.432	0.792	5.32954257977233e-111	B	PIGR
1.50110749670844e-112	1.08374498088188	0.47	0.156	1.08930367344475e-109	B	SPCS2
5.15180573235441e-110	-1.15552557621739	0.364	0.699	3.45091725518017e-107	B	S100A6
2.88839874450506e-107	1.11387295854514	0.549	0.219	1.79658401908215e-104	B	HERPUD1
5.0660558680317e-101	0.953071570261361	0.56	0.228	2.94101429992134e-98	B	FKBP2
9.58003173912872e-101	0.980500615651529	0.347	0.09	5.21393227402081e-98	B	PRDX4
5.66102205250883e-98	0.738880598887817	0.195	0.024	2.89977529607334e-95	B	CYTIP
1.81399067151474e-92	0.82551565521737	0.261	0.051	8.7756837597502e-90	B	ISG20
6.55116941548425e-92	-1.21019377302607	0.245	0.6	3.00250438263352e-89	B	TSPAN8
1.31524780868891e-85	-1.21205519265811	0.648	0.809	5.72658895903151e-83	B	FABP1
3.71373957427448e-79	0.703889961059809	0.223	0.042	1.53996401013249e-76	B	EMP3
6.24582353481599e-79	0.603190309913623	0.116	0.009	2.47221051550808e-76	B	EAF2
2.23223198649891e-77	0.985639623298939	0.269	0.067	8.45142440801413e-75	B	TSC22D3
1.84588939872027e-76	0.765177783623711	0.261	0.063	6.69750203502339e-74	B	SPCS3
1.64172252055372e-75	0.693952689484786	0.121	0.011	5.71844788359272e-73	B	RAB30
2.91878663767078e-75	0.48219755980274	0.339	0.095	9.77569001570661e-73	B	LGALS1
1.10887912007471e-73	0.651400833791057	0.191	0.033	3.44861406343235e-71	B	IL2RG
1.4607270741251e-73	0.596272703707155	0.14	0.016	4.38621081430393e-71	B	BST2
7.58296548489405e-73	0.883222124994024	0.333	0.102	2.20108211474858e-70	B	BIRC3
4.03603538645263e-71	0.930736491321117	0.436	0.178	1.13373535952353e-68	B	XBP1
2.9845114832711e-70	-0.996973228501075	0.43	0.641	8.12160187385147e-68	B	ACTB
2.76949708991703e-69	-1.1287245978895	0.171	0.488	7.30811535121137e-67	B	KRT18
3.87259080417158e-67	-1.19980527055155	0.402	0.637	9.91838844786063e-65	B	PLA2G2A
4.63465818427271e-67	-1.13802634894363	0.116	0.429	1.15310295624705e-64	B	EPCAM
6.77603242204119e-67	-1.0190663484247	0.254	0.574	1.63904695364263e-64	B	PHGR1
4.05649400699886e-66	-0.905294665694311	0.268	0.574	9.54701346295839e-64	B	LGALS4
6.11016386209639e-65	-0.771964672665165	0.501	0.678	1.40019228713514e-62	B	GAPDH
1.46123496960974e-63	0.964170642309184	0.206	0.048	3.26267541419529e-61	B	HIST1H1C
5.00178926187728e-62	-1.06183471173686	0.22	0.505	1.08888952231068e-59	B	LGALS3
1.4304818048899e-61	-1.37708561893791	0.249	0.511	3.03820379438567e-59	B	AGR2
3.06374575406603e-59	-0.99021611241558	0.231	0.521	6.20444140149e-57	B	KRT8
4.2058422659205e-59	0.544044882006893	0.823	0.625	8.32374419355358e-57	B	FTL
7.767884943957e-59	-1.13949606279873	0.156	0.437	1.50317204648839e-56	B	SPINK1
5.14357764526783e-58	-1.2710041636658	0.134	0.417	9.73701611630266e-56	B	CLDN4
9.82225779674803e-58	-1.09047684256964	0.159	0.442	1.81983448710812e-55	B	IFI27
1.26338871639042e-57	-1.09097450116271	0.188	0.465	2.29199769631828e-55	B	FXYD3
8.19239984202547e-57	-1.02132577029907	0.172	0.452	1.45590648621138e-54	B	S100A10
1.07009737637995e-52	-0.970462452067845	0.195	0.469	1.86368159070333e-50	B	KRT19
1.24966363954715e-50	0.551866848830779	0.122	0.02	2.09270595638012e-48	B	PSAT1
4.28142778588902e-50	0.591380303156515	0.162	0.037	7.03446663387199e-48	B	DNAJB9
2.76184548501349e-49	0.627445286443752	0.114	0.017	4.45373157101805e-47	B	EHMT1
1.02377514032963e-48	0.681594553396471	0.223	0.068	1.62091525854371e-46	B	SLC3A2
2.00972455234069e-48	-0.940308963778031	0.134	0.396	3.12512167888977e-46	B	GPX2
2.85087731928564e-46	-1.01881599986228	0.097	0.345	4.3553402976034e-44	B	ELF3
6.42490685624686e-46	-1.60563672098386	0.438	0.619	9.64622222486166e-44	B	TFF3
9.00698831994848e-46	0.498139512232467	0.105	0.016	1.3293704116968e-43	B	TXNDC15
1.81736348504427e-45	0.642341430739948	0.259	0.092	2.63760020462759e-43	B	SDF2L1
4.17612227911341e-45	-1.00309296912443	0.507	0.611	5.96158570598682e-43	B	FTH1
7.19850000554922e-45	-1.06313085572924	0.081	0.316	1.01104093626327e-42	B	CST3
7.6101561233359e-45	0.60523172923633	0.444	0.223	1.05189269082554e-42	B	SEC62
3.02835657116678e-44	0.63992448057237	0.403	0.195	4.05706600334158e-42	B	SUB1
4.35315125287004e-43	-0.618476314212076	0.88	0.894	5.74352138030187e-41	B	TMSB4X
1.50420514837632e-41	-1.25509465933028	0.091	0.311	1.95501767642702e-39	B	KRT20
3.71786793747528e-41	0.598656482688426	0.164	0.044	4.69205710138185e-39	B	UBE2J1
2.49486887828347e-40	0.589900147427369	0.327	0.143	3.10361688458463e-38	B	CYBA
3.63935461762011e-40	-0.955775716146473	0.056	0.267	4.46359155073745e-38	B	MGST1
8.9807792748123e-40	-0.930598229041648	0.149	0.377	1.08617536007035e-37	B	CA2
1.17198683181618e-39	-0.687023764623808	0.466	0.605	1.39803579882949e-37	B	ACTG1
2.40879750421966e-38	-0.898552800303706	0.095	0.313	2.79677448889931e-36	B	TSPAN1
3.12801990530427e-38	-0.906635710039927	0.084	0.296	3.58405228097232e-36	B	CLDN7
2.14675199644174e-37	-0.849613423774172	0.097	0.313	2.3663185297487e-35	B	C15orf48
1.4950782417866e-36	0.462869525486859	0.155	0.043	1.62739266618472e-34	B	WARS
3.03104391315378e-36	0.528415757896921	0.162	0.049	3.25855930811644e-34	B	KRTCAP2
3.28067273492353e-36	-1.17387223720357	0.071	0.268	3.48391441167245e-34	B	PCK1
7.22308176618078e-36	-0.827857115553218	0.073	0.28	7.48792809760741e-34	B	SMIM22
7.93835311905253e-36	0.679204295072825	0.108	0.023	8.13260928949523e-34	B	DUSP5
1.39481803812992e-35	-1.24490370612228	0.214	0.407	1.41233435767853e-33	B	OLFM4
4.09929527693322e-35	0.506971841472714	0.449	0.244	4.10306474385454e-33	B	TMEM258
5.33571159709899e-35	0.432224724615588	0.678	0.456	5.27992915767477e-33	B	EIF1
9.12997496047017e-35	-0.895972716397648	0.079	0.277	8.83375799508603e-33	B	ACTN4
1.30160234923226e-34	-0.705072622823594	0.353	0.505	1.23199491925158e-32	B	CFL1
1.31627833133351e-34	-0.784857522655307	0.167	0.377	1.23248943110239e-32	B	HLA-A
1.54993344645829e-34	0.498714736509602	0.222	0.083	1.43583196295306e-32	B	TRAM1
9.60759224592035e-34	-0.752714212038954	0.214	0.414	8.71488679973692e-32	B	COX7B
1.1168822670923e-33	-0.931607261954694	0.066	0.257	1.0026609053443e-31	B	CLDN3
1.51158408235729e-33	-0.86162428520147	0.095	0.29	1.34315042746605e-31	B	ATP1A1
1.69670462558998e-33	-1.07365101645021	0.065	0.253	1.49241453329672e-31	B	IFITM3
2.03346571556852e-33	-0.856716405147956	0.046	0.229	1.77074194511707e-31	B	TPM1
3.60291904146748e-33	-0.721537243256237	0.126	0.337	3.10635831812859e-31	B	MUC1
1.02864370859545e-32	0.573534424754328	0.257	0.11	8.78179354357765e-31	B	SSR3
2.08677487441724e-31	-0.741396746796858	0.094	0.288	1.76423646664324e-29	B	S100A14
