p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.95358458370931e-27	2.39196607225757	1	0.821	1.93776054858127e-23	DCLK1+ Progenitor	DCN
7.89218942600143e-27	2.25985946905613	1	0.694	3.91413134582541e-23	DCLK1+ Progenitor	LUM
1.55115506103416e-26	1.76480740256377	0.957	0.441	5.12863568346594e-23	DCLK1+ Progenitor	FNDC1
1.75903429634029e-25	2.13455356924237	1	0.953	4.36196529634984e-22	DCLK1+ Progenitor	SPARC
3.21911674743071e-25	1.76760156469077	1	0.726	6.38608380355305e-22	DCLK1+ Progenitor	PCOLCE
7.95798292519226e-25	1.45041648380643	1	0.502	1.31558721058303e-21	DCLK1+ Progenitor	COL12A1
2.14440329074746e-24	2.47684395792827	1	0.975	3.03861946298915e-21	DCLK1+ Progenitor	COL1A1
2.72775705348652e-24	2.22290593730369	1	0.968	3.38207777669159e-21	DCLK1+ Progenitor	COL1A2
3.63413885100681e-24	2.0026089865188	1	0.868	4.00522480701517e-21	DCLK1+ Progenitor	FBLN1
4.8255919397058e-24	1.89222154730583	1	0.975	4.78650464499418e-21	DCLK1+ Progenitor	COL3A1
9.03277967719065e-23	1.55689513524377	1	0.866	8.14510378345946e-20	DCLK1+ Progenitor	COL5A1
2.05316169896872e-22	1.87460634046736	0.957	0.558	1.69710924100589e-19	DCLK1+ Progenitor	COL14A1
4.9926834314546e-22	1.58834321137914	0.913	0.443	3.80941745819986e-19	DCLK1+ Progenitor	SPON2
5.98928523400294e-22	1.34573290611023	1	0.692	4.24340858829108e-19	DCLK1+ Progenitor	FBN1
4.2286674591632e-21	1.53272472869442	0.826	0.341	2.79627683516265e-18	DCLK1+ Progenitor	THBS2
7.16550152147325e-21	1.30688149276456	0.935	0.532	4.44216309946832e-18	DCLK1+ Progenitor	C1S
1.76494194115664e-20	1.37928733257844	0.935	0.527	1.01895465852319e-17	DCLK1+ Progenitor	COL16A1
1.84909606345572e-20	1.24013444581172	1	0.895	1.01895465852319e-17	DCLK1+ Progenitor	COL6A1
1.5531789631814e-19	1.28838699010727	1	0.884	8.10841165041909e-17	DCLK1+ Progenitor	LTBP4
2.20103116601988e-18	1.12001053630626	1	0.756	1.09160140678756e-15	DCLK1+ Progenitor	MMP2
3.59990187088913e-18	1.30425478165854	0.913	0.521	1.70035365034997e-15	DCLK1+ Progenitor	C1R
3.88092252526989e-18	1.25895677759128	1	0.888	1.74976684218873e-15	DCLK1+ Progenitor	FN1
4.25765304081306e-18	1.1786622713324	1	0.849	1.83615915268803e-15	DCLK1+ Progenitor	COL6A2
8.45516541558469e-18	1.2529690016788	0.978	0.75	3.49444940654936e-15	DCLK1+ Progenitor	PTN
1.1268294981243e-17	1.51389998404493	0.826	0.364	4.47080871675799e-15	DCLK1+ Progenitor	C1QTNF3
1.64970501637687e-17	1.3322970604196	0.978	0.751	6.29362463747777e-15	DCLK1+ Progenitor	MFAP4
2.74538982744989e-17	1.19422796558694	1	0.833	1.00857487772131e-14	DCLK1+ Progenitor	COL5A2
3.13277572432123e-17	0.931038276111248	0.978	0.62	1.10978580034079e-14	DCLK1+ Progenitor	EFEMP2
8.15004703597566e-17	0.985079839743031	1	0.943	2.78759712240836e-14	DCLK1+ Progenitor	LGALS1
1.99427170331181e-16	0.933569803500597	0.87	0.364	6.59372700838328e-14	DCLK1+ Progenitor	NUPR1
6.82143954064757e-16	1.58109792570823	0.913	0.618	2.18264060657043e-13	DCLK1+ Progenitor	OGN
1.28771449446454e-15	0.769690328247727	0.717	0.267	3.99151252206054e-13	DCLK1+ Progenitor	HTRA1
1.63737119381334e-15	1.06541536909095	1	0.882	4.92154087013166e-13	DCLK1+ Progenitor	FSTL1
2.46034142844567e-15	0.951942066487596	0.652	0.242	7.17768430257429e-13	DCLK1+ Progenitor	LOX
4.89839747788274e-15	1.11151049077816	0.978	0.775	1.38820584523197e-12	DCLK1+ Progenitor	RARRES2
5.73636605344851e-15	0.816559108845129	0.891	0.474	1.58052819122655e-12	DCLK1+ Progenitor	SVEP1
8.00101778882318e-15	0.770992279494439	0.826	0.379	2.14492149857668e-12	DCLK1+ Progenitor	CYBRD1
9.73432063068362e-15	1.18184426345844	0.717	0.289	2.54091385094081e-12	DCLK1+ Progenitor	SRPX
1.15374848827875e-14	0.999477530162167	0.978	0.817	2.93436698852228e-12	DCLK1+ Progenitor	COL6A3
1.23250595483052e-14	1.59055120188328	0.87	0.506	3.05630664149099e-12	DCLK1+ Progenitor	ASPN
2.33167182046159e-14	1.27330541606529	0.826	0.4	5.640939704185e-12	DCLK1+ Progenitor	TNC
3.17594222588223e-14	1.1417893213253	0.935	0.631	7.50051689012519e-12	DCLK1+ Progenitor	ELN
4.90822026391698e-14	0.879724275001384	0.957	0.737	1.13026680538133e-11	DCLK1+ Progenitor	OLFML3
5.01378560709533e-14	0.886438062805346	0.935	0.626	1.13026680538133e-11	DCLK1+ Progenitor	THY1
8.36590947510055e-14	0.998216802083166	0.957	0.654	1.84403235741161e-11	DCLK1+ Progenitor	SPARCL1
8.68401369544008e-14	0.875601891873169	0.978	0.771	1.87253764880587e-11	DCLK1+ Progenitor	VCAN
1.26071881668201e-13	0.826095591642804	0.609	0.205	2.66065317929124e-11	DCLK1+ Progenitor	COL21A1
2.66619535560152e-13	0.901927015920017	0.804	0.456	5.50958161087738e-11	DCLK1+ Progenitor	RCN3
3.35239795780698e-13	0.842641171632079	0.848	0.465	6.78621129458928e-11	DCLK1+ Progenitor	LRRC17
8.00017407020222e-13	0.871917115048394	0.717	0.316	1.58707453204672e-10	DCLK1+ Progenitor	MATN2
1.18252514191062e-12	0.741104170482084	0.848	0.46	2.29989546717871e-10	DCLK1+ Progenitor	ANTXR1
