p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
8.9676964426117e-09	0.602260735575504	0.917	0.273	3.65151422029525e-05	Enterocyte	ABCC6
9.26928781138339e-09	2.24271548326698	1	0.451	3.65151422029525e-05	Enterocyte	PRAP1
1.10439990532168e-08	1.66189984611103	1	0.419	3.65151422029525e-05	Enterocyte	CDHR5
5.27845652097365e-08	0.999613297924386	0.917	0.293	0.000116610185286816	Enterocyte	SLC26A3
5.87812205296988e-08	0.70006524408697	1	0.356	0.000116610185286816	Enterocyte	GBP3
1.15734269859264e-07	1.77290772975533	1	0.473	0.000191328037122341	Enterocyte	APOC3
2.88659953709387e-07	1.07638636861347	1	0.459	0.000409031154406202	Enterocyte	ACSL5
4.34943785421238e-07	1.46073817015886	0.833	0.308	0.000539275925949158	Enterocyte	CDHR2
5.47920522707855e-07	0.71257163570698	0.75	0.206	0.000586474808783307	Enterocyte	PDZK1
5.91264047568613e-07	0.350515645929076	0.75	0.203	0.000586474808783307	Enterocyte	CATSPER2
7.58334966820846e-07	0.816764462636606	0.833	0.3	0.000640401566597028	Enterocyte	ACY3
7.8797073714244e-07	1.06311377392803	0.833	0.327	0.000640401566597028	Enterocyte	ESPN
8.43167667627835e-07	1.87602276082677	1	0.717	0.000640401566597028	Enterocyte	SERPINA1
9.88856075870179e-07	1.36580031477175	0.917	0.516	0.000640401566597028	Enterocyte	MYO15B
1.01620514304165e-06	0.936742923740258	1	0.554	0.000640401566597028	Enterocyte	SLC15A1
1.033009886637e-06	1.33400155952199	0.917	0.371	0.000640401566597028	Enterocyte	TM4SF20
1.37334378905399e-06	1.19392238603493	1	0.443	0.000801305708448621	Enterocyte	AMN
2.15244637341426e-06	1.19744080758443	1	0.525	0.00118611753210533	Enterocyte	FABP2
2.59841783775912e-06	1.191874465254	1	0.535	0.00129614021463326	Enterocyte	ARID3A
2.61344936915669e-06	1.80011360628893	1	0.894	0.00129614021463326	Enterocyte	APOA1
3.12828661992598e-06	0.967615350432434	0.917	0.322	0.0014775940468117	Enterocyte	XDH
4.4167927947173e-06	0.808425002243758	0.583	0.138	0.00193041258197543	Enterocyte	TMIGD1
4.47620620883506e-06	0.885300831744958	1	0.512	0.00193041258197543	Enterocyte	ASS1
4.84559567535601e-06	1.48684351991654	1	0.671	0.00200264431266068	Enterocyte	ANPEP
5.74677134190716e-06	1.24215309913985	1	0.639	0.00228008899761508	Enterocyte	DGAT1
7.00231285753248e-06	0.997235940734083	1	0.539	0.00260514192635698	Enterocyte	PHGR1
7.09132291678986e-06	1.18501587979471	0.833	0.4	0.00260514192635698	Enterocyte	DPEP1
7.77764393169737e-06	1.01664611665171	1	0.832	0.00275523036280379	Enterocyte	HLA-A
9.30015020182465e-06	0.972926728338326	0.833	0.325	0.00318097206385858	Enterocyte	IL2RG
1.05359776180802e-05	1.01637955834389	0.75	0.292	0.00348354539979124	Enterocyte	RAB17
1.09998252406202e-05	0.611757896457402	1	0.513	0.00351958924392619	Enterocyte	IL32
1.26327674657363e-05	0.868282362845545	1	0.527	0.00391576314039496	Enterocyte	APOB
1.32447658739301e-05	1.08201530679911	0.917	0.397	0.00393852166094772	Enterocyte	AOC1
1.40981606813084e-05	0.801329229104511	0.667	0.208	0.00393852166094772	Enterocyte	PCK1
1.4294463130771e-05	0.835266950255061	1	0.485	0.00393852166094772	Enterocyte	DNASE1
1.53393517481983e-05	1.28315353043065	0.833	0.463	0.00411218999973996	Enterocyte	CTSH
1.8361520129018e-05	1.02669022746093	1	0.682	0.00474470686474669	Enterocyte	GCHFR
1.86554660474968e-05	0.66724112336655	0.833	0.341	0.00474470686474669	Enterocyte	CYP3A5
2.25442960424406e-05	-1.95677259409573	0.25	0.794	0.00559042181112421	Enterocyte	CALD1
2.38276135903059e-05	1.00424038106115	1	0.999	0.00563482935518294	Enterocyte	FTL
2.3892469805395e-05	-1.05467844806444	0.333	0.812	0.00563482935518294	Enterocyte	MARCKSL1
2.44327994098335e-05	0.822527975682451	0.75	0.285	0.00563482935518294	Enterocyte	XPNPEP2
2.49957144498487e-05	-1.03186076728541	0.667	0.931	0.00563482935518294	Enterocyte	HNRNPA3
2.67117350175835e-05	1.32536009306061	0.917	0.513	0.00588761351989027	Enterocyte	PCSK1N
2.77919132487753e-05	0.904813421283196	1	1	0.00588761351989027	Enterocyte	FTH1
2.83681219476887e-05	0.868504973538529	1	0.704	0.00588761351989027	Enterocyte	MAF
2.92004857031268e-05	0.467259127014114	1	0.428	0.00588761351989027	Enterocyte	TFEC
2.95172548748858e-05	0.459069454715697	1	0.396	0.00588761351989027	Enterocyte	SLC7A7
2.96784631509742e-05	1.27047779995788	1	0.958	0.00588761351989027	Enterocyte	SAT1
3.07195049019223e-05	0.470629519176591	0.833	0.303	0.00592162582649663	Enterocyte	MUC3A
3.10439099685275e-05	0.934739475653561	1	0.724	0.00592162582649663	Enterocyte	ANXA4
3.28708670815754e-05	1.04686311755367	1	0.916	0.00615181378456879	Enterocyte	NEAT1
3.65945237236802e-05	-1.37064415695703	0.583	0.915	0.00650607415050168	Enterocyte	NAP1L1
3.69994975190429e-05	1.05981384415154	0.833	0.318	0.00650607415050168	Enterocyte	MME
