p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
9.06086503575811e-109	2.16100504216055	0.429	0	8.98747202896847e-105	Endothelial	COL15A1
3.21482116448112e-77	2.28828970321081	0.524	0.013	1.59439055652441e-73	Endothelial	A2M
1.38582191776888e-73	1.95843131834903	0.5	0.012	4.58198920078319e-70	Endothelial	TM4SF1
1.78884190600768e-62	2.37846586713155	0.619	0.033	4.43588071642254e-59	Endothelial	CAV1
1.92211783079637e-58	2.38579413368695	0.357	0.007	3.81309735273384e-55	Endothelial	IGFBP3
3.23115269766669e-56	1.8979183753339	0.31	0.004	5.34163393469265e-53	Endothelial	CDH5
4.11575969630126e-56	1.79017881153819	0.31	0.004	5.83203148965888e-53	Endothelial	KDR
2.49644433802716e-55	1.96880455969169	0.5	0.022	3.09527892361142e-52	Endothelial	RAMP2
6.33341599778948e-54	1.62009061244108	0.286	0.004	6.98012814245265e-51	Endothelial	CD34
1.29877139025691e-51	2.27621595244552	0.643	0.049	1.28825134199583e-48	Endothelial	GNG11
1.40773709202734e-50	1.52197939360583	0.286	0.004	1.26939492871084e-47	Endothelial	ESAM
3.36606491379131e-47	2.03222820503396	0.619	0.05	2.782333156658e-44	Endothelial	COL4A1
2.06714266338823e-46	1.54436485224084	0.238	0.003	1.57722985216522e-43	Endothelial	EMP1
4.18156850675792e-45	1.5981313125473	0.262	0.004	2.96264128703799e-42	Endothelial	CD93
1.22877548103994e-42	1.65361992806468	0.262	0.005	8.12548266429008e-40	Endothelial	ELK3
9.23765377210781e-40	1.38582836266197	0.262	0.006	5.72676798534609e-37	Endothelial	ITGA6
3.24133119384722e-39	2.05812055955301	0.857	0.143	1.89122141833945e-36	Endothelial	VIM
6.21098417482105e-39	1.86396608220768	0.19	0.002	3.42259733500278e-36	Endothelial	TM4SF18
4.08513113265912e-38	1.98488892961964	0.31	0.012	2.13265345814978e-35	Endothelial	IL32
1.41790252468249e-37	1.30892145935262	0.167	0.001	7.03208757116283e-35	Endothelial	EPAS1
6.76283117858501e-35	1.3085363723933	0.238	0.006	3.19431059335165e-32	Endothelial	IGFBP4
1.07382625382713e-33	1.64751606117049	0.381	0.024	4.84149209623241e-31	Endothelial	MSN
1.66728358473632e-32	1.63917735598823	0.31	0.015	7.19034168565196e-30	Endothelial	CALCRL
4.74328804160234e-32	1.12556869147718	0.19	0.004	1.9603614201939e-29	Endothelial	ECSCR
1.23482328514532e-31	0.874571282008992	0.143	0.001	4.89928486614257e-29	Endothelial	FLT1
4.06722332848486e-31	1.57050915445299	0.238	0.008	1.55164569981698e-28	Endothelial	PECAM1
3.94024665391388e-30	1.86704531198911	0.452	0.042	1.44752987259895e-27	Endothelial	IGFBP7
1.59901796552487e-29	1.30024708423803	0.19	0.004	5.66452114287184e-27	Endothelial	EMCN
6.40131635395499e-28	1.6274475843288	0.238	0.01	2.1894709280993e-25	Endothelial	CD36
1.07962243709557e-27	1.2313825528116	0.143	0.002	3.56959165118364e-25	Endothelial	PTPRM
1.70097638364081e-27	1.47126639087978	0.19	0.005	5.44257572559134e-25	Endothelial	GIMAP4
1.00957748406229e-24	1.41400138813472	0.286	0.019	3.03454517103451e-22	Endothelial	HSPG2
1.36943350635874e-24	1.07042870855153	0.167	0.004	3.99512086752129e-22	Endothelial	MGLL
2.0989095782261e-24	1.03877306928624	0.143	0.003	5.94830974469277e-22	Endothelial	LMO2
4.2487169731223e-22	0.720678214533944	0.119	0.002	1.17063954601111e-19	Endothelial	ARHGEF3
3.25575876566866e-20	1.41425107546081	0.262	0.02	8.7280732963966e-18	Endothelial	COL4A2
4.70714842880598e-20	1.34929860761773	0.286	0.025	1.22868961224543e-17	Endothelial	ANXA1
2.60295682271723e-19	1.14136080189544	0.119	0.003	6.62018685244417e-17	Endothelial	CLDN5
4.12774851568053e-19	1.16380604761329	0.262	0.021	1.02357843817588e-16	Endothelial	RNASE1
3.8597123546554e-18	1.04816659852364	0.143	0.005	9.33767971849438e-16	Endothelial	ADAMTS9
