p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.2338724690966e-65	2.64149059536087	0.671	0.189	4.50688758313908e-61	Distal Tubule	SLC8A1
3.72296189129542e-46	1.67514208519465	0.759	0.337	1.60292124229724e-42	Distal Tubule	CNNM2
1.27643806949965e-37	1.19161244390222	0.712	0.29	3.66380273882049e-34	Distal Tubule	EFNA5
1.11308897729237e-32	1.25382352784795	0.824	0.522	2.39620229586616e-29	Distal Tubule	CPEB4
2.24230063318118e-31	1.41479331419245	0.735	0.41	3.86169015046464e-28	Distal Tubule	TRPM7
3.21443598157897e-29	1.3458605266046	0.512	0.194	4.61325137289609e-26	Distal Tubule	FMN1
5.24470421787853e-26	1.13458842981926	0.576	0.256	6.45173543145029e-23	Distal Tubule	ITPR1
1.3220902291364e-22	0.948876988015436	0.329	0.096	1.42306487038669e-19	Distal Tubule	ICA1
7.96554419271053e-20	0.949228861751725	0.588	0.305	7.62125567149227e-17	Distal Tubule	TSC22D2
3.25398271592186e-19	0.69522809293291	0.2	0.044	2.80200451668032e-16	Distal Tubule	TMEM52B
3.57972749342628e-19	0.829969465395975	0.582	0.295	2.80227576780852e-16	Distal Tubule	CBLB
5.94529317369969e-18	1.02654813431429	0.253	0.072	4.26624329322734e-15	Distal Tubule	TMTC1
1.5458380091809e-17	0.98537696006737	0.418	0.175	1.02393931515821e-14	Distal Tubule	ACSL4
1.78083809192451e-17	0.82963944422418	0.659	0.411	1.09534262925443e-14	Distal Tubule	MITF
7.32341002948792e-17	0.815164505296237	0.259	0.079	4.20412558426137e-14	Distal Tubule	ITPKB
4.83191756464846e-16	0.822534934438908	0.424	0.192	2.60047763432424e-13	Distal Tubule	CADM1
9.62107482268622e-16	0.952810724196666	0.288	0.1	4.87335737047947e-13	Distal Tubule	TBC1D9
5.78333163489369e-15	0.667731398364597	0.241	0.075	2.76668159489276e-12	Distal Tubule	DCUN1D5
1.16145645625673e-14	0.690988315460758	0.359	0.147	5.26384291832983e-12	Distal Tubule	SLC16A7
2.67979558639283e-13	0.7504140502005	0.541	0.329	1.15378598972143e-10	Distal Tubule	WNK1
3.08170064577481e-13	-0.753013262160882	0.335	0.601	1.23975811152882e-10	Distal Tubule	FKBP5
3.1674228839431e-13	-0.559684841520246	0.941	0.952	1.23975811152882e-10	Distal Tubule	NEAT1
5.33036591515375e-13	0.773443058533219	0.359	0.16	1.99564264762561e-10	Distal Tubule	ABCA5
6.82210867021468e-13	0.622963874185291	0.306	0.121	2.44771573996744e-10	Distal Tubule	OSBPL3
3.07530962109384e-12	-0.658129330976205	0.459	0.698	1.05925964588956e-09	Distal Tubule	BNC2
4.97077884620691e-12	0.470025956548989	0.888	0.826	1.64628371710337e-09	Distal Tubule	MAML2
5.88251601289873e-12	0.833141453815694	0.494	0.279	1.87608686618782e-09	Distal Tubule	USP24
1.77284464085426e-11	0.519002766191653	0.788	0.609	5.45213042942715e-09	Distal Tubule	FNDC3B
6.09945543374501e-11	0.765902217229768	0.606	0.461	1.81111761172339e-08	Distal Tubule	TSC22D1
3.21773929751017e-10	0.554956860565075	0.541	0.328	9.23598436362003e-08	Distal Tubule	VAV3
4.68741159885388e-10	0.597756650123065	0.494	0.291	1.30204197670099e-07	Distal Tubule	AK3
5.31118798005273e-10	-0.445207721601169	0.724	0.851	1.42920749050731e-07	Distal Tubule	SYNE2
1.30422925970192e-09	0.450514329809918	0.859	0.773	3.40324792584644e-07	Distal Tubule	GPHN
6.14832932825881e-09	0.758919866727982	0.182	0.067	1.55715481898931e-06	Distal Tubule	MAP2K6
9.90857481240256e-09	-0.652057887274906	0.412	0.598	2.43779250598853e-06	Distal Tubule	SLC4A4
1.64241618386358e-08	-0.490511938487409	0.506	0.71	3.92856826645813e-06	Distal Tubule	NRP1
1.95263806973389e-08	0.789378557778785	0.588	0.435	4.54436930229151e-06	Distal Tubule	SPP1
2.92866405992532e-08	-0.304020042522794	0.853	0.955	6.63650690000446e-06	Distal Tubule	ZBTB20
3.01246255826951e-08	0.614813915701077	0.6	0.446	6.65136284339968e-06	Distal Tubule	MAP4K3
3.31912810297196e-08	-0.594522081974746	0.259	0.472	7.14525302367289e-06	Distal Tubule	BCL2
4.78748022979866e-08	0.51432595011294	0.141	0.047	1.0054876160682e-05	Distal Tubule	SLC6A16
