p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.02936480340771e-146	2.59364475492027	0.794	0.029	5.19188603221438e-142	B	POLB
1.53289762129376e-122	1.54503950392871	0.353	0.006	6.5998907084803e-119	B	SERPINF1
3.69510244408683e-102	2.53050688408148	0.941	0.062	1.06061757153439e-98	B	ALOX5AP
1.59417915351553e-64	1.97182916688645	0.588	0.036	3.43186917273055e-61	B	BID
9.98918292908622e-60	2.06383174217933	0.647	0.049	1.72033708404723e-56	B	GNL3
7.29550853502337e-50	1.82136537981913	0.441	0.026	1.04702706658477e-46	B	TSPAN13
2.52647582867998e-48	1.74416259209735	0.5	0.035	3.10792619439476e-45	B	NR3C1
1.25318832526602e-43	1.9000214771494	0.529	0.044	1.34890058360821e-40	B	C12orf45
2.71467262859e-41	2.62363701198581	1	0.21	2.5973384449765e-38	B	CREM
1.85614085985769e-40	1.16543985982783	0.206	0.007	1.59832289442346e-37	B	GPM6B
2.5079953989706e-40	2.3359127135334	0.735	0.097	1.96330439823053e-37	B	CD83
1.12534222766178e-37	1.50104622594182	0.382	0.026	8.07526826866298e-35	B	LPXN
3.84502577971252e-37	1.99459649791306	0.441	0.035	2.54688592223881e-34	B	NR4A3
6.58121379491131e-29	1.19585942684208	0.235	0.013	4.04791657057009e-26	B	THEMIS2
8.78330450436195e-27	1.60611418854466	0.971	0.257	5.04220233913738e-24	B	SRGN
1.16999815729061e-25	2.04537500837194	0.912	0.282	6.29678383276842e-23	B	HERPUD1
3.05287704370985e-24	1.77565243751878	0.265	0.02	1.54637201314033e-21	B	SEPHS1
3.35682841927288e-24	1.52339112261612	0.441	0.053	1.6058694176866e-21	B	CYTIP
7.37610069122287e-24	1.33652050127476	0.324	0.029	3.34292647642737e-21	B	REL
3.13816405583451e-21	1.13842203784098	0.324	0.032	1.35113653423955e-18	B	SERPINB9
2.36396454603198e-20	1.65171851211031	0.941	0.372	9.69338033613401e-18	B	SEC61B
1.39347636479457e-19	1.40705831531541	0.971	0.391	5.45419317147549e-17	B	HLA-DRB1
2.88715496075196e-19	1.21589047401665	0.294	0.03	1.08092571161022e-16	B	SMIM3
3.69987447347211e-19	1.19656775387964	1	0.453	1.32748412879451e-16	B	HLA-DRA
4.44441898599665e-19	1.51510932763658	1	0.622	1.53083567553669e-16	B	CD74
4.73434463091271e-19	1.03657873515144	0.206	0.015	1.56797852372267e-16	B	ETV3
6.15968325483314e-19	1.31652218127798	0.294	0.03	1.96448268545808e-16	B	TCF4
8.46506657687823e-17	0.937770837395962	0.176	0.013	2.60331029619637e-14	B	STK4
2.425805424473e-16	0.985250592437275	0.206	0.018	7.20296914142657e-14	B	TMEM39A
8.64333540792081e-16	1.24763693307176	0.235	0.024	2.48092537325354e-13	B	MALT1
9.10840752916079e-16	0.965359355834327	1	0.906	2.53008055592269e-13	B	RPS3A
1.02221088945129e-14	1.16105849178567	0.235	0.026	2.75070561533282e-12	B	ALG2
5.80694063857409e-14	-0.916768221454014	1	1	1.49411664115955e-11	B	MT-CO1
5.93114739415325e-14	0.967258044480931	0.765	0.238	1.49411664115955e-11	B	HLA-DPA1
6.07293954715877e-14	0.968338376269015	0.706	0.198	1.49411664115955e-11	B	HLA-DPB1
8.1263035122333e-14	0.689270797232891	1	0.985	1.94376665399558e-11	B	RPL21
2.40313003813882e-13	1.11633088394606	0.471	0.101	5.59279804281443e-11	B	IRF2BP2
5.14906813381278e-13	0.768516413193907	0.118	0.008	1.16680593948058e-10	B	NSMCE3
5.56711194504964e-13	0.829433178692089	0.971	0.861	1.21709828226499e-10	B	RPS23
5.65369077814417e-13	0.738906065989157	1	0.909	1.21709828226499e-10	B	RPLP1
8.28460881994361e-13	1.16494168037741	0.235	0.029	1.73996991581791e-10	B	N4BP2L1
9.41492028596162e-13	0.705607888043842	1	0.953	1.93028282339085e-10	B	RPS27
1.77998188383269e-12	0.746335092466657	0.176	0.017	3.56451720969379e-10	B	DCK
1.88209399432323e-12	-0.933559084113153	0.971	0.997	3.68334349661757e-10	B	MT-ATP6
3.89859710154751e-12	1.18548186069824	0.324	0.055	7.46018214253903e-10	B	FYTTD1
4.45197047352979e-12	1.38221855551502	0.353	0.066	8.33389516251414e-10	B	KPNA2
4.63485330390672e-12	0.730220536450691	0.971	0.815	8.49164293615761e-10	B	RPS13
5.16590767183173e-12	-0.902924331468018	1	1	9.26742311711314e-10	B	MT-CO3
6.73472695231906e-12	1.28858705601123	0.618	0.205	1.18352517931468e-09	B	EZR
7.10667340376326e-12	1.11477296284501	0.265	0.039	1.22391129359611e-09	B	CORO1C
8.62652048519408e-12	0.956639807069778	0.147	0.013	1.45652878231385e-09	B	PBX3
9.09917668192303e-12	0.633924346172727	1	0.945	1.50678866169306e-09	B	RPS27A
1.44140745788082e-11	-1.91033904604895	0.206	0.791	2.34187917354939e-09	B	IGFBP7
1.68491303436552e-11	1.05820366524242	0.441	0.102	2.68681224794843e-09	B	DDX24
2.09290006920959e-11	1.08343226288313	0.265	0.04	3.2767204538116e-09	B	RANBP2
2.17142896596975e-11	-1.00194126691448	0.912	0.985	3.33895979035098e-09	B	MT-ND1
2.81497913887583e-11	1.18023444617229	0.353	0.068	4.2525939236596e-09	B	DUSP5
2.99242948482011e-11	1.8412369419481	0.382	0.082	4.44272591272172e-09	B	TWISTNB
4.11554856177844e-11	0.586957782490494	1	0.997	6.00660824838545e-09	B	B2M
4.67417557185288e-11	0.96151528608553	0.206	0.026	6.70822097487085e-09	B	THAP2
4.77788682098745e-11	-0.874578974782218	0.912	0.995	6.74465301893818e-09	B	MT-ND4
6.03555514383657e-11	1.0653733897569	0.265	0.042	8.38260731348012e-09	B	ZNF331
7.39443435269241e-11	0.867474605856862	0.147	0.014	1.01069006684181e-08	B	ERN1
7.93950634227143e-11	0.694929189319985	0.118	0.009	1.0682357673953e-08	B	SEC24D
8.61516440382778e-11	-0.95266732634988	0.912	0.982	1.14131047202094e-08	B	MT-CYB
1.1695981549848e-10	0.807134008435997	0.941	0.735	1.52597116857183e-08	B	RPS11
1.76910524994609e-10	0.764895395754439	0.147	0.014	2.27369631452026e-08	B	PRMT9
2.68445791109012e-10	1.05604082091418	0.265	0.044	3.35012566266623e-08	B	LY96
4.06663366117058e-10	0.494482281003407	1	0.961	5.0025403509057e-08	B	RPS14
4.18895262200067e-10	0.603423892391965	1	0.804	5.08043253916166e-08	B	RPL11
4.82064262963867e-10	0.702087769701638	0.118	0.01	5.76535467830814e-08	B	KIAA1586
5.27345178255332e-10	1.27729279327289	0.324	0.065	6.22050593144748e-08	B	RNF149
6.67108459571803e-10	0.821752629842415	0.176	0.022	7.76279857482811e-08	B	DTNBP1
8.17428715846768e-10	0.631159949508726	1	0.882	9.38517156287535e-08	B	RPS19
9.56371921553113e-10	0.847269995336609	0.176	0.022	1.08359455480182e-07	B	TSPYL2
1.91582861722338e-09	0.620898067967086	0.118	0.011	2.14249353544292e-07	B	HIVEP1
3.61839785498427e-09	-1.08899328165448	0.559	0.902	3.99461845247045e-07	B	MT-ND3
4.54581960739573e-09	0.918351055409397	0.853	0.523	4.95494337206135e-07	B	RPS2
5.23325915261584e-09	1.02001588437957	0.647	0.256	5.63294932039688e-07	B	C12orf75
5.73932757854359e-09	0.859445912391501	0.882	0.681	6.10140120726406e-07	B	RPL23
6.00826830679812e-09	0.961686393394618	0.324	0.071	6.3094144377852e-07	B	GNA13
7.20836988383711e-09	0.852933152703247	0.353	0.081	7.38943727020492e-07	B	CTSS
8.60231007294292e-09	0.733095705365042	0.118	0.011	8.71464612213076e-07	B	SNCA
1.35674583445917e-08	0.948915627240284	0.647	0.248	1.35848120703813e-06	B	MCL1
1.38032070719737e-08	-1.13674432197604	0.441	0.822	1.36620018502029e-06	B	ITM2B
1.55094926842558e-08	0.65888923031003	0.118	0.012	1.51763910800144e-06	B	RNF126
1.79852544752261e-08	1.03185285695475	0.206	0.033	1.74012389085586e-06	B	STAP1
2.03454900461488e-08	1.23126681300051	0.588	0.24	1.94661127541541e-06	B	YPEL5
2.07620206960512e-08	0.529233761753109	1	0.953	1.96463472762304e-06	B	TMSB4X
2.22926457821387e-08	0.587223011727354	0.971	0.863	2.08654318293474e-06	B	RPL27A
2.61764964290683e-08	0.718688415182748	0.147	0.018	2.39793415692242e-06	B	IFNAR2
3.02638795232644e-08	0.7796137111063	0.147	0.018	2.74318175341926e-06	B	TOR3A
3.2772561563194e-08	1.37327255791825	0.706	0.397	2.93963049604858e-06	B	HSP90B1
3.53270684009479e-08	0.466253812988042	1	0.978	3.13609676289239e-06	B	RPL34
4.03440774274773e-08	0.893357356323475	0.176	0.026	3.54492704824497e-06	B	GALNT3
5.92143310945346e-08	0.734155685477698	0.882	0.62	5.15045055611149e-06	B	UBA52
7.64304144314625e-08	0.528237497699214	0.971	0.878	6.5550979206161e-06	B	RPL32
7.6885947042414e-08	0.830906695655279	0.706	0.338	6.5550979206161e-06	B	SEC61G
8.04549566878102e-08	-1.79887216514003	0.265	0.7	6.70443579696067e-06	B	MT2A
8.0973327474615e-08	0.757818510959614	0.971	0.799	6.70443579696067e-06	B	RPL13A
1.38573701315594e-07	0.702639895615012	0.147	0.02	1.1364363257415e-05	B	NFKBID
2.26604914762102e-07	0.800395379611902	0.147	0.02	1.84084426510986e-05	B	SH2B3
3.18436245852142e-07	0.924188944660883	0.265	0.061	2.56266776918953e-05	B	DNAJC7
3.24232760856561e-07	-0.747166600762112	0.676	0.905	2.57478760799747e-05	B	MT-ND5
3.25922482024996e-07	0.54338989829544	0.971	0.921	2.57478760799747e-05	B	RPS18
3.6677402306855e-07	0.722732603953475	0.794	0.416	2.87117373876662e-05	B	RPS5
