p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.15831710868779e-97	0.824293090301634	0.749	0.344	2.18134277908084e-93	Cap Mesenchyme	XIST
9.249589869586e-86	0.691949001170557	0.845	0.571	8.70941382120218e-82	Cap Mesenchyme	H19
6.1234837878536e-83	0.935172908174025	0.351	0.089	3.84391488976197e-79	Cap Mesenchyme	ITGA8
4.23645786102128e-74	0.803374667160068	0.621	0.301	1.99452436096882e-70	Cap Mesenchyme	IGF2
1.79363953305386e-62	-1.57982767261795	0.068	0.389	6.75556393729408e-59	Cap Mesenchyme	MTCO1P12
4.22012183371249e-54	0.592049395225225	0.795	0.59	1.32455557287456e-50	Cap Mesenchyme	NASP
5.63323386441649e-54	0.689543686939843	0.266	0.073	1.51550085906702e-50	Cap Mesenchyme	HAS2
3.01973670234204e-52	-1.05042747662765	0.064	0.356	7.10846019731316e-49	Cap Mesenchyme	RPS4Y1
8.65074842051516e-52	0.428977390573482	0.969	0.893	1.81012104727935e-48	Cap Mesenchyme	NCL
2.59610711830108e-50	0.67414891854861	0.508	0.254	4.88898892518458e-47	Cap Mesenchyme	LYPD1
6.54382734778949e-49	0.674616439967024	0.586	0.343	1.12030324194156e-45	Cap Mesenchyme	NR2F1
3.56883645628157e-48	-0.770224639477883	0.411	0.647	5.60069401205788e-45	Cap Mesenchyme	CD24
1.20033202548741e-47	0.343574001832325	0.996	0.978	1.73881943876761e-44	Cap Mesenchyme	PTMA
8.44440355544766e-47	-0.883283598218016	0.194	0.475	1.13589291254422e-43	Cap Mesenchyme	IGFBP7
1.30270893239375e-44	0.6778976875215	0.247	0.075	1.63550764098928e-41	Cap Mesenchyme	COL2A1
1.08897899569602e-43	-0.703237242165982	0.426	0.663	1.28172827793421e-40	Cap Mesenchyme	ITM2B
3.65138066767542e-41	0.600032078907149	0.599	0.379	4.04487063139197e-38	Cap Mesenchyme	NR2F2
6.5755111705423e-41	0.59984588891739	0.217	0.063	6.87944590909181e-38	Cap Mesenchyme	EYA1
9.16233010928347e-41	0.632102486473838	0.542	0.32	9.08131582200139e-38	Cap Mesenchyme	PTMAP5
1.08072992238978e-39	-0.795478997658337	0.22	0.476	1.01761529492221e-36	Cap Mesenchyme	EPCAM
1.37725570991042e-39	-0.972712715747845	0.205	0.461	1.23507045376348e-36	Cap Mesenchyme	ATP1B1
1.69271787399832e-37	0.508271066095013	0.125	0.023	1.44896650014256e-34	Cap Mesenchyme	MEOX1
2.62723753247091e-37	0.737152971834203	0.302	0.12	2.15113640049966e-34	Cap Mesenchyme	MEG3
1.05922110749329e-36	0.602781978392733	0.345	0.152	8.31135495679737e-34	Cap Mesenchyme	NCAM1
2.2410893157009e-36	0.576110179067075	0.355	0.158	1.68816775973117e-33	Cap Mesenchyme	MEIS2
2.97304742230146e-36	-0.513893212825914	0.568	0.75	2.1534011175685e-33	Cap Mesenchyme	COX7C
6.01756819765208e-36	0.534525608001224	0.591	0.388	4.19714238141422e-33	Cap Mesenchyme	RBP1
1.37218803758025e-35	0.647761845952324	0.439	0.232	9.22894468703976e-33	Cap Mesenchyme	CCDC88A
3.94171389236181e-35	-0.786532210856882	0.099	0.326	2.55966744899854e-32	Cap Mesenchyme	MST1L
6.40714492983659e-35	-0.827372001943262	0.128	0.357	4.02197844395609e-32	Cap Mesenchyme	MAL
1.00790687946254e-34	0.5999346625464	0.192	0.058	6.12287172710922e-32	Cap Mesenchyme	TMEM100
2.87843390605476e-34	-0.727562188499111	0.136	0.37	1.64262628238858e-31	Cap Mesenchyme	SPINT2
6.80350448107118e-33	-0.496165521520813	0.716	0.835	3.76834107022154e-30	Cap Mesenchyme	FTL
1.5901776336154e-32	0.581141710371742	0.227	0.081	8.55606434178433e-30	Cap Mesenchyme	COL13A1
3.12360525574675e-32	0.348439438761494	0.918	0.835	1.62165149190591e-29	Cap Mesenchyme	NAP1L1
3.18612495754666e-32	-0.784327670831128	0.085	0.298	1.62165149190591e-29	Cap Mesenchyme	CYB5A
2.78233505833968e-31	-0.791059062822596	0.266	0.472	1.37886667943823e-28	Cap Mesenchyme	RPL10P9
8.69835963586064e-31	-0.322485616925539	0.946	0.979	4.2001925298084e-28	Cap Mesenchyme	TPT1
3.98716356247837e-30	-0.900294558016772	0.091	0.292	1.87715660521481e-27	Cap Mesenchyme	FXYD2
4.53125010058459e-30	-0.399606920975946	0.708	0.841	2.0812805340051e-27	Cap Mesenchyme	FTH1
5.99732605620661e-30	-0.37268537817557	0.851	0.9	2.68908676882102e-27	Cap Mesenchyme	RPS18
1.84135671152259e-29	0.620090324865065	0.405	0.229	8.06428595148685e-27	Cap Mesenchyme	PTPN14
2.89030741120754e-29	0.416359203018792	0.11	0.023	1.23705157199683e-26	Cap Mesenchyme	CITED1
1.22720283297126e-28	0.550941269585487	0.482	0.297	5.1357075001144e-26	Cap Mesenchyme	HMGB1P6
1.26966124821245e-28	-0.753460334964698	0.123	0.328	5.19788274485583e-26	Cap Mesenchyme	LIMCH1
4.75014864656124e-28	-1.31884322976062	0.099	0.29	1.90329360238385e-25	Cap Mesenchyme	DEFB1
5.25965589838978e-28	-0.692165790871893	0.074	0.263	2.06353833080159e-25	Cap Mesenchyme	S100A10
7.38478274143405e-28	0.410415527942704	0.763	0.605	2.83816793034053e-25	Cap Mesenchyme	SOX4
8.20927236320078e-28	0.559980698643487	0.39	0.211	3.09194034287594e-25	Cap Mesenchyme	NNAT
3.93109618050857e-27	0.499481346519409	0.156	0.048	1.45157653473211e-24	Cap Mesenchyme	SOBP
4.73414872289927e-27	-0.658088554892404	0.107	0.301	1.71449016826229e-24	Cap Mesenchyme	C14orf105
7.51137977592352e-27	0.512943931400597	0.532	0.357	2.66894913094701e-24	Cap Mesenchyme	BAZ1B
1.71979686555324e-26	0.477561049698787	0.669	0.535	5.97008703765885e-24	Cap Mesenchyme	DEK
1.74360018623214e-26	-0.394215967643358	0.755	0.835	5.97008703765885e-24	Cap Mesenchyme	H3F3B
2.80175214071331e-26	-0.352016894229674	0.815	0.892	9.42189219891304e-24	Cap Mesenchyme	RPL15
2.97057511760418e-26	0.559951501763131	0.23	0.094	9.81436326574068e-24	Cap Mesenchyme	CLSPN
8.07278793216249e-26	-0.742384345715883	0.1	0.289	2.62115072997386e-23	Cap Mesenchyme	MTND1P23
9.78315638288369e-26	0.346965663973884	0.85	0.725	3.12265086444857e-23	Cap Mesenchyme	LUC7L3
1.30064270931802e-25	0.546293706403486	0.34	0.179	4.08228391697949e-23	Cap Mesenchyme	LAMA4
2.40222262070887e-25	0.478949036788833	0.552	0.383	7.41617317921137e-23	Cap Mesenchyme	PSIP1
2.84955668259221e-25	-0.733257804270159	0.086	0.265	8.65529862041555e-23	Cap Mesenchyme	SMIM24
4.18609258886135e-25	-0.426942116096697	0.457	0.658	1.251309454499e-22	Cap Mesenchyme	EIF1
1.14796098831431e-24	-0.602403223934394	0.224	0.425	3.37787520811485e-22	Cap Mesenchyme	DCDC2
1.50228506180541e-24	0.319673064299883	0.87	0.775	4.35246650521839e-22	Cap Mesenchyme	HNRNPU
2.14008809505281e-24	-0.608841966707868	0.118	0.302	6.10638469788403e-22	Cap Mesenchyme	MPC2
2.99639574661735e-24	0.489658330024507	0.46	0.291	8.42210816422358e-22	Cap Mesenchyme	PAX2
3.14994968948582e-24	-0.454572197399591	0.485	0.658	8.72350772829367e-22	Cap Mesenchyme	NDUFA4
4.59284287063742e-24	0.388373674741149	0.792	0.685	1.25351328898324e-21	Cap Mesenchyme	HMGB1
4.98311192828631e-24	-0.654328842679218	0.125	0.31	1.34059948333554e-21	Cap Mesenchyme	MECOM
5.93278924489907e-24	0.336351640954548	0.818	0.684	1.57360967690055e-21	Cap Mesenchyme	RBM25
6.68484274248898e-24	-0.647499123425388	0.099	0.274	1.74845775731323e-21	Cap Mesenchyme	POU3F3
1.54679108820818e-23	0.531042821164802	0.33	0.175	3.99029722919678e-21	Cap Mesenchyme	NTRK2
2.32098579095331e-23	0.453963019492699	0.162	0.056	5.90659519124766e-21	Cap Mesenchyme	HOXC4
3.497671681039e-23	-0.474551838036012	0.375	0.567	8.78242041297686e-21	Cap Mesenchyme	MYL12B
6.65243296250782e-23	0.503368665766869	0.685	0.57	1.64840286249931e-20	Cap Mesenchyme	PTMAP2
8.12281746835519e-23	0.543475907186457	0.235	0.107	1.98660907226058e-20	Cap Mesenchyme	LTBP1
1.30188729319307e-22	-0.565171121048478	0.111	0.286	3.1432232699246e-20	Cap Mesenchyme	FTLP3
2.67400584118604e-21	-0.575481356919898	0.07	0.226	6.37428835458423e-19	Cap Mesenchyme	COBLL1
2.88920551854069e-21	-0.449074544218447	0.35	0.539	6.8011897906448e-19	Cap Mesenchyme	TMBIM6
3.69195734186723e-21	-0.517177638722295	0.198	0.383	8.58357292123996e-19	Cap Mesenchyme	NPC2
1.04928092855716e-20	-0.384665576073975	0.494	0.661	2.40976322519372e-18	Cap Mesenchyme	ITM2C
1.2845653636285e-20	-0.494044278923792	0.171	0.354	2.91457047323517e-18	Cap Mesenchyme	DBI
1.56343133152296e-20	0.378325765420001	0.102	0.027	3.50506414705243e-18	Cap Mesenchyme	FAT3
3.35763445730325e-20	-0.513188110777559	0.035	0.168	7.3524386162715e-18	Cap Mesenchyme	MST1P2
3.74565877229305e-20	0.416585387111402	0.118	0.037	8.10784436779572e-18	Cap Mesenchyme	HOXC6
5.0459514161946e-20	0.476850810513525	0.188	0.08	1.07983360306564e-17	Cap Mesenchyme	GJC1
7.7646002959593e-20	0.512167167867355	0.391	0.25	1.64295452554501e-17	Cap Mesenchyme	SEPT6
1.42575244954975e-19	0.34346967054085	0.102	0.029	2.9505241901012e-17	Cap Mesenchyme	GDNF
1.79544452193932e-19	-0.25592183889021	0.89	0.93	3.67519687360448e-17	Cap Mesenchyme	UBB
2.16792547755752e-19	-0.519043292355984	0.086	0.24	4.34323112695353e-17	Cap Mesenchyme	GSTM3
2.25213013769085e-19	-0.41097964509147	0.437	0.599	4.46443313189411e-17	Cap Mesenchyme	CD63
3.13982321402751e-19	-0.575957624136709	0.153	0.319	6.09578873882125e-17	Cap Mesenchyme	ANXA2
3.33682372002696e-19	-0.543361035282118	0.074	0.22	6.41214941791304e-17	Cap Mesenchyme	ERBB4
3.3998531545192e-19	-0.484627548671535	0.123	0.286	6.46727622281874e-17	Cap Mesenchyme	RP11-270C12.3
4.93272876891374e-19	-0.415571065187929	0.301	0.491	9.28931481761835e-17	Cap Mesenchyme	UQCR10
5.63732810354968e-19	0.359865151784539	0.733	0.63	1.05111052322819e-16	Cap Mesenchyme	EIF3A
6.45145389278247e-19	0.430335253098714	0.169	0.069	1.19111548734196e-16	Cap Mesenchyme	NBPF10
6.52352095254588e-19	0.386552372087006	0.579	0.441	1.19272763668295e-16	Cap Mesenchyme	TUBA1A
6.84279986747429e-19	0.34849106705419	0.689	0.576	1.23907314523342e-16	Cap Mesenchyme	ILF3
7.97798098581087e-19	-0.692479580726967	0.038	0.164	1.430869884998e-16	Cap Mesenchyme	TMEM213
8.25598126129331e-19	0.383451672403563	0.589	0.453	1.466760746346e-16	Cap Mesenchyme	TPR
8.51906963767457e-19	-0.565178914374813	0.138	0.298	1.49935625623072e-16	Cap Mesenchyme	SELENOP
9.96934539745988e-19	-0.492468592994395	0.76	0.842	1.73835844930523e-16	Cap Mesenchyme	TMSB4X
1.22519683915918e-18	0.426439676648095	0.175	0.073	2.11678044725189e-16	Cap Mesenchyme	SH3PXD2A
1.40338729079388e-18	0.676212088256993	0.606	0.5	2.40259904183913e-16	Cap Mesenchyme	HIST1H4C
1.47524833391383e-18	0.478149442959169	0.382	0.245	2.48052469859512e-16	Cap Mesenchyme	MCM7
1.88365900172177e-18	-0.505591087060388	0.124	0.281	3.11461467439363e-16	Cap Mesenchyme	PTGR1
2.30282811164151e-18	-0.48194260842157	0.136	0.296	3.77103121725503e-16	Cap Mesenchyme	NDUFC1
2.34240622291834e-18	-0.341632587572227	0.521	0.677	3.80277534396535e-16	Cap Mesenchyme	RPS25
2.84768294625936e-18	-0.45656723095885	0.162	0.327	4.55573272062778e-16	Cap Mesenchyme	SLC25A5
2.85459038357094e-18	0.423531164167871	0.175	0.075	4.55573272062778e-16	Cap Mesenchyme	MEIS1
4.11383534644502e-18	-0.574376441714176	0.187	0.343	6.51023086086157e-16	Cap Mesenchyme	WFDC2
5.60268842649311e-18	-0.410709728775856	0.153	0.319	8.79248570397651e-16	Cap Mesenchyme	ATP5C1
5.70020850771713e-18	-0.533937279024715	0.089	0.231	8.87159724110156e-16	Cap Mesenchyme	HOXD8
7.3113518934051e-18	-0.634899493230781	0.162	0.319	1.12858507259512e-15	Cap Mesenchyme	S100A6
7.67021737797215e-18	-0.376344682518055	0.419	0.586	1.17435393221115e-15	Cap Mesenchyme	ATPIF1
8.99170932713503e-18	-0.69733724825978	0.035	0.155	1.36557959716618e-15	Cap Mesenchyme	SPP1
9.46384262189168e-18	-0.466765434750287	0.074	0.212	1.42578467404371e-15	Cap Mesenchyme	ARHGAP24
1.06849093654379e-17	0.473246189591037	0.286	0.159	1.59696994579307e-15	Cap Mesenchyme	CEP78
1.46269624188132e-17	-0.437391249274953	0.029	0.146	2.16893666355189e-15	Cap Mesenchyme	CYS1
2.31228087494036e-17	0.352356466875424	0.475	0.321	3.40194323725601e-15	Cap Mesenchyme	CENPF
2.67968705122779e-17	0.28137746597793	0.755	0.657	3.91192763943579e-15	Cap Mesenchyme	HNRNPM
3.12572846646403e-17	-0.320185215220443	0.694	0.802	4.49341362446188e-15	Cap Mesenchyme	LDHB
4.367809126897e-17	-0.559793122359935	0.118	0.266	6.23140768770638e-15	Cap Mesenchyme	SAT1
4.85891539554735e-17	-0.521574775111474	0.038	0.155	6.87993193450735e-15	Cap Mesenchyme	KCNJ15
6.14838942967108e-17	0.380075188733729	0.113	0.038	8.6407813238482e-15	Cap Mesenchyme	GRIN2A
6.34683931763669e-17	-0.500282203468521	0.056	0.183	8.85360577998031e-15	Cap Mesenchyme	ALDH1A1
6.68434748594094e-17	-0.422104057787953	0.253	0.421	9.25585528347352e-15	Cap Mesenchyme	ATP6V1G1
