p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
3.29586980512129e-140	1.58621387176705	0.217	0.009	4.60630763963751e-136	Collecting Duct	CALB1
1.13282148590538e-134	1.55031728933155	0.284	0.024	7.9161565435068e-131	Collecting Duct	ADH1C
1.11469831611111e-127	1.48985896041366	0.311	0.035	5.1930078886563e-124	Collecting Duct	AGR2
1.07022824721791e-122	1.29809209526529	0.617	0.183	3.73937749577938e-119	Collecting Duct	CLDN4
2.30860239967018e-109	1.11602745754362	0.692	0.249	6.45300542755809e-106	Collecting Duct	WFDC2
1.9977507725873e-107	1.44379991127087	0.257	0.027	4.65342746628001e-104	Collecting Duct	MIR4435-2HG
1.75648687505601e-102	1.29652009195612	0.213	0.018	3.50695150939754e-99	Collecting Duct	RP11-1260E13.1
1.0686767642312e-88	1.66777510046424	0.267	0.04	1.86697830711191e-85	Collecting Duct	CRABP1
9.38751757319955e-86	1.1906882714376	0.205	0.021	1.45777717336708e-82	Collecting Duct	BCAT1
9.29718325266839e-84	1.35736866366332	0.161	0.011	1.29937433139293e-80	Collecting Duct	MMP7
1.42114631776094e-78	1.34126870377035	0.217	0.028	1.80563099427518e-75	Collecting Duct	LINC00152
8.53635608932081e-78	1.10888379009721	0.155	0.012	9.94200939202897e-75	Collecting Duct	TSPAN1
7.94453197947553e-75	1.17370902929802	0.437	0.133	8.54098299578077e-72	Collecting Duct	KRT8
7.18282794551872e-65	1.2057648144721	0.327	0.085	7.17051452618354e-62	Collecting Duct	KRT18
3.80618647909336e-64	0.425625902159148	0.996	0.954	3.54635081545392e-61	Collecting Duct	TMSB4X
1.22903088479963e-52	0.954411338681494	0.445	0.174	1.07355847787248e-49	Collecting Duct	GSTM3
1.38975658078692e-49	0.965953329739488	0.161	0.025	1.14254341018106e-46	Collecting Duct	ANXA3
2.39775085660753e-45	0.843222670719984	0.654	0.401	1.7637350511551e-42	Collecting Duct	S100A11
2.09369606206453e-43	0.8763165648596	0.325	0.108	1.46307480817069e-40	Collecting Duct	CRABP2
6.80365712415066e-41	0.921593313665514	0.288	0.093	4.52799580795855e-38	Collecting Duct	CLU
9.52325454676542e-40	0.888494042761099	0.149	0.027	6.04986388843607e-37	Collecting Duct	RP11-245J24.1
6.61697139992186e-38	0.809215808306817	0.13	0.022	4.02081705588296e-35	Collecting Duct	SCIN
2.4536047604857e-37	0.815622457635503	0.313	0.114	1.42881583885617e-34	Collecting Duct	ALDH1A1
1.27083026780387e-36	0.580056208511934	0.694	0.471	7.10444952913075e-34	Collecting Duct	SAT1
2.2552426061476e-36	0.747452232541302	0.112	0.017	1.21227964090457e-33	Collecting Duct	TMEM45B
1.5148879808659e-35	0.861654439951482	0.112	0.017	7.84150904465995e-33	Collecting Duct	HMGCS2
1.6684953360656e-35	0.486747159543252	0.818	0.613	8.04099683339752e-33	Collecting Duct	GSTP1
2.6706038272053e-34	0.853386411510591	0.222	0.066	1.24414530296737e-31	Collecting Duct	ELF3
3.90856315642819e-33	0.745204438624738	0.565	0.339	1.76213157013679e-30	Collecting Duct	CYB5A
4.28301735135382e-33	0.277379924706492	0.996	0.98	1.87060782820378e-30	Collecting Duct	RPL31
7.65812596515262e-31	0.801735825896524	0.207	0.063	3.24333237845373e-28	Collecting Duct	CLDN7
4.88198138077644e-28	0.779286654634032	0.172	0.049	1.89529366049254e-25	Collecting Duct	AHI1
2.48902864170339e-26	0.707398108801122	0.248	0.093	8.91965751190938e-24	Collecting Duct	CLDN6
3.4097211741965e-25	0.738593740770812	0.364	0.183	1.13462531263263e-22	Collecting Duct	BTG2
1.54696702518761e-24	0.25806250265929	0.975	0.953	4.96036046496652e-22	Collecting Duct	RPS27A
1.56164754191848e-24	0.690803606923739	0.145	0.04	4.96036046496652e-22	Collecting Duct	SCPEP1
5.80518687769688e-24	0.749727928617749	0.277	0.121	1.76376721310199e-21	Collecting Duct	ATF3
1.27335156983618e-22	0.765532171291374	0.141	0.04	3.70757532083967e-20	Collecting Duct	STC1
4.90634921427501e-21	0.708671296784052	0.108	0.027	1.31867570420592e-18	Collecting Duct	GATA3
5.26570415179192e-21	0.721588686870435	0.116	0.03	1.38855624953668e-18	Collecting Duct	PCP4
2.14268636974446e-19	0.478673880228818	0.544	0.367	5.16313529371528e-17	Collecting Duct	LDHA
3.24569127299336e-19	-1.24238937611722	0.037	0.196	7.68843749683986e-17	Collecting Duct	FXYD2
6.62250324042846e-19	0.365150321422335	0.824	0.697	1.51731320144636e-16	Collecting Duct	RPL10A
1.78973244400507e-18	0.563622877549408	0.47	0.305	3.97036518054203e-16	Collecting Duct	S100A6
3.11495344887133e-17	0.661483880743054	0.232	0.108	6.59614990930692e-15	Collecting Duct	AKR1B1
