p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.33075968214353e-126	1.61054232695339	0.965	0.391	9.40559238317405e-122	DC	HLA-DPA1
1.23204390393763e-122	1.57444369270377	1	0.516	1.08690913205378e-118	DC	HLA-DRA
4.67196176895097e-116	1.49531952518897	0.949	0.36	2.74773644837903e-112	DC	HLA-DRB1
1.16944250042181e-110	1.1068708203269	0.776	0.183	5.15841086936061e-107	DC	PLAC8
3.58796528252252e-109	1.38751350723329	1	0.736	1.26612118889655e-105	DC	CD74
9.24078574241261e-106	1.75249651462729	0.906	0.421	2.71740706065213e-102	DC	HLA-DPB1
1.88860602563217e-103	1.02446793808891	0.6	0.105	4.76036638803629e-100	DC	CD1C
6.18143007042105e-103	1.07264756667432	0.518	0.075	1.36331440203136e-99	DC	CLEC10A
7.1225202517946e-94	0.909579608778892	0.604	0.122	1.39633052580738e-90	DC	NAPSB
7.86647241941323e-90	0.489322777750287	1	1	1.38796039368127e-86	DC	RPS19
5.87073258344993e-89	1.08243737368477	0.914	0.441	9.41665506385369e-86	DC	LSP1
1.30404782137533e-86	0.962702724338214	0.459	0.072	1.91738498002886e-83	DC	HLA-DQA1
6.45996289194794e-84	0.483374414131962	1	1	8.76766040504072e-81	DC	RPS18
1.56556114581432e-82	0.434580577653215	1	0.999	1.97305434691056e-79	DC	RPL32
5.89688561074923e-81	0.450317892583844	1	1	6.93630998107063e-78	DC	RPL26
2.20375379638951e-80	0.443006526251414	1	1	2.43018949896853e-77	DC	RPL34
3.17283641714773e-76	0.500821237090474	1	0.999	3.29303092612674e-73	DC	RPL36A
3.51601407579141e-76	0.441749172397915	1	0.998	3.44647513073687e-73	DC	RPL18A
1.24926636561759e-75	0.469405826748731	1	0.999	1.1601081976293e-72	DC	RPS24
1.85044061062477e-72	0.366378109997033	1	1	1.63245870669318e-69	DC	RPL13
1.47665391376365e-71	0.419395846050013	1	0.998	1.24067055497362e-68	DC	RPS8
2.64016464045632e-71	0.900146036106664	0.624	0.173	2.11741204164597e-68	DC	JAML
1.6694612383197e-70	0.445327935633414	1	1	1.28069452560491e-67	DC	RPL39
6.91496031571072e-69	0.776883347461552	0.506	0.109	5.08364832543333e-66	DC	CFP
1.57137057082264e-68	0.970129811107722	0.694	0.247	1.10901049406379e-65	DC	HLA-DQB1
1.47313713094864e-66	0.377473706559592	1	0.999	9.99693520709916e-64	DC	RPL11
1.18767859811684e-64	0.407468316653677	1	0.996	7.76125969821242e-62	DC	RPS13
4.03179484291036e-64	0.344293755658103	1	1	2.54060672172537e-61	DC	RPS14
3.28618048825653e-63	0.383336870612037	1	1	1.99935753568269e-60	DC	RPS15A
5.97764017704432e-63	0.887471644797315	0.992	0.96	3.51564944279233e-60	DC	CST3
1.09173965684e-60	0.468205467653998	1	1	6.21375951783385e-58	DC	TMSB10
1.13534261388221e-59	0.363680667025918	1	1	6.25999533729304e-57	DC	RPS27
4.4962852964489e-59	0.373879376597128	1	0.998	2.40401387183468e-56	DC	RPS6
3.84190081266183e-58	1.09819307348118	0.424	0.091	1.99372052760604e-55	DC	S100B
1.46416176198263e-56	-1.23387325818092	0.655	0.866	7.38104860812044e-54	DC	STMN1
1.35305262483289e-55	0.339126646754989	1	1	6.63146125348655e-53	DC	RPL10
6.29752634388334e-55	0.357099138764928	1	0.998	3.00306904895886e-52	DC	RPS23
1.27073888288282e-54	0.364742547661437	1	0.999	5.90024127620644e-52	DC	RPLP2
1.10726804000039e-53	0.882021076996656	0.89	0.548	5.00939417891457e-51	DC	S100A4
2.11584188550131e-53	0.35946320122533	1	0.999	9.33297855694627e-51	DC	RPS4X
4.67993922251067e-53	0.744971720427386	0.949	0.538	2.01397189370679e-50	DC	LST1
5.03118066894338e-52	0.342599724959662	1	0.999	2.11357504101993e-49	DC	RPS15
7.27552451718108e-52	0.347565740240686	1	0.999	2.98533382746844e-49	DC	RPL31
8.90161426587422e-52	0.36535289770978	1	0.999	3.56954732061556e-49	DC	RPL28
2.32062098263255e-51	0.373780376899771	1	0.999	9.09889702612638e-49	DC	RPL37
2.43739447843714e-51	-1.24470667079157	0.659	0.833	9.34899742990105e-49	DC	TUBB
3.99928238336245e-51	0.357736604984613	1	0.999	1.50134762493717e-48	DC	RPL12
4.0199137676324e-50	0.328129830233348	1	0.998	1.47765330241888e-47	DC	RPL19
1.09650586262289e-49	0.675879179584545	0.69	0.265	3.94831621226903e-47	DC	CD37
3.79066755756553e-49	0.352060351385098	1	0.998	1.33765076771372e-46	DC	RPS25
1.46827929222052e-48	0.386248683647978	0.996	0.995	5.07967055528212e-46	DC	FAU
1.5370916449525e-48	0.339707659066208	1	1	5.21547018914266e-46	DC	RPS12
2.00878253405332e-48	0.331009942094793	1	0.999	6.68735076053523e-46	DC	RPL27A
5.5075121263449e-48	0.391831439831827	0.561	0.169	1.79952859180055e-45	DC	CD52
9.54018226928065e-47	0.274050795732558	1	1	3.06049047198523e-44	DC	RPS3A
1.10621787786162e-46	0.638160286378042	0.976	0.894	3.48537647089113e-44	DC	SH3BGRL3
3.07600969428472e-45	0.371891201716177	1	0.999	9.5215991308701e-43	DC	RPS29
1.53896669071941e-44	0.716391261412103	0.608	0.227	4.6816428088023e-42	DC	HLA-DMA
9.58370948425915e-44	-1.18849410369905	0.682	0.862	2.8660164430554e-41	DC	TUBA1B
5.75651041991224e-43	-0.780575621553286	0.651	0.902	1.69279783081553e-40	DC	CD63
6.67099578432861e-43	-1.20479304177711	0.329	0.681	1.92955819047039e-40	DC	BEX3
8.69804950807992e-41	0.326491283034777	0.996	0.997	2.47529654065423e-38	DC	RPS17
1.27188589999114e-40	0.622980743018172	0.867	0.485	3.56208806657836e-38	DC	CORO1A
2.24365670081741e-40	0.314534994944174	1	1	6.18548106706598e-38	DC	RPLP1
3.41215402271103e-40	0.521994240017267	0.478	0.148	9.2621608579559e-38	DC	CD48
1.01014346173115e-39	0.296521913147571	1	0.996	2.70045018769461e-37	DC	RPL30
1.90409276187536e-39	-1.86644054370004	0.275	0.625	5.01430040157147e-37	DC	MDK
3.31800959109813e-39	-0.980584894316126	0.067	0.526	8.60925900372578e-37	DC	SELENOP
3.62717049834911e-39	0.622035456153513	0.439	0.138	9.27504293809735e-37	DC	PKIB
5.24551460415219e-39	0.478217574981954	0.408	0.111	1.32216942393802e-36	DC	CD7
1.11204356103182e-38	0.418104658953408	0.98	0.947	2.7635065620909e-36	DC	EEF1B2
4.06854058668516e-38	0.599218416141616	0.608	0.249	9.97018473770459e-36	DC	MNDA
1.56482713147037e-37	0.282927050975019	1	1	3.78216574077578e-35	DC	RPS9
9.05813151324329e-37	0.297630201869515	1	0.999	2.13095563226219e-34	DC	RPL36
2.1109839127629e-36	0.26033510545775	0.992	0.998	4.90081581010376e-34	DC	RPL8
2.20189077526553e-36	0.317250280654324	1	1	5.04547543360845e-34	DC	ACTB
8.41046859622485e-36	-2.1212129368803	0.024	0.435	1.87937502341163e-33	DC	IGF2
8.41479408578094e-36	0.276426783025101	1	0.998	1.87937502341163e-33	DC	RPL35
2.9139757266238e-35	-0.907749398685478	0.282	0.653	6.42677346506879e-33	DC	HSPA5
4.61345864400963e-35	0.264867281864529	1	0.998	1.00493659648032e-32	DC	RPL23A
5.99345892368434e-35	0.268398644389837	1	0.996	1.28961694206691e-32	DC	RPL29
1.28129951090363e-34	0.330501990048209	1	0.998	2.72376488799804e-32	DC	UBA52
