p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.43361289005009	0.846	0.029	0	B	CD79A
1.11878394527341e-246	2.18783541872959	0.831	0.069	4.25193838401161e-243	B	CD79B
1.43537140431059e-160	2.06203792455319	0.762	0.091	3.63675268138826e-157	B	LTB
4.12682541630095e-151	1.97300171004931	0.823	0.119	7.84199999732588e-148	B	HLA-DQB1
5.46003398152433e-139	1.80348464729419	0.7	0.085	8.30034365871329e-136	B	HLA-DQA1
5.56704623846934e-135	1.83713485750333	0.546	0.051	7.05251974310091e-132	B	BIRC3
3.3704463040466e-131	1.8547193110861	0.985	0.235	3.65982319386546e-128	B	HLA-DRA
8.06457132302923e-126	1.86198116287191	0.923	0.211	7.66235082829314e-123	B	CD37
1.85854329364984e-124	1.83033007470395	0.9	0.189	1.5696430638925e-121	B	CD52
2.53925652394478e-98	1.57233006706037	1	0.42	1.93008888385043e-95	B	CD74
2.70362437589575e-96	1.60949148921745	0.838	0.192	1.86820444374396e-93	B	HLA-DPA1
3.02741113781545e-94	1.58343017950171	0.877	0.221	1.9176126715446e-91	B	HLA-DPB1
8.72118079821344e-81	0.530231846211806	1	0.988	5.09920732670926e-78	B	RPL21
9.10740526058761e-80	0.526639709743963	1	0.99	4.94467052755189e-77	B	RPS27
1.19018816373893e-79	0.550534950221789	1	0.967	6.03108015505307e-77	B	RPL11
1.08895020507423e-78	0.633127505926548	1	0.946	5.17319406798075e-76	B	RPL18A
1.45335475726346e-78	0.485430725150387	1	0.984	6.49820559409386e-76	B	RPL39
6.00469178762989e-78	0.547022866393565	1	0.977	2.53564790432082e-75	B	RPLP2
7.11637912184806e-78	0.567431226850529	1	0.958	2.84692619500879e-75	B	RPS23
7.74220125944375e-78	0.537283273943353	1	0.978	2.9424235886516e-75	B	RPL13A
1.00201970182094e-77	0.545616251105054	1	0.97	3.62683416835284e-75	B	RPS27A
1.05561334469718e-77	0.522083859197232	1	0.983	3.64714410592876e-75	B	RPL13
