p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.45544072006022	0.884	0.088	0	B	JCHAIN
0	2.93213758399985	0.757	0.014	0	B	MZB1
6.02871215485127e-258	2.2209211598144	0.87	0.193	1.52747470296748e-254	B	SSR4
9.8366154322759e-212	-1.51018629166938	0.943	0.998	1.86920284751823e-208	B	TMSB4X
1.76830318079387e-207	1.70731506054639	0.304	0.003	2.68817449544284e-204	B	TNFRSF17
6.10534961404168e-205	1.7390456062832	0.311	0.005	7.7344604027218e-202	B	DERL3
1.3441460975595e-170	1.85115534469397	0.538	0.075	1.45955064107854e-167	B	SEC11C
5.92809027348984e-131	4.4883771447375	0.498	0.096	5.63242677109953e-128	B	IGHG1
1.14196995906895e-129	-1.52285690224024	0.616	0.93	9.64457073209236e-127	B	FTH1
2.27800410210392e-126	-0.75442295743731	0.96	0.999	1.73151091800919e-123	B	MT-CO1
1.82425305464165e-123	4.25769887041943	0.321	0.031	1.26055886075738e-120	B	IGHG4
2.08244307685978e-119	1.52145419896887	0.323	0.031	1.3190541522676e-116	B	FKBP11
2.0706904710261e-114	4.39864073668974	0.434	0.079	1.21071679002072e-111	B	IGHM
1.2457687554137e-108	-0.946253079414931	0.856	0.968	6.76363450707112e-106	B	TMSB10
1.26393688124973e-101	-2.05907343494076	0.335	0.78	6.40478948958614e-99	B	HLA-DRA
7.5163986079211e-97	4.70142997345793	0.448	0.103	3.57075911367552e-94	B	IGLC3
4.13092622772081e-95	3.59356603232513	0.222	0.016	1.84701001511211e-92	B	IGKV4-1
1.50983801210027e-92	-0.670589325670353	0.96	0.995	6.3757104055412e-90	B	MT-CO3
2.3646803387875e-90	4.1052164150927	0.837	0.593	9.45996592374935e-88	B	IGKC
1.33075858799547e-88	-2.04434378709403	0.231	0.698	5.05754801367677e-86	B	HLA-DRB1
2.37591322395156e-84	-2.12331015990392	0.167	0.658	8.59967448345514e-82	B	CST3
4.26050151262155e-84	-1.62823217159319	0.946	0.985	1.47200327261075e-81	B	FTL
1.35498027692722e-83	-2.05341114053547	0.208	0.672	4.47791525431469e-81	B	HLA-DPA1
2.98430876633047e-83	-0.76714039595651	0.873	0.964	9.20975965313706e-81	B	MT-ND4
3.02912763226453e-83	2.79349850974434	0.179	0.011	9.20975965313706e-81	B	IGHG3
8.91211603104852e-83	-0.689670224267513	0.92	0.986	2.60542284430768e-80	B	MT-ATP6
4.44751230104165e-81	3.93154435725573	0.193	0.014	1.25205707408213e-78	B	IGKV2-30
4.09073352788273e-80	-2.05855252409981	0.156	0.64	1.11048805519416e-77	B	HLA-DPB1
6.29656845902007e-78	4.78771218531649	0.517	0.18	1.65035230541419e-75	B	IGLC2
3.56223932039313e-75	3.96500330445992	0.276	0.041	9.02552702476939e-73	B	IGLL5
1.51863277354949e-74	4.27487208917728	0.307	0.054	3.72358958443537e-72	B	IGHG2
1.76591351791967e-74	-0.423319834737094	1	0.999	4.19459645303356e-72	B	B2M
1.77561401223235e-72	-1.32913225292565	0.33	0.716	4.0898309415085e-70	B	ACTB
7.02323508351982e-71	-1.57341170659004	0.731	0.847	1.57010617264218e-68	B	CD74
1.55663565000525e-69	-1.73350219401576	0.172	0.612	3.38056787876855e-67	B	AIF1
6.35153513556902e-69	1.13701394316325	0.349	0.073	1.34105607126278e-66	B	PRDX4
5.07314354593085e-68	1.15643515640583	0.547	0.187	1.04218821871947e-65	B	HERPUD1
3.81478576628632e-66	-1.55812000917246	0.243	0.648	7.63057542356377e-64	B	FCER1G
3.59758654011366e-64	-2.10640043678454	0.186	0.587	7.01160392087279e-62	B	SEPP1
6.40994898021293e-64	-1.1526385153706	0.396	0.763	1.21805055496496e-61	B	SAT1
8.05540752982399e-64	2.64232041862446	0.108	0.003	1.49339396668761e-61	B	IGLV6-57
9.41069244427031e-64	1.16050289563723	0.283	0.051	1.70311126830711e-61	B	EAF2
4.44925322978002e-61	1.0908461227175	0.351	0.082	7.86483111617626e-59	B	ISG20
8.97748808383262e-61	1.03724199634507	0.42	0.117	1.55086106648208e-58	B	SPCS2
1.28916739439335e-59	-1.61775837888682	0.191	0.584	2.17754696995197e-57	B	TYROBP
1.33108354494244e-59	0.98540228777686	0.172	0.017	2.19947087502337e-57	B	ITM2C
9.94023912502959e-59	1.00192086396349	0.17	0.017	1.6075693104117e-56	B	CD79A
2.16151639985816e-55	-1.09905048110049	0.479	0.766	3.42285128235872e-53	B	FOS
5.72648369861698e-55	-0.555506674676837	0.863	0.964	8.88306175371177e-53	B	MT-CO2
1.89850018671445e-54	-1.52777388583931	0.175	0.558	2.88609998384331e-52	B	ID2
5.07230579063951e-54	-1.71978806424267	0.132	0.521	7.55972476757861e-52	B	MS4A6A
7.08946016518775e-52	-1.302442632172	0.226	0.598	1.03628820606908e-49	B	IFITM3
3.36798569304151e-50	4.18391611327432	0.278	0.069	4.83019985902048e-48	B	IGHA1
3.46870201425544e-49	-1.78369083086832	0.083	0.46	4.88251926117696e-47	B	CPVL
2.75474779839236e-48	0.870622665119883	0.146	0.016	3.80706145737824e-46	B	PLPP5
5.71112900480955e-48	-0.746938634371936	0.656	0.849	7.75183777956382e-46	B	MT-ND1
1.12613492028076e-47	3.47769164333473	0.12	0.01	1.50171079457089e-45	B	IGKV1-5
3.89384312575511e-46	0.956516794216511	0.167	0.023	5.10294855152838e-44	B	CD27
5.27673671624988e-46	3.13660228516167	0.111	0.008	6.79804674240938e-44	B	IGKV3-20
9.08897764141474e-46	0.875539592440506	0.123	0.011	1.15142198420656e-43	B	RAB30
4.86022393053608e-44	-0.748202262534413	0.561	0.79	6.05615772065652e-42	B	MYL6
3.52438841852672e-43	-2.07256109015708	0.092	0.428	4.32078651116477e-41	B	CTSB
1.27804026216332e-42	0.95619876057061	0.281	0.073	1.54196571947673e-40	B	XBP1
7.48907270622144e-42	0.954829828488763	0.191	0.035	8.89444400624831e-40	B	MANF
3.3259045912116e-41	-1.01513065752333	0.259	0.587	3.88926166119991e-39	B	SH3BGRL3
1.12493991386909e-40	0.990590922961576	0.429	0.169	1.25745121842926e-38	B	SPCS1
1.23585991185558e-40	-1.22802864023281	0.217	0.536	1.36141611449482e-38	B	ITM2B
3.18682372910865e-40	-0.957003062148966	0.37	0.643	3.46043530927926e-38	B	MYL12A
6.46112164703226e-40	-2.26177756693291	0.05	0.367	6.91704023085805e-38	B	C1QA
3.52129248961793e-39	0.860923672339536	0.526	0.243	3.61693840724133e-37	B	HSP90B1
1.48091592397342e-38	3.39269239068496	0.111	0.011	1.50085892508293e-36	B	IGHA2
1.62863469900173e-38	-0.893660158654591	0.33	0.625	1.62884899304108e-36	B	CALM2
