p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.58598566280497	0.739	0.019	0	B	IGHM
0	2.69314635014168	0.451	0.037	0	B	IGLL1
0	2.66937930679347	0.546	0.01	0	B	VPREB3
0	2.62394513017782	0.459	0.005	0	B	TCL1A
0	2.41716674098141	0.389	0.005	0	B	VPREB1
0	2.31411235894083	0.429	0.011	0	B	CD79B
0	2.2160707606215	0.432	0.01	0	B	CD79A
0	1.58798553796405	0.198	0.003	0	B	CMTM8
3.76327076172959e-281	2.99248112707939	0.34	0.023	4.81824099860112e-278	B	IGKC
1.33825554436285e-257	2.99530769131182	0.193	0.007	1.54207186376931e-254	B	IGLC2
3.81772040459299e-237	1.26046342657966	0.109	0.002	3.66596601851042e-234	B	MS4A1
3.46324029084831e-219	1.54808144789552	0.812	0.195	2.85049413367465e-216	B	CD74
4.02856697439245e-216	1.70324669016349	0.321	0.027	2.73065748505436e-213	B	CD24
1.59411260686187e-200	1.54749052280478	0.258	0.019	1.02049775382607e-197	B	CXCR4
7.21598738011795e-198	1.81866708989183	0.391	0.045	4.3763064516368e-195	B	CD52
7.81754781396591e-180	1.40854065965535	0.168	0.008	4.50408017301646e-177	B	MZB1
5.01987080739249e-136	1.10089134163007	0.639	0.167	2.62927142334471e-133	B	HLA-DRA
2.86046573287413e-135	1.1824523428098	0.12	0.005	1.43309333216994e-132	B	SPIB
1.70330978831712e-129	1.03579263710792	0.103	0.004	7.85089547631125e-127	B	CD9
4.58028334114227e-127	1.0165179620537	0.136	0.008	2.02994634384548e-124	B	ID3
4.32180919247999e-93	1.60359415871191	0.293	0.052	1.71724852844645e-90	B	SOX4
2.90644241291042e-82	1.05248749775709	0.111	0.008	9.56883883541907e-80	B	TMEM243
7.26929599055323e-78	0.927582480160723	0.117	0.01	2.32678049164291e-75	B	RCSD1
3.98864686393021e-72	1.47556023874173	0.152	0.018	1.20950467929126e-69	B	LTB
1.72423812431763e-71	0.934718437828523	0.842	0.567	5.09446048884925e-69	B	B2M
6.72387321050335e-71	1.08652306756575	0.774	0.43	1.93697977511575e-68	B	TMSB10
2.01711835799015e-64	0.987236344347512	0.103	0.009	5.5341082950287e-62	B	RUBCNL
3.28868259189554e-62	1.38666732207228	0.25	0.053	8.61261125145735e-60	B	CD37
3.09083996920716e-61	1.04882553917677	0.685	0.362	7.57781892876045e-59	B	TMSB4X
2.63967715171858e-58	0.927969174317874	0.114	0.013	5.84942304216407e-56	B	CD38
2.56316930866084e-57	1.0834625627895	0.359	0.104	5.57271697050921e-55	B	HLA-B
7.10798539161011e-56	1.03290967050954	0.193	0.035	1.51676510495414e-53	B	PSMB9
4.26716190235066e-48	1.10285177159369	0.595	0.31	8.78044760728332e-46	B	ACTG1
4.22273626586022e-47	0.817211630474595	0.261	0.066	8.53659473535216e-45	B	HLA-DPB1
4.48256977356668e-44	1.00899688189135	0.179	0.037	8.75468669505235e-42	B	PSMB8
7.70895493545128e-44	1.29168392981172	0.315	0.104	1.48050479535342e-41	B	LAPTM5
5.70676763152197e-41	0.914916608545957	0.764	0.61	1.06063037771012e-38	B	STMN1
2.30378392154001e-40	0.837951550183397	0.117	0.018	4.21373049649295e-38	B	LAT2
7.47691648029345e-40	0.560864618648674	0.296	0.091	1.34619544691284e-37	B	HLA-DRB1
1.4987934892908e-35	1.00061798698738	0.174	0.041	2.53979373192617e-33	B	RGS2
6.80508839340755e-33	0.995158063793312	0.19	0.051	1.10443709235543e-30	B	BTG1
4.81863427806598e-29	0.929937656641284	0.332	0.138	7.50339497110194e-27	B	GMFG
3.12819738211866e-28	0.63326836522454	0.859	0.771	4.74292347817807e-26	B	PTMA
4.72936999437911e-27	-0.792990466689774	0.296	0.581	6.98673467246545e-25	B	S100A6
5.45778601497935e-27	0.738309440299722	0.147	0.038	7.96076813298824e-25	B	PDLIM1
6.59492367081211e-26	0.730460708030889	0.459	0.247	9.26747627545951e-24	B	SH3BGRL3
1.21732393660995e-25	-0.664667578215772	0.372	0.655	1.6900269544044e-23	B	GYPC
2.52336533149348e-25	0.826892405928853	0.497	0.295	3.46151651366659e-23	B	ARHGDIB
3.76026712012218e-24	0.79165615051413	0.114	0.027	5.03832070060092e-22	B	RGS19
1.1212065427819e-23	0.870750124625892	0.236	0.089	1.46814352187226e-21	B	PKM
1.11984519385099e-22	-0.677224184586271	0.348	0.618	1.43377512986055e-20	B	BLVRB
4.85752676084204e-22	0.869416509256842	0.261	0.11	6.15090998518492e-20	B	HLA-C
1.07611506335567e-21	0.905829692365007	0.16	0.051	1.33334127688681e-19	B	SSBP2
4.44746142457608e-21	0.706142069807911	0.658	0.526	5.39453663109371e-19	B	H3F3B
2.07611658824682e-20	0.814997170447356	0.144	0.044	2.41647388347153e-18	B	HLA-E
5.81792978678727e-20	-0.542067849233801	0.394	0.646	6.70400049331498e-18	B	PRDX2
1.78853026769963e-19	-0.615118569114773	0.383	0.638	2.02051316418655e-17	B	FTL
4.32972515696461e-19	0.844988339198571	0.179	0.066	4.79725220997146e-17	B	AKR1B1
5.08323400461895e-19	0.804111752468356	0.141	0.044	5.5784862319261e-17	B	CD53
1.24658772719912e-18	0.374980508879086	0.207	0.079	1.35513494155806e-16	B	HLA-DPA1
7.2593766566683e-18	-0.522321749221116	0.38	0.621	7.74535159396193e-16	B	AHSP
7.75086208067088e-18	-0.603614668969915	0.299	0.548	8.19387006931839e-16	B	MGST3
1.44118958276219e-17	0.827084399394019	0.174	0.066	1.49611059118637e-15	B	LIMD2
4.1395020176806e-17	-0.400601867912717	0.649	0.788	4.14778102171596e-15	B	MT-CO3
6.32729740464232e-17	-0.661431441928614	0.255	0.48	6.28529724083565e-15	B	HMBS
1.06353384020848e-16	-0.477349577293832	0.465	0.694	1.04744448211302e-14	B	FTH1
1.59207658434705e-15	-0.6890526127727	0.258	0.481	1.45599194297072e-13	B	GYPA
3.67447184962093e-14	-0.440450942788059	0.438	0.663	3.13636586097645e-12	B	UROD
3.94071019275366e-13	-0.37001762997801	0.527	0.71	3.24348596793574e-11	B	RPS26
