p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.59126830054019e-140	2.36065899910547	0.646	0.029	6.11069712566037e-136	AT1	SCEL
6.62669465045464e-134	3.24556981101929	0.937	0.09	3.62115729174094e-130	AT1	AGER
5.47472676324476e-124	3.09714549385961	0.722	0.049	1.99444295985007e-120	AT1	RTKN2
7.08396509885742e-110	1.71322459306312	0.506	0.022	1.93551636413532e-106	AT1	ARHGEF26
2.52635159586102e-106	2.13821050944067	0.861	0.092	5.52209931823303e-103	AT1	CAV2
9.48971889437049e-103	1.73432909933778	0.532	0.028	1.72855229660959e-99	AT1	TNNC1
3.23381547267482e-89	1.96532653818958	0.696	0.069	5.0489099001233e-86	AT1	ANXA3
1.24165017317459e-88	2.97224503718089	0.987	0.196	1.69624934282814e-85	AT1	CAV1
2.52183602937766e-76	1.68023597106372	0.456	0.029	3.06234955167427e-73	AT1	SPOCK2
3.47151760786122e-75	2.1349515214285	0.899	0.164	3.79402159363153e-72	AT1	CYP4B1
2.06070343886186e-73	3.12484909959367	1	0.272	2.04740253484739e-70	AT1	EMP2
3.70867574583992e-72	1.86587341502241	0.684	0.085	3.37767643552371e-69	AT1	TSPAN13
2.34127854915521e-70	1.75298036051565	0.646	0.075	1.96829486643979e-67	AT1	MYL9
5.73096072767634e-70	2.28221857614348	0.658	0.082	4.47383355662677e-67	AT1	CEACAM6
2.39152581540855e-68	1.27157212259017	0.278	0.009	1.74246570910667e-65	AT1	SEMA5A
1.15698036502955e-67	2.22886776671058	0.924	0.205	7.90289900587995e-65	AT1	LMO7
3.32661722643137e-65	1.44116928829443	0.519	0.048	2.13862350986285e-62	AT1	NDNF
5.4252776510089e-62	1.55875677401621	0.354	0.021	3.29404774710424e-59	AT1	CLIC5
7.68275413271839e-61	1.93134249329012	0.823	0.163	4.41920104823575e-58	AT1	AQP4
3.6562122883496e-60	1.33785675032725	0.494	0.046	1.99793720496864e-57	AT1	CLIC3
2.58707734924008e-58	1.84815326750458	0.747	0.136	1.34638896904023e-55	AT1	KRT7
