p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.84310626970643	0.953	0.055	0	AT1	RTKN2
0	2.19472433637915	0.935	0.006	0	AT1	SPOCK2
0	1.72607300831885	0.841	0.048	0	AT1	CLIC5
0	1.40462587282818	0.626	0.013	0	AT1	SPARC
0	0.970699152570596	0.598	0.024	0	AT1	HEG1
0	0.738952299709311	0.43	0.006	0	AT1	GRK5
0	0.627811528704843	0.308	0.003	0	AT1	SLC6A4
1.11618989435905e-280	0.965263854032394	0.561	0.024	1.52485491943125e-277	AT1	UNC13D
8.44336366783469e-272	1.044853971191	0.607	0.029	1.02530579473073e-268	AT1	SLC1A1
2.779061234824e-266	0.542134861055616	0.271	0.005	3.03723602353914e-263	AT1	ABI3BP
7.99132348565282e-211	1.67583020593276	0.841	0.079	7.9397431249727e-208	AT1	SCEL
1.70039451371137e-184	0.394311273095925	0.224	0.005	1.54863430336263e-181	AT1	LIMS2
6.49101005380781e-184	0.472621196670395	0.271	0.008	5.45694222138966e-181	AT1	MGAT3
5.56070216852093e-182	2.17027423357411	0.935	0.119	4.34092242855466e-179	AT1	TIMP3
1.05135348157881e-174	1.63021450777656	0.869	0.106	7.6601614667832e-172	AT1	ANOS1
2.89571068574779e-161	1.26982362448884	0.738	0.078	1.9779513802836e-158	AT1	TIMP2
9.62215305693086e-160	0.678605569076475	0.346	0.015	6.18591239759985e-157	AT1	MAP2
5.60966566993874e-156	1.16269902454175	0.748	0.083	3.40600200593114e-153	AT1	ARHGEF26
1.02774208440528e-148	1.23572636793668	0.72	0.079	5.91168065287645e-146	AT1	SEMA3B
1.10578552703646e-144	1.31390379174987	0.776	0.098	6.04256501249075e-142	AT1	WFS1
9.81911858025039e-141	3.86290329002877	1	0.204	5.11014985540745e-138	AT1	AGER
2.13123926221045e-140	1.0992333457188	0.579	0.052	1.058741540759e-137	AT1	ABCA1
1.42232779846462e-137	0.31027585755276	0.168	0.004	6.7585306562695e-135	AT1	FRMD3
3.91865730981321e-131	0.769171550074436	0.336	0.018	1.78445857245619e-128	AT1	FHL1
3.7164859036821e-122	1.58896917680544	0.869	0.147	1.62469897765367e-119	AT1	CST6
