p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.57930264296563	0.947	0.006	0	Chondrocyte	HAPLN1
0	3.3909313316444	0.789	0.001	0	Chondrocyte	EPYC
0	3.20924104328265	0.789	0.004	0	Chondrocyte	COL9A1
0	3.07902140305734	0.684	0.001	0	Chondrocyte	MATN1
0	3.0628115480989	0.684	0.001	0	Chondrocyte	UCMA
0	2.79013713069521	0.789	0.004	0	Chondrocyte	LECT1
0	2.75875054302655	0.737	0.002	0	Chondrocyte	ACAN
2.53353778046698e-305	2.67528726194937	0.526	0.002	4.21549017447449e-302	Chondrocyte	C2orf82
1.91515479776645e-280	2.73527455086914	0.474	0.001	2.83251394589657e-277	Chondrocyte	COL11A2
3.98117481830399e-213	3.09422628305682	0.895	0.012	5.29934180064444e-210	Chondrocyte	COL11A1
4.30413475018522e-153	2.74059776200321	0.526	0.005	5.20839433270141e-150	Chondrocyte	MIA
1.38727455765692e-152	2.77532832210607	0.632	0.008	1.53883430308094e-149	Chondrocyte	S100B
9.04143219118483e-149	2.58799132281193	0.632	0.008	9.25773106898933e-146	Chondrocyte	DLK1
1.40193389520736e-136	2.83845011550053	0.737	0.014	1.33293871993609e-133	Chondrocyte	COL9A2
3.43967826017684e-120	3.34533510753579	0.842	0.022	3.05237048808092e-117	Chondrocyte	COL2A1
1.64287800439319e-70	0.942227301893747	0.105	0	1.36677181977986e-67	Chondrocyte	S100A1
3.12052826158069e-49	1.16074080955297	0.211	0.003	2.44337362881768e-46	Chondrocyte	PRELP
1.92834272736153e-43	1.65563026883565	0.263	0.006	1.42600944688385e-40	Chondrocyte	SOX8
1.01609697965556e-39	1.67656722306572	0.316	0.009	7.11856152431325e-37	Chondrocyte	FRZB
7.90524914314644e-37	1.57222897683814	0.158	0.002	5.26133856722111e-34	Chondrocyte	MATN3
3.36823488898517e-35	2.44909265398189	0.526	0.03	2.13497974320389e-32	Chondrocyte	COL9A3
9.56256386961146e-33	1.51319788834396	0.263	0.008	5.78578580310901e-30	Chondrocyte	NR4A2
3.55817619710615e-29	2.17711154557555	0.895	0.11	2.05925579824695e-26	Chondrocyte	MGP
2.0876894526536e-28	1.94188116097667	0.526	0.038	1.157884762678e-25	Chondrocyte	ITM2A
4.78786289038825e-27	1.06284234825156	0.105	0.001	2.54924971735832e-24	Chondrocyte	FAM101A
5.04602876199549e-27	0.985798391715613	0.105	0.001	2.58337264811238e-24	Chondrocyte	COL8A1
7.03935088774556e-25	1.5855738653021	0.316	0.015	3.47039998765856e-22	Chondrocyte	LPAR4
8.32129319841185e-24	1.54123638056574	0.368	0.022	3.95588334871643e-21	Chondrocyte	FGFR3
1.43033836142922e-23	1.50177998396661	0.316	0.016	6.56525307896013e-21	Chondrocyte	CTHRC1
6.10666782374855e-22	1.19924054017279	0.158	0.004	2.70952851339723e-19	Chondrocyte	PYGL
7.97984155009781e-22	0.896936074009408	0.105	0.002	3.42644099591458e-19	Chondrocyte	CPXM2
7.29079523646459e-19	1.70477894973074	0.421	0.037	3.03274298101813e-16	Chondrocyte	CPE
4.60602330667223e-18	2.44659769829717	0.737	0.13	1.85790231015497e-15	Chondrocyte	NR4A1
2.63437930602968e-16	1.91755066052146	0.474	0.055	1.03135949831062e-13	Chondrocyte	C2orf40
7.82762413904608e-16	1.00035295384666	0.105	0.003	2.97695728328121e-13	Chondrocyte	SIX4
8.43517056306207e-16	1.06355086913227	0.105	0.003	3.1189043156922e-13	Chondrocyte	NRK
4.74297600604047e-15	1.7273577444456	0.368	0.035	1.70631766530824e-12	Chondrocyte	TUBB2A
9.18439292761147e-15	0.80564765383131	0.105	0.003	3.21719616472201e-12	Chondrocyte	ADAMTS3
2.64015158092173e-14	1.1232764982125	0.158	0.007	9.01104043426901e-12	Chondrocyte	COL15A1
4.25800248598762e-14	1.45629166640979	0.368	0.037	1.41695677727453e-11	Chondrocyte	LGALS3
2.46882240975982e-13	1.61720899766225	0.316	0.03	8.01524270641778e-11	Chondrocyte	GADD45B
6.6140429759478e-13	1.33257979503582	0.158	0.008	2.09617919173431e-10	Chondrocyte	GPC1
1.84548628596957e-12	1.36337940087358	0.105	0.004	5.71285301221881e-10	Chondrocyte	FIBIN
1.97832177092417e-12	0.822924151763472	0.105	0.004	5.9848729756299e-10	Chondrocyte	MERTK
5.77494290687932e-12	1.11889653958676	0.158	0.008	1.7082281118549e-09	Chondrocyte	VASN
8.52336853331981e-12	0.868588352769495	0.105	0.004	2.46640344667435e-09	Chondrocyte	SORBS2
2.92335257469556e-11	0.984504148561438	0.105	0.004	8.27726528938205e-09	Chondrocyte	EBF1
2.98481506941882e-11	0.802943661922388	0.105	0.004	8.27726528938205e-09	Chondrocyte	LOXL3
5.86775353727848e-11	1.5904049585247	0.421	0.065	1.59399321091253e-08	Chondrocyte	C5orf15
9.10504202935384e-11	0.899376478915214	0.105	0.004	2.42394428905458e-08	Chondrocyte	TPBG
9.75843696891671e-11	0.767393000177444	0.105	0.004	2.54695204888726e-08	Chondrocyte	CAPN6
1.70375153697386e-10	1.82865687896855	0.684	0.197	4.36127629012674e-08	Chondrocyte	MEST
2.70960980578849e-10	0.928810941165494	0.105	0.004	6.80521058959445e-08	Chondrocyte	SCRG1
7.8891203509622e-10	0.720691828631635	0.105	0.005	1.90612069353468e-07	Chondrocyte	KCNT2
8.01913897062146e-10	1.51027801899291	0.316	0.039	1.90612069353468e-07	Chondrocyte	IGF2
1.04941922234944e-09	1.12401707949414	0.158	0.011	2.45067004713919e-07	Chondrocyte	KLF2
1.52727544157655e-09	1.34883265497387	0.105	0.005	3.50509713841818e-07	Chondrocyte	XYLT1
1.63881017195913e-09	1.05261267873609	0.158	0.011	3.69732240660135e-07	Chondrocyte	CENPB
2.02522703756102e-09	1.42641394753844	0.158	0.011	4.49296618282913e-07	Chondrocyte	CSGALNACT1
2.24378594279214e-09	1.67130045681519	0.421	0.073	4.89623519418135e-07	Chondrocyte	FMOD
3.60104765448113e-09	0.915185037470064	0.105	0.005	7.73121698851586e-07	Chondrocyte	C1QTNF3
5.47360486636264e-09	1.51249449751441	0.684	0.207	1.15649451390719e-06	Chondrocyte	JUNB
1.42193064002651e-08	0.948063145028197	0.158	0.012	2.91189519221429e-06	Chondrocyte	GIGYF1
2.56818860382514e-08	1.71843669965394	0.316	0.049	5.1795694705328e-06	Chondrocyte	KLF10
3.64424218970572e-08	1.0686224824276	0.211	0.022	7.24007578913027e-06	Chondrocyte	RAB28
4.75119553780894e-08	1.05042367542179	0.158	0.013	9.300465265261e-06	Chondrocyte	KIAA0368
4.84584410797576e-08	-1.15016893795483	0.789	0.988	9.34826535090802e-06	Chondrocyte	TMSB4X
8.25114769063759e-08	0.939121012785044	0.158	0.013	1.56901467014396e-05	Chondrocyte	COPZ2
