p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.02220087078831e-15	0.604117680867067	0.154	0.012	6.60703579508309e-12	Adipocyte	POPDC3
4.5628953881695e-15	0.569887446001665	0.128	0.008	1.19264959655974e-11	Adipocyte	REEP1
7.43586433283768e-12	0.81455274848533	0.128	0.011	9.71793109658556e-09	Adipocyte	INPP4A
1.18929331401555e-11	0.760725623726533	0.205	0.026	1.41298857462448e-08	Adipocyte	PNMA1
5.31583534041267e-11	0.873006974269957	0.128	0.012	4.96233229027523e-08	Adipocyte	NAB2
2.013968189435e-10	0.68529414508807	0.103	0.008	1.54826766280742e-07	Adipocyte	ANKS3
3.63380108909723e-10	0.671396862740817	0.205	0.029	2.63834146852287e-07	Adipocyte	CAPN1
9.60307174994472e-10	0.639153785577874	0.974	0.804	6.27512723500138e-07	Adipocyte	DNAJB1
3.02100871380864e-09	0.844495285273581	0.308	0.064	1.71658969046805e-06	Adipocyte	C9orf3
4.42596861853602e-09	0.700909204687405	0.128	0.014	2.41012432815197e-06	Adipocyte	KCNE4
1.07820206306029e-08	0.580327616188251	0.154	0.02	5.63640910485396e-06	Adipocyte	KIAA1143
3.20239803578018e-08	0.547203394418621	0.179	0.028	1.55007925665226e-05	Adipocyte	WDR46
4.20899344272028e-08	0.356688774790404	0.103	0.01	1.96445544386753e-05	Adipocyte	ASB5
1.05493838659754e-07	0.961164419595707	0.41	0.124	4.43031782297312e-05	Adipocyte	CYR61
1.08478208229505e-07	0.613576928219774	0.179	0.03	4.43031782297312e-05	Adipocyte	THBS1
1.45816570127126e-07	0.72867655668331	0.205	0.038	5.50155960279724e-05	Adipocyte	PDLIM4
1.46742896844048e-07	0.740181855414267	0.103	0.011	5.50155960279724e-05	Adipocyte	SNX11
1.47336893486804e-07	0.573556401699475	0.103	0.011	5.50155960279724e-05	Adipocyte	AMIGO2
1.64542684695469e-07	0.685036125184951	0.872	0.551	5.96909414610259e-05	Adipocyte	JUNB
1.68992641675565e-07	0.294050329746874	0.103	0.011	5.96909414610259e-05	Adipocyte	CKAP2
1.74792193071612e-07	0.67574430007009	0.205	0.038	6.01147150329711e-05	Adipocyte	FGFR4
1.93641488026312e-07	0.493929575914687	1	0.869	6.48897591542532e-05	Adipocyte	HSPA1A
2.13043731311318e-07	0.78941248169487	0.231	0.047	6.96067131126902e-05	Adipocyte	USP11
2.37625025782484e-07	0.491557900773819	0.744	0.284	7.05800332261656e-05	Adipocyte	MEG3
2.63259386414462e-07	-0.597685104856152	0.949	0.984	7.64563760233466e-05	Adipocyte	B2M
2.83619338843398e-07	0.481017664325793	0.103	0.012	8.05787204205298e-05	Adipocyte	BLMH
4.26520100824713e-07	0.416332886061343	0.103	0.012	0.000115165311170463	Adipocyte	CLCN5
5.24751042603033e-07	0.732888596123793	0.179	0.033	0.000126999469921834	Adipocyte	CDH13
6.71310616060454e-07	0.667677475030956	0.179	0.033	0.000156667115023108	Adipocyte	TUBB2B
7.26937974535834e-07	0.58725831843657	1	0.758	0.000163619537890755	Adipocyte	ACTA2
8.39271581473084e-07	-1.3084636364147	0.513	0.728	0.00017691032739148	Adipocyte	GSN
9.10057346631437e-07	0.570626068667027	0.128	0.019	0.000188786340684544	Adipocyte	THOC6
1.00739636389084e-06	0.738743816922936	0.282	0.071	0.000205713485620148	Adipocyte	MEST
1.16575623931212e-06	0.788385318970504	0.205	0.043	0.00023115656276442	Adipocyte	RBP1
1.17762525790588e-06	0.59578698535166	0.846	0.469	0.00023115656276442	Adipocyte	JUN
1.36278070295066e-06	0.621262154612487	0.103	0.013	0.000258118565316842	Adipocyte	SLC22A18
1.5489595559305e-06	0.882868176638336	0.205	0.045	0.000289190749092224	Adipocyte	TSNAX
1.63570466738758e-06	0.825759572600545	0.256	0.064	0.000301084849268848	Adipocyte	STRAP
2.34699288678906e-06	0.63952075930988	0.333	0.095	0.000408971333832616	Adipocyte	FKBP8
2.48856887525183e-06	0.765439969495159	0.154	0.028	0.000414547570776059	Adipocyte	NEK7
2.64665338807774e-06	0.552721275376338	0.103	0.014	0.000414547570776059	Adipocyte	APPL2
2.67134188661095e-06	0.526176351398548	0.154	0.027	0.000414547570776059	Adipocyte	CLK3
2.79135253105006e-06	0.757317834349234	0.795	0.377	0.000414547570776059	Adipocyte	ZFP36
2.9059309259979e-06	0.821636625756775	0.308	0.091	0.000426714733391758	Adipocyte	MYC
3.37555319156246e-06	0.686922375539073	0.462	0.173	0.00046616122636366	Adipocyte	CHRDL2
3.5894170651254e-06	0.773720024221653	0.256	0.065	0.000488646787751289	Adipocyte	SPAG7
3.74582543590015e-06	0.587052529508142	0.308	0.085	0.000503990398471957	Adipocyte	BAG3
4.12425272329159e-06	0.593411143746473	0.282	0.074	0.000544443018592907	Adipocyte	MED4
4.55007286176407e-06	0.73958558563075	0.256	0.067	0.000588761408221729	Adipocyte	WBP2
5.08159067603698e-06	0.867430411332624	0.513	0.21	0.000644769985875022	Adipocyte	SORBS2
