p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.35355945441457	0.919	0.015	0	Autonomic Nervous System	S100B
0	1.8153775698485	0.582	0.072	0	Autonomic Nervous System	GPM6B
0	1.80156797721577	0.335	0.001	0	Autonomic Nervous System	GFRA3
0	1.67856898549019	0.37	0.011	0	Autonomic Nervous System	EDNRB
0	1.64813841618931	0.346	0.002	0	Autonomic Nervous System	MPZ
0	1.6377021588363	0.344	0.009	0	Autonomic Nervous System	ARHGAP15
0	1.43542946346233	0.296	0.012	0	Autonomic Nervous System	MMP15
0	1.38513740980791	0.236	0.001	0	Autonomic Nervous System	CDH19
0	1.28315509070801	0.252	0.01	0	Autonomic Nervous System	MOXD1
0	1.12678348789976	0.182	0.001	0	Autonomic Nervous System	MIA
0	1.10411335369274	0.182	0.002	0	Autonomic Nervous System	SOX10
0	1.09517308642887	0.171	0.002	0	Autonomic Nervous System	FOXD3-AS1
1.34354660835118e-306	0.987109239500536	0.145	0.002	1.6250712976703e-303	Autonomic Nervous System	PTPRZ1
1.2084554650578e-295	0.871862336871791	0.111	0	1.35726812375492e-292	Autonomic Nervous System	MAL
7.25830716364586e-281	1.30633274042673	0.229	0.009	7.60864145607783e-278	Autonomic Nervous System	ERBB3
9.82021779233426e-263	0.773009194999615	0.109	0.001	9.65081903541649e-260	Autonomic Nervous System	INSC
6.50346918879291e-244	0.793887511193268	0.118	0.002	6.01532644262234e-241	Autonomic Nervous System	CMTM5
6.57030272677972e-235	0.780344245935534	0.113	0.002	5.43744421452023e-232	Autonomic Nervous System	RELN
1.27503057385238e-229	1.52374434051516	0.323	0.028	1.00242903716274e-226	Autonomic Nervous System	SCRG1
1.95723770444992e-219	1.41337310385853	0.395	0.045	1.46550503165574e-216	Autonomic Nervous System	CNP
1.08363052137348e-211	0.881514124359247	0.134	0.004	7.74500287185298e-209	Autonomic Nervous System	ALCAM
5.32690315698154e-185	0.809367830419608	0.115	0.003	3.49000938501574e-182	Autonomic Nervous System	LGI4
2.0599927477394e-151	0.679230801198783	0.106	0.003	1.1568330701948e-148	Autonomic Nervous System	CADM4
1.89961724785168e-131	1.04173975589156	0.219	0.022	9.05138836521813e-129	Autonomic Nervous System	PLEKHA4
7.43107300063992e-119	1.10898378139628	0.273	0.038	3.07489978584374e-116	Autonomic Nervous System	ITIH5
1.40072736851108e-102	1.35483853290116	0.413	0.099	4.78805155271047e-100	Autonomic Nervous System	PLP1
3.2407267347322e-100	0.879174862702844	0.171	0.018	1.06160806618602e-97	Autonomic Nervous System	CADM1
2.16357253731459e-99	1.14356025042415	0.286	0.05	6.94286011770094e-97	Autonomic Nervous System	CUEDC2
3.02753368106096e-98	1.18095517445306	0.328	0.065	9.52098792020051e-96	Autonomic Nervous System	CRYAB
2.82647421866808e-95	0.98931989112741	0.143	0.013	8.38556238006357e-93	Autonomic Nervous System	MBP
5.74061160004853e-93	1.32210512782624	0.42	0.11	1.64118866907569e-90	Autonomic Nervous System	RBP1
1.78926683449784e-85	1.11093993839999	0.824	0.483	4.76854774671933e-83	Autonomic Nervous System	ANXA2
3.07368498162432e-80	0.787973072744057	0.129	0.013	8.05510377517681e-78	Autonomic Nervous System	RCAN1
1.03765202548339e-77	0.742814887363428	0.129	0.013	2.67476072929521e-75	Autonomic Nervous System	FLRT3
1.16842738952201e-74	0.872317370557037	0.212	0.036	2.96328262465228e-72	Autonomic Nervous System	AP1S2
4.28605528616988e-74	0.951977920210051	0.245	0.047	1.06974497332913e-71	Autonomic Nervous System	NGFR
1.75226118007251e-73	0.933094515819569	0.212	0.036	4.30508668679065e-71	Autonomic Nervous System	PRSS23
6.49914814207132e-71	0.690487708186515	0.106	0.01	1.54837280887772e-68	Autonomic Nervous System	SEMA3B
3.91943002012919e-69	0.934981255049265	0.24	0.048	9.06310553478109e-67	Autonomic Nervous System	RAB31
1.53235035146494e-68	0.661794411189656	0.106	0.01	3.44209670377638e-66	Autonomic Nervous System	PHACTR3
2.69979560008238e-68	0.882838613633021	0.247	0.05	5.97909662192893e-66	Autonomic Nervous System	TNC
2.08792214979857e-67	0.888529148993643	0.201	0.035	4.55978998381011e-65	Autonomic Nervous System	PRNP
1.37387118455126e-63	0.847059990281012	0.411	0.128	2.91929060890324e-61	Autonomic Nervous System	APOD
2.64855134554168e-62	0.740938222450697	0.129	0.016	5.4797133364865e-60	Autonomic Nervous System	RXRG
2.95905639784885e-60	1.02090162287256	0.411	0.137	5.9651542050994e-58	Autonomic Nervous System	EMP2
3.05740661400664e-55	0.785922932727769	0.818	0.52	5.93514340723955e-53	Autonomic Nervous System	S100A6
1.53260150695137e-54	-1.07547227165258	0.393	0.693	2.86888405896469e-52	Autonomic Nervous System	DCN
9.24749015324385e-54	0.79416493515983	0.176	0.033	1.69078529266984e-51	Autonomic Nervous System	C1orf198
1.25361222380041e-53	-0.891944610232217	0.684	0.87	2.26572397782042e-51	Autonomic Nervous System	COL3A1
1.87400569755006e-53	0.67310596804011	0.127	0.018	3.27409617647524e-51	Autonomic Nervous System	CTNNAL1
2.25685703514642e-53	0.830929403696412	0.721	0.397	3.89965055171894e-51	Autonomic Nervous System	STMN1
2.38661663677863e-52	0.970547823282201	0.224	0.053	4.0351784942696e-50	Autonomic Nervous System	CD9
1.37415732136047e-49	0.79214638424072	0.6	0.296	2.18255047687596e-47	Autonomic Nervous System	TUBA1A
1.40815539382799e-49	0.813474108188797	0.584	0.278	2.21418354125513e-47	Autonomic Nervous System	PEBP1
3.69756278623831e-48	0.907326381080506	0.409	0.155	5.70004678929522e-46	Autonomic Nervous System	PMP22
1.87365584578857e-41	0.676708427260265	0.127	0.023	2.49672580671013e-39	Autonomic Nervous System	PMEPA1
4.20392868025079e-41	0.746315331465491	0.217	0.058	5.55483819901373e-39	Autonomic Nervous System	GNG2
2.07880919822017e-39	0.742292829522903	0.18	0.043	2.72393298606783e-37	Autonomic Nervous System	NR2F2
4.01346786457308e-39	0.736910774481536	0.236	0.069	5.21551807459067e-37	Autonomic Nervous System	CNPY2
1.08799575158261e-37	0.867422129454328	0.185	0.047	1.35774961887976e-35	Autonomic Nervous System	OLFML2A
5.18201763909594e-37	0.825714384737978	0.201	0.056	6.36578479352692e-35	Autonomic Nervous System	ARPC1B
2.50667064180543e-36	0.696977337938695	0.621	0.346	3.03191455167296e-34	Autonomic Nervous System	H2AFZ
5.66867849838261e-35	0.605439594615706	0.125	0.025	6.60254079322727e-33	Autonomic Nervous System	C4orf48
2.54782404445048e-34	0.275115023765641	1	0.999	2.90304241122749e-32	Autonomic Nervous System	MT-RNR2
4.70930120677348e-34	0.650089552524427	0.201	0.057	5.32726994066951e-32	Autonomic Nervous System	RAP1A
4.75412034988862e-34	0.650777985482082	0.113	0.022	5.3395563129749e-32	Autonomic Nervous System	NCAM1
6.52797733623096e-33	-1.03747528041804	0.219	0.487	7.12818858575664e-31	Autonomic Nervous System	OGN
9.65405109881097e-33	0.598976932755621	0.122	0.026	1.04689861708761e-30	Autonomic Nervous System	TSC22D4
1.05990604236389e-31	0.613272458762533	0.141	0.033	1.11106417400865e-29	Autonomic Nervous System	GAS7
1.94677777929153e-31	0.509123692995049	0.106	0.02	2.01389038168289e-29	Autonomic Nervous System	ABCA8
2.22472446224862e-31	0.587443672702914	0.383	0.167	2.28637695715015e-29	Autonomic Nervous System	CST3
4.15140424755949e-31	0.590171581800693	0.145	0.036	4.23874547978087e-29	Autonomic Nervous System	RNF130
3.72525219895643e-30	0.273198581493145	0.998	0.969	3.73094685199942e-28	Autonomic Nervous System	MT-RNR1
9.90635970700439e-30	0.424549739936166	0.85	0.675	9.85870886284411e-28	Autonomic Nervous System	PTMA
1.09249544613455e-29	-0.867054150649859	0.314	0.552	1.08040241478111e-27	Autonomic Nervous System	DLK1
2.19001234463484e-29	0.704843457761986	0.697	0.472	2.15223463168989e-27	Autonomic Nervous System	TUBA1B
9.51666282688341e-29	0.729502623045044	0.219	0.074	9.18036848404385e-27	Autonomic Nervous System	COL14A1
1.11809577796299e-28	0.685656327520771	0.148	0.039	1.07200841540793e-26	Autonomic Nervous System	ZEB2
1.64806701396089e-28	0.416981169377912	0.887	0.731	1.57055792288006e-26	Autonomic Nervous System	FTH1
2.18799724999379e-28	0.629324390275219	0.145	0.038	2.07253426258448e-26	Autonomic Nervous System	CSRP1
2.83230036979225e-28	0.610478506997633	0.136	0.034	2.66677191704271e-26	Autonomic Nervous System	COMT
3.86485083098966e-28	-0.748994423283993	0.328	0.572	3.59591209860836e-26	Autonomic Nervous System	MEST
