p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.30446629376848	0.864	0.004	0	B	MS4A1
0	2.24487390970719	0.914	0.112	0	B	CD37
0	2.23615091413758	0.875	0.066	0	B	LTB
0	2.17082888599267	0.882	0.042	0	B	CD79A
0	1.96658574779502	0.964	0.163	0	B	CD52
0	1.68896425389048	0.868	0.105	0	B	HLA-DQA1
0	1.62112424217586	0.65	0.069	0	B	CD79B
0	1.50651555813572	0.589	0.057	0	B	BANK1
0	1.36931132946531	0.539	0.015	0	B	TNFRSF13C
0	1.35827372552058	0.443	0.01	0	B	VPREB3
0	1.17642580365937	0.161	0.001	0	B	TCL1A
0	1.13928057673483	0.432	0.024	0	B	MARCH1
0	1.08690302002026	0.361	0.012	0	B	LINC00926
0	1.06381949850965	0.3	0.007	0	B	LINC01781
0	0.955628820260769	0.361	0.016	0	B	GAPT
0	0.838860427882419	0.304	0.014	0	B	CD22
0	0.821463851661609	0.286	0.006	0	B	BLK
0	0.806529455942853	0.264	0.01	0	B	SPIB
0	0.720347455703009	0.239	0.008	0	B	TLR10
0	0.700666790282214	0.239	0.009	0	B	LINC02397
0	0.47523633618246	0.164	0.001	0	B	PAX5
0	0.455858932365267	0.111	0	0	B	FCRL1
1.99803921287852e-306	1.70050001153631	0.868	0.14	1.8396946052579e-303	B	HLA-DQB1
4.66488408496519e-299	0.441627896664275	0.129	0.002	4.12338434038243e-296	B	CXCR5
3.02544633442346e-277	0.472976254724668	0.118	0.002	2.57139665761883e-274	B	FCER2
2.82832349975574e-274	1.92972404817557	0.375	0.026	2.31482565546675e-271	B	IGHM
3.34115496195552e-259	0.630522042221688	0.207	0.008	2.63688722676047e-256	B	FCRLA
4.29636003394111e-250	0.693693120749623	0.261	0.013	3.27382634586313e-247	B	SCIMP
2.25490080401682e-245	1.01756094257609	0.393	0.032	1.66095993223879e-242	B	IRF8
5.50480071544973e-232	1.46909055746291	0.786	0.139	3.92403503903252e-229	B	LAPTM5
1.9250924858805e-231	1.36167579873192	0.957	0.248	1.32939667978085e-228	B	HLA-DPB1
9.23880242683565e-207	0.846708519804671	0.279	0.019	6.18663806146104e-204	B	TNFRSF13B
2.70527918194939e-203	1.20187792513622	0.921	0.244	1.75827233419758e-200	B	HLA-DPA1
9.27363098424685e-202	1.27745824948733	0.636	0.102	5.85510564256819e-199	B	EVI2B
8.24941591153417e-198	2.02410046676993	0.996	0.415	5.06376646703006e-195	B	HLA-DRA
2.34439911382496e-193	0.807501948316883	0.3	0.023	1.40017653019741e-190	B	LY86
2.44231932190553e-193	0.991157933483049	0.368	0.034	1.42027295724917e-190	B	BCL2A1
3.43609434137154e-190	1.7595417943259	0.725	0.134	1.94694391681098e-187	B	CD69
2.7269577342507e-189	0.675376601696051	0.236	0.015	1.5065078002868e-186	B	AIM2
2.99143266065388e-188	1.67187157514435	0.946	0.268	1.61230924232023e-185	B	CXCR4
9.96887810934701e-188	1.45241138790421	0.954	0.304	5.24505401096072e-185	B	HLA-DRB1
1.39719287426039e-181	0.931534270656437	0.361	0.036	7.18027165939675e-179	B	PRKCB
1.0798622977923e-172	1.72315593992303	0.6	0.11	5.42336296741232e-170	B	CD83
2.34592916176789e-170	0.819044814514587	0.243	0.017	1.15200761370549e-167	B	CCR7
5.9194607922309e-169	1.28131313490793	0.746	0.157	2.84365749101562e-166	B	CORO1A
1.0745896616379e-166	0.790655611468601	0.275	0.023	5.05240049848388e-164	B	CLECL1
1.4685545599331e-163	1.98361284043975	1	0.621	6.76085805529201e-161	B	CD74
4.76385819217929e-163	1.31536688230428	0.571	0.095	2.1484028230771e-160	B	GPR183
1.61034639370683e-161	1.17577467602829	0.561	0.099	7.1170869216267e-159	B	HLA-DMB
6.03820503664951e-156	0.654762839829563	0.196	0.012	2.61631872352708e-153	B	FAM30A
9.66674409413787e-155	1.10844540424211	0.561	0.098	4.10799444215882e-152	B	CD53
8.01446742631736e-152	0.683647178342119	0.261	0.022	3.34157926767474e-149	B	TMEM156
1.63005737242963e-148	0.958220595682624	0.379	0.049	6.67055700295368e-146	B	HVCN1
2.70307963482101e-144	1.04543933699718	1	0.978	1.06665453161205e-141	B	RPL39
1.47876934705667e-143	0.692391334384286	0.243	0.021	5.73295526864181e-141	B	HLA-DOB
2.04105612397667e-142	1.11715873407256	0.45	0.071	7.77642383235111e-140	B	POU2F2
4.31887608955344e-142	1.01040079291689	1	0.988	1.6176020987619e-139	B	RPS27
2.60827647439076e-137	0.699712039371641	0.275	0.027	9.60628225518119e-135	B	SP140
7.06899167092929e-136	0.783983335618067	0.4	0.055	2.51952545071283e-133	B	IGHA2
8.58100048831889e-135	1.02893281977445	0.996	0.973	3.00988807604557e-132	B	RPS29
1.91450690250802e-133	1.04029387117892	0.996	0.983	6.61043336431596e-131	B	RPLP2
2.90521860621523e-132	0.919634579791023	0.35	0.045	9.87684934771449e-130	B	FCMR
1.19094548994086e-128	1.03973950162344	0.611	0.131	3.98750203586563e-126	B	CD48
6.22281692064108e-128	1.16542346778476	0.621	0.15	2.05241504943771e-125	B	LIMD2
5.28776599721375e-125	0.893208894251465	0.996	0.986	1.71836842656514e-122	B	RPL21
2.33534581958995e-123	0.793918827652107	0.993	0.982	7.3723531316141e-121	B	RPS8
2.65676583470831e-123	0.873663605539466	0.993	0.978	8.26890301625131e-121	B	RPS15A
3.33511715766525e-120	0.812146821146257	0.996	0.976	1.02360304097343e-117	B	RPL23A
6.10588427291581e-117	0.787654876322303	0.996	0.978	1.82334906301207e-114	B	RPL18A
6.46670479836082e-116	0.749676029322414	1	0.986	1.90534990178903e-113	B	RPL32
3.94302416648783e-115	0.729197637599144	0.993	0.981	1.14648615830326e-112	B	RPS23
4.48179558188823e-115	1.080616716775	0.482	0.092	1.28621712686449e-112	B	TAGAP
7.56564700807738e-115	0.78770797025785	0.996	0.965	2.143405994673e-112	B	RPS11
1.90833938188661e-114	0.689450054783508	0.996	0.984	5.33803590644687e-112	B	RPL11
4.35891438622804e-114	0.59989651113861	0.236	0.024	1.20404112633584e-111	B	LAT2
5.72024897887113e-113	0.365236981911429	0.111	0.005	1.56056866586536e-110	B	P2RX5
9.25910923707176e-111	0.349765071493607	0.104	0.005	2.49521702342453e-108	B	CD70
1.26963460053681e-110	0.485621094326344	0.143	0.009	3.38028739791113e-108	B	CD19
4.42753057856823e-110	-1.5484658813499	0.257	0.876	1.16475679434763e-107	B	CD63
7.55547840743329e-109	0.615725647220564	1	0.982	1.94140653311001e-106	B	RPL19
