p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.02055578577733	0.618	0.013	0	B	IGKC
0	2.62333467775425	0.764	0.004	0	B	CD79A
0	1.85803389323987	0.491	0	0	B	IGHM
0	1.53454912031472	0.382	0	0	B	IGHD
0	0.860281000652933	0.2	0.001	0	B	FCER2
0	0.785085005399295	0.182	0.001	0	B	BLNK
0	0.781634655684079	0.164	0	0	B	TCL1A
0	0.6251884065617	0.127	0	0	B	CXCR5
1.34104756238161e-278	1.15612308427803	0.291	0.003	2.83229245174996e-275	B	LY9
1.93946898348664e-273	2.25442449259308	0.291	0.003	3.68654264381141e-270	B	JCHAIN
1.3555016768753e-265	1.04544120117526	0.255	0.003	2.34230689764052e-262	B	SLAMF1
4.78873927077585e-264	2.31137958287464	0.636	0.017	7.58536300490894e-261	B	CCR7
1.01103106985607e-206	0.972856127360774	0.2	0.002	1.47828296737108e-203	B	BANK1
7.65179576006202e-199	2.33550474786834	0.636	0.023	9.69635558715059e-196	B	CD69
1.53956465720886e-186	1.57409857495678	0.327	0.006	1.82900281276412e-183	B	CD79B
2.17512885374534e-178	2.05125651883529	0.655	0.027	2.43204995599949e-175	B	CD37
4.71527475427415e-175	1.03325653122076	0.273	0.005	4.71726013311806e-172	B	CD72
5.38970863974192e-171	2.34386452048783	0.782	0.041	5.12237909121072e-168	B	HLA-DQA1
2.38076803644435e-147	2.47496046783009	0.818	0.053	2.15493518270163e-144	B	LAPTM5
5.47486679141585e-136	0.864267112232355	0.236	0.005	4.52462034657532e-133	B	KIAA0226L
3.78093107920386e-130	0.652602150979214	0.145	0.002	2.99449741472946e-127	B	FAM129C
1.28507777435941e-112	2.71167908426048	0.909	0.091	9.39490705193216e-110	B	HLA-DQB1
1.36769691693479e-100	1.55273956573553	0.382	0.016	9.62858629522094e-98	B	MIR155HG
9.62202016518155e-100	0.67817048478442	0.182	0.004	6.53197711784896e-97	B	CD180
5.07553112367534e-96	0.838639098715224	0.182	0.004	3.32674812409727e-93	B	DAPP1
9.30615137619526e-91	1.79836010003508	0.564	0.038	5.89637751195731e-88	B	GPR183
5.00844807359743e-85	1.35244384124859	0.327	0.014	3.07098648332064e-82	B	LTB
2.8313203453664e-80	0.504024173374439	0.145	0.003	1.63084051893104e-77	B	TNF
2.9548824175438e-80	0.602174560113428	0.127	0.002	1.65195308801978e-77	B	MZB1
2.1424414596485e-78	1.2722562781312	0.418	0.025	1.16352935042854e-75	B	GPSM3
8.80268334605643e-76	0.646899693494634	0.145	0.003	4.6478168067178e-73	B	SPIB
1.26410497525644e-75	2.40178772962448	0.745	0.089	6.49408307288496e-73	B	CD83
1.62695498216442e-74	1.13209823121307	0.345	0.018	8.13820007920562e-72	B	PLEK
5.56661052232394e-71	0.859630788601814	0.218	0.008	2.71308032841881e-68	B	SELL
2.62470956199368e-69	1.40012954324271	0.491	0.038	1.2472619838594e-66	B	CD53
6.75711726383332e-69	0.533624122429501	0.127	0.003	3.13266548660838e-66	B	ICOSLG
7.18464480365845e-67	1.28548562065579	0.255	0.011	3.25156496257e-64	B	RP5-1171I10.5
6.33774625922876e-66	0.56892620131848	0.109	0.002	2.80157862547489e-63	B	ANKRD33B
3.43756177899228e-65	1.69327274548106	0.909	0.149	1.48020408387468e-62	B	HLA-DPA1
3.50427103190029e-65	1.61663625055551	0.582	0.057	1.48020408387468e-62	B	BIRC3
2.50485387533184e-62	0.641143461963256	0.127	0.003	1.01302686090016e-59	B	CLECL1
4.54835170680255e-62	0.755534031476843	0.145	0.004	1.80114727589381e-59	B	IKZF3
1.35916242865329e-61	2.70449501583895	0.982	0.221	5.27244070282486e-59	B	HLA-DRA
1.40506305934805e-61	1.09212641535007	0.273	0.013	5.34148772641754e-59	B	RHOH
7.58321750358172e-58	1.19074989696719	0.309	0.018	2.82630977074669e-55	B	NFKBID
9.90259968239066e-57	1.16536055697832	0.382	0.028	3.61978105313234e-54	B	LPXN
1.50412672999503e-56	0.890801473552405	0.291	0.016	5.39442280825389e-54	B	CD48
2.04332017366808e-56	1.41005924232592	0.436	0.036	7.19248701131166e-54	B	CD52
1.26895341181037e-53	1.06154385142828	0.273	0.015	4.38550299121664e-51	B	BCL2A1
2.03962321340096e-53	2.4079647079265	0.927	0.215	6.92306393577242e-51	B	HLA-DRB1
2.08720166320867e-52	0.512373512358312	0.145	0.005	6.96026828320534e-50	B	ZNF165
2.3309740263706e-52	1.73257020406773	0.818	0.152	7.63916453331938e-50	B	HLA-DPB1
3.23458077722759e-49	1.62133764162554	0.8	0.15	1.04208324429732e-46	B	CYBA
4.82231663878873e-46	1.45727459856663	0.545	0.07	1.50266548639502e-43	B	STK4
1.11454733596497e-45	0.450088627719353	0.109	0.003	3.41698641322939e-43	B	GPR18
4.54231782971538e-44	2.10757828337856	0.982	0.332	1.32831349703431e-41	B	CD74
3.02086439332264e-43	1.66962970773833	0.673	0.114	8.70008945276922e-41	B	HLA-DRB5
1.19189165718612e-42	1.09342422185509	0.327	0.027	3.38141442086474e-40	B	CYTIP
3.1911228911945e-41	0.671712163714261	0.127	0.004	8.42456443275349e-39	B	NCF1
8.98708435152867e-39	0.625607835738164	0.109	0.004	2.34008903224462e-36	B	MPEG1
1.02462366658118e-38	0.964764293863406	0.364	0.036	2.63189819653716e-36	B	CORO1A
1.35339740667558e-38	0.701526277341843	0.164	0.008	3.43005038747858e-36	B	PIK3AP1
1.60680840941178e-37	1.02304324973729	0.236	0.016	4.01871240080252e-35	B	RP1-313I6.12
2.05548218146796e-36	1.0928839003995	0.345	0.035	5.00905196222346e-34	B	RHOF
