p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.62074367512618	0.923	0.489	0	Acinar	CLPS
0	1.33594270054773	0.986	0.774	0	Acinar	CPA1
0	1.23959562823081	0.982	0.771	0	Acinar	CPB1
0	1.2103505661678	0.981	0.756	0	Acinar	PNLIP
0	1.19663276793129	0.969	0.665	0	Acinar	CELA3B
0	1.19227646653568	0.919	0.563	0	Acinar	CTRC
0	1.18223234588435	0.759	0.403	0	Acinar	PRSS3
0	1.1582564754564	0.987	0.773	0	Acinar	GP2
0	1.07883797892291	0.981	0.757	0	Acinar	CTRB1
0	0.987149840476487	0.712	0.341	0	Acinar	PNLIPRP1
0	0.950812450893947	0.999	0.971	0	Acinar	PRSS1
0	0.823078849580542	0.989	0.815	0	Acinar	REG3G
0	0.749203264042214	0.999	0.958	0	Acinar	CELA3A
0	0.593419401759385	0.999	0.958	0	Acinar	CTRB2
0	0.553359815580864	0.997	0.914	0	Acinar	PLA2G1B
0	0.517351837057139	0.994	0.892	0	Acinar	CPA2
0	-0.70436548709287	0.797	0.914	0	Acinar	FTH1
0	-1.05105912123294	0.693	0.904	0	Acinar	B2M
0	-1.14556141532193	0.769	0.924	0	Acinar	TMSB4X
0	-1.31530128836224	0.271	0.612	0	Acinar	SAT1
8.51391672041875e-300	1.18116888109209	0.513	0.169	4.21803759805889e-297	Acinar	SYCN
1.56287615718515e-298	1.30360620958051	0.445	0.115	7.39098342697924e-296	Acinar	CEL
4.75135328647573e-287	1.01316003269981	0.632	0.292	2.14926433010841e-284	Acinar	AMY2A
1.21485538166985e-268	-1.12125126233137	0.471	0.712	5.2663980795388e-266	Acinar	TMSB10
4.92346783655824e-255	-1.30022555270615	0.182	0.476	2.04895037486208e-252	Acinar	S100A11
1.32160327049388e-233	0.872111411019777	0.616	0.306	5.28844631777627e-231	Acinar	AMY2B
7.04561558062865e-208	-0.855445790813826	0.418	0.646	2.71491053706891e-205	Acinar	MYL6
3.52226474880434e-190	-1.41872498906639	0.092	0.325	1.30877294452001e-187	Acinar	ANXA2
1.34292600743959e-178	-0.981750221601013	0.226	0.469	4.81786282117292e-176	Acinar	MYL12B
3.68815070800876e-170	-0.931640499777216	0.209	0.448	1.27905066553744e-167	Acinar	MYL12A
1.34901412994234e-169	-0.333792705671289	0.956	0.977	4.52746548642584e-167	Acinar	RPS27
4.05543069943903e-164	-1.02105599923351	0.225	0.456	1.31852190615512e-161	Acinar	CALM2
3.7136891972208e-159	-1.51437025300794	0.065	0.261	1.17082492145107e-156	Acinar	S100A6
1.00950140211289e-147	-0.58483468096179	0.576	0.752	3.08907429046544e-145	Acinar	SOD2
9.70125752700643e-142	-0.617611162781581	0.506	0.677	2.88376809459928e-139	Acinar	IFITM3
5.03719242753566e-140	-0.792231302440794	0.586	0.725	1.45574861155781e-137	Acinar	FTL
4.21593469317043e-132	0.790258523564186	0.351	0.141	1.18547525804717e-129	Acinar	KLK1
5.9576348131231e-131	0.588655770861853	0.613	0.387	1.6311376998877e-128	Acinar	GATM
2.985033339947e-129	-1.28914496151779	0.07	0.243	7.96315047918169e-127	Acinar	S100A10
2.5631955915259e-128	-0.879284395487759	0.162	0.363	6.66687173355887e-126	Acinar	TM4SF1
1.15244764282306e-127	-0.919789006118876	0.133	0.326	2.92440616486124e-125	Acinar	CFL1
4.97668746060582e-126	0.672024295630058	0.405	0.183	1.23279657952721e-123	Acinar	SERPINI2
2.16183617987012e-124	-0.537887403987965	0.545	0.696	5.23063805008576e-122	Acinar	EIF1
2.85096417761506e-122	-0.836472924998671	0.196	0.392	6.74123438725161e-120	Acinar	GSTP1
1.55579423031148e-117	-0.930708175887332	0.125	0.306	3.51880068960014e-115	Acinar	CD59
7.68867987657642e-116	-0.70213539185891	0.281	0.473	1.70197926459364e-113	Acinar	CD63
2.95314053855301e-112	0.723947771398611	0.323	0.132	6.40093211731364e-110	Acinar	PNLIPRP2
4.03936228613473e-111	-0.312876886143042	0.888	0.925	8.57663780100934e-109	Acinar	RPL31
4.50737268244274e-104	-0.35938784437395	0.801	0.862	9.37894107762686e-102	Acinar	RPS19
1.38473917462824e-102	-0.86447527393949	0.309	0.482	2.82486791624162e-100	Acinar	HSPB1
6.62100747540513e-98	-0.974545659925896	0.043	0.173	1.32471080334837e-95	Acinar	NNMT
8.56759815295567e-97	-0.288201095085883	0.886	0.92	1.68183568270473e-94	Acinar	RPS27A
7.89001268647871e-96	-0.676006385379811	0.241	0.415	1.52014244426156e-93	Acinar	TXN
1.1853547694995e-94	-0.326485120568919	0.784	0.855	2.24226018579506e-92	Acinar	RPL15
2.25669143001449e-94	-0.303026824810198	0.89	0.914	4.19261029247693e-92	Acinar	RPL10
6.56027915832175e-92	0.569133452620274	0.457	0.264	1.19742358531894e-89	Acinar	BTG2
7.51588664160875e-92	-0.788666192463731	0.27	0.433	1.34819456240168e-89	Acinar	ACTB
7.43247448632056e-91	-0.677893600491827	0.293	0.455	1.31063499246914e-88	Acinar	IL32
1.50099511136087e-87	-0.609201294949191	0.521	0.643	2.60272552309975e-85	Acinar	ACTG1
