p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.60545001714021	1	0.223	0	Acinar	CELA3A
0	4.31155698006041	0.993	0.13	0	Acinar	CLPS
0	4.24479150908297	1	0.191	0	Acinar	PRSS1
0	4.20406912235562	0.999	0.118	0	Acinar	CELA3B
0	4.20326771049826	1	0.22	0	Acinar	CTRB1
0	4.16548074269666	0.991	0.162	0	Acinar	CPA1
0	4.10172553638741	0.997	0.135	0	Acinar	PLA2G1B
0	3.98136191242676	1	0.295	0	Acinar	CTRB2
0	3.92312488484556	0.979	0.076	0	Acinar	CELA2A
0	3.67046639471547	0.999	0.506	0	Acinar	REG1A
0	3.6590095486376	0.96	0.223	0	Acinar	REG1B
0	3.50037799281141	0.985	0.122	0	Acinar	CPB1
0	3.34852005597584	0.989	0.064	0	Acinar	CTRC
0	3.2510522315284	0.967	0.041	0	Acinar	SYCN
0	3.24607929988374	0.991	0.065	0	Acinar	CPA2
0	3.15078587550873	0.965	0.057	0	Acinar	PNLIP
0	3.01204485185304	1	0.23	0	Acinar	SPINK1
0	2.93485929657312	0.982	0.039	0	Acinar	PNLIPRP1
0	2.83508570066066	0.972	0.134	0	Acinar	PRSS3
0	2.47049418702267	0.895	0.024	0	Acinar	GP2
0	2.45401016020549	0.689	0.027	0	Acinar	REG3G
0	2.35287051074387	0.962	0.035	0	Acinar	KLK1
0	2.30798630857499	0.994	0.214	0	Acinar	SERPINA3
0	2.23923849551492	0.929	0.016	0	Acinar	PNLIPRP2
0	2.14933987144266	0.377	0.01	0	Acinar	HAMP
0	2.02668494418972	0.995	0.212	0	Acinar	IL32
0	2.01398255561634	0.819	0.014	0	Acinar	CELA2B
0	1.87780942712612	0.903	0.058	0	Acinar	RNASE1
0	1.82591616984017	0.999	0.326	0	Acinar	CD44
0	1.6131664664004	0.967	0.358	0	Acinar	UGDH
0	1.60464651113071	0.524	0.036	0	Acinar	MT1G
0	1.57053264603176	0.824	0.011	0	Acinar	CTRL
0	1.51056297630383	0.844	0.06	0	Acinar	ANPEP
0	1.46423692755944	0.916	0.057	0	Acinar	MGST1
0	1.41488053565708	0.987	0.502	0	Acinar	SOD2
0	1.33341218897703	0.593	0.092	0	Acinar	G0S2
0	1.3193825861512	0.562	0.005	0	Acinar	AMY2A
0	1.28808483089785	1	0.951	0	Acinar	ACTG1
0	1.26711066624873	0.939	0.36	0	Acinar	SERPINB1
0	1.26005544613359	0.663	0.041	0	Acinar	ALDOB
0	1.25055813977236	0.797	0.221	0	Acinar	MT2A
0	1.24067111965881	0.844	0.234	0	Acinar	GDF15
0	1.20168822021791	0.645	0.009	0	Acinar	CEL
0	1.14721575171028	0.682	0.077	0	Acinar	AKR1C3
0	1.12182511811342	1	0.99	0	Acinar	RPL10
0	1.06851491113593	0.656	0.112	0	Acinar	OAF
0	1.0676017760585	0.534	0.029	0	Acinar	GSTA2
0	1.03271253439606	0.714	0.039	0	Acinar	PLTP
0	1.02649071022967	0.97	0.375	0	Acinar	CD24
0	0.999018035079455	0.486	0.034	0	Acinar	GSTA1
0	0.992728371000442	0.974	0.572	0	Acinar	GAS5
0	0.977534745818788	0.638	0.134	0	Acinar	PTGR1
0	0.956161975438991	0.671	0.104	0	Acinar	PDZK1IP1
0	0.942573745102306	0.761	0.098	0	Acinar	GATM
0	0.931903637475515	0.989	0.297	0	Acinar	IFITM3
0	0.92919952014464	0.745	0.156	0	Acinar	AGTRAP
0	0.916386291683953	0.794	0.149	0	Acinar	SLC25A37
0	0.908693614925671	0.489	0.048	0	Acinar	CA12
0	0.89910930786597	1	0.989	0	Acinar	FTH1
0	0.894594217685224	0.999	0.868	0	Acinar	EEF1B2
0	0.880754005672916	0.954	0.368	0	Acinar	KRT18
0	0.873517392775739	0.418	0.005	0	Acinar	AADAC
0	0.828791335685352	0.915	0.27	0	Acinar	ZFP36L1
0	0.809788508926196	0.999	0.901	0	Acinar	RPL29
0	0.78189328814976	0.637	0.015	0	Acinar	PDIA2
0	0.762506242865035	0.727	0.111	0	Acinar	NUPR1
0	0.735525336806929	1	0.993	0	Acinar	RPS2
0	0.735025326603489	1	0.972	0	Acinar	RPL18A
0	0.717252651459602	1	0.96	0	Acinar	RPS5
0	0.716195124065327	0.435	0.019	0	Acinar	CXCL17
0	0.711289026827691	0.54	0.038	0	Acinar	PCDHB4
0	0.709071490653504	0.328	0.015	0	Acinar	CPA4
0	0.698889753472697	0.634	0.075	0	Acinar	DEFB1
0	0.683315647701933	0.791	0.192	0	Acinar	SDC4
0	0.681088480127065	1	1	0	Acinar	EEF1A1
0	0.673920414829786	0.578	0.024	0	Acinar	AZGP1
0	0.670921936807391	1	0.988	0	Acinar	RPS12
0	0.664298640375625	0.999	0.952	0	Acinar	RPL35
0	0.656653702442629	0.719	0.154	0	Acinar	BAIAP2L1
0	0.641356374724622	1	0.982	0	Acinar	RPLP0
0	0.634704719044432	0.999	0.967	0	Acinar	RPSA
0	0.623365747946689	0.404	0.026	0	Acinar	ALB
0	0.58747010650478	0.659	0.125	0	Acinar	CASP4
0	0.587083052916342	0.518	0.011	0	Acinar	SLC39A5
0	0.566903876103134	0.484	0.029	0	Acinar	BCAT1
0	0.566682243681679	0.501	0.065	0	Acinar	TRIB2
0	0.544297254750451	0.593	0.089	0	Acinar	TC2N
0	0.541581686628422	0.554	0.037	0	Acinar	RARRES2
0	0.525968985045226	0.523	0.075	0	Acinar	TNFAIP8
0	0.525826486420915	0.661	0.114	0	Acinar	MUC1
0	0.483080389193459	0.441	0.036	0	Acinar	CPM
0	0.473551248629913	0.436	0.017	0	Acinar	SLC38A5
0	0.443034899107617	0.37	0.021	0	Acinar	AKR7A3
0	0.439426402211444	0.466	0.035	0	Acinar	DPEP1
0	0.424910781388994	0.462	0.055	0	Acinar	TEAD4
0	0.400853519477499	0.434	0.048	0	Acinar	C19orf48
0	0.385564838489826	0.413	0.036	0	Acinar	FAM129A
0	0.301133447481068	0.251	0.002	0	Acinar	SERPINI2
0	0.257300594073867	0.254	0.006	0	Acinar	TMEM52
0	-1.30357424065233	0.838	0.942	0	Acinar	PSAP
0	-1.98642477931482	0.547	0.859	0	Acinar	CD99
0	-2.02946923778663	0.677	0.967	0	Acinar	HLA-A
0	-2.42984933422289	0.919	0.984	0	Acinar	GNAS
0	-2.71480843470754	0.117	0.773	0	Acinar	SCG5
0	-3.08818408121935	0.112	0.813	0	Acinar	CPE
0	-3.12081310699472	0.084	0.79	0	Acinar	PCSK1N
7.24556542455175e-306	1.077908535219	0.9	0.297	7.04512735299406e-304	Acinar	TM4SF1
4.37723371760082e-304	0.572023381252785	0.661	0.134	4.21673514795545e-302	Acinar	KRTCAP3
4.78351025151396e-304	0.481907530804845	0.268	0.013	4.5658385923625e-302	Acinar	CXCL12
1.176614802527e-303	0.325101753950565	0.334	0.026	1.11286367322644e-301	Acinar	SLC43A1
5.12423884887427e-303	0.872330653854624	0.97	0.567	4.80293522375567e-301	Acinar	EEF1D
1.88764360379037e-300	-1.17099225128588	0.74	0.912	1.75348607623527e-298	Acinar	COX8A
2.04022906990832e-299	-1.75374258100337	0.241	0.826	1.87845515427666e-297	Acinar	TUBA1A
4.24968930211612e-299	-3.00012720668488	0.146	0.764	3.87840065782598e-297	Acinar	CHGA
1.9892534595912e-295	-2.89221251943252	0.056	0.73	1.79966895596407e-293	Acinar	CHGB
1.25350143801628e-294	-4.41500434091919	0.292	0.802	1.12426111733805e-292	Acinar	TTR
1.29803322507032e-294	-1.38965380464068	0.608	0.874	1.15425108321638e-292	Acinar	ITM2B
8.25582831029847e-290	0.511172861738722	1	0.994	7.27912184240214e-288	Acinar	RPL13
1.52744066321272e-289	0.52117845950885	0.767	0.171	1.33541955126597e-287	Acinar	CDC42EP1
5.60404512840657e-287	0.566768999237769	1	0.985	4.8587071263285e-285	Acinar	RPS18
1.51699114525157e-284	0.384859050356094	0.398	0.045	1.30436164257829e-282	Acinar	ADGRE5
1.24054669493682e-280	-2.24755988301834	0.032	0.701	1.05792195197727e-278	Acinar	PTPRN
4.4799581757715e-279	-2.57524873271032	0.063	0.71	3.78938901306721e-277	Acinar	SCG2
3.71512505403781e-278	0.602434520789366	1	0.954	3.1171097630814e-276	Acinar	RPL35A
4.08626537658305e-277	0.988238760741712	0.667	0.161	3.4010803982376e-275	Acinar	MT1E
5.08853090670633e-277	0.546975488883684	0.54	0.097	4.20167266296609e-275	Acinar	FBXO2
8.63724881226985e-277	0.849897149868036	0.995	0.837	7.07574304274453e-275	Acinar	RPL12
1.08249959385274e-275	0.415524327973458	0.333	0.03	8.79869201128428e-274	Acinar	MT1L
1.71827233376054e-275	0.408472685567827	0.304	0.024	1.38580661708873e-273	Acinar	AMY2B
3.41724171486521e-274	0.57046862060009	0.999	0.97	2.73484483088136e-272	Acinar	RPL14
2.70609663586608e-268	0.367693393718345	0.224	0.009	2.1491778167596e-266	Acinar	CYP27B1
5.55715236128781e-266	-1.73787902382233	0.269	0.823	4.38004645203321e-264	Acinar	TIMP1
1.47715412590023e-265	-2.12762346855089	0.118	0.712	1.15551214480196e-263	Acinar	SCGN
2.42898701790579e-263	0.658003296234669	0.753	0.208	1.88590902494715e-261	Acinar	GALNT2
6.84112138518275e-258	0.528998489909028	0.618	0.135	5.27222421418084e-256	Acinar	HOMER2
4.33687222880639e-256	0.470705975485167	1	0.995	3.31770725503689e-254	Acinar	RPL13A
5.75313617869554e-256	0.490245789203709	1	0.992	4.36902400022981e-254	Acinar	RPL8
2.27583508052919e-255	-1.49993484531107	0.18	0.725	1.71578175201636e-253	Acinar	MXRA7
7.20384290911777e-255	0.522280499275197	0.767	0.207	5.39199867816268e-253	Acinar	LDHB
7.99244222770787e-255	0.68150579808322	0.635	0.141	5.93952635264805e-253	Acinar	LAMB3
1.23776800063447e-253	-1.38447191584698	0.295	0.76	9.13314771531986e-252	Acinar	SNRPN
3.32514024322743e-253	1.0308820760905	0.572	0.132	2.43625064017874e-251	Acinar	F3
1.50557802622821e-249	0.581907089516103	0.999	0.951	1.09538697796352e-247	Acinar	RPL36
1.93673860711123e-249	0.273891670118343	0.283	0.023	1.39929364363786e-247	Acinar	B3GNT3
1.1246301073222e-246	0.710381166914054	0.831	0.302	8.06941492177944e-245	Acinar	PABPC4
7.95842493732751e-246	0.746456697713825	0.88	0.372	5.67119541424352e-244	Acinar	IMPDH2
1.17783190781893e-243	0.317436907536139	0.366	0.046	8.33616542105313e-242	Acinar	TPRN
3.40583821929578e-243	0.518527820481449	1	0.98	2.39421221848333e-241	Acinar	RPS6
2.18227947426075e-242	0.531290179184402	1	0.981	1.52378762753079e-240	Acinar	RPS9
3.27524667772273e-240	0.569418208129916	1	0.948	2.27171109566848e-238	Acinar	RPL36A
1.42537349631292e-238	0.435036809766181	1	0.994	9.82091778519177e-237	Acinar	RPL7A
2.7985789675446e-238	0.427175548818952	0.625	0.135	1.91555365646934e-236	Acinar	PRSS8
7.31669551953187e-238	0.808987199104297	0.961	0.579	4.97535295328167e-236	Acinar	TKT
1.43961496742503e-237	-1.84869429899594	0.314	0.743	9.72581436434413e-236	Acinar	PAM
4.59584674873215e-236	0.474960672633511	0.525	0.104	3.08485094024576e-234	Acinar	SORD
9.24553256877886e-234	0.56087250706962	0.719	0.202	6.16605902856252e-232	Acinar	EFHD2
1.86982395046088e-233	-1.45099989997823	0.318	0.744	1.23908588411433e-231	Acinar	IDS
2.41676490602165e-232	-2.15415808947541	0.027	0.629	1.591393802674e-230	Acinar	PCSK2
3.41686000460669e-232	0.455568159993799	0.555	0.116	2.2357868860332e-230	Acinar	MTHFD2
3.6834936356844e-231	-1.08380242857928	0.592	0.834	2.39519173660378e-229	Acinar	MORF4L1
5.33072157567575e-230	0.856584758712441	0.955	0.514	3.44477188033109e-228	Acinar	KRT8
6.69570011552875e-230	0.338363683630239	0.38	0.053	4.30012740752846e-228	Acinar	GJB1
1.1708270501298e-229	0.939868746409864	0.998	0.816	7.47318075432543e-228	Acinar	TMSB4X
4.37520718170214e-225	0.302139014870635	0.224	0.014	2.77558875112372e-223	Acinar	ANXA10
8.17394786695513e-225	0.403548925913956	0.462	0.084	5.12299720528923e-223	Acinar	PAIP2B
1.37430128784758e-224	0.30196417562392	0.317	0.036	8.56181472980015e-223	Acinar	TMEM97
1.92957314373471e-224	0.312881526810612	0.374	0.053	1.19495708258428e-222	Acinar	RAMP1
1.06230818496272e-223	0.44604067811016	1	0.983	6.53979547713142e-222	Acinar	RPS14
5.14181404989291e-223	0.504188307417382	0.659	0.172	3.14679019853446e-221	Acinar	NOB1
6.18424711454792e-222	0.491617131411888	1	0.966	3.76262613916705e-220	Acinar	RPL32
7.18136004115789e-221	0.424858511945428	0.289	0.03	4.31877860509865e-219	Acinar	GAL
1.07068005793306e-219	0.503118843078623	0.999	0.98	6.40192834639975e-218	Acinar	RPS19
3.74350365263256e-218	-1.32406583725173	0.362	0.744	2.22556640011367e-216	Acinar	EMC10
6.88590566169764e-217	0.851983059230762	0.854	0.354	4.07050923319899e-215	Acinar	CEBPD
3.46556483761798e-214	1.10775252346505	0.428	0.081	2.03704726387443e-212	Acinar	AKR1C2
6.65997830139029e-213	-2.10590961031319	0.053	0.613	3.89271990155419e-211	Acinar	PPP1R1A
1.17921413982812e-212	-3.96337297047761	0.842	0.927	6.85393514568256e-211	Acinar	INS
2.07092919263157e-212	-1.05581356198747	0.849	0.89	1.19699707334105e-210	Acinar	CST3
7.91976791369156e-209	0.331541187153441	0.526	0.109	4.55233510353851e-207	Acinar	LAD1
4.33062085959714e-207	-1.1057939888362	0.6	0.849	2.47559227600267e-205	Acinar	PKM
2.71383841632694e-206	0.425356889115944	1	0.991	1.54288387341341e-204	Acinar	RPS8
5.97301578953747e-206	-1.88948873611637	0.311	0.701	3.37735088447542e-204	Acinar	PEMT
6.92643748732185e-206	-1.43043927732954	0.074	0.619	3.89527868205927e-204	Acinar	CRIP2
7.70586242473321e-205	-1.17463006134057	0.382	0.74	4.28726163994248e-203	Acinar	VAMP2
1.19889984302871e-204	-1.29009364947217	0.435	0.757	6.63476274833547e-203	Acinar	PLD3
5.04878540318616e-204	0.349075087286426	0.316	0.041	2.77923615527771e-202	Acinar	SLC7A11
7.50192830954367e-203	-1.84162081106931	0.073	0.609	4.10789800697328e-201	Acinar	UCHL1
2.88296863289415e-202	-1.88290737979093	0.034	0.587	1.57038773071365e-200	Acinar	FXYD2
6.77339412466872e-202	0.276724394971994	0.326	0.044	3.65131567217893e-200	Acinar	TPST2
1.60779704550163e-201	-1.62796428417316	0.024	0.577	8.62243322752523e-200	Acinar	PAX6
1.08536761716172e-200	0.30022423075602	0.285	0.033	5.79085368664129e-199	Acinar	LRG1
4.69775928226306e-200	0.653209862360091	0.93	0.444	2.49364732513596e-198	Acinar	TUBA1C
7.0716475844363e-200	0.297146916352649	0.343	0.05	3.73469144510027e-198	Acinar	NR5A2
1.9138442091566e-199	-1.10980384208374	0.487	0.768	1.0056381389932e-197	Acinar	TMEM59
6.17495956940166e-199	-2.09733742749164	0.207	0.66	3.22835574673643e-197	Acinar	GPX3
1.75244684979295e-198	0.301920855568353	0.328	0.046	9.11622851262295e-197	Acinar	GPT2
5.90821596458868e-198	0.842158136025352	0.752	0.281	3.05816312913337e-196	Acinar	GLUL
6.56105883503423e-196	0.287073506253106	0.287	0.034	3.37927010493545e-194	Acinar	RASEF
1.65450082925771e-195	-1.24026017072749	0.058	0.595	8.47952050620551e-194	Acinar	CAMK2N1
3.85620063476931e-194	-1.03498761948963	0.591	0.807	1.96666232373235e-192	Acinar	AES
5.4147438183228e-194	0.321072523535904	0.391	0.068	2.74804852126002e-192	Acinar	RCC1
1.38307559000834e-192	-1.09666176313383	0.669	0.836	6.98520312545958e-191	Acinar	CYSTM1
