p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
3.86307905332636e-182	1.00976539396424	0.875	0.014	4.01914744708074e-178	Acinar	KLK1
5.96873392859499e-170	0.319397440101438	0.777	0.006	3.10493538965512e-166	Acinar	EGF
6.96350552231048e-165	1.38958172109097	1	0.06	2.41494371513728e-161	Acinar	DPEP1
1.01981195842367e-159	1.38377679927261	0.991	0.063	2.65253090385995e-156	Acinar	BCAT1
2.50174787671138e-154	1.13918876192384	0.795	0.019	5.20563698186103e-151	Acinar	SYCN
3.31467029813478e-148	0.813049865175033	0.821	0.03	5.74763829696571e-145	Acinar	SLC39A5
2.62053176223473e-146	0.417961355870632	0.705	0.009	3.89485892204145e-143	Acinar	CELA2B
1.580038240645e-144	0.530361814590939	0.705	0.01	2.05483973195882e-141	Acinar	KLK11
8.29505608284152e-143	1.84775679307521	0.955	0.074	9.5890848317648e-140	Acinar	CXCL17
1.51805051416084e-135	1.70528574830843	1	0.108	1.57937975493294e-132	Acinar	GSTA2
6.33968416045181e-135	0.269502643372066	0.643	0.007	5.99618854594006e-132	Acinar	PTF1A
2.43111356776924e-134	1.46905164708991	0.866	0.056	2.10777546325593e-131	Acinar	PDIA2
2.35313154130308e-133	0.72379617273975	0.83	0.045	1.88322927351671e-130	Acinar	GATA4
3.69929878139599e-132	0.897689399643519	0.902	0.065	2.74910746583171e-129	Acinar	FAM129A
2.31949347063801e-129	0.641736670773868	0.705	0.021	1.60880067123453e-126	Acinar	SLC38A5
3.83925000651058e-129	1.59385397548791	0.991	0.109	2.4964723167335e-126	Acinar	MGST1
1.17523469174699e-126	0.435853054129788	0.768	0.034	7.19243631349158e-124	Acinar	HHLA2
5.41854555304095e-123	0.69360935496624	0.884	0.068	3.13191932965767e-120	Acinar	AZGP1
1.81938887513246e-121	0.727192841611731	0.688	0.024	9.96259045098849e-119	Acinar	SERPINI2
1.14251427825222e-119	2.0235178606495	0.991	0.13	5.94335927546803e-117	Acinar	ALDOB
4.99562334852274e-118	0.711387679402522	0.795	0.048	2.36247569627412e-115	Acinar	PLTP
1.99909767200617e-117	0.697912115098438	0.741	0.039	9.04287486067487e-115	Acinar	CTRL
3.35534020179214e-116	1.77227170679562	0.964	0.126	1.45453997747689e-113	Acinar	LGALS2
1.21905280150687e-115	0.782840353710363	0.875	0.07	5.073210138751e-113	Acinar	MYC
1.70535799179801e-115	2.35045270381037	0.982	0.146	6.82405559487172e-113	Acinar	RARRES2
1.13147624878292e-113	2.91342082148695	0.893	0.1	4.35995514531018e-111	Acinar	CELA2A
2.35108759099199e-111	0.553376980041371	0.938	0.102	8.73596974881454e-109	Acinar	MECOM
6.50653903896693e-111	0.271211791014264	0.83	0.062	2.33427697108317e-108	Acinar	C6orf132
1.18010544321172e-110	2.87274319988007	0.902	0.104	4.09260567705825e-108	Acinar	REG3G
