p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.01194829385523	0.638	0.076	0	B	VPREB3
0	1.59673621585878	0.412	0.053	0	B	CD79B
0	1.11174661658451	0.981	0.656	0	B	CD74
1.23487976823887e-271	1.01164100010696	0.918	0.455	3.38110080543803e-268	B	HLA-DRA
1.63588638646961e-216	1.21969812729198	0.225	0.018	3.58324554092304e-213	B	CD24
1.61292889005565e-204	2.0748447441824	0.577	0.206	2.94413286731491e-201	B	IGKC
2.17150965759932e-180	0.838486993166372	0.646	0.231	3.39748196714681e-177	B	HLA-DRB1
1.0942049798553e-172	0.89483208854154	0.541	0.166	1.4979666174219e-169	B	HLA-DPB1
5.23494189191051e-158	1.06417153129578	0.186	0.018	6.37034262224488e-155	B	RUBCNL
1.48797638708185e-157	0.80552364944562	0.555	0.179	1.62963173913204e-154	B	HLA-DPA1
5.99117674467445e-155	1.67137004486237	0.192	0.021	5.96503342797041e-152	B	IGLL1
1.2439807722075e-139	1.18178167628738	0.14	0.01	1.13533978476804e-136	B	VPREB1
1.00845499412741e-133	0.941544187609807	0.143	0.012	8.49584545821803e-131	B	CD1C
5.19641626970678e-111	0.991069944743662	0.188	0.03	4.06508221327348e-108	B	SMIM14
2.18467421386186e-96	0.855415753028309	0.599	0.318	1.49540949938844e-93	B	CD37
5.20596459611448e-96	0.802971002632074	0.319	0.093	3.35386613274387e-93	B	HLA-DQB1
1.46436328153802e-94	0.938206904639489	0.238	0.057	8.90983703300245e-92	B	HLA-DQA1
8.46322429402773e-82	-0.761992289231744	0.448	0.704	4.87838065622061e-79	B	SRGN
8.26991580666257e-74	0.697520762683135	0.285	0.091	4.52860589572842e-71	B	HLA-DRB6
5.65803742348912e-71	0.802689786598123	0.196	0.05	2.95080123152633e-68	B	PDLIM1
9.26726400283056e-71	0.702793509789246	0.101	0.013	4.6134125163182e-68	B	CMTM8
1.58713101433147e-64	0.805412508904656	0.381	0.171	7.24260786206594e-62	B	CD83
