p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.60259552008137	0.562	0.013	0	B	LTB
0	2.54110271610669	0.753	0.003	0	B	CD79A
0	2.16995685631518	0.493	0.001	0	B	MS4A1
0	2.15526329567016	0.452	0.003	0	B	MZB1
0	1.88295284870489	0.301	0.001	0	B	TCL1A
0	1.81235399589226	0.466	0.002	0	B	IGHM
0	1.43180780543972	0.315	0	0	B	IGHD
0	1.20983784197576	0.315	0.001	0	B	VPREB3
0	1.15970915561102	0.233	0.001	0	B	FCER2
0	1.01236965691263	0.26	0.001	0	B	TNFRSF13C
0	0.852524166486665	0.233	0	0	B	FCRLA
0	0.814592632294504	0.205	0.001	0	B	KIAA0125
0	0.747951079844323	0.247	0.001	0	B	POU2AF1
0	0.684563821030391	0.219	0	0	B	FCRL5
0	0.678183767040938	0.164	0.001	0	B	RP5-887A10.1
0	0.650638108188573	0.247	0.001	0	B	JSRP1
0	0.59674159615596	0.164	0	0	B	BLK
0	0.508308859741121	0.178	0	0	B	TNFRSF13B
0	0.39990283566264	0.137	0	0	B	TNFRSF17
0	0.369599634070733	0.123	0	0	B	IGLV3-1
8.4268800734248e-305	0.80190009272118	0.26	0.002	7.57175238597393e-302	B	HLA-DOB
6.74138601732093e-294	0.810057637464638	0.164	0.001	5.7819642164013e-291	B	FAM129C
4.53847485977738e-252	2.05071023916435	0.11	0	3.72332530996258e-249	B	IGLL5
1.35182894826912e-224	2.14322036624927	0.74	0.035	1.06281918437042e-221	B	CXCR4
1.16919737938264e-215	0.75779283018803	0.164	0.001	8.82463414062841e-213	B	RP11-693J15.5
2.41966096133331e-214	1.3520075911441	0.37	0.008	1.75602241074609e-211	B	PLAC8
1.38956218775326e-212	0.610645940668649	0.151	0.001	9.71098108174674e-210	B	CD22
4.90450249329433e-204	0.694813569270349	0.137	0.001	3.30510919807038e-201	B	BTLA
4.81744207262589e-203	0.529748482347884	0.164	0.001	3.13449360235786e-200	B	TMEM156
2.5204391242468e-162	0.82714492207716	0.164	0.002	1.53413438178751e-159	B	SPIB
6.42515658883779e-162	0.613907905609744	0.164	0.002	3.78863373983688e-159	B	P2RY10
6.89940764820361e-150	0.627878276590502	0.178	0.003	3.71956922611297e-147	B	BCL11A
9.35160926059439e-149	2.29511446078378	0.616	0.037	4.90154208717099e-146	B	CD37
3.04696135647585e-138	0.966905626499821	0.397	0.016	1.43732784588357e-135	B	IL2RG
1.69668781768709e-137	1.04339976560607	0.247	0.006	7.8084883980336e-135	B	GAPT
2.17186957120623e-130	0.930152718677973	0.151	0.002	9.75738260454532e-128	B	CCR7
5.72164198899756e-126	0.45717821548452	0.233	0.006	2.51073634163709e-123	B	CD27
3.28730247383537e-120	1.9913309142034	0.507	0.031	1.37840245286221e-117	B	CD79B
2.65538615371181e-116	0.90734123232608	0.26	0.008	1.0892278550954e-113	B	DERL3
1.78727279095605e-112	4.28340241585677	0.247	0.007	7.17532984947864e-110	B	IGLC3
8.42795923431133e-104	1.11850639550646	0.233	0.007	3.18054325584441e-101	B	LINC00926
6.74579961278465e-100	0.549217885099984	0.151	0.003	2.49581358614968e-97	B	SP140
1.66799019858375e-97	0.672100422708182	0.164	0.004	6.05255904943783e-95	B	CD180
1.70366605170328e-94	1.15991825971423	0.37	0.021	5.95305087584984e-92	B	PIM2
6.13769007708627e-93	1.52316184051121	0.178	0.005	2.10567407390074e-90	B	DNAAF1
1.0005065850656e-91	0.585144173780637	0.205	0.006	3.3711712060005e-89	B	RHOH
1.53282023593378e-89	2.76723854384849	0.685	0.079	5.07417281260255e-87	B	CD52
4.50228311378605e-89	1.40561036501523	0.452	0.032	1.46471689782808e-86	B	NCF1
5.08725702530055e-87	0.318756506768981	0.123	0.002	1.59985754683993e-84	B	MEI1
2.62438930463236e-82	1.19411177348493	0.301	0.016	7.98703254663032e-80	B	BANK1
6.56170747810948e-82	5.27718730376726	0.479	0.04	1.96528346673727e-79	B	IGLC2
2.09567252564119e-81	0.884184432744386	0.205	0.007	6.17863201348807e-79	B	IRF8
1.64251087231716e-80	1.20745523303282	0.438	0.033	4.76808271534653e-78	B	EVI2B
7.6159291711439e-78	0.43191248657483	0.164	0.005	2.17734799288355e-75	B	HSH2D
3.63219767071161e-77	0.875376483895571	0.205	0.008	1.02292444550235e-74	B	TBC1D10C
2.29587275130071e-70	0.375897406791493	0.123	0.003	6.18868899204188e-68	B	P2RX5
1.7224153030441e-60	1.2618602809007	0.301	0.021	4.45208963741632e-58	B	SELL
5.1440158866757e-59	1.434017680843	0.425	0.043	1.3116545373741e-56	B	LIMD2
9.31738592897865e-56	6.14502523788107	0.658	0.121	2.34413006791864e-53	B	IGKC
4.36316099153973e-52	0.802994565481852	0.288	0.022	1.08326953617583e-49	B	CD48
3.83016336328972e-50	0.519818598576251	0.233	0.015	9.26555801306586e-48	B	CYTIP
1.19188104481245e-48	0.705481927826807	0.205	0.012	2.84678524488178e-46	B	POU2F2
2.44049723255668e-47	0.746859799976262	0.205	0.012	5.68515336803851e-45	B	ADAM28
5.88280711957315e-47	1.01697114630929	0.26	0.02	1.35369131145397e-44	B	RCSD1
7.33071592976712e-46	0.942404669936898	0.342	0.035	1.66654552865995e-43	B	UCP2
4.85768303432722e-43	3.77324410573166	0.205	0.014	1.09118596636572e-40	B	IGHG2
6.67226223268172e-42	1.422367181504	0.466	0.071	1.4811637184526e-39	B	CORO1A
4.10749200783336e-41	1.10390192652844	0.397	0.053	8.80730303361451e-39	B	RAC2
5.97683194133047e-41	0.877655980722503	0.329	0.035	1.26715552697713e-38	B	RP11-347P5.1
7.87882139097085e-41	-1.78468450848677	0.548	0.971	1.65183867584699e-38	B	IFITM3
7.99446976514189e-41	0.431460902855334	0.192	0.013	1.65766648349959e-38	B	CD38
1.49150725466853e-40	1.14222286769035	0.493	0.078	3.0590489552544e-38	B	HLA-DQA1
3.14077234502684e-40	-1.84862666128457	0.918	0.995	6.37239068583994e-38	B	S100A6
2.84536342230158e-39	1.20229379097792	0.384	0.05	5.71161302291579e-37	B	PTPRC
4.55022021727493e-38	0.361896356633497	0.151	0.008	8.76103115099599e-36	B	SYTL1
5.13014948117659e-38	0.560082687686367	0.137	0.007	9.6800790560321e-36	B	BTK
3.01034115693291e-37	0.640459548912614	0.151	0.009	5.62397299902644e-35	B	CD72
6.43372117061068e-37	0.984081169359178	0.301	0.033	1.19017534086522e-34	B	RNASE6
8.42379314437243e-37	1.8595206744096	1	0.601	1.54318983340935e-34	B	CD74
3.70760919999826e-36	1.2009235012949	0.37	0.051	6.72681519180453e-34	B	MARCH1
1.24729173819127e-33	-1.67687175639037	0.548	0.968	2.24144264837439e-31	B	CST3
2.54040302489926e-33	-2.25639635323628	0.822	0.988	4.52215704498341e-31	B	TIMP1
2.22120241741689e-32	0.907207955306348	0.288	0.034	3.91699704805974e-30	B	CD53
2.17219975982976e-31	-2.03236231077011	0.123	0.834	3.72611247892979e-29	B	CALD1
2.62423444930692e-31	-1.84572210397999	0.329	0.887	4.46096214630381e-29	B	ANXA2
3.18803568563165e-31	-1.75178461978525	0.63	0.926	5.37098619215925e-29	B	S100A10
1.54024522047783e-30	-1.39979340633358	0.562	0.936	2.54937605835053e-28	B	GAPDH
4.02021155813377e-30	0.451116334522311	0.137	0.009	6.53942861124364e-28	B	BATF
7.05152905697757e-30	1.24480984903793	0.644	0.172	1.13722480150521e-27	B	HLA-DPA1
7.86954542019888e-30	0.47399906324275	0.233	0.024	1.25839366554011e-27	B	PRDM1
1.03467742729386e-29	0.430425995138747	0.137	0.009	1.64061582988301e-27	B	CCDC88C
1.34223497789281e-29	0.261628807448403	0.164	0.013	2.11055264982162e-27	B	SDC1
2.16922476844249e-29	0.618482580517703	0.137	0.009	3.35500837342142e-27	B	TRAF3IP3
2.89190693456223e-29	0.819430329440483	0.301	0.042	4.43637332912639e-27	B	GNG7
5.99616163009724e-29	-2.40805529562228	0.137	0.806	9.12432046760523e-27	B	CCDC80
8.58150928689831e-29	-1.37045180404506	0.493	0.941	1.29539598987587e-26	B	VIM
