p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.74301483561634	0.864	0.397	0	Antigen-presenting	APOC1
0	3.33654164842704	0.951	0.156	0	Antigen-presenting	CD74
0	3.31930851209713	0.932	0.05	0	Antigen-presenting	HLA-DRA
0	2.7287058049846	0.796	0.084	0	Antigen-presenting	LYZ
0	2.64786656274412	0.909	0.053	0	Antigen-presenting	HLA-DPB1
0	2.62449283897533	0.897	0.033	0	Antigen-presenting	HLA-DRB1
0	2.56758883615532	0.891	0.028	0	Antigen-presenting	HLA-DPA1
0	2.14933888005446	0.725	0.008	0	Antigen-presenting	HLA-DRB5
0	2.12220521120428	0.746	0.023	0	Antigen-presenting	CD52
0	1.89006504817219	0.621	0.016	0	Antigen-presenting	MSR1
0	1.83310722419343	0.596	0.047	0	Antigen-presenting	S100A8
0	1.80710902275867	0.784	0.224	0	Antigen-presenting	CD9
0	1.78004921645211	0.826	0.205	0	Antigen-presenting	CAPG
0	1.74792007254587	0.738	0.188	0	Antigen-presenting	GCHFR
0	1.62546597671986	0.721	0.013	0	Antigen-presenting	HLA-DQB1
0	1.53628691833397	0.365	0.018	0	Antigen-presenting	CCL20
0	1.46293722674019	0.704	0.057	0	Antigen-presenting	HLA-DMA
0	1.43894676570849	0.943	0.453	0	Antigen-presenting	TYROBP
0	1.40191252604558	0.736	0.052	0	Antigen-presenting	LSP1
0	1.38913661667374	0.643	0.115	0	Antigen-presenting	ACP5
0	1.38153393691322	0.935	0.347	0	Antigen-presenting	LAPTM5
0	1.35685650237375	0.616	0.004	0	Antigen-presenting	HLA-DQA1
0	1.34869142852139	0.498	0.008	0	Antigen-presenting	HAMP
0	1.34697666447209	0.97	0.644	0	Antigen-presenting	HLA-B
0	1.29789387967479	0.765	0.216	0	Antigen-presenting	TREM2
0	1.28903098867603	0.776	0.202	0	Antigen-presenting	GPNMB
0	1.26027389386257	0.597	0.103	0	Antigen-presenting	RGS1
0	1.25886756299412	0.566	0.016	0	Antigen-presenting	SDS
0	1.10540310923566	0.542	0.008	0	Antigen-presenting	MGST1
0	1.08486026720248	0.67	0.079	0	Antigen-presenting	IFI30
0	1.08145886854276	0.561	0.036	0	Antigen-presenting	HLA-DMB
0	1.07364586564234	0.258	0.007	0	Antigen-presenting	CHI3L1
