p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.41739456836318	0.65	0.054	0	Cytotrophoblast	PEG10
1.07582939563978e-261	1.75813013995818	0.391	0.025	6.12846215226198e-258	Cytotrophoblast	SPINT1
6.74480471499789e-243	2.475074739037	0.909	0.241	2.56145200393237e-239	Cytotrophoblast	PAGE4
5.24536463775264e-214	1.49734927602498	0.297	0.017	1.4940109829479e-210	Cytotrophoblast	FOXO4
4.28243207607299e-211	1.13578730655636	0.174	0.004	9.75794972853991e-208	Cytotrophoblast	SLC13A4
2.14426226721207e-207	1.40774629969945	0.205	0.007	4.07159666839119e-204	Cytotrophoblast	SLC22A11
6.13909379048345e-198	1.57988155724644	0.347	0.027	9.99181365071113e-195	Cytotrophoblast	ISYNA1
9.31137760581065e-182	1.3310442659281	0.215	0.009	1.32605656328751e-178	Cytotrophoblast	DUSP9
4.43718326380763e-160	1.19594156121232	0.155	0.005	5.61698099161781e-157	Cytotrophoblast	NFE2L3
4.14423787999944e-153	1.04184995683596	0.126	0.003	4.72153021668336e-150	Cytotrophoblast	LRP2
4.94066554109522e-144	1.58725415994862	0.278	0.024	5.11718204633617e-141	Cytotrophoblast	FBN2
1.50941171419193e-135	1.39611803528555	0.347	0.041	1.43306063831572e-132	Cytotrophoblast	SMAGP
1.34763668794559e-132	1.3783287839963	0.312	0.034	1.18104806044339e-129	Cytotrophoblast	MBNL3
5.78072184676092e-124	1.22857751067586	0.205	0.014	4.70426885715337e-121	Cytotrophoblast	KRT23
3.20000057667537e-121	1.31695138896496	0.237	0.02	2.43050710467083e-118	Cytotrophoblast	GSTA3
1.01066767507442e-117	1.86171326100503	0.599	0.15	7.19658551382681e-115	Cytotrophoblast	SLC40A1
2.33107470535718e-112	0.874843715882394	0.11	0.004	1.56223141871379e-109	Cytotrophoblast	SEMA6A
6.78084206187928e-110	1.09264720472093	0.164	0.01	4.2918963117217e-107	Cytotrophoblast	SLC26A2
8.13600486442724e-109	1.74389217041035	0.552	0.143	4.87860544317998e-106	Cytotrophoblast	EFEMP1
2.40722422542543e-102	1.21095261257765	0.246	0.027	1.37127528001359e-99	Cytotrophoblast	MLLT1
1.06139625313075e-101	1.17931608102457	0.252	0.028	5.75832738662795e-99	Cytotrophoblast	PDLIM1
1.16144157235338e-101	1.90368543960019	0.246	0.027	6.0146835608282e-99	Cytotrophoblast	CYP19A1
1.75791491960672e-98	1.44236464222743	0.782	0.351	8.70779333873017e-96	Cytotrophoblast	XAGE3
