p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.59694241199882	0.982	0.208	0	Cytotrophoblast	PAGE4
0	2.44972354850289	0.965	0.224	0	Cytotrophoblast	XAGE3
0	2.21965881681924	0.816	0.068	0	Cytotrophoblast	SMAGP
0	2.17788094280672	0.835	0.096	0	Cytotrophoblast	PEG10
0	1.90545803866972	0.794	0.09	0	Cytotrophoblast	ADIRF
0	1.80904774419394	0.876	0.2	0	Cytotrophoblast	VGLL1
0	1.64177359973513	0.719	0.051	0	Cytotrophoblast	CDO1
0	1.62078026552279	0.778	0.09	0	Cytotrophoblast	FXYD3
0	1.58514322140598	0.652	0.074	0	Cytotrophoblast	ISYNA1
0	1.57031439523323	0.964	0.505	0	Cytotrophoblast	LDHB
0	1.50544020156538	0.862	0.293	0	Cytotrophoblast	SMS
0	1.40931054964544	0.787	0.343	0	Cytotrophoblast	EFEMP1
0	1.30175602693148	0.749	0.259	0	Cytotrophoblast	CLDN4
0	1.29985809601702	0.619	0.087	0	Cytotrophoblast	MPP1
0	1.29331535548064	0.963	0.657	0	Cytotrophoblast	MGST3
0	1.27353319622506	0.886	0.46	0	Cytotrophoblast	SLC25A5
0	1.24517013279298	0.511	0.099	0	Cytotrophoblast	GGH
0	1.23424279498989	0.572	0.082	0	Cytotrophoblast	DNMT1
0	1.2234255180826	0.607	0.165	0	Cytotrophoblast	FOLR1
0	1.22118369656829	0.477	0.037	0	Cytotrophoblast	FAM3B
0	1.19474671359972	0.675	0.185	0	Cytotrophoblast	ANXA3
0	1.19360921668255	0.821	0.314	0	Cytotrophoblast	CCNDBP1
0	1.1692144602466	0.473	0.082	0	Cytotrophoblast	SPINT1
0	1.15385393707814	0.653	0.168	0	Cytotrophoblast	TKT
0	1.15033836962673	0.56	0.093	0	Cytotrophoblast	ALDH7A1
0	1.1450134686282	0.782	0.191	0	Cytotrophoblast	KRT23
0	1.13009283363277	0.553	0.071	0	Cytotrophoblast	CSF3R
0	1.11734967021792	0.796	0.344	0	Cytotrophoblast	SPINT2
0	1.11601957347799	0.831	0.404	0	Cytotrophoblast	PRDX2
0	1.11352411189969	0.543	0.031	0	Cytotrophoblast	SLC22A11
0	1.10870883125368	0.744	0.268	0	Cytotrophoblast	ETFA
0	1.09411259995154	0.533	0.134	0	Cytotrophoblast	EGFR
0	1.09172975113225	0.498	0.067	0	Cytotrophoblast	F5
0	1.09032348329949	0.797	0.461	0	Cytotrophoblast	IFI6
0	1.08822283837757	0.646	0.217	0	Cytotrophoblast	CYSTM1
0	1.08215175209305	0.524	0.062	0	Cytotrophoblast	PMAIP1
0	1.05082344212919	0.474	0.104	0	Cytotrophoblast	FBN2
0	1.02633032217465	0.861	0.498	0	Cytotrophoblast	ECH1
0	1.02620388201849	0.563	0.154	0	Cytotrophoblast	GGCT
0	1.02350363234166	0.706	0.255	0	Cytotrophoblast	RBBP7
0	1.02254290516265	0.99	0.605	0	Cytotrophoblast	KRT18
0	1.02022577545845	0.967	0.774	0	Cytotrophoblast	ANXA5
0	1.01886810148954	0.778	0.321	0	Cytotrophoblast	PDLIM1
0	1.01857220230852	0.717	0.256	0	Cytotrophoblast	BEX4
0	1.01841636844848	0.47	0.031	0	Cytotrophoblast	FOXO4
0	0.990480589144497	0.951	0.596	0	Cytotrophoblast	VAMP8
0	0.9827460553654	0.635	0.31	0	Cytotrophoblast	RTN4
0	0.976178434811767	0.465	0.062	0	Cytotrophoblast	TFDP2
0	0.970525390052426	0.482	0.089	0	Cytotrophoblast	OLR1
0	0.957181462132085	0.384	0.04	0	Cytotrophoblast	CTSV
0	0.955162084298979	0.427	0.037	0	Cytotrophoblast	NSG1
0	0.953358225971068	0.438	0.13	0	Cytotrophoblast	ELF3
0	0.944858433987301	0.407	0.03	0	Cytotrophoblast	CROT
0	0.942558448542429	0.373	0.067	0	Cytotrophoblast	GALNT11
0	0.939497702591034	0.441	0.06	0	Cytotrophoblast	SIAH1
0	0.935978447335473	0.49	0.09	0	Cytotrophoblast	PARP1
0	0.917140190587291	0.681	0.337	0	Cytotrophoblast	MPC2
0	0.912578903441143	0.419	0.064	0	Cytotrophoblast	PNP
0	0.912183637844037	0.335	0.032	0	Cytotrophoblast	DUSP9
0	0.907688196747647	0.76	0.412	0	Cytotrophoblast	TALDO1
0	0.901889458928305	0.433	0.06	0	Cytotrophoblast	PKIB
0	0.900525169718248	0.668	0.332	0	Cytotrophoblast	PLA2G16
0	0.890657545059233	0.545	0.159	0	Cytotrophoblast	IDH1
0	0.884865881268553	0.527	0.183	0	Cytotrophoblast	CLDN7
0	0.883360607637038	0.681	0.322	0	Cytotrophoblast	ECHS1
0	0.877407453273197	0.807	0.507	0	Cytotrophoblast	DBI
0	0.875353004155592	0.785	0.569	0	Cytotrophoblast	LRPAP1
0	0.874117191746356	0.507	0.089	0	Cytotrophoblast	ERVW-1
0	0.86982449511667	0.501	0.134	0	Cytotrophoblast	ECI2
0	0.864765050335203	0.414	0.115	0	Cytotrophoblast	CKS2
0	0.858775470701459	0.389	0.024	0	Cytotrophoblast	SLC13A4
0	0.855338015228707	0.876	0.588	0	Cytotrophoblast	PEBP1
0	0.852780461446564	0.875	0.631	0	Cytotrophoblast	RAN
0	0.851966240663009	0.687	0.359	0	Cytotrophoblast	HSPD1
0	0.851434105988102	0.496	0.179	0	Cytotrophoblast	COX20
0	0.849074979039764	0.537	0.152	0	Cytotrophoblast	CAPN1
0	0.844760284892653	0.835	0.571	0	Cytotrophoblast	HSPA8
0	0.837999578808515	0.848	0.54	0	Cytotrophoblast	PSMB6
0	0.837562933319356	0.55	0.205	0	Cytotrophoblast	ITIH5
0	0.83507506795122	0.752	0.404	0	Cytotrophoblast	PSMB2
0	0.830830292798247	0.43	0.083	0	Cytotrophoblast	AP1M2
