p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.04984837151603	0.821	0.531	0	Fibroblast	APOD
0	1.02209463499609	0.98	0.822	0	Fibroblast	MGP
0	1.00769547428045	1	0.912	0	Fibroblast	DCN
0	1.00498699761278	0.987	0.778	0	Fibroblast	LUM
0	0.997678687406276	0.98	0.706	0	Fibroblast	MFAP5
0	0.988960834972707	0.993	0.75	0	Fibroblast	COL1A2
0	0.965608581422607	0.904	0.544	0	Fibroblast	FBN1
0	0.964042459980935	0.904	0.563	0	Fibroblast	COL1A1
0	0.963599392581413	0.968	0.711	0	Fibroblast	COL3A1
0	0.955809289432933	0.752	0.346	0	Fibroblast	MFAP4
0	0.944380086311611	0.902	0.526	0	Fibroblast	FBLN1
0	0.925104342965763	0.822	0.439	0	Fibroblast	COL6A3
0	0.915134925600442	0.845	0.469	0	Fibroblast	GPX3
0	0.889740880904361	0.941	0.625	0	Fibroblast	CFD
0	0.884716672332635	0.702	0.339	0	Fibroblast	PLAC9
0	0.883745115110885	0.734	0.376	0	Fibroblast	MMP2
0	0.881206030715621	0.934	0.705	0	Fibroblast	IGFBP5
0	0.878396555827554	0.969	0.75	0	Fibroblast	FSTL1
0	0.869559514892722	0.757	0.43	0	Fibroblast	GSN
0	0.859049263565373	0.924	0.67	0	Fibroblast	SPARC
0	0.857766559582325	0.864	0.515	0	Fibroblast	FN1
0	0.746223636243025	0.856	0.575	0	Fibroblast	TIMP2
0	0.625927472398085	0.95	0.816	0	Fibroblast	CCDC80
0	-1.19467661190115	0.03	0.294	0	Fibroblast	KRT18
0	-1.27106925848614	0.021	0.286	0	Fibroblast	UPK3B
0	-1.44999397732762	0.404	0.713	0	Fibroblast	SLPI
0	-1.48460287094991	0.04	0.354	0	Fibroblast	KRT19
0	-1.88946279848162	0.27	0.583	0	Fibroblast	SRGN
0	-2.06881689347695	0.161	0.559	0	Fibroblast	HP
0	-2.41622025712108	0.565	0.788	0	Fibroblast	ITLN1
9.11695421484236e-305	-0.406972032007492	0.998	1	4.62611902578937e-302	Fibroblast	TMSB4X
5.33984105597153e-304	0.557286829896862	0.964	0.751	2.62486561907601e-301	Fibroblast	S100A4
3.001440740258e-299	0.910119431880214	0.66	0.304	1.43068675285631e-296	Fibroblast	SERPINF1
2.51617271512791e-293	-1.12279288293593	0.026	0.269	1.16409990614594e-290	Fibroblast	MSLN
7.21932350881337e-289	-0.543923763676026	0.976	0.993	3.24457025124669e-286	Fibroblast	TPT1
7.27648871230734e-281	0.627682159546739	0.866	0.664	3.1794213179054e-278	Fibroblast	C1S
9.19875415033021e-272	0.898808933737093	0.664	0.33	3.91071358877552e-269	Fibroblast	SPARCL1
8.88897144515349e-270	-0.835735977721034	0.529	0.801	3.67956633769117e-267	Fibroblast	SAT1
2.70033848920475e-266	-0.859839293927972	0.424	0.707	1.08913652397925e-263	Fibroblast	PTMA
