p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.65904962448111	0.192	0.074	0	Basal	APOD
0	2.1317105219162	0.323	0.088	0	Basal	C11orf96
0	2.09660972712805	0.536	0.23	0	Basal	CRYAB
0	2.04976082617458	0.286	0.031	0	Basal	IGFBP5
0	2.03466521909708	0.415	0.163	0	Basal	MGP
0	1.97125654224395	0.241	0.017	0	Basal	DCN
0	1.90501829702743	0.192	0.055	0	Basal	MT1A
0	1.83886935830085	0.316	0.069	0	Basal	IGFBP6
0	1.83451318312851	0.425	0.125	0	Basal	TAGLN
0	1.79528224250198	0.145	0.036	0	Basal	PTGDS
0	1.78230236377461	0.336	0.096	0	Basal	CCL2
0	1.77022929525426	0.335	0.119	0	Basal	FBLN1
0	1.75012886656096	0.341	0.033	0	Basal	GEM
0	1.66913273938039	0.106	0.024	0	Basal	IL1RL1
0	1.58246483956403	0.168	0.014	0	Basal	LUM
0	1.56824402415241	0.112	0.012	0	Basal	RGS5
0	1.56231608706744	0.764	0.706	0	Basal	TIMP1
0	1.53267298756416	0.397	0.239	0	Basal	PDK4
0	1.49177165954127	0.534	0.128	0	Basal	MEG3
0	1.48023673797889	0.665	0.226	0	Basal	CALD1
0	1.47303704584643	0.468	0.205	0	Basal	CYR61
0	1.44858647127169	0.476	0.204	0	Basal	IGFBP7
0	1.43233397747607	0.176	0.063	0	Basal	IL6
0	1.40219610485257	0.171	0.037	0	Basal	SERPINE2
0	1.39272589639914	0.322	0.055	0	Basal	C1R
0	1.35001748898149	0.433	0.109	0	Basal	SERPINF1
0	1.33781086972057	0.216	0.072	0	Basal	KRT14
0	1.26746690758816	0.353	0.069	0	Basal	TPM2
0	1.26171782896454	0.218	0.073	0	Basal	TFPI2
0	1.24704409089967	0.542	0.241	0	Basal	TIMP3
0	1.2303534624109	0.477	0.169	0	Basal	MYL9
0	1.21051132859957	0.456	0.154	0	Basal	LGALS1
0	1.1544342561155	0.24	0.039	0	Basal	CRISPLD2
0	1.14922290902962	0.406	0.245	0	Basal	SPARCL1
0	1.1438690514146	0.515	0.289	0	Basal	DST
0	1.12840625989769	0.255	0.027	0	Basal	C1S
0	1.12706742708449	0.327	0.132	0	Basal	ID4
0	1.08399108835587	0.117	0.015	0	Basal	GJA4
0	1.05667713064506	0.702	0.507	0	Basal	MT2A
0	1.04238711239303	0.353	0.153	0	Basal	SERPING1
0	1.03574313014751	0.245	0.025	0	Basal	COL6A2
0	1.03170492216997	0.551	0.342	0	Basal	IGFBP2
0	1.03128094017322	0.495	0.29	0	Basal	RGCC
0	1.03113106928868	0.72	0.628	0	Basal	HSPA1A
0	1.01371501164256	0.276	0.154	0	Basal	AKAP12
0	0.989016793427829	0.308	0.145	0	Basal	THBS1
0	0.988346896553043	0.154	0.026	0	Basal	PTN
0	0.986691481325529	0.192	0.06	0	Basal	ADAMTS4
0	0.984584322170363	0.301	0.125	0	Basal	GPX3
0	0.98450196839087	0.321	0.061	0	Basal	SOD3
0	0.96951525389184	0.602	0.319	0	Basal	MYC
0	0.969223852857221	0.586	0.476	0	Basal	HSPH1
0	0.968568160039645	0.963	0.937	0	Basal	HSP90AA1
0	0.965764161877627	0.123	0.017	0	Basal	APOE
0	0.963556637959426	0.144	0.028	0	Basal	CTGF
0	0.935142723546431	0.107	0.012	0	Basal	TNFAIP6
0	0.93062027605458	0.349	0.166	0	Basal	SERPINH1
0	0.921728534465384	0.482	0.397	0	Basal	DNAJB1
0	0.893392402252702	0.786	0.645	0	Basal	HSPD1
0	0.878246318441613	0.627	0.544	0	Basal	HSPA1B
0	0.877164919543145	0.612	0.491	0	Basal	CEBPB
0	0.871578366479224	0.243	0.036	0	Basal	MFGE8
0	0.859660940940767	0.278	0.175	0	Basal	DKK1
0	0.85868351354654	0.507	0.251	0	Basal	CAV1
0	0.856243559542194	0.454	0.298	0	Basal	GSN
0	0.85352252646517	0.48	0.391	0	Basal	KRT15
0	0.839270972770781	0.292	0.181	0	Basal	CREM
0	0.822796584863076	0.557	0.329	0	Basal	PHLDA1
0	0.817541676283783	0.168	0.051	0	Basal	A2M
0	0.813306863236294	0.847	0.772	0	Basal	CEBPD
0	0.812420837809967	0.98	0.917	0	Basal	HSP90AB1
0	0.803663376693054	0.328	0.09	0	Basal	AXL
0	0.797494252701332	0.299	0.188	0	Basal	EDN1
0	0.796927304687236	0.105	0.02	0	Basal	ACTA2
0	0.792733163645557	0.33	0.173	0	Basal	TUBA1A
0	0.778315021125216	0.55	0.356	0	Basal	ARID5B
0	0.776873192977809	0.147	0.055	0	Basal	RGS2
0	0.772493972470248	0.308	0.176	0	Basal	NR4A1
0	0.765593009513051	0.734	0.675	0	Basal	UBB
0	0.762863543822887	0.208	0.102	0	Basal	S100A4
0	0.757009723394484	0.293	0.077	0	Basal	RARRES2
0	0.754286398532691	0.378	0.169	0	Basal	EMP3
0	0.745723574939848	0.745	0.666	0	Basal	HSPA8
0	0.742167347673697	0.128	0.007	0	Basal	MFAP4
0	0.741723866043128	0.345	0.155	0	Basal	VIM
0	0.741536731079978	0.455	0.311	0	Basal	BAG3
0	0.724570886810826	0.594	0.436	0	Basal	ZFP36L2
0	0.720894822634963	0.19	0.073	0	Basal	ADAMTS1
0	0.716987187538763	0.233	0.066	0	Basal	MAP1B
0	0.715219331109196	0.705	0.621	0	Basal	JUNB
0	0.710494450049073	0.348	0.202	0	Basal	MAT2A
0	0.701807983434506	0.446	0.238	0	Basal	PALLD
0	0.695553192256376	0.219	0.098	0	Basal	TFPI
0	0.691960658121056	0.767	0.617	0	Basal	IFITM3
0	0.691340302032248	0.35	0.185	0	Basal	IGFBP4
0	0.685772220917727	0.229	0.107	0	Basal	PLPP3
0	0.683032249707281	0.352	0.206	0	Basal	EGR1
0	0.680574627934436	0.146	0.045	0	Basal	ZNF331
0	0.671233413785872	0.797	0.726	0	Basal	HSPE1
0	0.670920306528253	0.319	0.098	0	Basal	FGFR1
0	0.665604498717093	0.48	0.295	0	Basal	KRT5
0	0.65804115522816	0.147	0.02	0	Basal	MMP2
0	0.643789410371231	0.371	0.283	0	Basal	ID3
0	0.630937810585961	0.129	0.032	0	Basal	EDNRB
0	0.610529876075046	0.274	0.154	0	Basal	CTSL
0	0.600547520844639	0.477	0.351	0	Basal	IFITM2
0	0.592240489728638	0.777	0.675	0	Basal	PNRC1
0	0.590385186621337	0.402	0.312	0	Basal	RND3
0	0.573761739807785	0.133	0.009	0	Basal	BGN
0	0.572449419886726	0.165	0.015	0	Basal	AEBP1
0	0.561916722898277	0.163	0.018	0	Basal	COL6A1
0	0.555443677258725	0.225	0.08	0	Basal	CREB5
0	0.550558065700857	0.192	0.055	0	Basal	SNAI2
0	0.547544375952298	0.236	0.087	0	Basal	SDC2
0	0.546477666619216	0.645	0.546	0	Basal	ATP1B3
0	0.545496754016691	0.272	0.169	0	Basal	CSRP2
0	0.543410854073564	0.36	0.23	0	Basal	DNAJB9
0	0.541641054607879	0.653	0.523	0	Basal	ANXA5
0	0.537094591557633	0.125	0.034	0	Basal	LMCD1
0	0.533661784410294	0.14	0.025	0	Basal	VASN
0	0.530569986745824	0.175	0.053	0	Basal	COL4A1
0	0.517146984738843	0.478	0.389	0	Basal	CLU
0	0.516524803465495	0.364	0.216	0	Basal	CSRP1
0	0.51478991929013	0.835	0.876	0	Basal	HSPB1
0	0.512739534159135	0.248	0.139	0	Basal	KLF9
0	0.512502357873371	0.423	0.344	0	Basal	FOSB
0	0.507900826773274	0.142	0.018	0	Basal	PDPN
0	0.506350064148562	0.338	0.193	0	Basal	OAT
0	0.503213079613277	0.505	0.403	0	Basal	GSTO1
0	0.494478986848133	0.669	0.613	0	Basal	DNAJA1
0	0.492019593193354	0.227	0.118	0	Basal	LMO4
0	0.491736933204124	0.495	0.454	0	Basal	FHL2
0	0.488667725880849	0.17	0.077	0	Basal	NR2F2
0	0.487091135081496	0.921	0.936	0	Basal	UBC
0	0.485605979188286	0.169	0.092	0	Basal	NR4A2
0	0.484706989651892	0.11	0.016	0	Basal	NR4A3
0	0.484229526321357	0.267	0.131	0	Basal	GLIPR1
0	0.47744362606033	0.694	0.645	0	Basal	MORF4L2
0	0.47527853269758	0.762	0.661	0	Basal	NAP1L1
0	0.465159447422483	0.319	0.226	0	Basal	CHORDC1
0	0.459716223557278	0.29	0.195	0	Basal	TBX3
0	0.458958568865043	0.74	0.709	0	Basal	LAPTM4A
0	0.449728472522951	0.169	0.016	0	Basal	DKK3
0	0.44754866973263	0.43	0.368	0	Basal	TCEAL4
0	0.44367740116606	0.262	0.174	0	Basal	FBXO32
0	0.441775837066181	0.201	0.083	0	Basal	SPARC
0	0.439407706605624	0.108	0.041	0	Basal	LIF
0	0.437268517414307	0.169	0.07	0	Basal	LTBP4
0	0.434067871175623	0.102	0.005	0	Basal	COL1A2
0	0.43157353158689	0.573	0.5	0	Basal	SRSF3
0	0.426209421795299	0.162	0.027	0	Basal	EFEMP1
0	0.418657169954288	0.56	0.506	0	Basal	CD44
0	0.416026536492864	0.399	0.33	0	Basal	PTP4A1
0	0.412050146785581	0.644	0.564	0	Basal	ITGB1
0	0.410222090950057	0.299	0.177	0	Basal	C9orf3
0	0.409459418932766	0.134	0.031	0	Basal	FLRT3
0	0.409043946352786	0.678	0.645	0	Basal	LDHA
0	0.408437706859673	0.464	0.267	0	Basal	MT1X
0	0.404230099078281	0.412	0.337	0	Basal	FKBP4
0	0.404021823698506	0.432	0.358	0	Basal	SEPT7
0	0.399611839539473	0.112	0.033	0	Basal	PDLIM3
0	0.397780082043604	0.296	0.192	0	Basal	PLK2
0	0.397630138533928	0.411	0.308	0	Basal	PRNP
0	0.397127967062474	0.699	0.67	0	Basal	LMNA
0	0.393676792368474	0.306	0.207	0	Basal	STIP1
0	0.393175566346495	0.444	0.364	0	Basal	CAV2
0	0.391241670827762	0.145	0.043	0	Basal	SPRY2
0	0.389530520320484	0.26	0.148	0	Basal	FERMT2
0	0.387514496373755	0.105	0.014	0	Basal	FHL1
0	0.386575518301871	0.102	0.014	0	Basal	FILIP1L
0	0.385340110675732	0.164	0.059	0	Basal	GPM6B
0	0.382533184616046	0.564	0.521	0	Basal	EIF5
0	0.382390305822315	0.179	0.084	0	Basal	FSTL3
